Title_A,Authors_A,ISBN13_A,Pages_A,Rating_A,Ratings_Count_A,Publisher_A,Publish_Date_A,Title_B,Authors_B,ISBN13_B,Pages_B,Rating_B,Ratings_Count_B,Publisher_B,Publish_Date_B,Gold
Grace Abounding: With Other Spiritual Autobiographies (Oxford English Texts),"John Bunyan, John Stachniewski, Anita Pacheco",9780199554980.0,279,4.07,1162,Oxford University Pres,December 1st 2008,Grace Abounding: With Other Spiritual Autobiographies,John Bunyan,9780199554980.0,336.0,,,"Oxford University Press, USA",12/15/2008,1
The Autobiography of Fukuzawa Yukichi,Eiichi Kiyooka,9781447423256.0,390,4.5,2,Roberts Press,August 11th 2011,The Autobiography Of Fukuzawa Yukichi,Eiichi Kiyooka,9781447423256.0,390.0,,,Read Books Design,08/11/2011,1
True: The Autobiography of Martin Kemp,Martin Kemp,9780752832647.0,276,3.79,128,Orion,March 2000,True: Autobiography of Martin Kemp,"Martin Kemp, Kemp",9780752832647.0,256.0,4.0,1.0,"Orion Publishing Group, Limited",03/28/2000,1
The Lion's Mouth: Concluding Chapters Of Autobiography,Kathleen Raine,9780807608777.0,0,4.5,4,George Braziller,,Lion's Mouth: Concluding Chapters of Autobiography,Kathleen Raine,9780807608777.0,192.0,,,"Braziller, George Inc.",02/01/1978,1
Walking in the Shade: Volume Two of My Autobiography--1949-1962,Doris Lessing,9780060929565.0,432,4.04,212,Harper Perennial,September 23rd 1998,"Walking in the Shade: Volume Two of My Autobiography, 1949 -1962",Doris Lessing,9780060929565.0,432.0,4.0,5.0,HarperCollins Publishers,09/28/1998,1
An Autobiography: The Story of My Experiments with Truth,Mahatma Gandhi,,640,4.07,24319,Navajivan Publishing House (Ahmedabad),1948,An Autobiography: The Story of My Experiments with Truth,Mohandas K. Gandhi,9780807059098.0,560.0,4.4,20.0,Beacon Press,11/28/1993,1
Where White Men Fear to Tread: The Autobiography of Russell Means,"Russell Means, Marvin J. Wolf",9780312147617.0,624,4.06,760,St. Martin's Griffin,November 15th 1996,Where White Men Fear to Tread: The Autobiography of Russell Means,"Russell Means, Marvin Wolf",9780312147617.0,624.0,5.0,6.0,St. Martin's Press,11/28/1996,1
Mayor: An Autobiography,Edward I. Koch,9781451660722.0,256,3.64,36,Simon & Schuster,June 28th 2011,Mayor: An Autobiography,Edward I. Koch,9781451660722.0,256.0,1.0,1.0,Simon &amp; Schuster,06/28/2011,1
Keep Smiling: The Autobiography,Charlotte Church,9780752890876.0,320,3.42,76,Orion Publishing,September 6th 2007,The Autobiography,Charlotte Church,9780752890876.0,320.0,,,"Orion Publishing Group, Limited",09/06/2007,1
Alone with me: A new autobiography,Eartha Kitt,9780809283514.0,276,4.14,7,H. Regnery Co,January 1st 1976,Alone with Me: A New Autobiography,Eartha Kitt,9780809283514.0,276.0,,,"Regnery Publishing, Incorporated, An Eagle Publishing Company",01/01/1976,1
The Life of Shabkar: Autobiography of a Tibetan Yogin,"Shabkar Tsogdruk Rangdrol, Dalai Lama XIV, Dilgo Khyentse Rinpoche",9781559391542.0,712,4.15,33,Snow Lion,February 6th 2001,The Life Of Shabkar: Autobiography Of A Tibetan Yogin / Edition 1,Matthieu Ricard,9781559391542.0,712.0,,,"Shambhala Publications, Inc.",02/28/2001,1
INXS: Story to Story: The Official Autobiography,"INXS Publications, Anthony Bozza",,320,4.0,11,Atria Books,May 11th 2010,INXS: Story to Story: The Official Autobiography,INXS Publications,9780743290029.0,320.0,5.0,1.0,Atria Books,05/11/2010,1
Act Like You Know: African-American Autobiography and White Identity,Crispin Sartwell,9780226735276.0,222,3.6,5,University Of Chicago Press,July 20th 1998,Act Like You Know: African-American Autobiography and White Identity / Edition 2,Crispin Sartwell,9780226735276.0,222.0,,,University of Chicago Press,07/20/1998,1
Voices Made Flesh: Performing Women'S Autobiography,"Lynn C. Miller, Jacqueline Taylor",9780299184247.0,344,4.2,5,University of Wisconsin Press,September 10th 2003,Voices Made Flesh : Performing Women's Autobiography / Edition 1,Lynn C. Miller,9780299184247.0,344.0,,,University of Wisconsin Press,10/28/2003,1
The Red Parts: Autobiography of a Trial,Maggie Nelson,9781555977368.0,224,4.04,263,,,The Red Parts: Autobiography of a Trial,Maggie Nelson,9781555977368.0,224.0,,,Graywolf Press,04/05/2016,1
Caroline Herschel's Autobiographies,"Michael Hoskin, Caroline Herschel",9780905193069.0,147,3.0,1,,,Caroline Herschel's Autobiographies,Caroline Herschel,9780905193069.0,,,,Enfield Pub &amp; Distribution Co,05/01/2003,1
And the Walls Came Tumbling Down: An Autobiography,Ralph David Abernathy,9781569762790.0,672,3.95,62,Chicago Review Press,April 1st 2010,And the Walls Came Tumbling Down: An Autobiography,Ralph David Abernathy,9781569762790.0,672.0,,,"Chicago Review Press, Incorporated",04/01/2010,1
"My Autobiography/The Political & Social Doctrine of Fascism (Books on History, Political & Social Science)","Benito Mussolini, Richard Washburn Child, Jane Soames",9780486447773.0,272,3.22,45,Dover Publications,June 23rd 2006,My Autobiography: With The Political and Social Doctrine of Fascism,Benito Mussolini,9780486447773.0,272.0,2.5,2.0,Dover Publications,06/23/2006,1
The Autobiography,Betty Boothroyd,9780099427049.0,434,5.0,2,Arrow Books Ltd,October 1st 2001,Betty Boothroyd Autobiography,Betty Boothroyd,9780099427049.0,434.0,,,Random House UK,10/28/2002,1
Life on a Plate: The Autobiography,Greg Wallace,9781409139218.0,320,4.0,1,Orion Publishing,February 1st 2014,Life on a Plate: The Autobiography,Greg Wallace,9781409139218.0,320.0,,,"Orion Publishing Group, Limited",02/01/2014,1
Glenn Hughes: The Autobiography - From Deep Purple to Black Country Communion,"Glenn   Hughes, Joel McIver",9781906002923.0,254,3.98,80,Jawbone Press,November 1st 2011,Glenn Hughes The Autobiography: From Deep Purple to Black Country Communion,Glenn Hughes,9781906002923.0,256.0,4.0,2.0,"Outline Press, Limited",11/01/2011,1
A Labor of Love: An Autobiography,Anne Geddes,9780740765629.0,320,4.53,45,Andrews McMeel Publishing,October 1st 2007,A Labor of Love: An Autobiography,Anne Geddes,9780740765629.0,320.0,4.0,3.0,Andrews McMeel Publishing,10/28/2007,1
A Change of Habit: The Autobiography Of A Former Catholic Nun,"Joanne Howe, Lynn Paul Coffman",9780892252923.0,120,3.33,12,Gospel Advocate Company,December 1st 1996,Change of Habit: The Autobiography of a Former Catholic Nun,Joanne Howe,9780892252923.0,120.0,5.0,1.0,Christian Communications,12/28/1996,1
"The Arvon Book of Life Writing: Writing Biography, Autobiography and Memoir","Sally Cline, Carole Angier",9781408124185.0,288,3.36,11,Bloomsbury Methuen Drama,August 15th 2010,"The Arvon Book of Life Writing: Writing Biography, Autobiography and Memoir","Sally Cline, Carole Angier",9781408124185.0,288.0,,,Bloomsbury Academic,08/15/2010,1
A Song of Ascents: A Spiritual Autobiography,"E. Stanley Jones, James K. Mathews",9780687097920.0,404,4.22,27,Abingdon Press,December 19th 1968,A Song of Ascents: A Spiritual Autobiography,E. Stanley Jones,9780687097920.0,404.0,,,United Methodist Publishing House,12/01/1968,1
"Truth, Love & a Little Malice: An Autobiography",Khushwant Singh,9780670049165.0,423,3.9,830,Viking Books,February 4th 2002,"Truth, Love and a Little Malice: An Autobiography",Kushwant Singh,9780670049165.0,423.0,,,Penguin Group (USA),06/01/2002,1
Standing on the Promises: The Autobiography of W. A. Criswell,W.A. Criswell,9780849990380.0,256,4.46,13,W Publishing Group,December 10th 2000,Standing on the Promises: The Autobiography of W. A. Criswell,W. A. Criswell,9780849990380.0,256.0,,,W Publishing Group,12/28/2000,1
Man Without A Face: The Autobiography Of Communism's Greatest Spymaster,"Markus Wolf, Anne McElvoy",9781891620126.0,460,3.88,165,PublicAffairs,June 4th 1999,Man Without A Face / Edition 1,"Markus Wolf, Anne McElvoy",9781891620126.0,460.0,4.0,3.0,PublicAffairs,01/01/1997,1
Bully! Three Autobiographies by Theodore Roosevelt,Theodore Roosevelt,9781604596199.0,696,0.0,0,Wilder Publications,January 4th 2009,Bully! Three Autobiographies By Theodore Roosevelt,Theodore Roosevelt,9781604596199.0,696.0,,,Wilder Publications,01/04/2009,1
Rome: The Autobiography,Jon E. Lewis,,284,4.0,1,Robinson,March 1st 2012,Rome: The Autobiography,Jon E. Lewis,9781780337548.0,464.0,5.0,1.0,"Little, Brown Book Group",03/01/2012,1
"And Speaking of Scorpions...: Autobiography of Former Scorpions Drummer Herman ""Ze German"" Rarebell","Herman Rarebell, Michael Krikorian",9781463601102.0,252,3.33,12,Createspace,August 1st 2011,And Speaking of Scorpions...: Autobiography of Former Scorpions Drummer Herman Ze German Rarebell,Herman Rarebell,9781463601102.0,252.0,,,CreateSpace Publishing,08/25/2011,1
Journal of a Soul: The Autobiography of Pope John XXIII,Pope John XXIII,9780385497541.0,544,4.29,185,Image,November 9th 1999,Journal of a Soul: The Autobiography of Pope John XXIII,Pope John XXIII,9780385497541.0,544.0,,,Crown Religion/Business/Forum,11/28/1999,1
Street-Fighting Years: An Autobiography of the Sixties,Tariq Ali,9781844670291.0,403,3.85,101,Verso,May 17th 2005,Street Fighting Years: An Autobiography of the Sixties,Tariq Ali,9781844670291.0,403.0,,,Verso Books,04/17/2005,1
Managing My Life: My Autobiography,Alex Ferguson,9780340728567.0,531,4.05,1028,Hodder & Stoughton,August 1st 2000,Managing My Life: My Autobiography,Sir Alex Ferguson,9780340728567.0,531.0,,,"Hodder &amp; Stoughton, Ltd.",08/01/2000,1
The Time of My Life: An Autobiography,Gay Byrne,9780717116157.0,255,3.8,5,Gill & MacMillan,January 1st 1989,The Time of My Life: An Autobiography,"Gay Byrne, Deirdre Purcell",9780717116157.0,272.0,,,"Gill &amp; MacMillan, Limited",11/28/1989,1
Vanity Will Get You Somewhere: An Autobiography,Joseph Cotten,9780595091331.0,280,3.67,40,iUniverse,July 1st 2000,Vanity Will Get You Somewhere: An Autobiography,Joseph Cotten,9780595091331.0,280.0,3.5,2.0,"iUniverse, Incorporated",03/24/2000,1
Children of the Storm: The Autobiography of Natasha Vins,Natasha Vins,9781579248543.0,135,3.96,53,JourneyForth,June 1st 2002,Children of the Storm: The Autobiography of Natasha Vins,Natasha Vins,9781579248543.0,135.0,,,"Jones, Bob University Press",01/28/2003,1
William Barclay: A Spiritual Autobiography,William Barclay,9780802834645.0,122,3.22,9,Eerdmans,January 28th 1975,William Barclay: A Spiritual Autobiography,William Barclay,9780802834645.0,122.0,,,"Eerdmans, William B. Publishing Company",01/01/1975,1
The Unauthorized Autobiography of Ethan Jacobs,Dan Dillard,,156,3.8,10,,,The Unauthorized Autobiography of Ethan Jacobs,Dan Dillard,2940033162109.0,,,,Dan Dillard,01/14/2012,1
Service of Ladies: An Autobiography,Ulrich von Liechtenstein,9781843830955.0,189,3.85,13,Boydell Press,October 1st 2004,Service of Ladies: An autobiography,Ulrich von Liechtenstein,9781843830955.0,189.0,,,"Boydell &amp; Brewer, Limited",10/14/2004,1
The Modern World of Neith Boyce: Autobiography and Diaries,Neith Boyce,9780826331472.0,360,5.0,2,University of New Mexico Press,August 11th 2003,The Modern World of Neith Boyce: Autobiography and Diaries,Neith Boyce,9780826331472.0,376.0,,,University of New Mexico Press,08/28/2003,1
"Midlife Queer: Autobiography of a Decade, 1971-1981",Martin Duberman,9780299160241.0,240,3.5,6,University of Wisconsin Press,July 17th 1998,"Midlife Queer: Autobiography of a Decade, 1971-1981",Martin Duberman,9780299160241.0,240.0,,,University of Wisconsin Press,07/28/1998,1
The Autobiography of William Sanders Scarborough: An American Journey from Slavery to Scholarship (African American Life),"William Sanders Scarborough, Michele Valerie Ronnick, Henry Louis Gates Jr.",9780814332245.0,448,4.0,2,Wayne State University Press,December 6th 2004,The Autobiography of William Sanders Scarborough: An American Journey from Slavery to Scholarship (African American Life Series),"Michele Valerie Ronnick, William Sanders Scarborough",9780814332245.0,425.0,,,Wayne State University Press,12/28/2004,1
Twin Tracks: The Autobiography,Roger Bannister,9781849546867.0,384,3.79,14,Biteback,April 17th 2014,Twin Tracks: The Autobiography,Roger Bannister,9781849546867.0,384.0,,,"Biteback Publishing, Ltd.",06/02/2015,1
Bill Peet: An Autobiography,Bill Peet,9780395689820.0,192,4.19,909,HMH Books for Young Readers,March 28th 1994,Bill Peet: An Autobiography,Bill Peet,9780395689820.0,192.0,4.8,5.0,Houghton Mifflin Harcourt,03/28/1994,1
The Autobiography of Benjamin Franklin,"Amy Gutmann, Benjamin Franklin, Peter Conn",,192,0.0,0,University of Pennsylvania Press,January 1st 2011,The Autobiography of Benjamin Franklin,Benjamin Franklin,9781497421318.0,130.0,3.0,1.0,CreateSpace Publishing,03/22/2014,1
Holding The Line: An Autobiography,John  Hermon,9780717125913.0,290,0.0,0,Gill & Macmillan Ltd,February 28th 1997,Holding the Line: An Autobiography,John C. Hermon,9780717125913.0,280.0,,,"Gill &amp; MacMillan, Limited",01/01/1997,1
"Bradford Washburn, An Extraordinary Life: The Autobiography of a Mountaineering Icon","Bradford Washburn, Lew Freedman",9780882409078.0,320,4.14,7,Westwinds Press,May 1st 2013,"Bradford Washburn, An Extraordinary Life: The Autobiography of a Mountaineering Icon",Bradford Washburn,9780882409078.0,320.0,5.0,1.0,Pruett Publishing Company,05/01/2013,1
Pele: The Autobiography,Pelxe9,,320,3.5,4,Simon & Schuster UK,September 4th 2008,Pele: The Autobiography,"Pele, Alex Bellos, Orlando Duarte",9781416511212.0,368.0,,,Simon &amp; Schuster UK,05/08/2007,1
The Autobiography of a Narcissist,Jonathan Foster,9781591138716.0,260,4.0,1,Booklocker.com,January 1st 2006,The Autobiography Of A Narcissist,Jonathan Foster,9781591138716.0,260.0,4.0,1.0,"Booklocker.com, Inc.",01/04/2006,1
Autobiography of a Yogi,Parmahansa Yogananda,,518,4.24,25,Penguin Books Ltd,,Autobiography of a Yogi,Paramahansa Yogananda,9780876120798.0,592.0,4.3,26.0,Self-Realization Fellowship,12/28/1978,1
A Sounding of Women: Autobiographies from Unexpected Places,Martha C. Ward,9780205270156.0,194,4.0,2,Pearson,June 9th 1997,A Sounding of Women : Autobiographies from Unexpected Places / Edition 1,Martha C. Ward,9780205270156.0,194.0,,,Pearson,05/30/1997,1
Mostly on the Edge: An Autobiography,Karl Hess,9781573926874.0,409,4.58,12,Prometheus Books,April 1st 1999,"Mostly on the Edge: Karl Hess, an Autobiography",Karl Hess,9781573926874.0,410.0,,,Prometheus Books,04/28/1999,1
Bread Not Stones: The Autobiography of an Eventful Life,Una Kroll,9781782798040.0,143,3.33,3,Christian Alternative,December 12th 2014,Bread Not Stones: The Autobiography of an Eventful Life,Una Kroll,9781782798040.0,143.0,,,Christian Alternative,12/12/2014,1
Confessions of a Dangerous Mind: An Unauthorized Autobiography (Confessions of a Dangerous Mind #1),Chuck Barris,9780786888085.0,256,3.66,1078,Miramax Books,November 27th 2002,Confessions of a Dangerous Mind: An Unauthorized Autobiography,Chuck Barris,9780786888085.0,256.0,,,Miramax Books,11/27/2002,1
The Autobiography of Abbie Hoffman,"Abbie Hoffman, Howard Zinn, Norman Mailer",9781568581972.0,328,3.98,299,Da Capo Press,November 30th 2000,The Autobiography Of Abbie Hoffman,Abbie Hoffman,9781568581972.0,332.0,4.0,2.0,Da Capo Press,11/01/2000,1
Through the Eyes of the Enemy: The Autobiography of Stanislav Lunev,"Stanislav Lunev, Ira Winkler",9780895263902.0,177,3.55,11,Regnery Publishing,August 25th 1998,Through the Eyes of the Enemy: The Autobiography of Stanislav Lunev,"Stanislav Lunev, Ira Winkler, Staanislov Lunev",9780895263902.0,177.0,5.0,1.0,"Regnery Publishing, Incorporated, An Eagle Publishing Company",07/01/1998,1
To the Fairway Born: The Autobiography,"Sandy Lyle, Robert Philip, Seve Ballesteros",9780755314720.0,320,3.5,2,Headline Book Publishing,May 31st 2007,To the Fairway Born: The Autobiography,Sandy Lyle,9780755314720.0,320.0,,,"Headline Book Publishing, Limited",05/31/2007,1
An Autobiography of Lessons Learned,Jagannath Giri,9781475985115.0,286,0.0,0,iUniverse,June 24th 2013,An Autobiography of Lessons Learned,Jagannath Giri,9781475985115.0,286.0,,,"iUniverse, Incorporated",06/24/2013,1
Living High: An Unconventional Autobiography,June Burn,9780970739995.0,292,4.42,19,San Juan Publishing,June 7th 2011,Living High: An Unconventional Autobiography,June Burn,9780970739995.0,292.0,,,San Juan Publishing,06/28/2011,1
The Abandoned Baobab: The Autobiography of a Senegalese Woman,Ken Bugul,9780813927374.0,180,3.7,114,University of Virginia Press,April 8th 2008,The Abandoned Baobab: The Autobiography of a Senegalese Woman / Edition 1,"Ken Bugul, Marjolijn De Jager",9780813927374.0,190.0,,,University of Virginia,03/01/2008,1
"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition","Mark Twain, Benjamin Griffin, Harriet E. Smith",9780520272781.0,776,4.25,226,University of California Press,October 5th 2013,"Autobiography of Mark Twain, Volume 2: The Complete and Authoritative Edition",Mark Twain,9780520272781.0,776.0,4.8,8.0,University of California Press,10/05/2013,1
The Autobiography of Harry S. Truman,"Harry S. Truman, Robert H. Ferrell",9780826214454.0,160,3.86,37,University of Missouri,September 3rd 2002,Autobiography of Harry S. Truman,Robert H. Ferrell,9780826214454.0,160.0,,,University of Missouri Press,09/28/2002,1
The Times of Our Lives: A Guide to Writing Autobiography and Memoir,Mary Jane Moffat,9780936784755.0,64,0.0,0,Daniel & Daniel Publishers,March 1st 1989,The Times of Our Lives: A Guide to Writing Autobiography and Memoir,Mary Jane Moffat,9780936784755.0,64.0,,,"Daniel, John &amp; Company, Publishers",04/01/1989,1
An Autobiography of Davy Crockett,Stephen Brennan,9781628731767.0,270,3.0,1,Skyhorse Publishing,May 27th 2014,An Autobiography of Davy Crockett,Stephen Brennan,9781628731767.0,320.0,3.2,4.0,Skyhorse Publishing,10/10/2011,1
Keeping Quiet The Autobiography,Paul Nixon,9780752476469.0,240,4.0,11,The History Press,July 2nd 2012,Keeping Quiet: Paul Nixon: The Autobiography,"Paul Nixon, Jon Colman",9780752476469.0,240.0,,,The History Press,07/01/2012,1
Autobiography and National Identity in the Americas Autobiography and National Identity in the Americas,Steven Hunsaker,9780813918457.0,148,4.0,1,University of Virginia Press,March 22nd 1999,Autobiography and National Identity in the Americas,Steven V. Hunsaker,9780813918457.0,148.0,,,University of Virginia Press,04/28/1999,1
The Autobiography of St. Ignatius,John Francis O'Conor,,67,3.62,8,Pyrrhus Press,August 28th 2014,The Autobiography of St. Ignatius,Saint Ignatius Loyola,9781505726435.0,66.0,,,CreateSpace Publishing,12/25/2014,1
The Doctor's House: An Autobiography,James Liddy,9781903392393.0,144,4.0,2,Salmon Publishing,March 1st 2005,The Doctor's House: An Autobiography,James Liddy,9781903392393.0,144.0,,,Salmon Publishing,06/04/2005,1
A Woman of Genius: The Intellectual Autobiography of Sor Juana Inés de la Cruz,"Juana Inés de la Cruz, Margaret Sayers Peden, Gabriel N. Seymour",9780915998159.0,104,4.25,28,Lime Rock Press,March 1st 1982,Woman of Genius: The Intellectual Autobiography of Sor Juana Ines de la Cruz,"Margaret Sayers Peden, Sor Juana nes de la Cruz",9780915998159.0,104.0,,,"Lime Rock Press, Incorporated",03/28/1982,1
The Proper Charlie: My Autobiography,"Charlie Miller, Scott McDermott, Alice McDermott",,208,3.5,2,Black & White Publishing,November 17th 2014,The Proper Charlie: My Autobiography,"Charlie Miller, Scott McDermott",9781845028909.0,256.0,,,Black &amp; White Publishing,11/17/2014,1
"God, Country, Notre Dame: The Autobiography of Theodore M. Hesburgh",Theodore M. Hesburgh,9780268010386.0,311,4.22,120,University of Notre Dame Press,January 15th 2000,"God, Country, Notre Dame: The Autobiography of Theodore M. Hesburgh","Theodore M. Hesburgh, Jerry Reedy",9780268010386.0,311.0,,,University of Notre Dame Press,01/28/2000,1
"Mountain Wolf Woman, Sister of Crashing Thunder: The Autobiography of a Winnebago Indian",Nancy Oestreich Lurie,9780472061099.0,176,3.44,41,UNIVERSITY OF MICHIGAN REGIONAL,June 1st 1961,"Mountain Wolf Woman, Sister of Crashing Thunder: The Autobiography of a Winnebago Indian / Edition 1","Nancy Oestreich Lurie, Mountain",9780472061099.0,176.0,,,University of Michigan Press,06/01/1961,1
Reggie White in the Trenches: The Autobiography,"Reggie White, Jim Denney",9780785271239.0,324,4.03,73,Thomas Nelson Publishers,August 1st 2004,In the Trenches: The Autobiography,Reggie White,9780785271239.0,324.0,,,"Nelson, Thomas, Inc.",08/28/1997,1
Gerrard: My Autobiography,Steven Gerrard,9780553817331.0,512,4.07,1344,Transworld Publishers,September 28th 2007,Gerrard: My Autobiography,Steven Gerrard,9780553817331.0,352.0,4.7,4.0,Transworld Publishers Limited,09/28/2007,1
INXS: Story to Story: The Official Autobiography,"INXS, Anthony Bozza",,304,4.5,4,Atria Books,May 11th 2010,INXS: Story to Story: The Official Autobiography,INXS Publications,9780743290029.0,320.0,5.0,1.0,Atria Books,05/11/2010,1
Icebreaker the Autobiography of Rudy Galindo,"Rudy Galindo, Eric Marcus",9780671003906.0,272,4.1,29,Atria,April 1st 1997,Icebreaker: The Autobiography of Rudy Galindo,Rudy Galindo,9780671003906.0,255.0,,,Atria Books,04/28/1997,1
The Autobiography of Christopher Kirkland,"Eliza Lynn Linton, Deborah T. Meem, Kate Holterhoff",9781906469221.0,386,3.0,8,Victorian Secrets,September 1st 2011,The Autobiography Of Christopher Kirkland,Eliza Lynn Linton,9781906469221.0,398.0,,,Victorian Secrets,09/30/2011,1
Science as Autobiography: The Troubled Life of Niels Jern,"Thomas Söderquist, Niels Kaj Jerne, David Paul",9780300094411.0,400,4.0,2,Yale University Press,March 11th 2003,Science as Autobiography: The Troubled Life of Niels Jerne,"Thomas Söderqvist, David Mel Paul, Niels Kaj Jerne",9780300094411.0,400.0,,,Yale University Press,03/10/2003,1
Voices Made Flesh: Performing Women'S Autobiography,"Lynn C. Miller, Jacqueline Taylor",9780299184247.0,344,4.2,5,University of Wisconsin Press,September 10th 2003,Voices Made Flesh : Performing Women's Autobiography / Edition 1,Lynn C. Miller,9780299184247.0,344.0,,,University of Wisconsin Press,10/28/2003,1
Edith Piaf: The Wheel of Fortune: The Official Autobiography,"Édith Piaf, Jean Cocteau, Peter Trewartha",9780720612288.0,200,3.53,74,Peter Owen Publishers,January 1st 2002,The Wheel of Fortune: The Official Autobiography,Edith Piaf,9780720612288.0,192.0,5.0,1.0,"Owen, Peter Limited",02/09/2005,1
Autobiography and Selected Essays,Thomas Henry Huxley,,138,4.0,5,Houghton Mifflin,1909,Autobiography and Selected Essays,"Huxley, Thomas Henry",2940012717672.0,,,,Quality Classics,11/30/2010,1
This Is Me: The Autobiography,Ian Thorpe,,336,3.58,146,Simon & Schuster UK,October 24th 2012,This Is Me: The Autobiography,Ian Thorpe,9780731815739.0,336.0,,,Simon &amp; Schuster Australia,10/24/2012,1
The Life of Teresa of Jesus: The Autobiography of Teresa of Avila,E. Allison Peers,9780385011099.0,464,4.32,19,Image,October 15th 1991,Life Of Teresa Of Jesus: The Autobiography Of Teresa Of Avila,"E. Allison Peers, Teresa of Avila",9780385011099.0,464.0,,,Crown Religion/Business/Forum,10/28/1991,1
"The Literature of Ancient Egypt: An Anthology of Stories, Instructions, Stelae, Autobiographies, and Poetry","William Kelly Simpson, Vincent A. Tobin, Robert K. Ritner",9780300099201.0,624,3.96,71,Yale University Press,October 11th 2003,"The Literature of Ancient Egypt: An Anthology of Stories, Instructions, Stelae, Autobiographies, and Poetry / Edition 3",William Kelley Simpson,9780300099201.0,624.0,,,Yale University Press,06/20/2003,1
An Autobiography of Black Chicago,Dempsey J. Travis,,400,3.71,7,Agate Bolden,November 19th 2013,An Autobiography of Black Chicago,Dempsey Travis,9781932841671.0,400.0,4.0,1.0,Agate,02/11/2014,1
"To Tell a Free Story: The First Century of Afro-American Autobiography, 1760-1865",William L. Andrews,9780252060335.0,368,3.8,15,University of Illinois Press,May 1st 1988,"To Tell a Free Story: The First Century of Afro-American Autobiography, 1760-1865 / Edition 1",William L. Andrews,9780252060335.0,368.0,,,University of Illinois Press,05/28/1988,1
"Holding the Lotus to the Rock: The Autobiography of Sokei-an, America's First Zen Master",Michael Hotz,9781568582481.0,272,3.67,3,Da Capo Press,April 13th 2003,"Holding the Lotus to the Rock: The Autobiography of Sokei-an, America's First Zen Master","Michael Hotz, Shigetsu Sasaki",9781568582481.0,265.0,,,Da Capo Press,12/15/2002,1
Caribbean Autobiography: Cultural Identity and Self-representation (Wisconsin Studies in Autobiography),Sandra Pouchet Paquet,9780299176945.0,368,3.0,1,University of Wisconsin Press,June 7th 2002,Caribbean Autobiography: Cultural Identity and Self-Representation,Sandra Pouchet Paquet,9780299176945.0,368.0,,,University of Wisconsin Press,06/07/2002,1
Grace like a River: An Autobiography,"Christopher Parkening, Kathy Tyers",9781414300467.0,304,3.68,44,Tyndale House Publisher,May 22nd 2006,Grace Like a River: An Autobiography,"Christopher Parkening, Kathy Tyers",9781414300467.0,304.0,,,Tyndale House Publishers,05/28/2006,1
Interpreting the Self: Two Hundred Years of American Autobiography,Diane Bjorklund,9780226054476.0,278,2.6,5,University Of Chicago Press,January 1st 1999,Interpreting the Self: Two Hundred Years of American Autobiography,Diane Bjorklund,9780226054476.0,278.0,,,University of Chicago Press,01/28/1999,1
My Journey to Betterment: An Autobiography,George MacOn Shuffer,9780533126545.0,190,3.0,2,Vantage Press,January 1st 1999,My Journey to Betterment: An Autobiography,George Macon Shuffer,9780533126545.0,190.0,,,"Vantage Press, Inc.",04/01/1999,1
"Sounds of Silence Breaking: Women, Autobiography, Curriculum",Janet L. Miller,9780820461571.0,287,4.17,6,Peter Lang Gmb,February 24th 2005,"Sounds of Silence Breaking: Women, Autobiography, Curriculum (Complicated Conversation Series, Volume 1)",Janet L. Miller,9780820461571.0,287.0,,,"Lang, Peter Publishing, Incorporated",02/02/2005,1
"Sounds of Silence Breaking: Women, Autobiography, Curriculum",Janet L. Miller,9780820461571.0,287,4.17,6,Peter Lang Gmb,February 24th 2005,"Sounds of Silence Breaking: Women, Autobiography, Curriculum (Complicated Conversation Series, Volume 1)",Janet L. Miller,9780820461571.0,287.0,,,"Lang, Peter Publishing, Incorporated",02/02/2005,1
The Autobiography of Calvin Coolidge,Calvin Coolidge,9781410216229.0,272,3.78,99,University Press of the Pacific,September 13th 2004,"Autobiography Of Calvin Coolidge, The",Calvin Coolidge,9781410216229.0,272.0,,,Press Holdings International,09/13/2004,1
The Autobiography of Andrew Carnegie,Andrew Carnegie,,0,3.8,368,Halcyon Press Ltd.,October 18th 2010,The Autobiography of Andrew Carnegie,Andrew Carnegie,2940012693211.0,,3.0,25.0,Halcyon Press Ltd.,10/18/2010,1
Like a Waking Dream: The Autobiography of Geshe Lhundub Sopa,"Lhundub Sopa, Paul Donnelly",9780861713134.0,368,4.67,6,Wisdom Publications,November 20th 2012,Like a Waking Dream: The Autobiography of Geshe Lhundub Sopa,Lhundub Sopa,9780861713134.0,368.0,5.0,1.0,Wisdom Publications MA,11/20/2012,1
Ely: An Autobiography,"Ely Green, Bertram Wyatt-Brown, A.B. Chitty",9780820323978.0,280,4.13,15,University of Georgia Press,January 5th 2004,Ely: An Autobiography,University of Georgia Press,9780820323978.0,284.0,,,University of Georgia Press,01/28/2004,1
Autobiography of St. Teresa of Avila,Teresa of Ávila,9780486475981.0,352,4.11,964,Dover Publications,July 21st 2010,Autobiography of St. Teresa of Avila,St. Teresa of Avila,9780486475981.0,352.0,,,Dover Publications,07/21/2010,1
