Title_A,Author_A,Price_A,ISBN13_A,Publisher_A,Publication_Date_A,Pages_A,Dimensions_A,Title_B,Author_B,Price_B,ISBN13_B,Publisher_B,Publication_Date_B,Pages_B,Dimensions_B,Gold
Guys Write for Guys Read: Boys' Favorite Authors Write about Being Boys,Jon Scieszka,$10.54 ,9780670011445,Penguin Young Readers Group,4/10/08,272.0,9.00(w) x 12.40(h) x 6.06(d),Guys Write for Guys Read,Jon Scieszka,$10.43,9780670011445,Viking Children's Books,"Apr. 10th, 2008",272,6.06 x 8.88 x 0.76 inches,1
Tenth Grade Bleeds (The Chronicles of Vladimir Tod Series #3),Heather Brewer,$8.99 ,9780142415603,Penguin Young Readers Group,1/12/10,304.0,5.54(w) x 8.32(h) x 0.85(d),Tenth Grade Bleeds(Chronicles of Vladimir Tod (Quality)),Heather Brewer,$9.37,9780142415603,Speak,"Jan. 12th, 2010",292,5.40 x 8.10 x 1.00 inches,1
Ghosts of War: The True Story of a 19-Year-Old GI,Ryan Smithson,$8.93 ,9780061664717,HarperCollins Publishers,5/4/10,321.0,5.20(w) x 7.90(h) x 1.00(d),Ghosts of War,Ryan Smithson,$10.60,9780061664717,Collins,"May. 4th, 2010",321,6.34 x 8.02 x 0.85 inches,1
Life As We Knew It (Life As We Knew It Series #1),Susan Beth Pfeffer,$8.99 ,9780152061548,Houghton Mifflin Harcourt,5/1/08,347.0,5.00(w) x 6.90(h) x 1.00(d),Life as We Knew It,Susan Beth Pfeffer,$10.01,9780152061548,Graphia Books,"May. 1st, 2008",360,5.06 x 7.05 x 0.90 inches,1
Artemis Fowl; The Eternity Code,Eoin Colfer,$8.99 ,9781423124535,Disney-Hyperion,7/14/09,336.0,4.80(w) x 7.64(h) x 0.92(d),The Eternity Code(Artemis Fowl (Quality)),Eoin Colfer,$9.98,9781423124535,Hyperion Books,"Jul. 1st, 2009",309,5.10 x 7.50 x 1.00 inches,1
Dust & Decay (Rot & Ruin Series #2),Jonathan Maberry,$9.61 ,9781442402362,Simon & Schuster Books For Young Readers,9/11/12,519.0,5.50(w) x 8.20(h) x 1.40(d),Dust & Decay(Rot & Ruin),Jonathan Maberry,$9.90,9781442402362,Simon & Schuster Books for Young Readers,"Sep. 11th, 2012",544,,1
Everwild (Skinjacker Trilogy Series #2),Neal Shusterman,$9.99 ,9781416958642,Simon & Schuster Books For Young Readers,11/2/10,448.0,5.50(w) x 8.20(h) x 1.40(d),Everwild(Skinjacker Trilogy),Neal Shusterman,$10.88,9781416958642,Simon & Schuster Children's Publishing,"Nov. 2nd, 2010",424,5.40 x 8.10 x 1.30 inches,1
Pathfinder (Pathfinder Series #1),Orson Scott Card,$10.79 ,9781416991793,Simon Pulse,10/4/11,672.0,5.40(w) x 8.20(h) x 1.70(d),Pathfinder(Pathfinder (Trilogy) (Paperback)),Orson Scott Card,$13.05,9781416991793,Simon Pulse,"Oct. 4th, 2011",672,5.40 x 8.20 x 1.70 inches,1
Homeboyz,Alan Lawrence Sitomer,$7.53 ,9781423100317,Disney-Hyperion,9/2/08,304.0,5.40(w) x 8.10(h) x 0.70(d),Homeboyz,Alan Lawrence Sitomer,$10.16,9781423100317,Jump at the Sun,"Sep. 2nd, 2008",283,5.52 x 8.24 x 0.65 inches,1
Romiette and Julio,Sharon M. Draper,$7.99 ,9780689842092,Simon Pulse,5/1/01,336.0,6.98(w) x 10.92(h) x 0.94(d),Romiette and Julio,Sharon M. Draper,$8.71,9780689842092,Simon Pulse,"May. 1st, 2001",336,4.22 x 7.06 x 0.93 inches,1
Where She Went (If I Stay Series #2),Gayle Forman,$6.70 ,9780142420898,Penguin Young Readers Group,4/17/12,304.0,5.40(w) x 8.20(h) x 1.00(d),Where She Went,Gayle Forman,$9.75,9780142420898,Speak,"Apr. 17th, 2012",264,5.51 x 8.25 x 0.78 inches,1
Enclave (Enclave Series #1),Ann Aguirre,$9.99 ,9780312551377,Square Fish,8/7/12,288.0,5.60(w) x 8.12(h) x 0.78(d),Enclave,Ann Aguirre,$11.29,9780312551377,Square Fish,"Aug. 7th, 2012",288,5.50 x 8.20 x 0.90 inches,1
The Dead and the Gone (Life As We Knew It #2),Susan Beth Pfeffer,$7.99 ,9780547258553,Houghton Mifflin Harcourt,1/18/10,321.0,5.00(w) x 6.90(h) x 0.90(d),The Dead and the Gone,Susan Beth Pfeffer,$9.27,9780547258553,Graphia Books,"Jan. 1st, 2010",321,6.82 x 7.12 x 0.85 inches,1
Timescape (Dreamhouse Kings Series #4),Robert Liparulo,$8.45 ,9781595548931,"Nelson, Thomas, Inc.",11/30/10,308.0,5.40(w) x 8.40(h) x 1.00(d),Timescape(Dreamhouse Kings (Paperback)),Robert Liparulo,$10.71,9781595548931,Thomas Nelson s,"Nov. 30th, 2010",308,5.50 x 8.30 x 0.80 inches,1
Melting Stones (Circle Reforged Series #2),Tamora Pierce,$8.99 ,9780545052658,"Scholastic, Inc.",8/1/10,320.0,5.26(w) x 8.02(h) x 0.61(d),Melting Stones,Tamora Pierce,$8.78,9780545052658,Scholastic Inc.,"Aug. 1st, 2010",312,5.28 x 8.00 x 0.65 inches,1
Copper Sun,Sharon M. Draper,$9.14 ,9781416953487,Atheneum Books for Young Readers,1/1/08,336.0,5.50(w) x 8.25(h) x 0.80(d),Copper Sun,Sharon M. Draper,$11.32,9781416953487,Simon Pulse,"Jan. 1st, 2008",314,5.64 x 8.27 x 0.91 inches,1
The Warrior Heir (The Heir Series #1),Cinda Williams Chima,$9.99 ,9780786839179,Disney-Hyperion,2/27/07,448.0,8.26(w) x 5.70(h) x 0.91(d),The Warrior Heir,Cinda Williams Chima,$11.01,9780786839179,Hyperion Books for Children,"Feb. 27th, 2007",426,6.34 x 8.26 x 0.94 inches,1
"How They Met, and Other Stories",David Levithan,$8.63 ,9780375843235,Random House Children's Books,12/22/09,256.0,5.20(w) x 7.90(h) x 0.60(d),"How They Met, and Other Stories(Borzoi Books)",David Levithan,$9.97,9780375843235,Alfred A. Knopf Books for Young Readers,"Dec. 22nd, 2009",244,5.26 x 7.96 x 0.55 inches,1
Darkest Mercy (Wicked Lovely Series #5),Melissa Marr,$9.99 ,9780061659270,HarperCollins Publishers,2/21/12,336.0,5.30(w) x 7.90(h) x 1.00(d),Darkest Mercy(Wicked Lovely (Paper)),Melissa Marr,$11.29,9780061659270,HarperCollins,"Feb. 21st, 2012",327,5.42 x 7.96 x 0.82 inches,1
Maximum Security: Mission 3 (Cherub Series),Robert Muchamore,$9.99 ,9781442413627,Simon Pulse,4/24/12,320.0,5.58(w) x 8.06(h) x 0.82(d),Maximum Security(Cherub),Robert Muchamore,$6.90,9781442413627,Simon Pulse,"Apr. 24th, 2012",302,5.40 x 8.20 x 1.00 inches,1
Soldier X,Don L. Wulffson,$6.99 ,9780142500736,Penguin Young Readers Group,7/14/03,240.0,4.25(w) x 6.75(h) x 0.60(d),Soldier X,Don L. Wulffson,$8.57,9780142500736,Speak,"Jul. 14th, 2003",227,4.30 x 6.74 x 0.59 inches,1
The Tough Guide to Fantasyland: The Essential Guide to Fantasy Travel,Diana Wynne Jones,$7.23 ,9780142407226,Penguin Young Readers Group,10/5/06,256.0,5.50(w) x 8.25(h) x 0.55(d),The Tough Guide to Fantasyland,Diana Wynne Jones,$9.89,9780142407226,Puffin Books,"Oct. 5th, 2006",234,5.62 x 8.20 x 0.66 inches,1
"The Morganville Vampires, Volume 1",Rachel Caine,$9.99 ,9780451230546,Penguin Publishing Group,11/3/09,480.0,5.40(w) x 8.10(h) x 1.10(d),"The Morganville Vampires, Volume 1(Morganville Vampires)",Rachel Caine,$10.99,9780451230546,New American Library,"Nov. 3rd, 2009",480,5.48 x 8.22 x 1.00 inches,1
145th Street: Short Stories,Walter Dean Myers,$9.99 ,9780307976109,Random House Children's Books,2/14/12,160.0,5.40(w) x 8.20(h) x 0.60(d),145th Street,Walter Dean Myers,$11.27,9780307976109,Ember,"Feb. 14th, 2012",151,5.53 x 8.21 x 0.38 inches,1
I Will Plant You a Lilac Tree: A Memoir of a Schindler's List Survivor,Laura Hillman,$5.95 ,9781416953661,Simon Pulse,2/19/08,288.0,4.20(w) x 7.00(h) x 0.80(d),I Will Plant You a Lilac Tree,Laura Hillman,$8.69,9781416953661,Simon Pulse,"Feb. 1st, 2008",269,4.22 x 7.08 x 0.79 inches,1
Keeper,Mal Peet,$6.99 ,9780763632861,Candlewick Press,2/13/07,240.0,5.23(w) x 7.60(h) x 0.69(d),Keeper,Mal Peet,$8.47,9780763632861,Candlewick Press (MA),"Feb. 13th, 2007",225,5.10 x 7.64 x 0.71 inches,1
A Ring of Endless Light (Austin Family Series #4),Madeleine L'Engle,$8.99 ,9780312379353,Square Fish,9/2/08,352.0,5.10(w) x 7.50(h) x 1.10(d),A Ring of Endless Light(Austin Family),Madeleine L'Engle,$9.92,9780312379353,Square Fish,"Sep. 2nd, 2008",340,6.36 x 7.64 x 0.91 inches,1
Sarny: A Life Remembered,Gary Paulsen,$6.99 ,9780440219736,Random House Children's Books,8/28/99,192.0,4.26(w) x 6.88(h) x 0.51(d),Sarny,Gary Paulsen,$8.08,9780440219736,Laurel Leaf Library,"Aug. 10th, 1999",192,4.33 x 6.84 x 0.54 inches,1
Red Glove (Curse Workers Series #2),Holly Black,$9.91 ,9781442403406,Margaret K. McElderry Books,4/3/12,352.0,5.40(w) x 8.20(h) x 1.20(d),"Red Glove(Curse Workers, the Curse Workers)",Holly Black,$7.30,9781442403406,Margaret K. McElderry Books,"Apr. 3rd, 2012",325,5.54 x 8.23 x 0.94 inches,1
The Subtle Knife (His Dark Materials Series #2),Philip Pullman,$7.99 ,9780440418337,Random House Children's Books,5/22/01,352.0,7.64(w) x 5.14(h) x 0.84(d),The Subtle Knife(His Dark Materials (Paperback)),Philip Pullman,$9.23,9780440418337,Yearling Books,"May. 22nd, 2001",352,5.24 x 7.63 x 0.90 inches,1
What Do You Stand For? For Teens: A Guide to Building Character,Barbara A. Lewis,$15.57 ,9781575420295,"Free Spirit Publishing, Inc.",11/15/05,288.0,8.52(w) x 10.98(h) x 0.75(d),What Do You Stand For?: For Teens,Barbara A. Lewis,,9781575420295,Free Spirit Publishing,"Nov. 15th, 2005",276,8.52 x 10.98 x 0.75 inches,1
Kiss My Math: Showing Pre-Algebra Who's Boss,Danica McKellar,$11.48 ,9780452295407,Penguin Publishing Group,6/30/09,352.0,5.90(w) x 8.90(h) x 0.90(d),Kiss My Math,Danica McKellar,$14.78,9780452295407,Plume Books,"Jun. 1st, 2009",331,6.04 x 9.01 x 0.76 inches,1
Hunters of the Dusk (Cirque Du Freak Series #7),Darren Shan,$7.56 ,9780316602112,"Little, Brown Books for Young Readers",5/11/05,224.0,5.12(w) x 7.62(h) x 0.75(d),Hunters of the Dusk(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$10.61,9780316602112,"Little, Brown Books for Young Readers","May. 11th, 2005",224,5.50 x 8.22 x 0.67 inches,1
The Lake of Souls (Cirque Du Freak Series #10),Darren Shan,$7.64 ,9780316016650,"Little, Brown Books for Young Readers",9/6/06,272.0,5.32(w) x 8.25(h) x 0.75(d),The Lake of Souls(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$10.59,9780316016650,"Little, Brown Books for Young Readers","Sep. 1st, 2006",263,5.49 x 8.21 x 0.80 inches,1
With Every Drop of Blood,Christopher Collier,$6.99 ,9780440219835,Random House Children's Books,12/28/96,256.0,4.19(w) x 6.88(h) x 0.69(d),With Every Drop of Blood,James Lincoln Collier,$8.44,9780440219835,Laurel Leaf Library,"Dec. 1st, 1996",256,4.10 x 6.80 x 0.80 inches,1
Antes de ser libres (Before We Were Free),Julia Alvarez,$6.99 ,9780375815454,Random House Children's Books,4/20/04,192.0,4.79(w) x 6.91(h) x 0.56(d),Antes de Ser Libres,Julia Alvarez,$8.43,9780375815454,Laurel Leaf Library,"Apr. 13th, 2004",192,4.27 x 6.91 x 0.53 inches,1
The Cage,Ruth Minsky Sender,$7.99 ,9780689813214,Simon Pulse,8/1/97,256.0,4.20(w) x 6.90(h) x 0.90(d),The Cage,Ruth Minsky Sender,$8.69,9780689813214,Simon Pulse,"Aug. 1st, 1997",256,4.17 x 7.06 x 0.67 inches,1
The Final Warning (Maximum Ride Series #4),James Patterson,$9.00 ,9780316002875,"Little, Brown Books for Young Readers",9/1/08,304.0,5.10(w) x 7.50(h) x 1.00(d),The Final Warning(Maximum Ride (Quality)),James Patterson,$10.71,9780316002875,"Little, Brown Young Readers","Sep. 1st, 2008",256,5.28 x 7.56 x 0.81 inches,1
The Girl of Fire and Thorns (Girl of Fire and Thorns Series #1),Rae Carson,$9.99 ,9780062026507,HarperCollins Publishers,8/21/12,448.0,5.40(w) x 7.80(h) x 1.08(d),The Girl of Fire and Thorns(Girl of Fire and Thorns (Quality - Trilogy)),Rae Carson,$10.86,9780062026507,Greenwillow Books,"Aug. 21st, 2012",448,5.42 x 8.00 x 1.02 inches,1
Lord of the Shadows (Cirque Du Freak Series #11),Darren Shan,$7.66 ,9780316016612,"Little, Brown Books for Young Readers",4/1/07,256.0,5.50(w) x 8.25(h) x 0.75(d),Lord of the Shadows(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$10.69,9780316016612,"Little, Brown Books for Young Readers","May. 1st, 2007",220,5.49 x 8.26 x 0.71 inches,1
November Blues (Jericho Trilogy #2),Sharon M. Draper,$7.99 ,9781416906995,Simon Pulse,5/19/09,400.0,4.20(w) x 6.90(h) x 1.20(d),November Blues,Sharon M. Draper,$8.72,9781416906995,Simon Pulse,"May. 19th, 2009",383,4.18 x 7.12 x 1.08 inches,1
The Battle of Jericho (Jericho Trilogy #1),Sharon M. Draper,$7.99 ,9780689842337,Simon Pulse,12/28/04,352.0,4.30(w) x 6.90(h) x 1.00(d),The Battle of Jericho,Sharon M. Draper,$8.75,9780689842337,Simon Pulse,"Dec. 28th, 2004",352,4.25 x 7.06 x 1.03 inches,1
Trials of Death (Cirque Du Freak Series #5),Darren Shan,$8.99 ,9780316603959,"Little, Brown Books for Young Readers",4/1/04,224.0,5.30(w) x 8.28(h) x 0.64(d),Trials of Death(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$9.97,9780316603959,"Little, Brown Books for Young Readers","Apr. 1st, 2004",207,5.50 x 8.20 x 0.60 inches,1
Tunnels of Blood (Cirque Du Freak Series #3),Darren Shan,$8.63 ,9780316606080,"Little, Brown Books for Young Readers",4/1/03,240.0,5.25(w) x 7.75(h) x 0.75(d),Tunnels of Blood(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$10.58,9780316606080,"Little, Brown Young Readers","Apr. 1st, 2003",240,5.51 x 8.24 x 0.71 inches,1
Z for Zachariah,Robert C. O'Brien,$6.96 ,9781416939214,Simon Pulse,7/10/07,240.0,5.10(w) x 7.90(h) x 0.68(d),Z for Zachariah,Robert C. O'Brien,$11.27,9781416939214,Simon Pulse,"Jul. 10th, 2007",249,5.00 x 7.00 x 0.70 inches,1
The Crossing,Gary Paulsen,$6.99 ,9780439786614,"Scholastic, Inc.",12/12/05,128.0,4.30(w) x 7.00(h) x 0.60(d),The Crossing(Point (Scholastic Inc.)),Gary Paulsen,$8.23,9780439786614,Scholastic Paperbacks,"Jan. 1st, 2006",114,4.30 x 6.74 x 0.36 inches,1
Everneath (Everneath Series #1),Brodi Ashton,$9.99 ,9780062071149,HarperCollins Publishers,12/26/12,370.0,5.42(w) x 7.86(h) x 1.00(d),Everneath,Brodi Ashton,$7.40,9780062071149,Balzer & Bray/Harperteen,"Dec. 26th, 2012",400,,1
The Dead-Tossed Waves (Forest of Hands and Teeth Series #2),Carrie Ryan,$9.99 ,9780385736855,Random House Children's Books,2/8/11,432.0,5.53(w) x 8.36(h) x 0.94(d),The Dead-Tossed Waves(Forest of Hands and Teeth),Carrie Ryan,$9.92,9780385736855,Delacorte Press Books for Young Readers,"Feb. 8th, 2011",407,5.50 x 8.10 x 0.90 inches,1
The Stress Reduction Workbook for Teens: Mindfulness Skills to Help You Deal with Stress,Gina M. Biegel,$11.62 ,9781572246973,New Harbinger Publications,1/2/10,128.0,7.80(w) x 9.90(h) x 0.40(d),The Stress Reduction Workbook for Teens(Instant Help Solutions),Gina M. Biegel,$14.75,9781572246973,New Harbinger Publications,"Jan. 1st, 2010",118,8.08 x 10.00 x 0.28 inches,1
Wild Magic (The Immortals Series #1),Tamora Pierce,$18.00 ,9781416903437,Simon Pulse,5/28/05,384.0,4.19(w) x 7.00(h) x 1.00(d),Wild Magic(Immortals (Paperback)),Tamora Pierce,$12.27,9781416903437,Simon Pulse,"May. 31st, 2005",362,4.12 x 7.08 x 1.01 inches,1
Rules of the Road,Joan Bauer,$7.99 ,9780142404256,Penguin Young Readers Group,6/2/05,208.0,5.50(w) x 8.25(h) x 0.56(d),Rules of the Road,Joan Bauer,$8.61,9780142404256,Speak,"May. 1st, 2005",208,5.44 x 8.18 x 0.56 inches,1
The Short Second Life of Bree Tanner: An Eclipse Novella,Stephenie Meyer,$8.99 ,9780316228527,"Little, Brown Books for Young Readers",9/25/12,224.0,5.50(w) x 8.25(h) x 0.75(d),The Short Second Life of Bree Tanner(Twilight Saga (Paperback)),Stephenie Meyer,$9.90,9780316228527,"Little, Brown Books for Young Readers","Sep. 25th, 2012",224,,1
The Red Necklace,Sally Gardner,$8.99 ,9780142414880,Penguin Young Readers Group,9/17/09,400.0,8.10(w) x 5.54(h) x 1.06(d),The Red Necklace,Sally Gardner,$9.55,9780142414880,Speak,"Sep. 17th, 2009",378,5.40 x 8.10 x 1.10 inches,1
In the Hand of the Goddess (Song of the Lionness Series #2),Tamora Pierce,$7.99 ,9780689878565,Simon Pulse,1/28/05,288.0,4.10(w) x 7.22(h) x 0.77(d),In the Hand of the Goddess(Song of the Lioness (Paperback)),Tamora Pierce,$8.78,9780689878565,Simon Pulse,"Jan. 6th, 2005",264,4.20 x 7.14 x 0.77 inches,1
Briar Rose (The Fairy Tale Series),Jane Yolen,$6.99 ,9780765342300,Tom Doherty Associates,3/15/02,224.0,5.18(w) x 7.62(h) x 0.65(d),Briar Rose(Fairy Tales),Jane Yolen,$8.45,9780765342300,Tor Books,"Mar. 15th, 2002",224,5.10 x 7.60 x 1.00 inches,1
The Raging Fires (Merlin Saga Series #3),T. A. Barron,$7.99 ,9780142419212,Penguin Young Readers Group,5/12/11,288.0,5.13(w) x 7.75(h) x 0.75(d),The Raging Fires(Merlin (Puffin)),T. A. Barron,$9.17,9780142419212,Puffin Books,"May. 12th, 2011",261,6.62 x 7.78 x 0.85 inches,1
"The Teen's Guide to World Domination: Advice on Life, Liberty, and the Pursuit of Awesomeness",Josh Shipp,$13.36 ,9780312641542,St. Martin's Press,8/17/10,304.0,8.52(w) x 11.04(h) x 0.28(d),The Teen's Guide to World Domination,Josh Shipp,$14.84,9780312641542,St. Martin's Griffin,"Aug. 17th, 2010",285,6.26 x 8.22 x 0.78 inches,1
Lost in the River of Grass,Ginny Rorby,$9.95 ,9780761384984,Lerner Publishing Group,1/28/12,255.0,4.90(w) x 7.20(h) x 0.80(d),Lost in the River of Grass,Ginny Rorby,$11.27,9780761384984,Carolrhoda Books,"Jan. 1st, 2012",255,5.00 x 7.20 x 0.70 inches,1
Everfound (Skinjacker Trilogy Series #3),Neal Shusterman,$8.89 ,9781416990505,Simon & Schuster Books For Young Readers,5/1/12,528.0,5.54(w) x 8.06(h) x 1.42(d),Everfound(Skinjacker Trilogy),Neal Shusterman,$6.85,9781416990505,Simon & Schuster Books for Young Readers,"May. 1st, 2012",500,5.40 x 8.20 x 1.50 inches,1
Stop Pretending: What Happened when My Big Sister Went Crazy,Sonya Sones,$6.90 ,9780064462181,HarperCollins Publishers,4/28/06,160.0,5.00(w) x 7.12(h) x 0.36(d),Stop Pretending,Sonya Sones,$9.83,9780064462181,HarperTempest,"Jan. 23rd, 2001",160,4.46 x 7.66 x 0.38 inches,1
Impulse,Ellen Hopkins,$9.55 ,9781416903574,Margaret K. McElderry Books,5/20/08,688.0,4.90(w) x 7.00(h) x 1.80(d),Impulse,Ellen Hopkins,$12.29,9781416903574,Simon Pulse,"May. 20th, 2008",666,5.03 x 6.98 x 1.83 inches,1
New Boy,Julian Houston,$7.99 ,9780618884056,Houghton Mifflin Harcourt,1/14/08,288.0,5.25(w) x 8.00(h) x 0.77(d),New Boy,Julian Houston,$9.27,9780618884056,Graphia Books,"Jan. 14th, 2008",282,5.50 x 7.94 x 0.69 inches,1
Everlost (Skinjacker Trilogy Series #1),Neal Shusterman,$9.37 ,9781416997498,Simon & Schuster Books For Young Readers,11/10/09,336.0,5.40(w) x 8.20(h) x 1.00(d),Everlost(Skinjacker Trilogy),Neal Shusterman,$11.31,9781416997498,Simon & Schuster Children's Publishing,"Nov. 10th, 2009",313,5.50 x 8.30 x 0.90 inches,1
Nightjohn,Gary Paulsen,$6.99 ,9780440219361,Random House Children's Books,1/28/95,112.0,4.20(w) x 6.85(h) x 0.30(d),Nightjohn,Gary Paulsen,$8.42,9780440219361,Laurel Leaf Library,"Jan. 1st, 1995",112,4.20 x 6.94 x 0.32 inches,1
Off Course (A Circuit Series #3),Georgina Bloomberg,$7.77 ,9781599909097,Bloomsbury USA,11/13/12,256.0,5.68(w) x 8.04(h) x 0.71(d),Off Course(a Circuit),Catherine Hapka,$12.17,9781599909097,Bloomsbury U.S.A. Children's Books,"Nov. 13th, 2012",256,,1
Lies (Gone Series #3),Michael Grant,$9.99 ,9780061449116,HarperCollins Publishers,4/8/14,464.0,7.80(w) x 5.42(h) x 1.21(d),Lies(Gone (Paper)),Michael Grant,$10.87,9780061449116,Katherine Tegen Books,"Apr. 5th, 2011",447,5.44 x 7.99 x 1.20 inches,1
Zombies vs. Unicorns,Holly Black,$8.18 ,9781416989547,Margaret K. McElderry Books,4/3/12,415.0,5.58(w) x 8.02(h) x 1.16(d),Zombies vs. Unicorns,Holly Black,$12.08,9781416989547,Margaret K. McElderry Books,"Apr. 3rd, 2012",415,5.56 x 8.23 x 1.22 inches,1
"Don't Let Your Emotions Run Your Life for Teens: Dialectical Behavior Therapy Skills for Helping You Manage Mood Swings, Control Angry Outbursts, and Get Along with Others",Sheri Van Dijk,$11.88 ,9781572248830,New Harbinger Publications,3/1/11,160.0,7.90(w) x 9.90(h) x 0.50(d),Don't Let Your Emotions Run Your Life for Teens,Sheri Van Dijk,$15.41,9781572248830,Instant Help Books,"Mar. 1st, 2011",160,8.14 x 9.97 x 0.41 inches,1
Jellicoe Road,Melina Marchetta,$9.99 ,9780061431852,HarperCollins Publishers,3/9/10,419.0,5.20(w) x 7.90(h) x 1.10(d),Jellicoe Road,Melina Marchetta,$10.63,9780061431852,Harper Teen,"Mar. 9th, 2010",419,5.20 x 7.90 x 1.20 inches,1
Vampire Mountain (Cirque Du Freak Series #4),Darren Shan,$8.34 ,9780316605427,"Little, Brown Books for Young Readers",8/6/03,208.0,5.50(w) x 8.25(h) x 0.62(d),Vampire Mountain(Cirque Du Freak: Saga of Darren Shan (Paperback)),Darren Shan,$10.67,9780316605427,"Little, Brown Books for Young Readers","Sep. 1st, 2003",199,5.47 x 8.25 x 0.60 inches,1
The Shyness and Social Anxiety Workbook for Teens: CBT and ACT Skills to Help You Build Social Confidence,Jennifer Shannon,$11.88 ,9781608821877,New Harbinger Publications,6/1/12,136.0,7.80(w) x 9.90(h) x 0.40(d),The Shyness & Social Anxiety Workbook for Teens(Instant Help Book for Teens),Jennifer Shannon,$17.34,9781608821877,Instant Help Books,"Jun. 1st, 2012",124,8.00 x 10.20 x 0.20 inches,1
Artemis Fowl; The Atlantis Complex,Eoin Colfer,$8.99 ,9781423129721,Disney-Hyperion,5/8/12,384.0,5.20(w) x 7.50(h) x 1.00(d),The Atlantis Complex(Artemis Fowl (Quality)),Eoin Colfer,$9.90,9781423129721,Hyperion Books,"May. 8th, 2012",357,5.10 x 7.50 x 1.00 inches,1
Eldest (Inheritance Cycle Series #2),Christopher Paolini,$11.75 ,9780375840401,Random House Children's Books,3/13/07,704.0,7.92(w) x 5.26(h) x 1.51(d),Eldest(Inheritance Cycle (Paperback)),Christopher Paolini,$12.41,9780375840401,Alfred A. Knopf Books for Young Readers,"Mar. 13th, 2007",704,5.50 x 8.20 x 1.50 inches,1
City of Bones (The Mortal Instruments Series #1),Cassandra Clare,$8.89 ,9781416955078,Margaret K. McElderry Books,2/19/08,528.0,5.40(w) x 8.10(h) x 1.40(d),City of Bones(Mortal Instruments (Paperback)),Cassandra Clare,,9781416955078,Margaret K. McElderry Books,"Mar. 1st, 2008",485,5.49 x 8.28 x 1.35 inches,1
Dead Is the New Black (Dead Is Series #1),Marlene Perez,$7.99 ,9780152064082,Houghton Mifflin Harcourt,9/1/08,208.0,5.00(w) x 6.90(h) x 0.70(d),Dead Is the New Black(Dead Is (Paper)),Marlene Perez,$9.29,9780152064082,Harcourt Paperbacks,"Sep. 1st, 2008",190,5.22 x 6.76 x 0.50 inches,1
Pretty Little Liars (Pretty Little Liars Series #1),Sara Shepard,$9.99 ,9780060887322,HarperCollins Publishers,8/21/07,304.0,5.44(w) x 8.08(h) x 0.71(d),Pretty Little Liars(Pretty Little Liars (Quality)),Sara Shepard,$10.59,9780060887322,Harper Teen,"Aug. 21st, 2007",286,5.39 x 8.05 x 0.73 inches,1
Artemis Fowl 3-book boxed set (The Rise of the Criminal Mastermind),Eoin Colfer,$14.73 ,9781423136811,Disney-Hyperion,9/28/10,944.0,6.94(w) x 11.28(h) x 2.54(d),Artemis Fowl 3-Book Boxed Set (the Rise of the Criminal MasterMind),Eoin Colfer,$18.27,9781423136811,Hyperion Books,"Sep. 28th, 2010",944,5.55 x 7.56 x 2.51 inches,1
What's Going on down There?: Answers to Questions Boys Find Hard to Ask,Karen Gravelle,$9.27 ,9780802775405,Walker & Company,10/1/98,160.0,5.47(w) x 7.22(h) x 0.55(d),What's Going on Down There?,Karen Gravelle,$10.69,9780802775405,Walker & Company,"Oct. 1st, 1998",150,5.64 x 7.18 x 0.47 inches,1
"Out of Sight, Out of Time (Gallagher Girls Series #5)",Ally Carter,$9.99 ,9781423148043,Disney-Hyperion,1/8/13,320.0,5.40(w) x 8.20(h) x 0.70(d),"Out of Sight, Out of Time",Ally Carter,$10.46,9781423148043,Hyperion Books,"Jan. 8th, 2013",304,,1
The Cardturner,Louis Sachar,$9.99 ,9780385736633,Random House Children's Books,10/11/11,352.0,8.22(w) x 5.54(h) x 0.76(d),The Cardturner,Louis Sachar,$9.17,9780385736633,Ember,"Oct. 11th, 2011",352,5.59 x 8.16 x 0.73 inches,1
Lockdown: Escape from Furnace 1,Alexander Gordon Smith,$9.69 ,9780312611934,Square Fish,8/3/10,304.0,8.44(w) x 11.08(h) x 0.83(d),Lockdown(Escape from Tenopia),Alexander Gordon Smith,$11.31,9780312611934,Square Fish,"Aug. 3rd, 2010",290,5.50 x 8.25 x 1.00 inches,1
Point Blank (Alex Rider Series #2),Anthony Horowitz,$8.99 ,9780142406120,Penguin Young Readers Group,2/16/06,320.0,5.10(w) x 7.70(h) x 1.30(d),Point Blank(Alex Rider Adventures (Paperback)),Anthony Horowitz,$9.91,9780142406120,Puffin Books,"Feb. 16th, 2006",274,5.92 x 7.72 x 0.95 inches,1
Looking for Alaska,John Green,$9.99 ,9780142402511,Penguin Young Readers Group,12/28/06,256.0,5.45(w) x 8.20(h) x 0.65(d),Looking for Alaska,John Green,$9.99,9780142402511,Speak,"Jan. 1st, 2007",221,5.62 x 8.20 x 0.73 inches,1
