Tag_A,Title_A,Authors_A,Month_A,Year_A,JournalRef_A,Tag_B,Title_B,Authors_B,Month_B,Year_B,JournalRef_B,Gold
Bozek_2018_CVPR,Towards Dense Object Tracking in a 2D Honeybee Hive,"Bozek, Katarzyna and Hebert, Laetitia and Mikheyev, Alexander S. and Stephens, Greg J.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4185-4193",arXiv:1712.08324,Towards dense object tracking in a 2D honeybee hive,"Katarzyna Bozek, Laetitia Hebert, Alexander S Mikheyev, Greg J Stephens",December,2017,,1
Sung_2018_CVPR,Learning to Compare: Relation Network for Few-Shot Learning,"Sung, Flood and Yang, Yongxin and Zhang, Li and Xiang, Tao and Torr, Philip H.S. and Hospedales, Timothy M.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1199-1208",arXiv:1711.06025,Learning to Compare: Relation Network for Few-Shot Learning,"Flood Sung, Yongxin Yang, Li Zhang, Tao Xiang, Philip H. S. Torr, Timothy M. Hospedales",March,2018,,1
Yuan_2018_CVPR,Depth-Based 3D Hand Pose Estimation: From Current Achievements to Future Goals,"Yuan, Shanxin and Garcia-Hernando, Guillermo and Stenger, Bjrn and Moon, Gyeongsik and Yong Chang, Ju and Mu Lee, Kyoung and Molchanov, Pavlo and Kautz, Jan and Honari, Sina and Ge, Liuhao and Yuan, Junsong and Chen, Xinghao and Wang, Guijin and Yang, Fan and Akiyama, Kai and Wu, Yang and Wan, Qingfu and Madadi, Meysam and Escalera, Sergio and Li, Shile and Lee, Dongheui and Oikonomidis, Iason and Argyros, Antonis and Kim, Tae-Kyun",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2636-2645",arXiv:1712.03917,Depth-Based 3D Hand Pose Estimation: From Current Achievements to Future Goals,"Shanxin Yuan, Guillermo Garcia-Hernando, Bjorn Stenger, Gyeongsik Moon, Ju Yong Chang, Kyoung Mu Lee, Pavlo Molchanov, Jan Kautz, Sina Honari, Liuhao Ge, Junsong Yuan, Xinghao Chen, Guijin Wang, Fan Yang, Kai Akiyama, Yang Wu, Qingfu Wan, Meysam Madadi, Sergio Escalera, Shile Li, Dongheui Lee, Iason Oikonomidis, Antonis Argyros, Tae-Kyun Kim",March,2018,,1
Liu_2018_CVPR,DecideNet: Counting Varying Density Crowds Through Attention Guided Detection and Density Estimation,"Liu, Jiang and Gao, Chenqiang and Meng, Deyu and Hauptmann, Alexander G.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5197-5206",arXiv:1712.06679,DecideNet: Counting Varying Density Crowds Through Attention Guided Detection and Density Estimation,"Jiang Liu, Chenqiang Gao, Deyu Meng, Alexander G. Hauptmann",March,2018,,1
Zhong_2018_CVPR,Camera Style Adaptation for Person Re-Identification,"Zhong, Zhun and Zheng, Liang and Zheng, Zhedong and Li, Shaozi and Yang, Yi",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5157-5166",arXiv:1711.10295,Camera Style Adaptation for Person Re-identification,"Zhun Zhong, Liang Zheng, Zhedong Zheng, Shaozi Li, Yi Yang",April,2018,,1
Li_2018_CVPR,Learning Spatial-Temporal Regularized Correlation Filters for Visual Tracking,"Li, Feng and Tian, Cheng and Zuo, Wangmeng and Zhang, Lei and Yang, Ming-Hsuan",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4904-4913",arXiv:1803.08679,Learning Spatial-Temporal Regularized Correlation Filters for Visual Tracking,"Feng Li, Cheng Tian, Wangmeng Zuo, Lei Zhang, Ming-Hsuan Yang",March,2018,,1
Wu_2016_CVPR,Constrained Deep Transfer Feature Learning and Its Applications,"Wu, Yue and Ji, Qiang",June,2016,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2016, pp. 5101-5109",arXiv:1709.08128,Constrained Deep Transfer Feature Learning and its Applications,"Yue Wu, Qiang Ji",September,2017,,1
Liu_2018_CVPR,Learning Deep Models for Face Anti-Spoofing: Binary or Auxiliary Supervision,"Liu, Yaojie and Jourabloo, Amin and Liu, Xiaoming",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 389-398",arXiv:1803.11097,Learning Deep Models for Face Anti-Spoofing: Binary or Auxiliary Supervision,"Yaojie Liu, Amin Jourabloo, Xiaoming Liu",March,2018,,1
Gao_2018_CVPR,Dynamic Zoom-In Network for Fast Object Detection in Large Images,"Gao, Mingfei and Yu, Ruichi and Li, Ang and Morariu, Vlad I. and Davis, Larry S.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6926-6935",arXiv:1711.05187,Dynamic Zoom-in Network for Fast Object Detection in Large Images,"Mingfei Gao, Ruichi Yu, Ang Li, Vlad I. Morariu, Larry S. Davis",March,2018,,1
Li_2018_CVPR,Visual Question Generation as Dual Task of Visual Question Answering,"Li, Yikang and Duan, Nan and Zhou, Bolei and Chu, Xiao and Ouyang, Wanli and Wang, Xiaogang and Zhou, Ming",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6116-6124",arXiv:1709.07192,Visual Question Generation as Dual Task of Visual Question Answering,"Yikang Li, Nan Duan, Bolei Zhou, Xiao Chu, Wanli Ouyang, Xiaogang Wang",September,2017,,1
Chen_2018_CVPR,Robust Video Content Alignment and Compensation for Rain Removal in a CNN Framework,"Chen, Jie and Tan, Cheen-Hau and Hou, Junhui and Chau, Lap-Pui and Li, He",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6286-6295",arXiv:1803.10433,Robust Video Content Alignment and Compensation for Rain Removal in a CNN Framework,"Jie Chen, Cheen-Hau Tan, Junhui Hou, Lap-Pui Chau, He Li",March,2018,,1
Guler_2017_CVPR,DenseReg: Fully Convolutional Dense Shape Regression In-The-Wild,"Alp Guler, Riza and Trigeorgis, George and Antonakos, Epameinondas and Snape, Patrick and Zafeiriou, Stefanos and Kokkinos, Iasonas",July,2017,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2017, pp. 6799-6808",arXiv:1803.02188,DenseReg: Fully Convolutional Dense Shape Regression In-the-Wild,"Riza Alp Guler, Yuxiang Zhou, George Trigeorgis, Epameinondas Antonakos, Patrick Snape, Stefanos Zafeiriou, Iasonas Kokkinos",March,2018,,1
Pavlakos_2018_CVPR,Learning to Estimate 3D Human Pose and Shape From a Single Color Image,"Pavlakos, Georgios and Zhu, Luyang and Zhou, Xiaowei and Daniilidis, Kostas",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 459-468",arXiv:1805.04092,Learning to Estimate 3D Human Pose and Shape from a Single Color Image,"Georgios Pavlakos, Luyang Zhu, Xiaowei Zhou, Kostas Daniilidis",May,2018,,1
Balakrishnan_2018_CVPR,An Unsupervised Learning Model for Deformable Medical Image Registration,"Balakrishnan, Guha and Zhao, Amy and Sabuncu, Mert R. and Guttag, John and Dalca, Adrian V.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 9252-9260",arXiv:1802.02604,An Unsupervised Learning Model for Deformable Medical Image Registration,"Guha Balakrishnan, Amy Zhao, Mert R. Sabuncu, John Guttag, Adrian V. Dalca",April,2018,,1
Feichtenhofer_2018_CVPR,What Have We Learned From Deep Representations for Action Recognition?,"Feichtenhofer, Christoph and Pinz, Axel and Wildes, Richard P. and Zisserman, Andrew",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7844-7853",arXiv:1801.01415,What have we learned from deep representations for action recognition?,"Christoph Feichtenhofer, Axel Pinz, Richard P. Wildes, Andrew Zisserman",January,2018,,1
Herranz_2016_CVPR,"Scene Recognition With CNNs: Objects, Scales and Dataset Bias","Herranz, Luis and Jiang, Shuqiang and Li, Xiangyang",June,2016,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2016, pp. 571-579",arXiv:1801.06867,"Scene recognition with CNNs: objects, scales and dataset bias","Luis Herranz, Shuqiang Jiang, Xiangyang Li",January,2018,"L. Herranz, S. Jiang, X. Li, ""Scene recognition with CNNs: objects, scales and dataset bias"", Proc. International Conference on Computer Vision and Pattern Recognition (CVPR16), Las Vegas, Nevada, USA, June 2016",1
Luvizon_2018_CVPR,2D/3D Pose Estimation and Action Recognition Using Multitask Deep Learning,"Luvizon, Diogo C. and Picard, David and Tabia, Hedi",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5137-5146",arXiv:1802.09232,2D/3D Pose Estimation and Action Recognition using Multitask Deep Learning,"Diogo C. Luvizon, David Picard, Hedi Tabia",March,2018,,1
Chen_2018_CVPR,Cascaded Pyramid Network for Multi-Person Pose Estimation,"Chen, Yilun and Wang, Zhicheng and Peng, Yuxiang and Zhang, Zhiqiang and Yu, Gang and Sun, Jian",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7103-7112",arXiv:1711.07319,Cascaded Pyramid Network for Multi-Person Pose Estimation,"Yilun Chen, Zhicheng Wang, Yuxiang Peng, Zhiqiang Zhang, Gang Yu, Jian Sun",April,2018,,1
Radenovi_2018_CVPR,Revisiting Oxford and Paris: Large-Scale Image Retrieval Benchmarking,"Radenovi, Filip and Iscen, Ahmet and Tolias, Giorgos and Avrithis, Yannis and Chum, Ondej",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5706-5715",arXiv:1803.11285,Revisiting Oxford and Paris: Large-Scale Image Retrieval Benchmarking,"Filip Radenovi, Ahmet Iscen, Giorgos Tolias, Yannis Avrithis, Ondej Chum",March,2018,,1
Liu_2018_CVPR,Structure Inference Net: Object Detection Using Scene-Level Context and Instance-Level Relationships,"Liu, Yong and Wang, Ruiping and Shan, Shiguang and Chen, Xilin",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6985-6994",arXiv:1807.00119,Structure Inference Net: Object Detection Using Scene-Level Context and Instance-Level Relationships,"Yong Liu, Ruiping Wang, Shiguang Shan, Xilin Chen",June,2018,,1
Sajjadi_2018_CVPR,Frame-Recurrent Video Super-Resolution,"Sajjadi, Mehdi S. M. and Vemulapalli, Raviteja and Brown, Matthew",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6626-6634",arXiv:1801.04590,Frame-Recurrent Video Super-Resolution,"Mehdi S. M. Sajjadi, Raviteja Vemulapalli, Matthew Brown",March,2018,,1
Kolouri_2018_CVPR,Sliced Wasserstein Distance for Learning Gaussian Mixture Models,"Kolouri, Soheil and Rohde, Gustavo K. and Hoffmann, Heiko",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3427-3436",arXiv:1711.05376,Sliced Wasserstein Distance for Learning Gaussian Mixture Models,"Soheil Kolouri, Gustavo K. Rohde, Heiko Hoffmann",November,2017,,1
Ma_2018_CVPR,Disentangled Person Image Generation,"Ma, Liqian and Sun, Qianru and Georgoulis, Stamatios and Van Gool, Luc and Schiele, Bernt and Fritz, Mario",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 99-108",arXiv:1712.02621,Disentangled Person Image Generation,"Liqian Ma, Qianru Sun, Stamatios Georgoulis, Luc Van Gool, Bernt Schiele, Mario Fritz",June,2018,,1
Wang_2018_CVPR,Zero-Shot Recognition via Semantic Embeddings and Knowledge Graphs,"Wang, Xiaolong and Ye, Yufei and Gupta, Abhinav",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6857-6866",arXiv:1803.08035,Zero-shot Recognition via Semantic Embeddings and Knowledge Graphs,"Xiaolong Wang, Yufei Ye, Abhinav Gupta",April,2018,,1
Ehsani_2018_CVPR,Who Let the Dogs Out? Modeling Dog Behavior From Visual Data,"Ehsani, Kiana and Bagherinezhad, Hessam and Redmon, Joseph and Mottaghi, Roozbeh and Farhadi, Ali",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4051-4060",arXiv:1803.10827,Who Let The Dogs Out? Modeling Dog Behavior From Visual Data,"Kiana Ehsani, Hessam Bagherinezhad, Joseph Redmon, Roozbeh Mottaghi, Ali Farhadi",May,2018,,1
Choi_2018_CVPR,Context-Aware Deep Feature Compression for High-Speed Visual Tracking,"Choi, Jongwon and Jin Chang, Hyung and Fischer, Tobias and Yun, Sangdoo and Lee, Kyuewang and Jeong, Jiyeoup and Demiris, Yiannis and Young Choi, Jin",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 479-488",arXiv:1803.10537,Context-aware Deep Feature Compression for High-speed Visual Tracking,"Jongwon Choi, Hyung Jin Chang, Tobias Fischer, Sangdoo Yun, Kyuewang Lee, Jiyeoup Jeong, Yiannis Demiris, Jin Young Choi",March,2018,,1
Regmi_2018_CVPR,Cross-View Image Synthesis Using Conditional GANs,"Regmi, Krishna and Borji, Ali",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3501-3510",arXiv:1803.03396,Cross-View Image Synthesis using Conditional GANs,"Krishna Regmi, Ali Borji",March,2018,,1
Tekin_2018_CVPR,Real-Time Seamless Single Shot 6D Object Pose Prediction,"Tekin, Bugra and Sinha, Sudipta N. and Fua, Pascal",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 292-301",arXiv:1711.08848,Real-Time Seamless Single Shot 6D Object Pose Prediction,"Bugra Tekin, Sudipta N. Sinha, Pascal Fua",December,2018,,1
Li_2018_CVPR,Harmonious Attention Network for Person Re-Identification,"Li, Wei and Zhu, Xiatian and Gong, Shaogang",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2285-2294",arXiv:1802.08122,Harmonious Attention Network for Person Re-Identification,"Wei Li, Xiatian Zhu, Shaogang Gong",February,2018,,1
Sam_2018_CVPR,Divide and Grow: Capturing Huge Diversity in Crowd Images With Incrementally Growing CNN,"Babu Sam, Deepak and Sajjan, Neeraj N. and Venkatesh Babu, R. and Srinivasan, Mukundhan",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 3618-3626",arXiv:1807.09993,Divide and Grow: Capturing Huge Diversity in Crowd Images with Incrementally Growing CNN,"Deepak Babu Sam, Neeraj N Sajjan, R. Venkatesh Babu",July,2018,,1
Konyushkova_2018_CVPR,Learning Intelligent Dialogs for Bounding Box Annotation,"Konyushkova, Ksenia and Uijlings, Jasper and Lampert, Christoph H. and Ferrari, Vittorio",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 9175-9184",arXiv:1712.08087,Learning Intelligent Dialogs for Bounding Box Annotation,"Ksenia Konyushkova, Jasper Uijlings, Christoph Lampert, Vittorio Ferrari",November,2018,,1
Bloesch_2018_CVPR,"CodeSLAM Learning a Compact, Optimisable Representation for Dense Visual SLAM","Bloesch, Michael and Czarnowski, Jan and Clark, Ronald and Leutenegger, Stefan and Davison, Andrew J.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2560-2568",arXiv:1804.00874,"CodeSLAM - Learning a Compact, Optimisable Representation for Dense Visual SLAM","Michael Bloesch, Jan Czarnowski, Ronald Clark, Stefan Leutenegger, Andrew J. Davison",April,2018,,1
Liu_2018_CVPR,Path Aggregation Network for Instance Segmentation,"Liu, Shu and Qi, Lu and Qin, Haifang and Shi, Jianping and Jia, Jiaya",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8759-8768",arXiv:1803.01534,Path Aggregation Network for Instance Segmentation,"Shu Liu, Lu Qi, Haifang Qin, Jianping Shi, Jiaya Jia",September,2018,,1
Yu_2018_CVPR,Generative Image Inpainting With Contextual Attention,"Yu, Jiahui and Lin, Zhe and Yang, Jimei and Shen, Xiaohui and Lu, Xin and Huang, Thomas S.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5505-5514",arXiv:1801.07892,Generative Image Inpainting with Contextual Attention,"Jiahui Yu, Zhe Lin, Jimei Yang, Xiaohui Shen, Xin Lu, Thomas S. Huang",March,2018,,1
Shi_2018_CVPR,"Estimation of Camera Locations in Highly Corrupted Scenarios: All About That Base, No Shape Trouble","Shi, Yunpeng and Lerman, Gilad",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2868-2876",arXiv:1804.02591,"Estimation of Camera Locations in Highly Corrupted Scenarios: All About that Base, No Shape Trouble","Yunpeng Shi, Gilad Lerman",April,2018,"CVPR, 2018, pp. 2868-2876",1
Lui_2018_CVPR,Efficient Subpixel Refinement With Symbolic Linear Predictors,"Lui, Vincent and Geeves, Jonathon and Yii, Winston and Drummond, Tom",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8165-8173",arXiv:1804.10750,Efficient Subpixel Refinement with Symbolic Linear Predictors,"Vincent Lui, Jonathon Geeves, Winston Yii, Tom Drummond",April,2018,,1
Long_2018_CVPR,Attention Clusters: Purely Attention Based Local Feature Integration for Video Classification,"Long, Xiang and Gan, Chuang and de Melo, Gerard and Wu, Jiajun and Liu, Xiao and Wen, Shilei",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7834-7843",arXiv:1711.09550,Attention Clusters: Purely Attention Based Local Feature Integration for Video Classification,"Xiang Long, Chuang Gan, Gerard de Melo, Jiajun Wu, Xiao Liu, Shilei Wen",November,2017,,1
Chen_2018_CVPR,TOM-Net: Learning Transparent Object Matting From a Single Image,"Chen, Guanying and Han, Kai and Wong, Kwan-Yee K.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 9233-9241",arXiv:1803.04636,TOM-Net: Learning Transparent Object Matting from a Single Image,"Guanying Chen, Kai Han, Kwan-Yee K. Wong",March,2018,,1
Zhang_2018_CVPR,Nonlocal Low-Rank Tensor Factor Analysis for Image Restoration,"Zhang, Xinyuan and Yuan, Xin and Carin, Lawrence",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8232-8241",arXiv:1803.06795,Nonlocal Low-Rank Tensor Factor Analysis for Image Restoration,"Xinyuan Zhang, Xin Yuan, Lawrence Carin",March,2018,,1
Liang_2018_CVPR,Dynamic-Structured Semantic Propagation Network,"Liang, Xiaodan and Zhou, Hongfei and Xing, Eric",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 752-761",arXiv:1803.06067,Dynamic-structured Semantic Propagation Network,"Xiaodan Liang, Hongfei Zhou, Eric Xing",March,2018,,1
Zhang_2018_CVPR,Single-Shot Object Detection With Enriched Semantics,"Zhang, Zhishuai and Qiao, Siyuan and Xie, Cihang and Shen, Wei and Wang, Bo and Yuille, Alan L.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5813-5821",arXiv:1712.00433,Single-Shot Object Detection with Enriched Semantics,"Zhishuai Zhang, Siyuan Qiao, Cihang Xie, Wei Shen, Bo Wang, Alan L. Yuille",April,2018,,1
Zhang_2018_CVPR,Residual Dense Network for Image Super-Resolution,"Zhang, Yulun and Tian, Yapeng and Kong, Yu and Zhong, Bineng and Fu, Yun",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2472-2481",arXiv:1802.08797,Residual Dense Network for Image Super-Resolution,"Yulun Zhang, Yapeng Tian, Yu Kong, Bineng Zhong, Yun Fu",March,2018,,1
Cheng_2018_CVPR,4DFAB: A Large Scale 4D Database for Facial Expression Analysis and Biometric Applications,"Cheng, Shiyang and Kotsia, Irene and Pantic, Maja and Zafeiriou, Stefanos",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5117-5126",arXiv:1712.01443,4DFAB: A Large Scale 4D Facial Expression Database for Biometric Applications,"Shiyang Cheng, Irene Kotsia, Maja Pantic, Stefanos Zafeiriou",June,2018,,1
Hold-Geoffroy_2018_CVPR,A Perceptual Measure for Deep Single Image Camera Calibration,"Hold-Geoffroy, Yannick and Sunkavalli, Kalyan and Eisenmann, Jonathan and Fisher, Matthew and Gambaretto, Emiliano and Hadap, Sunil and Lalonde, Jean-Franois",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2354-2363",arXiv:1712.01259,A Perceptual Measure for Deep Single Image Camera Calibration,"Yannick Hold-Geoffroy, Kalyan Sunkavalli, Jonathan Eisenmann, Matt Fisher, Emiliano Gambaretto, Sunil Hadap, Jean-Franois Lalonde",April,2018,,1
Wan_2018_CVPR,CRRN: Multi-Scale Guided Concurrent Reflection Removal Network,"Wan, Renjie and Shi, Boxin and Duan, Ling-Yu and Tan, Ah-Hwee and Kot, Alex C.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 4777-4785",arXiv:1805.11802,CRRN: Multi-Scale Guided Concurrent Reflection Removal Network,"Renjie Wan, Boxin Shi, Ling-Yu Duan, Ah-Hwee Tan, Alex C. Kot",May,2018,,1
Xu_2018_CVPR,Motion Segmentation by Exploiting Complementary Geometric Models,"Xu, Xun and Fah Cheong, Loong and Li, Zhuwen",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2859-2867",arXiv:1804.02142,Motion Segmentation by Exploiting Complementary Geometric Models,"Xun Xu, Loong-Fah Cheong, Zhuwen Li",April,2018,,1
Peng_2018_CVPR,Jointly Optimize Data Augmentation and Network Training: Adversarial Data Augmentation in Human Pose Estimation,"Peng, Xi and Tang, Zhiqiang and Yang, Fei and Feris, Rogerio S. and Metaxas, Dimitris",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 2226-2234",arXiv:1805.09707,Jointly Optimize Data Augmentation and Network Training: Adversarial Data Augmentation in Human Pose Estimation,"Xi Peng, Zhiqiang Tang, Fei Yang, Rogerio Feris, Dimitris Metaxas",May,2018,,1
Wan_2018_CVPR,Dense 3D Regression for Hand Pose Estimation,"Wan, Chengde and Probst, Thomas and Van Gool, Luc and Yao, Angela",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5147-5156",arXiv:1711.08996,Dense 3D Regression for Hand Pose Estimation,"Chengde Wan, Thomas Probst, Luc Van Gool, Angela Yao",November,2017,,1
Massiceti_2018_CVPR,FlipDial: A Generative Model for Two-Way Visual Dialogue,"Massiceti, Daniela and Siddharth, N. and Dokania, Puneet K. and Torr, Philip H.S.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6097-6105",arXiv:1802.03803,FlipDial: A Generative Model for Two-Way Visual Dialogue,"Daniela Massiceti, N. Siddharth, Puneet K. Dokania, Philip H. S. Torr",April,2018,,1
Su_2018_CVPR,Learning Compressible 360 Video Isomers,"Su, Yu-Chuan and Grauman, Kristen",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7824-7833",arXiv:1712.04083,Learning Compressible 360 Video Isomers,"Yu-Chuan Su, Kristen Grauman",December,2017,,1
Liu_2018_CVPR,Disentangling Features in 3D Face Shapes for Joint Face Reconstruction and Recognition,"Liu, Feng and Zhu, Ronghang and Zeng, Dan and Zhao, Qijun and Liu, Xiaoming",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 5216-5225",arXiv:1803.11366,Disentangling Features in 3D Face Shapes for Joint Face Reconstruction and Recognition,"Feng Liu, Ronghang Zhu, Dan Zeng, Qijun Zhao, Xiaoming Liu",March,2018,,1
Wang_2018_CVPR,Weakly-Supervised Semantic Segmentation by Iteratively Mining Common Object Features,"Wang, Xiang and You, Shaodi and Li, Xi and Ma, Huimin",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1354-1362",arXiv:1806.04659,Weakly-Supervised Semantic Segmentation by Iteratively Mining Common Object Features,"Xiang Wang, Shaodi You, Xi Li, Huimin Ma",June,2018,,1
Cai_2018_CVPR,Cascade R-CNN: Delving Into High Quality Object Detection,"Cai, Zhaowei and Vasconcelos, Nuno",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6154-6162",arXiv:1712.00726,Cascade R-CNN: Delving into High Quality Object Detection,"Zhaowei Cai, Nuno Vasconcelos",December,2017,,1
Kossaifi_2018_CVPR,GAGAN: Geometry-Aware Generative Adversarial Networks,"Kossaifi, Jean and Tran, Linh and Panagakis, Yannis and Pantic, Maja",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 878-887",arXiv:1712.00684,GAGAN: Geometry-Aware Generative Adversarial Networks,"Jean Kossaifi, Linh Tran, Yannis Panagakis, Maja Pantic",March,2018,,1
Nagrani_2018_CVPR,Seeing Voices and Hearing Faces: Cross-Modal Biometric Matching,"Nagrani, Arsha and Albanie, Samuel and Zisserman, Andrew",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8427-8436",arXiv:1804.00326,Seeing Voices and Hearing Faces: Cross-modal biometric matching,"Arsha Nagrani, Samuel Albanie, Andrew Zisserman",April,2018,,1
Graham_2018_CVPR,3D Semantic Segmentation With Submanifold Sparse Convolutional Networks,"Graham, Benjamin and Engelcke, Martin and van der Maaten, Laurens",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 9224-9232",arXiv:1711.10275,3D Semantic Segmentation with Submanifold Sparse Convolutional Networks,"Benjamin Graham, Martin Engelcke, Laurens van der Maaten",November,2017,,1
Han_2018_CVPR,Image Super-Resolution via Dual-State Recurrent Networks,"Han, Wei and Chang, Shiyu and Liu, Ding and Yu, Mo and Witbrock, Michael and Huang, Thomas S.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 1654-1663",arXiv:1805.02704,Image Super-Resolution via Dual-State Recurrent Networks,"Wei Han, Shiyu Chang, Ding Liu, Mo Yu, Michael Witbrock, Thomas S. Huang",May,2018,,1
Wu_2018_CVPR,Are You Talking to Me? Reasoned Visual Dialog Generation Through Adversarial Learning,"Wu, Qi and Wang, Peng and Shen, Chunhua and Reid, Ian and van den Hengel, Anton",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 6106-6115",arXiv:1711.07613,Are You Talking to Me? Reasoned Visual Dialog Generation through Adversarial Learning,"Qi Wu, Peng Wang, Chunhua Shen, Ian Reid, Anton van den Hengel",November,2017,,1
Marsden_2018_CVPR,"People, Penguins and Petri Dishes: Adapting Object Counting Models to New Visual Domains and Object Types Without Forgetting","Marsden, Mark and McGuinness, Kevin and Little, Suzanne and Keogh, Ciara E. and O'Connor, Noel E.",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 8070-8079",arXiv:1711.05586,"People, Penguins and Petri Dishes: Adapting Object Counting Models To New Visual Domains And Object Types Without Forgetting","Mark Marsden, Kevin McGuinness, Suzanne Little, Ciara E. Keogh, Noel E. O'Connor",November,2017,,1
Mallya_2018_CVPR,PackNet: Adding Multiple Tasks to a Single Network by Iterative Pruning,"Mallya, Arun and Lazebnik, Svetlana",June,2018,"The IEEE Conference on Computer Vision and Pattern Recognition (CVPR), 2018, pp. 7765-7773",arXiv:1711.05769,PackNet: Adding Multiple Tasks to a Single Network by Iterative Pruning,"Arun Mallya, Svetlana Lazebnik",May,2018,,1
