ID,Title,Time,Director,Year,Cast
553,The 13th Warrior    ,"1 hour, 43 minutes",John McTiernan,1999,"Antonio Banderas, Diane Venora"
554,Inglourious Basterds (Single-Disc Edition) , 153 minutes ,Quentin Tarantino,2009,Brad Pitt
555,Point Break (1991) (BD) [Blu-ray] , 120 minutes ,Kathryn Bigelow,2011,Patrick Swayze
556,"4 Film Favorites: Superman (Superman II: Special Edition, Superman III: Deluxe Edition, Superman IV: Deluxe Edition, Superman, The Movie: Special Edition) ", 492 minutes ,Richard Donner,2008,Christopher Reeve
557,V for Vendetta / Watchmen / Constantine (Triple-Feature) [Blu-ray] , 132 minutes ,James McTeigue,2012,Hugo Weaving
558,Blowing Wild    ,"1 hour, 30 minutes",Hugo Fregonese,1953,"Gary Cooper, Barbara Stanwyck"
559,Hellboy II: The Golden Army [Blu-ray] , 120 minutes ,Guillermo del Toro,2008,Ron Perlman
560,Jurassic Park III , 93 minutes ,Joe Johnston,2012,Sam Neill
561,A Good Day to Die Hard (Blu-ray / DVD + Digital Copy) , 98 minutes ,John Moore,2013,Bruce Willis
562,300 [Blu-ray] , 116 minutes ,Zack Snyder,2007,Gerard Butler
563,The Cowboys (Deluxe Edition) , 134 minutes ,Mark Rydell,2008,John Wayne
564,Amadeus , 160 minutes ,Milos Forman,2009,F. Murray Abraham
565,World War Z (Blu-ray + DVD + Digital HD) , 123 minutes ,Marc Forster,2013,Brad Pitt
566,What Dreams May Come    ,"1 hour, 54 minutes",Vincent Ward,1998,"Robin Williams, Cuba Gooding Jr."
567,Tropic Thunder (Director's Cut) [Blu-ray] , 120 minutes ,Various,2008,Various
568,Resident Evil: Damnation (+ UltraViolet Digital Copy) [Blu-ray] , 100 minutes ,Makoto Kamiya,2012,Matthew Mercer
569,Silverado , 132 minutes ,Lawrence Kasdan,2009,Scott Glenn
570,The Last Samurai (2003)    ,"2 hours, 35 minutes",Edward Zwick,2003,"Ken Watanabe, Tom Cruise"
571,Doctor Who   ,45 minutes,Keith Boak,2005,"Christopher Eccleston, Billie Piper"
572,The 13th Warrior , 103 minutes ,John McTiernan,2000,Antonio Banderas
573,Battle of the Bulge , 170 minutes ,Ken Annakin,2007,Henry Fonda
574,The Program , 112 minutes ,David S. Ward,2002,James Caan
575,The Next Three Days , 133 minutes ,Paul Haggis,2011,Russell Crowe
576,The Lord of the Rings: The Return of the King (Special Extended Edition) , 250 minutes ,Peter Jackson,2004,Elijah Wood
577,The Fast and the Furious (Blu-ray + Digital Copy + UltraViolet) , 107 minutes ,Rob Cohen,2013,Vin Diesel
578,Machete Kills (Blu-ray + DVD + Digital HD with UltraViolet) , 216 minutes ,Robert Rodriguez,2014,Danny Trejo
579,Gladiator [Blu-ray] , 171 minutes ,Various,2009,Various
580,G.I. Joe: The Rise of Cobra    ,"1 hour, 58 minutes",Stephen Sommers,2009,"Adewale Akinnuoye-Agbaje, Christopher Eccleston"
581,Double Jeopardy (1999) , 105 minutes ,Bruce Beresford,2000,Tommy Lee Jones
582,The World's Fastest Indian , 127 minutes ,Roger Donaldson,2006,Anthony Hopkins
583,Prince Of Persia: The Sands Of Time    ,"1 hour, 57 minutes",Mike Newell,2010,"Jake Gyllenhaal, Gemma Arterton"
584,Independence Day , 145 minutes ,Roland Emmerich,2003,Will Smith
585,"4 Film Favorites: Dirty Harry (Dirty Harry: Deluxe Edition, The Enforcer: Deluxe Edition, Magnum Force: Deluxe Edition, Sudden Impact: Deluxe Edition) ", 439 minutes ,Clint Eastwood,2009,Clint Eastwood
586,A Knight's Tale (Special Edition) , 132 minutes ,Brian Helgeland,2001,Paul Bettany
587,Mission: Impossible II    ,"2 hours, 4 minutes",John Woo,2000,"Tom Cruise, Dougray Scott"
588,2 Survive    ,"1 hour, 37 minutes",Tom Seidman,2015,"Erik Estrada,Ingrid Haubert"
589,To Hell and Back , 107 minutes ,Jesse Hibbs,2004,Audie Murphy
590,Terminator 3:  Rise of the Machines    ,"1 hour, 49 minutes",Jonathan Mostow,2003,"Arnold Schwarzenegger, Nick Stahl"
591,Rambo: The Complete Collector's Set (First Blood / Rambo: First Blood Part II / Rambo III / Rambo) [Blu-ray] , 393 minutes ,Sylvester Stallone,2010,Sylvester Stallone
592,Thelma & Louise , 130 minutes ,Ridley Scott,2003,Susan Sarandon
593,The Bucket List    ,"1 hour, 38 minutes",Rob Reiner,2007,"Jack Nicholson, Morgan Freeman"
594,Zulu , 138 minutes ,Cy Endfield,2003,Stanley Baker
595,The Usual Suspects (Special Edition) , 106 minutes ,Bryan Singer,2002,Kevin Spacey
596,300: Rise of an Empire (Blu-ray+DVD+UltraViolet Combo Pack) , 102 minutes ,Noam Murro,2014,Eva Green
597,Dragon Ball Z Double Feature: The History of Trunks / Bardock [Blu-ray] , 96 minutes ,Ueda,2008,Takeshi Kusao
598,Fred 2: Night Of The Living Fred    ,"1 hour, 23 minutes",John Fortenberry,2012,"Lucas Cruikshank, Jake Weary"
599,Tales of the Gold Monkey: The Complete Series , 990 minutes ,Virgil Vogel,2010,Stephen Collins
600,Clash of the Titans (2010)    ,"1 hour, 47 minutes",Louis Leterrier,2010,"Sam Worthington, Liam Neeson"
601,We Were Soldiers (2002) (BD) [Blu-ray] , 84 minutes ,Various,2008,Various
602,Gladiator    ,"2 hours, 35 minutes",Ridley Scott,2000,"Russell Crowe, Joaquin Phoenix"
603,Windwalker    ,"1 hour, 47 minutes",Kieth Merrill,2002,"Trevor Howard, Nick Ramus"
604,Reservoir Dogs (15th Anniversary Edition) [Blu-ray] , 99 minutes ,Quentin Tarantino,2007,Kirk Baltz
605,The Crocodile Hunter: Collision Course    ,"1 hour, 30 minutes",John Stainton,2002,"Steve Irwin, Terri Irwin"
606,End of Watch (Blu-ray + DVD + Digital Copy + UltraViolet) , 220 minutes ,David Ayer,2013,Jake Gyllenhaal
607,The Great Buck Howard    ,"1 hour, 31 minutes",Sean McGinly,2009,"John Malkovich, Colin Hanks"
608,The Tourist    ,"1 hour, 44 minutes",Florian Henckel von Donnersmarck,2010,"Johnny Depp, Angelina Jolie"
609,Watchmen (Director's Cut)    ,"3 hours, 7 minutes",Zack Snyder,2009,"Malin Akerman, Billy Crudup"
610,Dragon Ball: Season 3 , 745 minutes ,Justin Cook,2010,Stephanie Nadolny
611,Sucker Punch [Blu-ray] , 110 minutes ,Zack Snyder,2011,Emily Browning
612,The Ultimate Matrix Collection [Blu-ray] , 505 minutes ,Andy Wachowski,2008,Keanu Reeves
613,Band of Brothers / The Pacific Special Edition Gift Set , 1235 minutes ,Various,2011,Various
614,In Harm's Way , 159 minutes ,Otto Preminger,2001,John Wayne
615,The Sorcerer's Apprentice , 109 minutes ,Jon Turteltaub,2010,Nicolas Cage
616,Yellow Submarine [Blu-ray] , 89 minutes ,George Dunning,2012,The Beatles
617,Joseph (The Bible Collection) , 185 minutes ,Various,2005,Various
618,The Mortal Instruments: City of Bones  (+UltraViolet Digital Copy) , 130 minutes ,Harald Zwart,2013,Lily Collins
619,Legend    ,"1 hour, 43 minutes",Ridley Scott,1986,"Tom Cruise, Mia Sara"
620,Tremors 2: Aftershocks    ,"1 hour, 40 minutes",S.S. Wilson,1996,"Fred Ward, Chris Gartin"
621,The Girl with the Dragon Tattoo , 158 minutes ,David Fincher,2012,Daniel Craig
622,Battlestar Galactica ('04)   ,45 minutes,Michael Rymer,2005,"Edward James Olmos, Mary McDonnell"
623,Heavy Metal (Collector's Edition) , 90 minutes ,Gerald Potterton,2008,
624,Fast Five , 263 minutes ,Justin Lin,2011,Dwayne Johnson
625,Deliverance (Deluxe Edition) , 109 minutes ,John Boorman,2007,Jon Voight
626,Batman: Mask of the Phantasm    ,"1 hour, 17 minutes",Eric Radomski,1993,"Kevin Conroy, Dana Delany"
627,Gettysburg (Widescreen Edition) , 254 minutes ,Ronald F. Maxwell,2005,Tom Berenger
628,David Knight - Iron Man of Enduro    ,"2 hours, 9 minutes",Michael McKnight,2004,"Charley Boorman, David Knight"
629,Terminator Salvation    ,"1 hour, 55 minutes",McG,2009,"Christian Bale, Sam Worthington"
630,The Final Countdown (Widescreen Edition) , 103 minutes ,Don Taylor,2004,Kirk Douglas
631,DCU: Justice League: War    ,"1 hour, 20 minutes",Jay Oliva,2014,"Sean Astin, Zach Callison"
632,Stargate    ,"2 hours, 2 minutes",Roland Emmerich,1994,"Kurt Russell, James Spader"
633,The Blues Brothers (Collector's Edition) , 148 minutes ,John Landis,1998,John Belushi
634,Apocalypse Now (Apocalypse Now / Apocalypse Now Redux / Hearts of Darkness) (Three-Disc Full Disclosure Edition)  [Blu-ray] , 451 minutes ,Francis Ford Coppola,2010,Martin Sheen
635,Dragon Ball Z: Season 5 (Perfect and Imperfect Cell Sagas) , 615 minutes ,Chris Cason,2008,Christopher Sabat
636,Blade Runner: The Final Cut    ,"1 hour, 58 minutes",Ridley Scott,2007,"Harrison Ford, Rutger Hauer"
637,Patton (Cinema Classics Collection) , 172 minutes ,Franklin J. Schaffner,2006,George C. Scott
638,Yu Yu Hakusho: Ghost Files: Season 1 , 600 minutes ,Abe Noriyuki,2008,
639,"Mack, The ", 110 minutes ,Michael Campus,2004,Max Julien
640,Glory , 122 minutes ,Edward Zwick,1998,Matthew Broderick
641,Green Lantern (2011)    ,"1 hour, 54 minutes",Martin Campbell,2011,"Ryan Reynolds, Blake Lively"
642,The Terminator , 107 minutes ,James Cameron,2001,Arnold Schwarzenegger
643,Jack Ryan: Shadow Recruit (Blu-ray + DVD + Digital HD) , 105 minutes ,Kenneth Branagh,2014,Chris Pine
644,Road House , 114 minutes ,Rowdy Herrington,2006,Patrick Swayze
645,The Bridge on the River Kwai , 167 minutes ,David Lean,2000,James Donald
646,9, 80 minutes ,Shane Acker,2009,Christopher Plummer
647,Sagwan (English Subtitled)   ,"1 hour, 42 minutes",Monti Parungao,2009,"Ryan Dungo, Dennis Torres"
648,The Hobbit: The Desolation Of Smaug (plus bonus features!)    ,"3 hours, 30 minutes",Peter Jackson,2013,"Ian McKellen, Martin Freeman"
649,Batman Under the Red Hood    ,"1 hour, 16 minutes",Brandon Vietti,2010,"Bruce Greenwood, Jensen Ackles"
650,"Myths, Magic & Monsters   ",7/20/2006,Geoff Deehan,2006,49 minutes
651,The Expendables 2 [DVD + Digital Copy + UltraViolet] , 103 minutes ,Simon West,2012,Sylvester Stallone
652,Hot Tub Time Machine 2    ,"1 hour, 34 minutes",Steve Pink,2015,"Rob Corddry, Craig Robinson"
653,Iron Man (Single-Disc Edition) , 125 minutes ,Jon Favreau,2013,Jr. Robert Downey
654,The Guardian , 139 minutes ,Andrew Davis,2007,Kevin Costner
655,Indiana Jones and the Last Crusade (Special Edition) , 127 minutes ,Steven Spielberg,2008,Harrison Ford
656,Medicine Man , 105 minutes ,John McTiernan,1999,Sean Connery
657,Lewis & Clark - The Journey of the Corps of Discovery , 240 minutes ,Ken Burns,2004,Hal Holbrook
658,The Lord of the Rings: The Motion Picture Trilogy (Special Extended Edition) , 681 minutes ,Peter Jackson,2004,Elijah Wood
659,9,"1 hour, 21 minutes",Shane Acker,2009,"Christopher Plummer, Martin Landau"
660,I Frankenstein (3D) [Blu-ray] , 92 minutes ,Stuart Beattie,2014,Aaron Eckhardt
661,Garm Wars    ,"1 hour, 32 minutes",Mamoru Oshii,2015,"Mélanie St-Pierre,Kevin Durand"
662,"The Man with No Name Trilogy (A Fistful of Dollars / For a Few Dollars More / The Good, The Bad, and the Ugly) [Blu-ray] ", 411 minutes ,Sergio Leone,2010,Clint Eastwood
663,Not Another Mistake    ,"1 hour, 45 minutes",Anthony Maharaj,1987,"Richard Norton,Michael John Meyer"
664,The Great Escape , 172 minutes ,John Sturges,1998,Steve McQueen
665,Frank Miller's Sin City: A Dame To Kill For    ,"1 hour, 43 minutes",Frank Miller,2014,"Mickey Rourke, Jessica Alba"
666,The Sorcerer's Apprentice    ,"1 hour, 50 minutes",Jon Turteltaub,2010,"Nicolas Cage, Jay Baruchel"
667,Nothing But Trouble (1991) , 94 minutes ,Dan Aykroyd,2004,Chevy Chase
668,Black Dog , 89 minutes ,Kevin Hooks,1998,Patrick Swayze
669,The Ghost and The Darkness , 113 minutes ,Stephen Hopkins,1998,Michael Douglas
670,Soldier (BD) [Blu-ray] , 99 minutes ,Paul Anderson,2011,Kurt Russell
671,The Hobbit: The Desolation of Smaug (Extended Edition)    ,"3 hours, 7 minutes",Peter Jackson,2013,"Ian McKellen, Martin Freeman"
672,The Hitchhiker's Guide to the Galaxy [Blu-ray] , 109 minutes ,Garth Jennings,2007,Martin Freeman
673,Cast Away [Blu-ray] , 143 minutes ,Robert Zemeckis,2007,Viveka Davis
674,Dances With Wolves (25th Anniversary Edition) , 185 minutes ,Kevin Costner,2011,Kevin Costner
675,Kingdom of Heaven (Director's Cut) [Blu-ray] , 194 minutes ,Ridley Scott,2006,Orlando Bloom
676,Batman Begins [Blu-ray] , 140 minutes ,Christopher Nolan,2008,Christian Bale
677,Willow (Blu-ray / DVD Combo) , 126 minutes ,Ron Howard,2013,Val Kilmer
678,X-Men: The Last Stand    ,"1 hour, 45 minutes",Brett Ratner,2006,"Hugh Jackman, Halle Berry"
679,Red Army , 85 minutes ,Gabe Polsky,2015,Tatiana Tarasova
680,Watchmen    ,"2 hours, 43 minutes",Zack Snyder,2009,"Malin Akerman, Billy Crudup"
681,Artificial Paradise (English Subtitled)   ,"1 hour, 37 minutes",Karpo Acimovic-Godina,2015,"Jürgen Morche, Vlado Novák"
682,Shottas , 99 minutes ,Cess Silvera,2007,Ky-Mani Marley
683,The Hunt for Red October , 135 minutes ,John McTiernan,2003,Sean Connery
684,The Wolverine (Blu-ray + DVD + Digital HD with UltraViolet) , 126 minutes ,James Mangold,2013,Hugh Jackman
685,The Mummy Returns    ,"2 hours, 10 minutes",Stephen Sommers,2001,"Brendan Fraser, Rachel Weisz"
686,Beerfest (Rated)    ,"1 hour, 57 minutes",Jay Chandrasekhar,2006,"M.C. Gainey, Paul Soter"
687,Lois & Clark: The New Adventures of Superman - The Complete Series (Seasons 1-4) , 4099 minutes ,Alan J. Levi,2006,Dean Cain
688,Disneynature African Cats    ,"1 hour, 30 minutes",Alastair Fothergill,2011,"Samuel L. Jackson, Patrick Stewart"
689,"Six Days, Seven Nights    ","1 hour, 43 minutes",Ivan Reitman,1998,"Harrison Ford, Anne Heche"
690,Dick Tracy (Blu-ray + Digital Copy) , 106 minutes ,Warren Beatty,2012,Warren Beatty
691,Wild America (1997)    ,"1 hour, 47 minutes",William Dear,1997,"Jonathan Taylor Thomas, Devon Sawa"
692,Blunt Force Trauma    ,"1 hour, 37 minutes",Ken Sanzel,2015,"Ryan Kwanten,Freida Pinto"
693,Toy Soldiers , 112 minutes ,Daniel Petrie Jr.,2002,Mason Adams
694,G.I. Jane [Blu-ray] , 125 minutes ,Hugh Johnson,2007,Demi Moore
695,2010: The Year We Make Contact [Blu-ray] , 116 minutes ,Peter Hyams,2009,Roy Scheider
696,The Guns of Navarone (Collector's Edition) , 157 minutes ,J. Lee Thompson,2007,James Robertson Justice
697,Hidalgo (Widescreen Edition) , 136 minutes ,Joe Johnston,2004,Viggo Mortensen
698,Volcano , 103 minutes ,Mick Jackson,2013,Tommy Lee Jones
699,The Long Kiss Goodnight , 120 minutes ,Renny Harlin,2005,Geena Davis
700,"Firm, The ", 93 minutes ,Various,2000,Various
701,Stand By Me    ,"1 hour, 29 minutes",Rob Reiner,1986,"Wil Wheaton, River Phoenix"
702,Robin Hood - Men in Tights , 104 minutes ,Mel Brooks,2006,Carey Elwes
703,Blue Steel    ,"1 hour, 42 minutes",Kathryn Bigelow,1990,"Jamie Lee Curtis, Ron Silver"
704,The Twilight Saga: New Moon (Single-Disc Edition) , 130 minutes ,Chris Weitz,2010,Kristen Stewart
705,Battle Los Angeles (Mastered in 4K) (Single-Disc Blu-ray + Ultra Violet Digital Copy) , 117 minutes ,Jonathan Liebesman,2013,Michael Peña
706,Inuyasha: Complete Movies Box Set , 380 minutes ,Toshiya Shinohara,2009,Richard Ian Cox
707,American Dreamer , 105 minutes ,Rick Rosenthal,2005,JoBeth Williams
708,Wind , 126 minutes ,Carroll Ballard,2003,Stellan Skarsgard
709,Maverick (Keepcase) , 128 minutes ,Richard Donner,2009,Mel Gibson
710,3 Days in Havana    ,"1 hour, 23 minutes",Gil Bellows,2015,"Oluniké Adeliyi, Gil Bellows"
711,The Enemy Below , 98 minutes ,Dick Powell,2004,Robert Mitchum
712,King Kong vs. Godzilla , 91 minutes ,Ishiro Honda,2009,
713,Spring Breakers (DVD + UltraViolet Digital Copy) , 94 minutes ,Harmony Korine,2013,James Franco
714,Eight Below    ,"2 hours, 1 minute",Frank Marshall,2006,"Paul Walker, Bruce Greenwood"
715,"Lock, Stock and Two Smoking Barrels    ","1 hour, 49 minutes",Guy Ritchie,1999,"Jason Flemyng, Dexter Fletcher"
716,Rise of the Planet of the Apes (Two-Disc Edition Blu Ray + DVD/Digital Copy Combo) [Blu-ray] , 105 minutes ,Rupert Wyatt,2011,James Franco
717,Reign of Fire [Blu-ray] , 102 minutes ,Rob Bowman,2007,Christian Bale
718,After Earth (Two Disc Combo: Blu-ray / DVD + UltraViolet Digital Copy) , 101 minutes ,M Night Shyamalan,2013,Glenn Morshower
719,Season of the Witch    ,"1 hour, 35 minutes",Dominic Sena,2011,"Nicolas Cage, Ron Perlman"
720,Babylon 5: The Complete Television Series (5-Pack) , 4818 minutes ,J. Michael Straczynski,2004,
721,Babe Winkelman's Outdoor Secrets   ,1/1/2012,Babe Winkelman,2012,18 minutes
722,Empire of the Sun (Keepcase) , 152 minutes ,Steven Spielberg,2009,Christian Bale
723,Push [Blu-ray] , 111 minutes ,Paul McGuigan,2009,Chris Evans
724,The Villain , 1 minutes ,Hal Needham,2002,Ruth Buzzi
725,Butch Cassidy and the Sundance Kid (Widescreen Special Edition) , 110 minutes ,George Roy Hill,2000,Paul Newman
726,RoboCop (Unrated Director's Cut) [Blu-ray] , 103 minutes ,Paul Verhoeven,2014,Peter Weller
727,Judgment Night , 110 minutes ,Stephen Hopkins,2004,Emilio Estevez
728,The Rock    ,"2 hours, 17 minutes",Michael Bay,1996,"Sean Connery, Nicolas Cage"
729,Braveheart / Gladiator (DBFE) ,,Various,2013,Various
730,Red Cliff International Version - Part I & Part II [Blu-ray] , 288 minutes ,John Woo,2010,Tony Leung
731,Deadliest Catch   ,"1 hour, 26 minutes",Mike Rowe,2015,"Mike Rowe, Keith Colburn"
732,Blackbeard The Pirate - 1952 - Color    ,"1 hour, 39 minutes",Raoul Walsh,2012,"Robert Newton, Linda Darnell"
733,Non-Stop , 107 minutes ,Jaume Collet-Serra,2014,Julianne Moore
734,Escape From Zahrain    ,"1 hour, 33 minutes",Ronald Neame,1962,"Yul Brynner, Sal Mineo"
735,The Sea Wolves (Keep Case Packaging) , 120 minutes ,Andrew V. McLaglen,2006,Gregory Peck
736,Indiana Jones and the Kingdom of the Crystal Skull (Single-Disc Edition) , 122 minutes ,Steven Spielberg,2008,Harrison Ford
737,A Bridge Too Far , 175 minutes ,Richard Attenborough,1998,Dirk Bogarde
738,The Hidden Fortress (The Criterion Collection) [Blu-ray + DVD] , 139 minutes ,Akira Kurosawa,2014,Toshirô Mifune
739,Falling Down (Deluxe Edition) , 113 minutes ,Joel Schumacher,2009,Michael Douglas
740,Glory Road (Widescreen Edition) , 118 minutes ,James Gartner,2006,Josh Lucas
741,Sabotage (Blu-ray + DVD + DIGITAL HD with UltraViolet) , 109 minutes ,David Ayer,2014,Arnold Schwarzenegger
742,Dragon Ball Z: Fusion Reborn / Wrath of the Dragon (Double Feature) [Blu-ray] , 100 minutes ,Shigeyasu Yamauchi,2009,Masako Nozawa
743,Wild Hogs (Widescreen Edition) , 100 minutes ,Walt Becker,2007,Tim Allen
744,Harold & Kumar Go to White Castle    ,"1 hour, 28 minutes",Danny Leiner,2004,"John Cho, Ethan Embry"
745,Oldboy, 104 minutes ,Spike Lee,2013,Josh Brolin
746,Sucker Punch (2011)    ,"1 hour, 50 minutes",Zack Snyder,2011,"Emily Browning, Abbie Cornish"
747,The Dirty Dozen , 150 minutes ,Robert Aldrich,2007,Lee Marvin
748,Million Dollar Baby (2004)    ,"2 hours, 13 minutes",Clint Eastwood,2004,"Clint Eastwood, Hilary Swank"
749,Deep Blue Sea , 105 minutes ,Renny Harlin,2009,Saffron Burrows
750,The Bela Lugosi Collection (Murders in the Rue Morgue / The Black Cat / The Raven / The Invisible Ray / Black Friday) , 338 minutes ,Arthur Lubin,2005,Bela Lugosi
751,Planet of the Apes - The Legacy Collection (Five Discs) , 605 minutes ,David Comtois,2006,Roddy McDowall
752,"4 Film Favorites: Clint Eastwood (Space Cowboys, Honkytonk Man, Every Which Way But Loose, Any Which Way You Can) ", 483 minutes ,Various,2008,Various
753,Treasure Map    ,"1 hour, 28 minutes",Tim Rogers,2012,"Nathan Pinner, Matthew Miller"
754,Hansel & Gretel: Witch Hunters (DVD) , 88 minutes ,Various,2013,Various
755,"Girls, Guns and G-Strings: The Andy Sidaris Collection (12 Film Set) ", 1203 minutes ,Various,2011,Dona Speir
756,The Island [Blu-ray] , 136 minutes ,Michael Bay,2011,Ewan McGregor
757,Farscape: The Peacekeeper Wars , 182 minutes ,Brian Henson,2005,Ben Browder
758,100 Greatest TT Moments    ,"1 hour, 32 minutes",Rob Hurdman,2003,"Joey Dunlop,David Jefferies"
759,Heroes   ,53 minutes,Greg Beeman,2007,"Jack Coleman, Greg Grunberg"
760,Here Come The Brides: Season 2 , 1340 minutes ,Paul Junger Witt,2012,Robert Brown
761,Enter the Dragon (40th Anniversary Edition) [Blu-ray] , 98 minutes ,Various,2013,Various
762,Casino Royale [Blu-ray] , 144 minutes ,Martin Campbell,2007,Daniel Craig
763,The Other Guys (The Unrated Other Edition) , 224 minutes ,Adam McKay,2010,Mark Wahlberg
764,Sink the Bismarck! , 97 minutes ,Lewis Gilbert,2003,Kenneth More
765,Emergency! Season One , 1310 minutes ,Bruce Bilson (II),2005,Robert Fuller
766,Spider-Man: The New Animated Series   ,22 minutes,Neil Patrick Harris,2003,"Neil Patrick Harris, Lisa Loeb"
767,Backdraft , 135 minutes ,Ron Howard,1997,Kurt Russell
768,Joe Dirt , 92 minutes ,Dennie Gordon,2006,Brittany Daniel
769,Constantine (Widescreen Edition) , 121 minutes ,Francis Lawrence,2007,Keanu Reeves
770,Fantastic Mr. Fox (Criterion Collection) (Blu-ray + DVD) , 87 minutes ,Wes Anderson,2014,George Clooney
771,The Host , 126 minutes ,Andrew Niccol,2013,Saoirse Ronan
772,The Accidental Gangster (English Subtitled)   ,"1 hour, 43 minutes",Yeo Kyun-dong,2008,"Lee Jung-jae,Kim Ok-vin"
773,The Thomas Crown Affair , 113 minutes ,John McTiernan,2000,Pierce Brosnan
774,Colors , 120 minutes ,Dennis Hopper,2001,Sean Penn
775,Highlander    ,"1 hour, 57 minutes",Russell Mulcahy,1986,"Christopher Lambert, Roxanne Hart"
776,Live Free or Die Hard    ,"2 hours, 9 minutes",Len Wiseman,2007,"Bruce Willis, Timothy Olyphant"
777,Driven (BD) [Blu-ray] , 116 minutes ,Renny Harlin,2013,Sylvester Stallone
778,The Rundown    ,"1 hour, 45 minutes",Peter Berg,2003,"Dwayne Johnson, Seann William Scott"
779,How the West Was Won (Three-Disc Special Edition) , 164 minutes ,John Ford,2008,Carroll Baker
780,Speed (Widescreen Edition) [DVD] , 115 minutes ,Jan de Bont,2005,Keanu Reeves
781,El Dorado    ,"2 hours, 7 minutes",Howard Hawks,1967,"John Wayne, Robert Mitchum"
782,The Edge (Widescreen Edition) , 117 minutes ,Lee Tamahori,2002,Anthony Hopkins
783,Beautiful Loser    ,"1 hour, 34 minutes",John Nolte,2008,"Adam Lamberg, Laura Breckenridge"
784,The Perfect Storm [Blu-ray] , 130 minutes ,Wolfgang Petersen,2008,George Clooney
785,Shooter (2007) , 126 minutes ,Various,2007,Various
786,Ben-Hur 50th Anniversary 2-Disc Blu-ray Combo Pack , 212 minutes ,William Wyler,2012,Charlton Heston
787,Resident Evil: Afterlife , 97 minutes ,Paul W.S. Anderson,2010,Milla Jovovich
788,Sahara , 98 minutes ,Zoltan Korda,2001,Richard Nugent
789,2012, 158 minutes ,Roland Emmerich,2010,John Cusack
790,The Man in the Moon , 104 minutes ,Robert Mulligan,2001,Sam Waterston
791,Star Wars: The Clone Wars   ,23 minutes,Dave Bullock,2008,"Tom Kane, Dee Bradley Baker"
792,unReal    ,48 minutes,Anthill Films,2015,"Brandon Semenuk,Brett Rheeder"
793,Close Encounters of the Third Kind (30th Anniversary Ultimate Edition) , 404 minutes ,Steven Spielberg,2007,Melinda Dillon
794,The Abyss , 145 minutes ,James Cameron,2003,Ed Harris
795,Robin Hood - Prince of Thieves (Extended Cut)    ,"2 hours, 35 minutes",Kevin Reynolds,2003,"Kevin Costner, Morgan Freeman"
796,Dragon Ball Z: Android 13/ Bojack Unbound (Double Feature) [Blu-ray] , 95 minutes ,Daisuke Nishio,2009,Sean Schemmel
797,Mud Men   ,2/27/2011,Hayley Sarian,2011,46 minutes
798,The Grandmaster [Blu-ray] , 108 minutes ,Wong Kar Wai,2014,Tony Leung
799,Batman (1989)    ,"2 hours, 7 minutes",Tim Burton,1989,"Michael Keaton, Jack Nicholson"
800,"Naruto Uncut Box Set: Season 2, Vol. 1 ", 650 minutes ,Various,2010,Various
801,Into The Wild [Blu-ray] , 149 minutes ,Various,2008,Various
802,Eragon    ,"1 hour, 44 minutes",Stefen Fangmeier,2006,"Ed Speleers, Jeremy Irons"
803,Four Film Collection (Cabin Fever / Cabin Fever 2 / Descent / Descent 2) , 371 minutes ,Eli Roth,2011,Shauna Macdonald
804,Resident Evil: Retribution    ,"1 hour, 36 minutes",Paul W.S. Anderson,2012,"Milla Jovovich, Sienna Guillory"
805,The Lord of the Rings: The Two Towers (Widescreen Edition) (2002) , 179 minutes ,Peter Jackson,2003,Elijah Wood
806,Doctor Who: The Movie (Special Edition) , 86 minutes ,Geoffrey Sax,2011,Paul McGann
807,Masters of the Universe (Keepcase) , 106 minutes ,Gary Goddard,2009,Dolph Lundgren
808,Monty Python's The Meaning of Life , 108 minutes ,Terry Jones,2005,Graham Chapman
809,Transformers: Revenge of the Fallen (Single-Disc Edition) , 149 minutes ,Michael Bay,2009,Shia LaBeouf
810,The Scarlet and the Black , 143 minutes ,Jerry London,2003,Gregory Peck
811,Jumanji [Blu-ray] , 104 minutes ,Joe Johnston,2015,Kirsten Dunst
812,Scarlet Pimpernel    ,"1 hour, 38 minutes",Harold Young,2007,"Leslie Howard, Merle Oberon"
813,Justice League: Crisis On Two Earths    ,"1 hour, 16 minutes",Sam Liu,2010,"William Baldwin, Mark Harmon"
814,Dragon Ball Z : Dead Zone The Movie/ The World's Strongest [Digitally Remastered Double Feature] [Blu-ray] , 105 minutes ,Christopher Bevins,2008,Dragon Ball Z
815,The Day After Tomorrow (Widescreen Edition) , 124 minutes ,Roland Emmerich,2004,Dennis Quaid
816,Hidalgo    ,"2 hours, 17 minutes",Joe Johnston,2004,"Viggo Mortensen, Zuleikha Robinson"
817,Crimson Tide , 116 minutes ,Tony Scott,1998,Denzel Washington
818,New Jack City , 101 minutes ,Mario Van Peebles,2010,Wesley Snipes
819,Two Mules For Sister Sara , 114 minutes ,Don Siegel,2003,Clint Eastwood
820,Bullitt , 114 minutes ,Peter Yates,2010,Steve McQueen
821,Wyatt Earp , 190 minutes ,Lawrence Kasdan,1994,Kevin Costner
822,Hard Times , 100 minutes ,Walter Hill,1999,Charles Bronson
823,Dirty Harry    ,"1 hour, 43 minutes",Don Siegel,1971,"Clint Eastwood, Harry Guardino"
824,Death Proof (Extended and Unrated Edition) [Blu-ray] , 113 minutes ,Quentin Tarantino,2008,Kurt Russell
