ID,Title,Time,Director,Year,Cast
1098,Don,2 hr. 49 min.,Farhan Akhtar,2006,"Shahrukh Khan, Priyanka Chopra, Arjun Rampal, Boman Irani, Rajesh Khanna, Diwakar Pundir"
1099,Corsair,1 hr. 13 min.,Roland West,1931,"Chester Morris, William Austin, Frank McHugh, Thelma Todd, Emmett Corrigan, Fred Kohler"
1100,Up Periscope,1 hr. 51 min.,Gordon Douglas,1959,"Edmond O'Brien, James Garner, Andra Martin, Alan Hale Jr., Carleton Carpenter, Frank Gifford"
1101,A Scanner Darkly,1 hr. 40 min.,Richard Linklater,2006,"Keanu Reeves, Robert Downey Jr., Woody Harrelson, Winona Ryder, Rory Cochrane, Steven Chester Princ..."
1102,Jet Li's Fearless (Huo Yuan Jia) (Legend of a Fighter),1 hr. 45 min.,Ronny Yu,2006,"Jet Li, ShidÌ« Nakamura, Betty Sun, Dong Yong, Paw Hee Ching, Yun Qu"
1103,The Celestine Prophecy,1 hr. 39 min.,Armand Mastroianni,2006,"Matthew Settle, Thomas Kretschmann, Sarah Wayne Callies, Annabeth Gish, Hector Elizondo, Sarah Wayne"
1104,The Librarian: Return to King Solomon's Mines,1 hr. 32 min.,Jonathan Frakes,2006,"Noah Wyle, Gabrielle Anwar, Jane Curtin, Erick Avari, Robert Foxworth, Hakeem Kae-Kazim"
1105,The Wicker Man,1 hr. 46 min.,Neil LaBute,2006,"Nicolas Cage, Ellen Burstyn, Kate Beahan, Frances Conroy, Molly Parker, Leelee Sobieski"
1106,Combat,1 hr. 49 min.,Patrick Carpenter,2006,"Leo Joris, Tomas Matauko"
1107,Monarch of the Moon,1 hr. 38 min.,Richard Lowry,2005,"Blane Wheatley, Monica Himmelbeber, Brent Moss, Kimberly Page, Will MacMillan, Penny Drake"
1108,Holla at Me,1 hr. 41 min.,Patrick Jerome,2007,"Vinny Vella Sr., Ty Jones, Joe Rigano, Miguel LÌ_pez"
1109,Shottas,1 hr. 35 min.,Cess Silvera,2006,"Ky-Mani Marley, Paul Campbell, Spragga Benz, Tyson Beckford, Wyclef Jean, Louie Rankin"
1110,I See You,3 hr.,Vivek Agrawal,2006,"Arjun Rampal, Boman Irani, Vipasha Agarwal, Chunkey Pandey, Sonali Kulkarni, Sophie Chowdry"
1111,Mosaic,1 hr. 12 min.,Roy Allen Smith,2007,"Anna Paquin, Kirby Morrow"
1112,Snakes on a Plane,1 hr. 46 min.,David R. Ellis,2006,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard, Bobby Cannavale, Flex Alexander"
1113,Legendary Weapons of China,1 hr. 50 min.,Chia-Liang Liu,1982,"Alexander Fu Sheng, Lee Shao Hwa, Wang Fu Quen, Liu Chia-Liang, Gordon Liu, Fu Sheng"
1114,Crank,1 hr. 27 min.,Mark Neveldine,2006,"Jason Statham, Amy Smart, Efren Ramirez, Jose Pablo Cantillo, Dwight Yoakam, Carlos Sanz"
1115,In Her Line of Fire,1 hr. 28 min.,Brian Trenchard-Smith,2006,"Mariel Hemingway, David Keith, Jill Bennett II, David Millbern, Syd Jackson, Jesse Hutch"
1116,Bandidas,1 hr. 33 min.,Joachim RÌünning,2006,"Salma Hayek, Steve Zahn, Dwight Yoakam, Penelope Cruz, Denis Arndt, Audra Blaser"
1117,Idiocracy,1 hr. 44 min.,Mike Judge,2006,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews, Anthony 'Citric' Cam..., David Herman"
1118,Undisputed 2: Last Man Standing,1 hr. 37 min.,Isaac Florentine,2006,"Michael Jai White, Scott Adkins, Eli Danker, Ben Cross, Velizar Binev, Michail Elenov"
1119,Chat gim (The Seven Swords),2 hr. 31 min.,Hark Tsui,2005,"Donnie Yen, Leon Lai, Charlie Yeung, Yi Lu, Yi-Ching Lu, Lau Kar Leung"
1120,The Protector (Tom yum goong) (Warrior King),1 hr. 49 min.,Prachya Pinkaew,2005,"Tony Jaa, Petchtai Wongkamlao, Bongkoj Khongmalai, Xing Jing, Nathan Jones, Johnny Nguyen"
1121,Gridiron Gang,2 hr.,Phil Joanou,2006,"Dwayne ""The Rock"" Jo..., Xzibit, L. Scott Caldwell, Leon Rippy, Kevin Dunn, Jade Yorker"
1122,Shadow of the Sword,1 hr. 48 min.,Simon Aeby,2005,"Peter McDonald, Nikolaj Coster-Walda..., Eddie Marsan, Anastasia Griffith, Steven Berkoff, Julie Cox"
1123,The Atomic Submarine,1 hr. 20 min.,Spencer Gordon Bennet,1959,"Arthur Franz, Dick Foran, Brett Halsey, Tom Conway, Paul Dubov, Bob Steele"
1124,The Yakuza,1 hr. 52 min.,Sydney Pollack,1975,"Robert Mitchum, Brian Keith, Herb Edelman, Ken Takakura, Richard Jordan, Keiko Kishi"
1125,Night Skies,1 hr. 25 min.,Roy Knyrim,2006,"Jason Connery, A.J. Cook, George Stults, Ashley Peldon, Joe Sikora, Gwendoline Yeo"
1126,The Sundowners,2 hr. 13 min.,Fred Zinnemann,1960,"Robert Mitchum, Deborah Kerr, Peter Ustinov, Glynis Johns, Dina Merrill, Chips Rafferty"
1127,Frank,1 hr. 34 min.,Douglas Cheney,2006,"James Powell, Graham Bowe, Helena Roman, Christian Finn, Riana Husselman, Manolis Emmanouel"
1128,The Invincible Iron Man,1 hr. 23 min.,Patrick Archibald,2007,"Marc Worden, Gwendoline Yeo, Fred Tatasciore, Rodney Saulsberry, Elisa Pensler Gabrie..., John McCook"
1129,BloodMonkey (Blood Monkey),1 hr. 28 min.,Robert Young,2008,"F Murray Abraham, Matt Reeves, Sebastian Armesto, Matthew Ryan, Amy Hanson, Freishia Bombanbehra..."
1130,The Guardian,15 min.,Andrew Davis,2006,"Kevin Costner, Ashton Kutcher, Sela Ward, Melissa Sagemiller, John Heard, Clancy Brown"
1131,Sinners in Paradise,1 hr. 4 min.,James Whale,1938,"John Boles, Madge Evans, Bruce Cabot, Marion Martin, Gene Lockhart, Charlotte Wynters"
1132,Captain Scarlett,1 hr. 15 min.,Thomas Carr,1953,"Richard Greene, Leonora Amar, Lenora Amar, Ned Young, Isobel del Puerto, Manolo Fabregas"
1133,Open Season,1 hr. 23 min.,Roger Allers,2006,"Martin Lawrence, Ashton Kutcher, Gary Sinise, Jane Krakowski, Debra Messing, Jon Favreau"
1134,Flyboys,55 min.,Tony Bill,2006,"James Franco, Martin Henderson, David Ellison, Jennifer Decker, Jean Reno, Tyler Labine"
1135,The Marine,1 hr. 32 min.,John Bonito,2006,"John Cena, Robert Patrick, Kelly Carlson, Anthony Ray Carlson, Anthony Ray Parker, Abigail Bianca"
1136,San cha kou (Divergence),1 hr. 39 min.,Benny Chan,2005,"Aaron Kwok, Daniel Wu, Ekin Cheng, Angelica Lee, Jing Ning, Eric Tsang"
1137,Band of Angels,2 hr. 5 min.,Raoul Walsh,1957,"Clark Gable, Yvonne De Carlo, Sidney Poitier, Efrem Zimbalist Jr., Rex Reason, Patric Knowles"
1138,Rx,1 hr. 26 min.,Ariel Vromen,2005,"Eric Balfour, Colin Hanks, Lauren German, Alan Tudyk, Ori Pfeffer, Daniel Pino"
1139,Teen Titans: Trouble in Tokyo,1 hr. 15 min.,Michael Chang,2007,"Greg Cipes, Scott Menville, Khary Payton, Tara Strong, Hynden Walch, Yuri Lowenthal"
1140,Hellboy: Sword of Storms,1 hr. 17 min.,Phil Weinstein,2006,"Ron Perlman, Selma Blair, Doug Jones, Peri Gilpin, John Hurt"
1141,Hellboy: Blood and Iron,1 hr. 15 min.,Phil Weinstein,2007,"Ron Perlman, Selma Blair, Doug Jones, John Hurt, Peri Gilpin, Cree Summer"
1142,Flags of Our Fathers,2 hr. 11 min.,Clint Eastwood,2006,"Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey, John Slattery, Barry Pepper"
1143,Executioners from Shaolin,1 hr. 38 min.,Chia-Liang Liu,1977,"Kuan Tai Chen, Li-Li Li, Lieh Lo, Lily Li"
1144,Black Friday,2 hr. 23 min.,Anurag Kashyap,2005,"Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Dibyendu Bhattachary..., Vijay Maurya, Kishore Kadam"
1145,Hercules and the Captive Women,1 hr. 33 min.,Antonio Margheriti,1961,"Reg Park, Fay Spain, Ettore Manni, Luciano Marin, Laura Altan, Mario Petri"
1146,The Last of the Mohicans,5 hr. 44 min.,David Maloney,1971,"Andrew Crawford, David Leland, George Pravda, Hilary Minster, Joanna David, John Abineri"
1147,Infernal Affairs III (Mou gaan dou III: Jung gik mou gaan),1 hr. 57 min.,Wai-keung Lau,2003,"Andy Lau, Leon Lai, Chen Daoming, Kelly Chen, Anthony Wong Chau-Sa..., Eric Tsang"
1148,Infernal Affairs II,1 hr. 49 min.,Siu Fai Mak,2003,"Shawn Yue, Edison Chen, Anthony Wong, Eric Tsang, Carina Lau, Francis Ng"
1149,Police Story 2 (Ging chaat goo si juk jaap) (Police Force II),1 hr. 32 min.,Jackie Chan,1988,"Jackie Chan, Maggie Cheung"
1150,Beowulf,1 hr. 54 min.,Robert Zemeckis,2007,"Ray Winstone, Anthony Hopkins, John Malkovich, Robin Wright, Angelina Jolie, Brendan Gleeson"
1151,Devil's Den,1 hr. 24 min.,Jeff Burr,2007,"Kelly Hu, Devon Sawa, Ken Foree, Steven Schub, Karen Maxwell, Dawn Olivieri"
1152,The Departed,2 hr. 32 min.,Martin Scorsese,2006,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone"
1153,Persons Unknown,1 hr. 39 min.,George Hickenlooper,1996,"Joe Mantegna, Kelly Lynch, Naomi Watts, J.T. Walsh, Jon Favreau"
1154,Man About Town,1 hr. 39 min.,Mike Binder,2006,"Ben Affleck, Rebecca Romijn, John Cleese, Samuel Ball, Mike Binder, Gina Gershon"
1155,Flight of Fury,1 hr. 34 min.,Michael Keusch,2007,"Steven Seagal, Steve Toussaint, Angus MacInnes, Mark Bazeley, Ciera Payton, Alki David"
1156,The Prestige,2 hr. 10 min.,Christopher Nolan,2006,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall, Scarlett Johansson"
1157,Crossover,1 hr. 35 min.,Preston A. Whitmore II,2006,"Eva Marcille, Anthony Mackie, Wayne Brady, Wesley Jonathan, Kristen Wilson, Lil JJ"
1158,49th Parallel (The Invaders),1 hr. 45 min.,Michael Powell,1941,"Richard George, Eric Portman, Raymond Lovell, Niall MacGinnis, Peter Moore, Leslie Howard"
1159,Meltdown: Days of Destruction,1 hr. 30 min.,Rick Drew,2006,"Casper Van Dien, Vincent Gale, Stefanie von Pfetten, Venus Terzo, Amanda Crew, Ryan McDonell"
1160,The Underdog,1 hr. 5 min.,William Nigh,1943,"Bobby Larson, Barton MacLane, Jan Wiley, Charlotte Wynters, Conrad Binyon, Elizabeth Valentine"
1161,The Big Cat,1 hr. 15 min.,Phil Karlson,1950,"Lon McCallister, Peggy Ann Garner, Preston S. Foster, Forrest Tucker, Sara Haden, Irving Bacon"
1162,Zen Man,1 hr. 27 min.,Sang H. Kim,2006,"Grady Justice, Elizabeth Rose, Eric Murray, James Donohue, Joseph Hughes, Magaly D'Amato"
1163,Half a Sinner,59 min.,Al Christie,1940,"Heather Angel, John ""Dusty"" King, Constance Collier, Walter Catlett, Tom Dugan, Robert Elliott"
1164,Honor,1 hr. 25 min.,David Worth (II),2005,"Jason Barry, Russell Wong, Roddy Piper, Remy Bonjasky, Linda Park, Masa Funaki"
1165,Walking Tall: The Payback,1 hr. 33 min.,Tripp Reed,2006,"Kevin Sorbo, Yvette Nipar, A.J. Buckley, Gail Cronauer, Bentley Mitchum, Jennifer Sipes"
1166,Journey to the End of the Night,1 hr. 28 min.,Eric Eason,2007,"Brendan Fraser, Yasiin Bey, Scott Glenn, Catalina Sandino Mor..., Matheus Nachtergaele, Alice Braga"
1167,The Land Before Time XII: Great Day of the Flyers,1 hr. 17 min.,Charles Grosvenor,2007,"Nick Price, Aria Noelle Curzon, Anndi McAfee, Jeff Bennett, Rob Paulsen, Tress MacNeille"
1168,Death Row,1 hr. 29 min.,Ed Quiroz,2006,"Elias Castillo, Jose Rosete, Todd Bridges, Chris Angelo, Joe Estevez, Jake Busey"
1169,Death Train (Im Auftrag des Vatikans),1 hr. 46 min.,Diethard Kuster,2006,"Arnold Vosloo, Mathis Landwehr, Stephan Bieker, Ken Bones, Simon Dutton, Michelle MacErlean"
1170,The Three Musketeers,2 hr. 5 min.,George Sidney,1948,"Lana Turner, Gene Kelly, June Allyson, Van Heflin, Angela Lansbury, Frank Morgan"
1171,Machine,16 min.,Michael Lazar,2006,"Michael Lazar, Michael Madsen, Neal McDonough, James Russo, Paul Sloan, Nick Vallelonga"
1172,The Return of Frank James,1 hr. 32 min.,Fritz Lang,1940,"Henry Fonda, Gene Tierney, Jackie Cooper, Henry Hull, John Carradine, J. Edward Bromberg"
1173,Jesse James,1 hr. 45 min.,Henry King,1939,"Tyrone Power, Henry Fonda, Nancy Kelly, Randolph Scott, Henry Hull, Brian Donlevy"
1174,Captain Horatio Hornblower,1 hr. 57 min.,Raoul Walsh,1951,"Gregory Peck, Virginia Mayo, Robert Beatty, James Robertson Just..., Denis O'Dea, Terence Morgan"
1175,Kabul Express,1 hr. 44 min.,Kabir Khan,2008,"John Abraham, Arshad Warsi, Salman Shahid, Hanif Hum Ghum, Linda Arsenio, Wali O Qhab"
1176,Harsh Times,1 hr. 55 min.,David Ayer,2006,"Christian Bale, Freddy Rodriguez, Eva Longoria, Terry Crews, Chaka Forman, Tammy Trull"
1177,Hell To Pay,1 hr. 33 min.,Roberto Gomez Martin,2005,"Lee Majors, Buck Taylor, Dave Courtney, Billy Murray, Jimmy Kent, Bo Svenson"
1178,The Dukes of Hazzard: The Beginning,1 hr. 35 min.,Robert Berlinger,2007,"Jonathan Bennett, Randy Wayne, April Scott, Willie Nelson, Christopher McDonald, Harland Williams"
1179,Casino Royale,2 hr. 24 min.,Martin Campbell,2006,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench, Caterina Murino, Jeffrey Wright"
1180,Eragon,1 hr. 43 min.,Stefan Fangmeier,2006,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Djimon Hounsou"
1181,Everyone's Hero,1 hr. 27 min.,Christopher Reeve,2006,"Jake T. Austin, Raven, Whoopi Goldberg, Rob Reiner, William H. Macy, Mandy Patinkin"
1182,Blood Diamond,2 hr. 23 min.,Edward Zwick,2006,"Leonardo DiCaprio, Jennifer Connelly, Djimon Hounsou, Kagiso Kuypers, Arnold Vosloo, Antony Coleman"
1183,The Hunt,1 hr. 30 min.,Thomas Szczepanski,2013,"Cliff De Young, Robert Rusler, Joe Michael Burke, Jellai Mouina, Clara Vallet, Sarah Lucide"
1184,Stan Lee Presents: The Condor,1 hr. 14 min.,Steven E. Gordon,2007,"Wilmer Valderrama, Maria Conchita Alons..., Kathleen Barr, Mary Elizabeth McGly..., Stan Lee"
1185,Adventures of Don Juan,1 hr. 51 min.,Vincent Sherman,1948,"Errol Flynn, Viveca Lindfors, Robert Douglas, Alan Hale, Romney Brent, Ann Rutherford"
1186,Sky Racket,1 hr. 1 min.,Robert F. Hill,1937,"Herman Brix, Joan Barclay, Monte Blue, Jack Mulhall, Bruce Bennett, Charles Williams"
1187,The Blonde Comet,1 hr. 5 min.,William Beaudine,1941,"Virginia Vale, Robert Kent, Barney Oldfield, Vince Barnett, William Halligan, Joey Ray"
1188,Curse of the Golden Flower,1 hr. 54 min.,Yimou Zhang,2006,"Li Gong, Ni Dahong, Yun-Fat Chow, Man Li, Jay Chou, Ye Liu"
1189,Tarzan and the Green Goddess,1 hr. 12 min.,Wilbur McGaugh,1938,"Herman Brix, Ula Holt, Frank Baker, Don Costello, Bruce Bennett, Lewis Sargent"
1190,Shark God,58 min.,Leon Leonard,1949,"Devera Burton, Ron Randell, Trevor Bardette, Pedro de Cordoba, Richard Benedict, Michael Whalen"
1191,The Final Countdown,1 hr. 32 min.,Don Taylor,1980,"Kirk Douglas, Martin Sheen, Katharine Ross, James Farentino, Ron O'Neal, Charles Durning"
1192,Solarbabies,1 hr. 35 min.,Alan Johnson,1986,"Richard Jordan, Jami Gertz, Lukas Haas, Jason Patric, James LeGros, Claude Brooks"
1193,The Dawn Patrol,1 hr. 43 min.,Edmund Goulding,1938,"Errol Flynn, David Niven, Basil Rathbone, Melville Cooper, Donald Crisp, Barry Fitzgerald"
1194,Dive Bomber,2 hr. 13 min.,Michael Curtiz,1941,"Errol Flynn, Fred MacMurray, Alexis Smith, Ralph Bellamy, Regis Toomey, Robert Armstrong"
1195,Desert Trail,57 min.,Lewis D. Collins,1935,"John Wayne, Mary Kornman, Paul Fix, Eddy Chandler, Eddie Chandler, Carmen Laroux"
1196,Charge of the Light Brigade,1 hr. 56 min.,Michael Curtiz,1936,"Errol Flynn, Olivia de Havilland, Henry Stephenson, Patric Knowles, Donald Crisp, Nigel Bruce"
1197,Muk gong (Battle of Wits),2 hr. 11 min.,Chi Leung 'Jacob' Cheung,2006,"Andy Lau, Ahn Sung-ki, Zhiwen Wang, Fan Bingbing, Choi Si-won, Nicky Wu"
1198,Gigantis the Fire Monster (Godzilla Raids Again)(Gojira's Counterattack)(The Volcano Monster),1 hr. 18 min.,Motoyoshi Oda,1955,"Hiroshi Koizumi, Minoru Chiaki, Hugo Grimaldi, Setsuko Makayama"
1199,The King Maker,1 hr. 32 min.,Lek Kitaparaporn,2005,"Gary Stretch, John Rhys-Davies, Cindy Burbridge, Yoe Hassadeevichit, Dom Hetrakul, Akara Amarttayakul"
1200,Survival Quest,1 hr. 30 min.,Dac Coscarelli,1989,"Mark Rolston, Steve Antin, Lance Henriksen, Michael Allen Ryder, Michael Ryder, Dermot Mulroney"
1201,El Aura (The Aura),2 hr. 14 min.,FabiÌÁn Bielinsky,2006,"Ricardo DarÌ_n, Dolores Fonzi, Pablo CedrÌ_n, Nahuel PÌ©rez Biscaya..., Jorge D'ElÌ_a, Alejandro Awada"
1202,Rancid,1 hr. 42 min.,Jack Ersgard,2004,"Matthew Settle, Fay Masterson, Currie Graham, Patrich Ersgard, Jay Acovone, Michael Wiseman"
1203,Dead & Deader (Dead and Deader),1 hr. 29 min.,Patrick Dinhut,2006,"Dean Cain, Susan Ward, Roxanne Arvizu, John Billingsley, Jackson Bolt, Ellie Cornell"
1204,Deadlands: The Rising,1 hr. 3 min.,Gary Ugarek,2006,"Dave Cooperman, Michelle Wright, Brian Wright, Gary Ugarek, Connor Brandt"
1205,George and the Dragon (Dragon Sword),1 hr. 33 min.,Tom Reeve,2004,"James Purefoy, Piper Perabo, Patrick Swayze, Michael Clarke Dunca..., Bill Treacher, Jean-Pierre Castaldi"
1206,Smokin' Aces,1 hr. 49 min.,Joe Carnahan,2007,"Jeremy Piven, Ben Affleck, Sharon Bruneau, Andy Garcia, Alicia Keys, Ray Liotta"
1207,The Promise (Master of Crimson Armor) (Wu ji),1 hr. 43 min.,Kaige Chen,2005,"Hiroyuki Sanada, Dong-gun Jang, Chang Dong Gun, Cecilia Cheung, Nicholas Tse, Ye Liu"
1208,MTY Extremo,1 hr. 25 min.,Marcelino Calzada,2006,"Renan Moreno, Antonio Craviotto, Armando De Leon, Jorge E. Ruiz, Mauricio Atri, Veronica Mabel Carri..."
1209,Captains of the Clouds,1 hr. 43 min.,Michael Curtiz,1942,"James Cagney, Dennis Morgan, Alan Hale, George Tobias, Brenda Marshall, Reginald Gardiner"
1210,DÌ©jÌÊ Vu,2 hr. 6 min.,Tony Scott,2006,"Denzel Washington, Val Kilmer, Paula Patton, Jim Caviezel, Julie Adams, Adam Goldberg"
1211,Von Richthofen and Brown,1 hr. 37 min.,Roger Corman,1971,"John Phillip Law, Don Stroud, Barry Primus, Peter Masterson, Clint Kimbrough, Karen Huston"
1212,Play Dirty,1 hr. 57 min.,AndrÌ© De Toth,1969,"Michael Caine, Nigel Davenport, Nigel Green, Harry Andrews, Daniel Pilon, Aly Ben Ayed"
1213,Torrid Zone,1 hr. 28 min.,William Keighley,1940,"James Cagney, Ann Sheridan, Pat O'Brien, Andy Devine, Helen Vinson, Jerome Cowan"
1214,Night at the Museum,1 hr. 48 min.,Shawn Levy,2006,"Ben Stiller, Carla Gugino, Robin Williams, Dick Van Dyke, Mickey Rooney, Bill Cobbs"
1215,The Fighting 69th,1 hr. 29 min.,William Keighley,1940,"James Cagney, Pat O'Brien, Jeffrey Lynn, George Brent, Alan Hale Sr., Alan Hale"
1216,Until Death,1 hr. 53 min.,Simon Fellows,2007,"Jean-Claude Van Damm..., Selina Giles, Stephen Rea, Mark Dymond, William Ash, Stephen Lord"
1217,Fixed Bayonets!,1 hr. 32 min.,Samuel Fuller,1951,"Richard Basehart, Gene Evans, Skip Homeier, Michael O'Shea, Richard Hylton, Craig Hill"
1218,Fah talai jone (Tears of the Black Tiger),1 hr. 53 min.,Wisit Sasanatieng,2007,"Chartchai Ngamsan, Suwinit Panjamawat, Stella Malucchi, Suppakorn Kitsuwan, Arawat Ruangvuth, Sombat Metanee"
1219,Motives 2: Retribution,1 hr. 33 min.,Aaron Courseault,2007,"Brian J. White, Vivica A. Fox, Sean Blakemore, Drew Sidora, Sharon Leal, Shemar Moore"
1220,Code Name: The Cleaner,1 hr. 31 min.,Les Mayfield,2007,"Lucy Liu, Cedric the Entertain..., Nicollette Sheridan, Mark Dacascos, Callum Keith Rennie, Niecy Nash"
1221,Camelot,2 hr. 59 min.,Marty Callner,1967,"Richard Harris, Vanessa Redgrave, Franco Nero, David Hemmings, Lionel Jeffries, Pierre Olaf"
1222,The Black Rose,2 hr.,Henry Hathaway,1950,"Tyrone Power, Orson Welles, Jack Hawkins, Michael Rennie, Finlay Currie, Herbert Lom"
1223,Forest Warrior,1 hr. 37 min.,Aaron Norris,1996,"Chuck Norris, Terry Kiser, Max Gail, Roscoe Lee Browne, Trenton Knight, Megan Paul"
1224,Swamp Zombies,1 hr. 30 min.,Len Kabasinski,2005,"Jasmin St. Claire, Janet Aden, Logan Clark, Brian Heffron, Dan Severn, Hans Cozzens"
1225,The System Within,1 hr. 48 min.,Dale Resteghini,2007,"Tariq Alexander, Tiffany Withers, Chingy, Hawthorne James, Kim Porter, Bryce Wilson"
1226,The Jaguar,1 hr. 38 min.,Francis Veber,1996,"Jean Reno, Patrick Bruel, Harrisson Lowe, Patricia Velasquez, Danny Trejo, Roland Blanche (II)"
1227,Don't Look for Me,1 hr. 23 min.,Tilman Zens,2004,"Stipe Erceg, Lea Mornar, Catherina Van Veen, Mark Zak, Thomas Bestvater, Udo Schenk"
1228,4 Life,1 hr. 20 min.,Hakim Khalfani,2007,"Wood Harris, Page Kennedy, J.D. Williams, Elise Neal, Kwame Patterson, Sundy Carter"
1229,Kerd ma lui (Born to Fight),1 hr. 36 min.,Panna Rittikrai,2004,"Dan Chupong, Nappon Gomarachun, Piyapong Piew-on, Santisuk Promsiri"
1230,Seraphim Falls,1 hr. 52 min.,David Von Ancken,2007,"Liam Neeson, Pierce Brosnan, Michael Wincott, Ed Lauter, John Robinson (IX), Robert Baker"
1231,Half Past Dead 2,1 hr. 32 min.,Art Camacho,2007,"Bill Goldberg, Kurupt, Jack Conley, Tony Plana, Angell Conwell, Robert Madrid"
1232,Allegheny Uprising,1 hr. 21 min.,William A. Seiter,1939,"John Wayne, Brian Donlevy, Claire Trevor, George Sanders, Wilfrid Lawson, Wilfred Lawson"
1233,So weit die FÌ_ÌÙe tragen (As Far As My Feet Will Carry Me),2 hr. 37 min.,Hardy Martins,2001,"Bernhard Bettermann, Bernhard Betterman, Anatoly Kotenyov, AndrÌ© Hennicke, Anatoliy Kotenyov, Irina Pantaeva"
1234,The Adventures of Marco Polo,1 hr. 40 min.,Archie Mayo,1938,"Gary Cooper, Basil Rathbone, Sigrid Gurie, Ernest Truex, Alan Hale Sr., George Barbier"
1235,The Telegraph Trail,1 hr.,Tenny Wright,1933,"John Wayne, Frank McHugh, Marceline Day, Otis Harlan, Albert J. Smith, Yakima Canutt"
1236,The Big Stampede,54 min.,Tenny Wright,1932,"John Wayne, Noah Beery Sr., Mae Madison, Luis Alberni, Horse: Duke, Berton Churchill"
1237,Epic Movie,1 hr. 24 min.,Aaron Seltzer,2007,"Kal Penn, Adam Campbell, Jayma Mays, Faune A. Chambers, Crispin Glover, Fred Willard"
1238,"Ride Him, Cowboy",55 min.,Fred Allen,1932,"John Wayne, Ruth Hall, Henry B. Walthall, Harry Gribbon, Otis Harlan, Charles Sellon"
1239,Gun the Man Down,1 hr. 14 min.,Andrew V. McLaglen,1956,"James Arness, Angie Dickinson, Robert J. Wilke, Robert Wilke, Emile G. Meyer, Don Megowan"
1240,Haunted Gold,58 min.,Mack V. Wright,1932,"Sheila Bromley, Erville Alderson, Harry Woods, John Wayne, Otto Hoffman, Martha Mattox"
1241,Big Jim McLain,1 hr. 30 min.,Edward Ludwig,1952,"John Wayne, Nancy Olson, James Arness, Veda Ann Borg, Alan Napier, Gayne Whitman"
1242,Tycoon,2 hr. 9 min.,Richard Wallace,1947,"John Wayne, Laraine Day, Cedric Hardwicke, Judith Anderson, James Gleason, Anthony Quinn"
1243,Alex Rider: Operation Stormbreaker,1 hr. 32 min.,Geoffrey Sax,2006,"Alex Pettyfer, Ewan McGregor, Mickey Rourke, Bill Nighy, Sophie Okonedo, Alicia Silverstone"
1244,Broken Arrow,1 hr. 33 min.,Delmer Daves,1950,"James Stewart, Jeff Chandler, Debra Paget, Basil Ruysdael, Will Geer, Joyce Mackenzie"
1245,Fay Grim,1 hr. 58 min.,Hal Hartley,2007,"Parker Posey, Jeff Goldblum, James Urbaniak, D.J. Mendel, Liam Aiken, Megan Gay"
1246,Code of the Redman,1 hr. 15 min.,Edward F. Finney,1942,"Chief Thundercloud, Dave O'Brien, Billy Wilkerson, Chief Yowlachie, Edward Finney, Forrest Taylor"
1247,Above the Law,1 hr. 39 min.,Mickey Gilbert (II),1988,"Steven Seagal, Henry Silva, Pam Grier, Sharon Stone, Ron Dean, Daniel Faraldo"
1248,Champions,1 hr. 38 min.,John Irvin,1998,"Ken Shamrock, Louis Mandylor, Danny Trejo, Jeff Wolfe, Lee Reherman, Bobbie Blackwood"
1249,Fantastic Voyage,1 hr. 40 min.,Richard Fleischer,1966,"Stephen Boyd, Donald Pleasence, Edmond O'Brien, Raquel Welch, Arthur O'Connell, William Redfield"
1250,Fail Safe,1 hr. 36 min.,Stephen Frears,2000,"George Clooney, Richard Dreyfuss, Noah Wyle, Harvey Keitel, Hank Azaria, Brian Dennehy"
1251,Air Force,2 hr. 4 min.,Howard Hawks,1943,"John Garfield, Gig Young, Arthur Kennedy, Faye Emerson, John Ridgely, Charles Drake"
1252,Hell to Eternity,2 hr. 12 min.,Phil Karlson,1960,"Jeffrey Hunter, David Janssen, Vic Damone, Sessue Hayakawa, Patricia Owens, Richard Eyer"
1253,Ghidorah: The Three Headed Monster,1 hr. 32 min.,IshirÌ« Honda,1964,"Yuriko Hoshi, Takashi Shimura, YÌÈmi Ito, Emi Ito, Akiko Wakabayashi, Hisaya Ito"
1254,Distortion,1 hr. 23 min.,Kirk Fogg,2006,"Jack Rubio, Kirk Fogg, Sara Lahti, Sarah Lahti, Grant Reynolds, Art Chudabala"
1255,Command Decision,1 hr. 52 min.,Sam Wood,1948,"Clark Gable, Walter Pidgeon, Van Johnson, Brian Donlevy, Charles Bickford, John Hodiak"
1256,A Fistful of Dynamite,2 hr. 19 min.,Sergio Leone,1972,"Rod Steiger, James Coburn, Romolo Valli, Jean Michel Antoine, Maria Monti, Rik Battaglia"
1257,Voyage to the Bottom of the Sea,1 hr. 46 min.,Irwin Allen,1961,"Walter Pidgeon, Joan Fontaine, Peter Lorre, Barbara Eden, Robert Sterling, Michael Ansara"
