ID_A,ID_B,Flag,Title_A,Title_B,Director_A,Director_B,Year_A,Year_B
2277,96,,Frantic (1988) ,Frantic,Roman Polanski,Roman Polanski,2006,1988
2080,2903,,Phantom ,Phantom,Todd Robinson,Todd Robinson,2013,2013
871,777,,The Island    ,The Island,Michael Bay,Michael Bay,2005,2005
4476,2440,,Hanna    ,Hanna,Joe Wright,Joe Wright,2011,2011
387,3189,,The Raid 2 [Blu-ray] ,The Raid 2,Gareth Evans,Gareth Evans,2014,2014
3291,208,,Apollo 13 [Blu-ray] ,Apollo 13,Ron Howard,Ron Howard,2015,1995
4604,6169,,Mr. Turner ,Mr. Turner,Mike Leigh,Mike Leigh,2015,2014
4288,484,,Ocean's Twelve    ,Ocean's Twelve,Steven Soderbergh,Steven Soderbergh,2004,2004
618,3019,,The Mortal Instruments: City of Bones  (+UltraViolet Digital Copy) ,The Mortal Instruments: City of Bones,Harald Zwart,Harald Zwart,2013,2013
1679,931,,Firewall    ,Firewall,Richard Loncraine,Richard Loncraine,2006,2006
2518,992,,Miami Vice / Inside Man Double Feature [Blu-ray] ,Inside Man,Spike Lee,Spike Lee,2013,2006
1051,874,,King Kong (Extended Version)    ,King Kong,Peter Jackson,Peter Jackson,2005,2005
643,5544,,Jack Ryan: Shadow Recruit (Blu-ray + DVD + Digital HD) ,Jack Ryan: Shadow Recruit,Kenneth Branagh,Kenneth Branagh,2014,2014
2834,4835,,Spring Breakers    ,Spring Breakers,Harmony Korine,Harmony Korine,2013,2013
3238,6321,,Where Hope Grows [DVD + Digital] ,Where Hope Grows,Chris Dowling,Chris Dowling,2015,2015
3321,5564,,The Grand Budapest Hotel [Blu-ray] ,The Grand Budapest Hotel,Wes Anderson,Wes Anderson,2014,2014
3001,2448,,Captain America: The First Avenger (Two-Disc Blu-ray/DVD Combo + Digital Copy) ,Captain America: The First Avenger,Joe Johnston,Joe Johnston,2013,2011
3548,5894,,The Giver DVD ,The Giver,Phillip Noyce,Phillip Noyce,2014,2014
257,247,,Van Helsing [Blu-ray] ,Van Helsing,Stephen Sommers,Stephen Sommers,2009,2004
1545,4453,,Premium Rush    ,Premium Rush,David Koepp,David Koepp,2012,2012
2442,793,,Shadow Man    ,Shadow Man,Michael Keusch,Michael Keusch,2006,2006
2390,600,,State Property 2 ,State Property 2,Damon Dash,Damon Dash,2005,2005
2319,3136,,Bad Country [Blu-ray] ,Bad Country,Chris Brinker,Chris Brinker,2014,2014
2882,3465,,Aloha ,Aloha,Cameron Crowe,Cameron Crowe,2015,2015
4240,1031,,The Fast and the Furious: Tokyo Drift    ,The Fast and the Furious: Tokyo Drift,Justin Lin,Justin Lin,2006,2006
1040,2099,,The Imaginarium of Doctor Parnassus ,The Imaginarium of Doctor Parnassus,Terry Gilliam,Terry Gilliam,2010,2009
1523,1687,,El Norte (The Criterion Collection) ,El Norte,Gregory Nava,Gregory Nava,2009,1984
1887,72,,The Hunters ,The Hunters,Dick Powell,Dick Powell,2004,1958
2829,6389,,Southpaw (Blu-ray + DVD + Ultraviolet) ,Southpaw,Antoine Fuqua,Antoine Fuqua,2015,2015
145,2448,,Captain America: The First Avenger (Two-Disc Blu-ray/DVD Combo + Digital Copy) ,Captain America: The First Avenger,Joe Johnston,Joe Johnston,2013,2011
84,2992,,Pacific Rim (Blu-ray) ,Pacific Rim,Guillermo del Toro,Guillermo del Toro,2013,2013
2763,5206,,You're Next'    ,You're Next,Adam Wingard,Adam Wingard,2013,2013
3367,6187,,The Living    ,The Living,Jack Bryan,Jack Bryan,2015,2015
3008,6231,,9 Full Moons    ,9 Full Moons,Tomer Almagor,Tomer Almagor,2014,2014
118,2257,,Inception (Blu-ray) ,Inception,Christopher Nolan,Christopher Nolan,2010,2010
1600,2204,,Robin Hood    ,Robin Hood,Ridley Scott,Ridley Scott,2010,2010
4850,4441,,The Good Doctor    ,The Good Doctor,Lance Daly,Lance Daly,2012,2012
2467,4083,,Snow on tha Bluff ,Snow on tha Bluff,Damon Russell,Damon Russell,2012,2012
5208,111,,Training Day (Keepcase) ,Training Day,Antoine Fuqua,Antoine Fuqua,2010,2001
5092,2029,,Pandorum    ,Pandorum,Christian Alvart,Christian Alvart,2009,2009
2847,6116,,A Most Violent Year    ,A Most Violent Year,J.C. Chandor,J.C. Chandor,2014,2015
389,1352,0,Transformers: Revenge of the Fallen    ,Transformers,Michael Bay,Michael Bay,2009,2007
3263,6052,,Whiplash [Blu-ray] ,Whiplash,Damien Chazelle,Damien Chazelle,2015,2014
1269,111,,Training Day (BD) [Blu-ray] ,Training Day,Antoine Fuqua,Antoine Fuqua,2014,2001
139,1646,,24,24: Redemption,Jon Cassar,Jon Cassar,2009,2008
2913,5496,,Her    ,Her,Spike Jonze,Spike Jonze,2013,2013
3654,4851,,42: The Jackie Robinson Story ,42,Brian Helgeland,Brian Helgeland,2013,2013
4851,2924,,Templar Nation    ,Templar Nation,Brian Vance,Brian Vance,2013,2012
3433,6046,,The Theory of Everything    ,The Theory of Everything,James Marsh,James Marsh,2014,2014
284,1075,,The Da Vinci Code (Two-Disc Extended Edition + BD Live) [Blu-ray] ,The Da Vinci Code,Ron Howard,Ron Howard,2009,2006
4129,6154,,50 to 1 ,50 to 1,Jim Wilson,Jim Wilson,2015,2014
3538,4634,,A Royal Affair (English Subtitled)    ,A Royal Affair,Nikolaj Arcel,Nikolaj Arcel,2012,2012
1552,1397,,Underdog    ,Underdog,Frederik Du Chau,Frederik Du Chau,2007,2007
2111,1406,,Shoot 'Em Up [Blu-ray] ,Shoot 'Em Up,Michael Davis,Michael Davis,2008,2007
1545,2763,,Premium Rush    ,Premium Rush,David Koepp,David Koepp,2012,2012
4714,2630,,Wrath of the Titans    ,Wrath of the Titans,Jonathan Liebesman,Jonathan Liebesman,2012,2012
1400,304,,Harold & Kumar Go to White Castle (Unrated)    ,Harold & Kumar Go to White Castle,Danny Leiner,Danny Leiner,2004,2004
530,1152,,Martin Scorsese Triple Feature (Goodfellas / The Aviator / The Departed) [Blu-ray] ,The Departed,Martin Scorsese,Martin Scorsese,2012,2006
1616,833,,Doom (Unrated Extended Edition) [Blu-ray] ,Doom,Andrzej Bartkowiak,Andrzej Bartkowiak,2009,2005
4222,2209,,Iron Man 2,Iron Man 2,Jon Favreau,Jon Favreau,2010,2010
4547,5398,,August: Osage County ,August: Osage County,John Wells,John Wells,2014,2013
483,1764,,Quantum of Solace ,Quantum of Solace,Marc Forster,Marc Forster,2009,2008
2831,5219,,The Spectacular Now    ,The Spectacular Now,James Ponsoldt,James Ponsoldt,2013,2013
2612,843,,Domino  [Blu-ray] ,Domino,Tony Scott,Tony Scott,2009,2005
3456,6129,,God Help the Girl    ,God Help the Girl,Stuart Murdoch,Stuart Murdoch,2014,2014
3158,5783,,Live Die Repeat: Edge of Tomorrow (DVD) ,Live Die Repeat: Edge of Tomorrow,Doug Liman,Doug Liman,2014,2014
2651,4110,,The Hunter    ,The Hunter,Daniel Nettheim,Daniel Nettheim,2012,2012
793,1369,,Close Encounters of the Third Kind (30th Anniversary Ultimate Edition) ,Close Encounters of the Third Kind,Steven Spielberg,Steven Spielberg,2007,1977
2826,5832,,Life Of Crime    ,Life Of Crime,Daniel Schechter,Daniel Schechter,2014,2014
402,5683,,The Amazing Spider-Man 2 (3D/Blu-Ray/DVD/UltraViolet Combo Pack) ,The Amazing Spider-Man 2,Marc Webb,Marc Webb,2014,2014
38,1882,,Fast & Furious (2009)    ,Fast & Furious,Justin Lin,Justin Lin,2009,2009
578,3053,,Machete Kills (Blu-ray + DVD + Digital HD with UltraViolet) ,Machete Kills,Robert Rodriguez,Robert Rodriguez,2014,2013
3196,3681,,Main Street    ,Main Street,John Doyle,John Doyle,2011,2011
1927,4367,,Sinbad the Sailor ,Sinbad the Sailor,Richard Wallace,Richard Wallace,2012,1947
2237,3047,,The Chronicles of Riddick (Unrated Director's Cut) [Blu-ray] ,Riddick,David Twohy,David Twohy,2009,2013
1555,5335,,Out of the Furnace ,Out of the Furnace,Scott Cooper,Scott Cooper,2014,2013
2508,68,,Torque (BD) [Blu-ray] ,Torque,Joseph Kahn,Joseph Kahn,2014,2004
940,113,,Clash of the Titans (1981)    ,Clash of the Titans,Desmond Davis,Desmond Davis,1981,1981
3508,2493,,Warrior    ,Warrior,Gavin O'Connor,Gavin O'Connor,2011,2011
147,2096,,Avatar (Blu-ray 3D + Blu-ray/ DVD Combo Pack) ,Avatar,James Cameron,James Cameron,2012,2009
3508,3737,,Warrior    ,Warrior,Gavin O'Connor,Gavin O'Connor,2011,2011
3464,6123,,The Babadook (Special Edition) [Deluxe Packaging] [Blu-ray] ,The Babadook,Jennifer Kent,Jennifer Kent,2015,2014
568,2696,,Resident Evil: Damnation (+ UltraViolet Digital Copy) [Blu-ray] ,Resident Evil: Damnation,Makoto Kamiya,Makoto Kamiya,2012,2012
815,245,,The Day After Tomorrow (Widescreen Edition) ,The Day After Tomorrow,Roland Emmerich,Roland Emmerich,2004,2004
1753,577,,Time Barbarians    ,Time Barbarians,Joseph John Barmettler,Joseph John Barmettler,1990,1990
3218,4412,,The Dark Knight Rises [Blu-ray] ,The Dark Knight Rises,Christopher Nolan,Christopher Nolan,2012,2012
1801,4368,,Fire With Fire ,Fire With Fire,David Barrett,David Barrett,2012,2012
1970,1039,,X-Men: The Last Stand (Widescreen Edition) ,X-Men: The Last Stand,Brett Ratner,Brett Ratner,2006,2006
1506,1996,,Terminator Salvation (Two-Disc Director's Cut) [Blu-ray] ,Terminator Salvation,McG,McG,2009,2009
1324,782,,The Brothers Grimm [Blu-ray] ,The Brothers Grimm,Terry Gilliam,Terry Gilliam,2013,2005
5177,5933,,Pride ,Pride,Matthew Warchus,Matthew Warchus,2014,2014
517,5389,,47 Ronin (Blu-ray + DVD + Digital HD with UltraViolet) ,47 Ronin,Carl Rinsch,Carl Rinsch,2014,2013
232,3286,,Hercules (2014)    ,Hercules,Brett Ratner,Brett Ratner,2014,2014
1288,3736,,Colombiana (Blu-ray + UltraViolet Digital Copy) ,Colombiana,Olivier Megaton,Olivier Megaton,2011,2011
5010,4232,,Darling Companion ,Darling Companion,Lawrence Kasdan,Lawrence Kasdan,2012,2012
3466,2493,,Warrior ,Warrior,Gavin O'Connor,Gavin O'Connor,2011,2011
3431,3442,,Last Knights    ,Last Knights,Kazuaki Kiriya,Kazuaki Kiriya,2015,2015
4954,2099,,The Imaginarium of Doctor Parnassus ,The Imaginarium of Doctor Parnassus,Terry Gilliam,Terry Gilliam,2010,2009
4338,503,,Battle of the Bulge ,Battle of the Bulge,Ken Annakin,Ken Annakin,2007,1998
33,3016,,Red 2 ,Red 2,Dean Parisot,Dean Parisot,2013,2013
4237,3063,,Rush    ,Rush,Ron Howard,Ron Howard,2013,2013
2506,1099,,Corsair    ,Corsair,Roland West,Roland West,1931,1931
1074,2583,,The Grey    ,The Grey,Joe Carnahan,Joe Carnahan,2012,2012
1499,66,,Enter the Dragon    ,Enter the Dragon,Robert Clouse,Robert Clouse,1973,1973
445,1882,0,Fast & Furious 6 ,Fast & Furious,Justin Lin,Justin Lin,2013,2009
4893,1152,,Martin Scorsese Triple Feature (Goodfellas / The Aviator / The Departed) [Blu-ray] ,The Departed,Martin Scorsese,Martin Scorsese,2012,2006
89,552,,The Getaway    ,The Getaway,Sam Peckinpah,Sam Peckinpah,1972,1972
5217,2683,,For Greater Glory ,For Greater Glory,Dean Wright,Dean Wright,2012,2012
2477,349,,Taxi (Widescreen Edition) ,Taxi,Tim Story,Tim Story,2005,2004
487,3128,,The Hobbit: The Desolation of Smaug (Extended Edition) (plus bonus features!)    ,The Hobbit: The Desolation of Smaug,Peter Jackson,Peter Jackson,2013,2013
3152,3394,,Interstellar (Blu-ray) ,Interstellar,Christopher Nolan,Christopher Nolan,2015,2014
779,1032,,How the West Was Won (Three-Disc Special Edition) ,How the West Was Won,John Ford,John Ford,2008,1963
4322,1476,,Border Lost    ,Border Lost,David Murphy,David Murphy,2008,2007
1920,541,,"Mr. Wong, Detective - The Complete Collection (Mr. Wong, Detective / The Mystery of Mr. Wong / Mr. Wong in Chinatown / The Fatal Hour / Doomed to Die / Phantom of Chinatown) ",Doomed to Die,William Nigh,William Nigh,2008,1940
1595,805,,Transporter 2 [Blu-ray] ,Transporter 2,Louis Leterrier,Louis Leterrier,2006,2005
7,1882,0,Fast & Furious 6    ,Fast & Furious,Justin Lin,Justin Lin,2013,2009
1418,755,,Mr. & Mrs. Smith (Widescreen Edition) ,Mr. & Mrs. Smith,Doug Liman,Doug Liman,2005,2005
1365,3422,,Mortdecai (PG-13)    ,Mortdecai,David Koepp,David Koepp,2015,2015
3585,5580,,300: Rise of an Empire (2014)   ,300: Rise of an Empire,Noam Murro,Noam Murro,2014,2014
16,2084,,Sherlock Holmes: A Game Of Shadows    ,Sherlock Holmes,Guy Ritchie,Guy Ritchie,2011,2009
1827,1424,,Stealth & Vertical Limit - Blu-ray Double Feature ,Stealth,Rob Cohen,Rob Cohen,2012,2005
1741,1530,,Jumper ,Jumper,Doug Liman,Doug Liman,2008,2008
99,5683,,The Amazing Spider-Man 2    ,The Amazing Spider-Man 2,Marc Webb,Marc Webb,2014,2014
842,2683,,For Greater Glory ,For Greater Glory,Dean Wright,Dean Wright,2012,2012
352,3001,,R.I.P.D.    ,R.I.P.D.,Robert Schwentke,Robert Schwentke,2013,2013
1488,2550,,A Lonely Place to Die [Blu-ray] ,A Lonely Place to Die,Julian Gilbey,Julian Gilbey,2012,2011
624,3585,,Fast Five ,Fast Five,Justin Lin,Justin Lin,2011,2011
413,1156,,The Prestige [Blu-ray] ,The Prestige,Christopher Nolan,Christopher Nolan,2007,2006
736,1614,,Indiana Jones and the Kingdom of the Crystal Skull (Single-Disc Edition) ,Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Steven Spielberg,2008,2008
557,987,,V for Vendetta / Watchmen / Constantine (Triple-Feature) [Blu-ray] ,V for Vendetta,James McTeigue,James McTeigue,2012,2006
1691,279,,The Bourne Supremacy (Widescreen Edition) ,The Bourne Supremacy,Paul Greengrass,Paul Greengrass,2004,2004
191,2747,,The Dark Knight Rises    ,The Dark Knight Rises,Christopher Nolan,Christopher Nolan,2012,2012
1878,1296,,Pathfinder [Blu-ray] ,Pathfinder,Marcus Nispel,Marcus Nispel,2007,2007
1518,1131,,Sinners in Paradise    ,Sinners in Paradise,James Whale,James Whale,1938,1938
4355,1885,,Watchmen    ,Watchmen,Zack Snyder,Zack Snyder,2009,2009
191,1669,,The Dark Knight Rises    ,The Dark Knight,Christopher Nolan,Christopher Nolan,2012,2008
1073,4799,,Jack the Giant Slayer ,Jack the Giant Slayer,Bryan Singer,Bryan Singer,2013,2013
3316,3489,,Meek's Cutoff    ,Meek's Cutoff,Kelly Reichardt,Kelly Reichardt,2011,2011
3440,5295,,Don't Pass Me By    ,Don't Pass Me By,Eric Priestley,Eric Priestley,2014,2013
2722,3822,,The Sunset Limited    ,The Sunset Limited,Tommy Lee Jones,Tommy Lee Jones,2011,2011
2811,6097,,Song One    ,Song One,Kate Barker-Froyland,Kate Barker-Froyland,2015,2015
4956,5189,,Don Jon    ,Don Jon,Joseph Gordon-Levitt,Joseph Gordon-Levitt,2013,2013
4874,3936,,Angels Crest    ,Angels Crest,Gaby Dellal,Gaby Dellal,2011,2011
4596,5564,,The Grand Budapest Hotel Extended Preview    ,The Grand Budapest Hotel,Wes Anderson,Wes Anderson,2014,2014
2880,4350,,Magic Mike (DVD) ,Magic Mike,Steven Soderbergh,Steven Soderbergh,2012,2012
593,1524,,The Bucket List    ,The Bucket List,Rob Reiner,Rob Reiner,2007,2007
8,208,,Apollo 13    ,Apollo 13,Ron Howard,Ron Howard,2008,1995
3443,1156,,The Prestige    ,The Prestige,Christopher Nolan,Christopher Nolan,2006,2006
374,3803,,Real Steel ,Real Steel,Shawn Levy,Shawn Levy,2011,2011
2427,2303,,All-Star Superman [Blu-ray] ,All-Star Superman,Sam Liu,Sam Liu,2011,2011
2603,658,,Major Dundee (The Extended Version) ,Major Dundee,Sam Peckinpah,Sam Peckinpah,2005,1965
3481,5204,,Fenced Off    ,Fenced Off,Brad Wise,Brad Wise,2014,2013
4187,111,,Training Day   ,Training Day,Antoine Fuqua,Antoine Fuqua,2001,2001
3867,4262,,Snow White and the Huntsman (Extended Edition) ,Snow White and the Huntsman,Rupert Sanders,Rupert Sanders,2012,2012
2515,3110,,Avengers Confidential: Black Widow & Punisher [Blu-ray] ,Avengers Confidential: Black Widow & Punisher,Kenichi Shimizu,Kenichi Shimizu,2014,2013
1374,273,,Spider-Man 2 (Widescreen Special Edition) ,Spider-Man 2,Sam Raimi,Sam Raimi,2004,2004
776,1378,,Live Free or Die Hard    ,Live Free or Die Hard,Len Wiseman,Len Wiseman,2007,2007
903,2375,,True Grit (Two-Disc Blu-ray/DVD Combo) ,True Grit,Joel Coen,Joel Coen,2011,2010
2148,1100,,Up Periscope    ,Up Periscope,Gordon Douglas,Gordon Douglas,1959,1959
3492,2084,,Sherlock Holmes (2009)    ,Sherlock Holmes,Guy Ritchie,Guy Ritchie,2009,2009
3791,3488,,Butterfly Crush    ,Butterfly Crush,Alan Clay,Alan Clay,2010,2010
2842,6386,,Paper Towns    ,Paper Towns,Jake Schreier,Jake Schreier,2015,2015
2276,939,,Underworld: Evolution [Blu-ray] ,Underworld: Evolution,Len Wiseman,Len Wiseman,2006,2006
497,3152,,Vampire Academy ,Vampire Academy,Mark Waters,Mark Waters,2014,2014
1729,1743,,Punisher: War Zone [Blu-ray] ,Punisher: War Zone,Lexi Alexander,Lexi Alexander,2009,2008
3246,4225,,The Lucky One    ,The Lucky One,Scott Hicks,Scott Hicks,2012,2012
1411,874,,King Kong    ,King Kong,Peter Jackson,Peter Jackson,2005,2005
4470,2327,,Fair Game    ,Fair Game,Doug Liman,Doug Liman,2010,2010
682,1109,,Shottas ,Shottas,Cess Silvera,Cess Silvera,2007,2006
3890,5758,,Ida (English Subtitled)   ,Ida,Pawel Pawlikowski,Pawel Pawlikowski,2014,2014
697,166,,Hidalgo (Widescreen Edition) ,Hidalgo,Joe Johnston,Joe Johnston,2004,2004
516,1882,,Fast & Furious (2009) ,Fast & Furious,Justin Lin,Justin Lin,2011,2009
4629,1604,,Iron Man [Blu-ray] ,Iron Man,Jon Favreau,Jon Favreau,2013,2008
2769,6194,,American Sniper (Special Edition) ,American Sniper,Clint Eastwood,Clint Eastwood,2015,2015
1823,1463,,Revolver [Blu-ray] ,Revolver,Guy Ritchie,Guy Ritchie,2008,2005
1368,111,,Training Day [Blu-ray] ,Training Day,Antoine Fuqua,Antoine Fuqua,2006,2001
5180,585,,Dirty Mary Crazy Larry / Race With The Devil (Double Feature) ,Dirty Mary Crazy Larry,John Hough,John Hough,2011,1974
2665,171,,Kill Bill: Volume 2    ,Kill Bill: Volume 2,Quentin Tarantino,Quentin Tarantino,2005,2004
4359,1908,,Shifty    ,Shifty,Eran Creevy,Eran Creevy,2009,2008
4979,3189,,The Raid 2   ,The Raid 2,Gareth Evans,Gareth Evans,2014,2014
486,2443,,X-Men: First Class ,X-Men: First Class,Matthew Vaughn,Matthew Vaughn,2011,2011
2287,843,,Domino    ,Domino,Tony Scott,Tony Scott,2005,2005
3339,5877,,If I Stay ,If I Stay,R.J. Cutler,R.J. Cutler,2014,2014
2847,3397,,A Most Violent Year    ,A Most Violent Year,J.C. Chandor,J.C. Chandor,2014,2015
42,2931,,Oblivion (Blu-ray + DVD + Digital Copy + UltraViolet) ,Oblivion,Joseph Kosinski,Joseph Kosinski,2013,2013
925,4033,,Red Tails ,Red Tails,Anthony Hemingway,Anthony Hemingway,2012,2012
251,2440,,Hanna    ,Hanna,Joe Wright,Joe Wright,2011,2011
4943,2009,,District 9    ,District 9,Neill Blomkamp,Neill Blomkamp,2009,2009
3271,6080,,Low Down    ,Low Down,Jeff Preiss,Jeff Preiss,2014,2014
110,3549,,Thor    ,Thor,Kenneth Branagh,Kenneth Branagh,2011,2011
1326,2528,,The Rum Diary ,The Rum Diary,Bruce Robinson,Bruce Robinson,2012,2011
3111,4645,,Lincoln    ,Lincoln,Steven Spielberg,Steven Spielberg,2012,2012
3743,937,,Running Scared (BD) [Blu-ray] ,Running Scared,Wayne Kramer,Wayne Kramer,2013,2006
2953,6297,,A Little Chaos    ,A Little Chaos,Alan Rickman,Alan Rickman,2015,2015
629,1996,,Terminator Salvation    ,Terminator Salvation,McG,McG,2009,2009
833,2084,,Sherlock Holmes ,Sherlock Holmes,Guy Ritchie,Guy Ritchie,2010,2009
3542,6159,,Amira & Sam    ,Amira & Sam,Sean Mullin,Sean Mullin,2014,2015
194,1372,,Harry Potter and the Order of the Phoenix    ,Harry Potter and the Order of the Phoenix,David Yates,David Yates,2007,2007
1215,272,,Hero ,Hero,Yimou Zhang,Yimou Zhang,2011,2004
1209,741,,Ran (StudioCanal Collection) [Blu-ray] ,Ran,Akira Kurosawa,Akira Kurosawa,2010,1985
102,3128,,The Hobbit: The Desolation of Smaug (Special Edition) (DVD) ,The Hobbit: The Desolation of Smaug,Peter Jackson,Peter Jackson,2014,2013
5154,5518,,Endless Love ,Endless Love,Shana Feste,Shana Feste,2014,2014
3312,5361,,American Hustle    ,American Hustle,David O. Russell,David O. Russell,2013,2013
4459,2263,,The Town ,The Town,Ben Affleck,Ben Affleck,2010,2010
2170,3414,,Viking Quest    ,Viking Quest,Todor Chapkanov,Todor Chapkanov,2015,2014
3673,4499,,End of Watch    ,End of Watch,David Ayer,David Ayer,2012,2012
455,3153,,The Monuments Men ,The Monuments Men,George Clooney,George Clooney,2014,2014
1288,2497,,Colombiana (Blu-ray + UltraViolet Digital Copy) ,Colombiana,Olivier Megaton,Olivier Megaton,2011,2011
1155,1666,,The Mummy: Tomb of the Dragon Emperor    ,The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Rob Cohen,2008,2008
4555,2759,,Total Recall (Mastered in 4K) (Single-Disc Blu-ray + UltraViolet Digital Copy) ,Total Recall,Len Wiseman,Len Wiseman,2013,2012
2836,6009,,Dear White People    ,Dear White People,Justin Simien,Justin Simien,2014,2014
4613,4547,,Luna Park    ,Luna Park,Steven Vasquez,Steven Vasquez,2013,2013
4200,3030,,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,Thor Freudenthal,Thor Freudenthal,2013,2013
347,506,,National Treasure (Widescreen Edition) ,National Treasure,Jon Turteltaub,Jon Turteltaub,2005,2004
3215,6341,,I'll See You in My Dreams (DVD) ,I'll See You in My Dreams,Brett Haley,Brett Haley,2015,2015
573,503,,Battle of the Bulge ,Battle of the Bulge,Ken Annakin,Ken Annakin,2007,1998
1286,2394,,13 Assassins [Blu-ray] ,13 Assassins,Takashi Miike,Takashi Miike,2011,2011
3003,5314,,Nebraska    ,Nebraska,Alexander Payne,Alexander Payne,2013,2013
3102,2816,,The Twilight Saga: Breaking Dawn Part 2    ,The Twilight Saga: Breaking Dawn Part 2,Bill Condon,Bill Condon,2013,2012
4139,1369,,Close Encounters of the Third Kind [Blu-ray] ,Close Encounters of the Third Kind,Steven Spielberg,Steven Spielberg,2011,1977
2642,4205,,The Hunger Games    ,The Hunger Games,Gary Ross,Gary Ross,2012,2012
3693,5955,,Boyhood    ,Boyhood,Richard Linklater,Richard Linklater,2014,2014
4347,3268,,X-Men: Days of Future Past - The Rogue Cut    ,X-Men: Days of Future Past,Bryan Singer,Bryan Singer,2015,2014
3844,45,,The Last Samurai [Blu-ray] ,The Last Samurai,Edward Zwick,Edward Zwick,2006,2003
2876,5564,,The Grand Budapest Hotel    ,The Grand Budapest Hotel,Wes Anderson,Wes Anderson,2014,2014
1297,1462,,Hitman (Unrated Edition) ,Hitman,Xavier Gens,Xavier Gens,2008,2007
1561,1896,,Mutant Chronicles    ,Mutant Chronicles,Simon Hunter,Simon Hunter,2009,2008
261,2676,,Battleship ,Battleship,Peter Berg,Peter Berg,2012,2012
4205,723,,Batman Begins    ,Batman Begins,Christopher Nolan,Christopher Nolan,2005,2005
1072,2259,,The A-Team (+ Digital Copy) [Blu-ray] ,The A-Team,Joe Carnahan,Joe Carnahan,2010,2010
4247,1075,,The Da Vinci Code (Two-Disc Extended Edition + BD Live) [Blu-ray] ,The Da Vinci Code,Ron Howard,Ron Howard,2009,2006
3216,5512,,The Monuments Men ,The Monuments Men,George Clooney,George Clooney,2014,2014
2845,5643,,God's Not Dead    ,God's Not Dead,Harold Cronk,Harold Cronk,2014,2014
3653,5612,,Red Wing    ,Red Wing,Will Wallace,Will Wallace,2013,2013
2495,3470,,Army of Frankensteins    ,Army of Frankensteins,Ryan Bellgardt,Ryan Bellgardt,2015,2013
4111,2550,,A Lonely Place to Die [Blu-ray] ,A Lonely Place to Die,Julian Gilbey,Julian Gilbey,2012,2011
3911,495,,The Life Aquatic with Steve Zissou ,The Life Aquatic with Steve Zissou,Wes Anderson,Wes Anderson,2005,2004
293,506,,National Treasure    ,National Treasure,Jon Turteltaub,Jon Turteltaub,2004,2004
385,5229,,Captain Phillips (Two Disc Combo: Blu-ray / DVD + UltraViolet Digital Copy) ,Captain Phillips,Paul Greengrass,Paul Greengrass,2014,2013
2024,4153,,My Way ,My Way,Je-kyu Kang,Je-kyu Kang,2012,2012
1783,815,,Lord of War    ,Lord of War,Andrew Niccol,Andrew Niccol,2005,2005
2028,1557,,Stargate: Continuum,Stargate: Continuum,Martin Wood,Martin Wood,2009,2008
2161,1642,,Star Wars: The Clone Wars   ,Star Wars: The Clone Wars,Dave Filoni,Dave Filoni,2010,2008
350,2662,,The Raid: Redemption [Blu-ray] ,The Raid: Redemption,Gareth Evans,Gareth Evans,2012,2012
3148,1621,,Dean Teaster's Ghost Town    ,Dean Teaster's Ghost Town,Jeff Kennedy,Jeff Kennedy,2008,2007
5060,5742,,Petals on the Wind    ,Petals on the Wind,Karen Moncrieff,Karen Moncrieff,2014,2014
140,1646,0,24,24: Redemption,Jon Cassar,Jon Cassar,2005,2008
2783,5506,,In Secret    ,In Secret,Charlie Stratton,Charlie Stratton,2014,2014
458,4610,,Life of Pi ,Life of Pi,Ang Lee,Ang Lee,2013,2012
3098,3355,,Fury    ,Fury,David Ayer,David Ayer,2014,2014
2843,5017,,The Frozen Ground    ,The Frozen Ground,Scott Walker,Scott Walker,2013,2013
4183,3063,,Rush [Blu-ray] ,Rush,Ron Howard,Ron Howard,2014,2013
3336,6258,,5 Flights Up ,5 Flights Up,Richard Loncraine,Richard Loncraine,2015,2015
898,2899,,Jack the Giant Slayer    ,Jack the Giant Slayer,Bryan Singer,Bryan Singer,2013,2013
1034,58,,Man of La Mancha ,Man of La Mancha,Arthur Hiller,Arthur Hiller,2004,1973
3903,5937,,The Good Lie    ,The Good Lie,Philippe Falardeau,Philippe Falardeau,2014,2014
2934,6184,,Still Alice ,Still Alice,Richard Glatzer,Richard Glatzer,2015,2015
95,1345,,Ultimate Force    ,Ultimate Force,Mark Burson,Mark Burson,2005,2006
3897,3880,,Footloose (2011)    ,Footloose,Craig Brewer,Craig Brewer,2011,2011
2137,1481,,Merrill's Marauders ,Merrill's Marauders,Samuel Fuller,Samuel Fuller,2008,1962
2087,3074,,The Adventurer: The Curse of the Midas Box    ,The Adventurer: The Curse of the Midas Box,Jonathan Newman,Jonathan Newman,2014,2014
462,2766,,Looper (+ UltraViolet Digital Copy) [Blu-ray] ,Looper,Rian Johnson,Rian Johnson,2012,2012
3344,1322,,I Witness    ,I Witness,Rowdy Herrington,Rowdy Herrington,2003,2003
2821,5634,,Noah    ,Noah,Darren Aronofsky,Darren Aronofsky,2014,2014
4351,4320,,Rock of Ages (2012)    ,Rock of Ages,Adam Shankman,Adam Shankman,2012,2012
1750,319,,Cellular    ,Cellular,David R. Ellis,David R. Ellis,2004,2004
