Title_A,Time_A,Director_A,Year_A,Cast_A,Title_B,Time_B,Director_B,Year_B,Cast_B,Gold
Deadfall , 95 minutes ,Stefan Ruzowitzky,2013,Eric Bana,Deadfall,1 hr. 34 min.,Stefan Ruzowitzky,2012,"Eric Bana, Olivia Wilde, Charlie Hunnam, Kris Kristofferson, Sissy Spacek, Kate Mara",1
Jack the Giant Slayer    ,"1 hour, 55 minutes",Bryan Singer,2013,"Nicholas Hoult, Eleanor Tomlinson",Jack the Giant Slayer,1 hr. 54 min.,Bryan Singer,2013,"Nicholas Hoult, Eleanor Tomlinson, Stanley Tucci, Ewan McGregor, Ian McShane, Eddie Marsan",1
V for Vendetta [Blu-ray] , 132 minutes ,James McTeigue,2008,Natalie Portman,V for Vendetta,2 hr. 25 min.,James McTeigue,2006,"Natalie Portman, Hugo Weaving, Stephen Rea, John Hurt, Stephen Fry, Rupert Graves",1
Shottas , 99 minutes ,Cess Silvera,2007,Ky-Mani Marley,Shottas,1 hr. 35 min.,Cess Silvera,2006,"Ky-Mani Marley, Paul Campbell, Spragga Benz, Tyson Beckford, Wyclef Jean, Louie Rankin",1
The Descendants    ,"1 hour, 55 minutes",Alexander Payne,2011,"George Clooney, Shailene Woodley",The Descendants,1 hr. 55 min.,Alexander Payne,2011,"George Clooney, Shailene Woodley, Amara Miller, Beau Bridges, Nick Krause, Patti Hastie",1
Ex Machina    ,"1 hour, 49 minutes",Alex Garland,2015,"Alicia Vikander,Domhnall Gleeson",Ex Machina,1 hr. 48 min.,Alex Garland,2015,"Alicia Vikander, Oscar Isaac, Domhnall Gleeson, Sonoya Mizuno, Claire Selby, Corey Johnson",1
In the Blood, 108 minutes ,John Stockwell,2014,Gina Carano,In the Blood,1 hr. 30 min.,John Stockwell,2014,"Gina Carano, Luis Guzman, Stephen Lang, Amaury Nolasco, Danny Trejo, Cam Gigandet",1
5 Flights Up    ,"1 hour, 30 minutes",Richard Loncraine,2015,"Morgan Freeman, Diane Keaton",5 Flights Up,1 hr. 32 min.,Richard Loncraine,2015,"Morgan Freeman, Diane Keaton, Cynthia Nixon, Korey Jackson, Claire van der Boom",1
Premium Rush    ,"1 hour, 31 minutes",David Koepp,2012,"Joseph Gordon-Levitt, Dania Ramirez",Premium Rush,1 hr. 30 min.,David Koepp,2012,"Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez, Jamie Chung, Lauren Ashley Carter, Aasif Mandvi",1
Watchmen    ,"2 hours, 43 minutes",Zack Snyder,2009,"Malin Akerman, Billy Crudup",Watchmen,2 hr. 43 min.,Zack Snyder,2009,"Billy Crudup, Jeffrey Dean Morgan, Malin Akerman, Matthew Goode, Patrick Wilson, Carla Gugino",1
The Boondock Saints II: All Saints Day    ,10 minutes,Troy Duffy,2009,"Sean Patrick Flanery, Norman Reedus",The Boondock Saints II: All Saints Day,1 hr. 27 min.,Troy Duffy,2009,"Sean Patrick Flanery, Norman Reedus, Billy Connolly, Julie Benz, Clifton Collins Jr., Brian Mahoney",1
Total Recall    ,"1 hour, 59 minutes",Len Wiseman,2012,"Colin Farrell, Kate Beckinsale",Total Recall,2 hr. 1 min.,Len Wiseman,2012,"Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston, Bokeem Woodbine, Bill Nighy",1
Merrill's Marauders , 98 minutes ,Samuel Fuller,2008,Claude Akins,Merrill's Marauders,1 hr. 38 min.,Samuel Fuller,1962,"Jeff Chandler, Ty Hardin, Peter Brown, Andrew Duggan, Will Hutchins, Luz Valdez",1
Captain America: The First Avenger (Two-Disc Blu-ray/DVD Combo + Digital Copy) , 123 minutes ,Joe Johnston,2013,Chris Evans,Captain America: The First Avenger,2 hr. 4 min.,Joe Johnston,2011,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper",1
The Hunger Games    ,"2 hours, 23 minutes",Gary Ross,2012,"Jennifer Lawrence,Josh Hutcherson",The Hunger Games,2 hr. 22 min.,Gary Ross,2012,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Sandra Ellis Laffert...",1
The Gunman    ,"1 hour, 56 minutes",Pierre Morel,2015,"Sean Penn, Jasmine Trinca",The Gunman,1 hr. 55 min.,Pierre Morel,2015,"Sean Penn, Idris Elba, Jasmine Trinca, Javier Bardem, Ray Winstone, Mark Rylance",1
The Woman in Black , 95 minutes ,James Watkins,2012,Daniel Radcliffe,The Woman in Black,1 hr. 34 min.,James Watkins,2012,"Daniel Radcliffe, CiarÌÁn Hinds, Janet McTeer, Shaun Dooley, Liz White, David Burke",1
Get On Up , 139 minutes ,Tate Taylor,2014,Chadwick Boseman,Get On Up,2 hr. 18 min.,Tate Taylor,2014,"Chadwick Boseman, Viola Davis, Octavia Spencer, Nelsan Ellis, Lennie James, Tika Sumpter",1
The Bourne Legacy    ,"2 hours, 16 minutes",Tony Gilroy,2012,"Jeremy Renner, Scott Glenn",The Bourne Legacy,2 hr. 15 min.,Tony Gilroy,2012,"Jeremy Renner, Edward Norton, Rachel Weisz, Joan Allen, Albert Finney, Stacy Keach",1
The Spectacular Now    ,"1 hour, 36 minutes",James Ponsoldt,2013,"Miles Teller, Shailene Woodley",The Spectacular Now,1 hr. 35 min.,James Ponsoldt,2013,"Miles Teller, Shailene Woodley, Brie Larson, Mary Elizabeth Winst..., Jennifer Jason Leigh, Kyle Chandler",1
Wyatt Earp , 190 minutes ,Lawrence Kasdan,2007,Kevin Costner,Wyatt Earp,3 hr. 12 min.,Lawrence Kasdan,1994,"Kevin Costner, Dennis Quaid, Gene Hackman, Michael Madsen, David Andrews, Linden Ashby",1
The Three Musketeers , 126 minutes ,George Sidney,2007,Lana Turner,The Three Musketeers,2 hr. 5 min.,George Sidney,1948,"Lana Turner, Gene Kelly, June Allyson, Van Heflin, Angela Lansbury, Frank Morgan",1
The Hobbit: The Desolation of Smaug    ,"2 hours, 42 minutes",Peter Jackson,2013,"Ian McKellen, Martin Freeman",The Hobbit: The Desolation of Smaug,2 hr. 41 min.,Peter Jackson,2013,"Ian McKellen, Bret McKenzie, Martin Freeman (II), Richard Armitage, Andy Serkis, Benedict Cumberbatch",1
Cellular    ,"1 hour, 34 minutes",David R. Ellis,2004,"Caroline Aaron, Kim Basinger",Cellular,1 hr. 34 min.,David R. Ellis,2004,"Kim Basinger, Jason Statham, Chris Evans, William H. Macy, Matt McColm, Eric Christian Olsen",1
"Greystoke: The Legend of Tarzan, Lord of the Apes    ","2 hours, 17 minutes",Hugh Hudson,1984,"Ralph Richardson, Ian Holm","Greystoke: The Legend of Tarzan, Lord of the Apes",2 hr. 10 min.,Hugh Hudson,1984,"Christopher Lambert, Ralph Richardson, Ian Holm, Andie MacDowell, Glenn Close, James Fox",1
Son of a Gun    ,"1 hour, 50 minutes",Julius Avery,2015,"Ewan McGregor, Brendan Kerkvliet",Son of a Gun,1 hr. 48 min.,Julius Avery,2015,"Brenton Thwaites, Ewan McGregor, Alicia Vikander, Damon Herriman, Matt Nable, Tom Budge",1
Cold Blooded (English Subtitled)   ,"1 hour, 20 minutes",Jason Lapeyre,2008,"Ryan Robbins, Zoie Palmer",Cold Blooded,1 hr. 26 min.,Jason Lapeyre,2012,"Ryan Robbins, Zoie Palmer, William MacDonald, Sergio Di Zio, Merwin Mondesir, Thomas Mitchell",1
The Kingdom [Blu-ray] , 111 minutes ,Peter Berg,2008,Jamie Foxx,The Kingdom,1 hr. 50 min.,Peter Berg,2007,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman, Ashraf Barhom, Ali Suliman",1
The Dark Knight Rises [Blu-ray] , 165 minutes ,Christopher Nolan,2012,Christian Bale,The Dark Knight Rises,2 hr. 45 min.,Christopher Nolan,2012,"Christian Bale, Anne Hathaway, Tom Hardy, Marion Cotillard, Joseph Gordon-Levitt, Michael Caine",1
The Golden Compass    ,"1 hour, 53 minutes",Chris Weitz,2007,"Nicole Kidman, Daniel Craig",The Golden Compass,1 hr. 53 min.,Chris Weitz,2007,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Sam Elliott, Ben Walker, Eva Green",1
The Dark Knight (+ BD Live) [Blu-ray] , 152 minutes ,Christopher Nolan,2008,Christian Bale,The Dark Knight,2 hr. 32 min.,Christopher Nolan,2008,"Christian Bale, Heath Ledger, Aaron Eckhart, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman",1
Fantastic Mr. Fox (Criterion Collection) (Blu-ray + DVD) , 87 minutes ,Wes Anderson,2014,George Clooney,Fantastic Mr. Fox,1 hr. 27 min.,Wes Anderson,2009,"George Clooney, Meryl Streep, Jason Schwartzman, Bill Murray, Wallace Wolodarsky, Eric Chase Anderson",1
Boy Wonder    ,"1 hour, 37 minutes",Michael Morrissey,2011,"Caleb Steinmeyer, Zulay Henao",Boy Wonder,1 hr. 33 min.,Michael Morrissey,2011,"Caleb Steinmeyer, Zulay Henao, Bill Sage, Tracy Middendorf, James Russo, Daniel Stewart Sherm...",1
The Expendables , 103 minutes ,Sylvester Stallone,2010,Sylvester Stallone,The Expendables,1 hr. 43 min.,Sylvester Stallone,2010,"Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren, Eric Roberts, Randy Couture",1
Fury    ,"2 hours, 15 minutes",David Ayer,2014,"Brad Pitt, Shia LaBeouf",Fury,2 hr. 15 min.,David Ayer,2014,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael PeÌ±a, Jon Bernthal, Jason Isaacs",1
Hell Ride , 84 minutes ,Larry Bishop,2008,Larry Bishop,Hell Ride,1 hr. 27 min.,Larry Bishop,2008,"Michael Madsen, Vinnie Jones, Dennis Hopper, David Carradine, Larry Bishop, Eric Balfour",1
Shifty    ,"1 hour, 26 minutes",Eran Creevy,2009,"Riz Ahmed, Daniel Mays",Shifty,1 hr. 26 min.,Eran Creevy,2008,"Daniel Mays, Rizwan Ahmed, Riz Ahmed, Jason Flemyng, Nitin Ganatra, Jay Simpson",1
War Horse , 146 minutes ,Steven Spielberg,2012,Jeremy Irvine,War Horse,2 hr. 26 min.,Steven Spielberg,2011,"Peter Mullan, Jeremy Irvine, Emily Watson, Niels Arestrup, David Thewlis, Tom Hiddleston",1
The Life Aquatic with Steve Zissou    ,"1 hour, 59 minutes",Wes Anderson,2004,"Bill Murray, Owen Wilson",The Life Aquatic with Steve Zissou,1 hr. 58 min.,Wes Anderson,2004,"Bill Murray, Owen Wilson, Cate Blanchett, Anjelica Huston, Willem Dafoe, Jeff Goldblum",1
The Hunger Games: Catching Fire    ,"2 hours, 27 minutes",Francis Lawrence,2013,"Jennifer Lawrence, Liam Hemsworth",The Hunger Games: Catching Fire,2 hr. 26 min.,Francis Lawrence,2013,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffm...",1
Sherlock Holmes (2009)    ,"2 hours, 9 minutes",Guy Ritchie,2009,"Robert Downey Jr., Jude Law",Sherlock Holmes,2 hr. 9 min.,Guy Ritchie,2009,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong (II), Eddie Marsan, Robert Maillet",1
Serenity [Blu-ray] , 119 minutes ,Joss Whedon,2008,Nathan Fillion,Serenity,1 hr. 59 min.,Joss Whedon,2005,"Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin, Adam Baldwin, Jewel Staite",1
Hercules (2014 Extended Cut)    ,"1 hour, 42 minutes",Brett Ratner,2014,"Dwayne Johnson, Ian McShane",Hercules,1 hr. 39 min.,Brett Ratner,2014,"Dwayne ""The Rock"" Jo..., Ian McShane, Rufus Sewell, Ingrid Bolso Berdal, John Hurt, Aksel Hennie",1
Pathfinder    ,"1 hour, 40 minutes",Marcus Nispel,2007,"Karl Urban, Moon Bloodgood",Pathfinder,1 hr. 39 min.,Marcus Nispel,2007,"Karl Urban, Moon Bloodgood, Clancy Brown, Russell Means, Jay Tavare, Wayne Charles Baker",1
The Hunger Games: Catching Fire Free Featurette - New Cast    ,6 minutes,Francis Lawrence,2013,Jennifer Lawrence,The Hunger Games: Catching Fire,2 hr. 26 min.,Francis Lawrence,2013,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffm...",1
Oblivion (Blu-ray + DVD + Digital Copy + UltraViolet) , 124 minutes ,Joseph Kosinski,2013,Tom Cruise,Oblivion,2 hr. 5 min.,Joseph Kosinski,2013,"Tom Cruise, Olga Kurylenko, Morgan Freeman, Andrea Riseborough, Nikolaj Coster-Walda..., Melissa Leo",1
War Horse    ,"2 hours, 27 minutes",Steven Spielberg,2011,"Jeremy Irvine, Peter Mullan",War Horse,2 hr. 26 min.,Steven Spielberg,2011,"Peter Mullan, Jeremy Irvine, Emily Watson, Niels Arestrup, David Thewlis, Tom Hiddleston",1
The Getaway    ,"2 hours, 3 minutes",Sam Peckinpah,1972,"Steve McQueen, Ali MacGraw",The Getaway,2 hr. 2 min.,Sam Peckinpah,1972,"Steve McQueen, Ali MacGraw, Al Lettieri, Sally Struthers, Ben Johnson, Slim Pickens",1
Perfect Sisters    ,"1 hour, 41 minutes",Stanley M. Brooks,2014,"Abigail Breslin, Georgie Henley",Perfect Sisters,1 hr. 41 min.,Stanley M. Brooks,2014,"Abigail Breslin, Mira Sorvino, Georgie Henley, Jeffrey Ballard, James Russo, ZoÌÇ Belkin",1
13 Assassins (English Subtitled)   ,"2 hours, 6 minutes",Takashi Miike,2011,"Kôji Yakusho, Takayuki Yamada",13 Assassins,2 hr. 6 min.,Takashi Miike,2011,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki, Masachika Ichimura, Mikijiro Hira",1
The Hunger Games (2-Disc DVD + Digital Copy) , 142 minutes ,Gary Ross,2012,Jennifer Lawrence,The Hunger Games,2 hr. 22 min.,Gary Ross,2012,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Elizabeth Banks, Sandra Ellis Laffert...",1
2012, 158 minutes ,Roland Emmerich,2010,John Cusack,2012,2 hr. 38 min.,Roland Emmerich,2009,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton, Oliver Platt, Tom McCarthy",1
The Help    ,"2 hours, 27 minutes",Tate Taylor,2011,"Emma Stone, Viola Davis",The Help,2 hr. 17 min.,Tate Taylor,2011,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer, Jessica Chastain, Ahna O'Reilly",1
The Bucket List    ,"1 hour, 38 minutes",Rob Reiner,2007,"Jack Nicholson, Morgan Freeman",The Bucket List,1 hr. 37 min.,Rob Reiner,2007,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Rowena King",1
Watchmen    ,"2 hours, 43 minutes",Zack Snyder,2009,"Malin Akerman, Billy Crudup",Watchmen,2 hr. 43 min.,Zack Snyder,2009,"Billy Crudup, Jeffrey Dean Morgan, Malin Akerman, Matthew Goode, Patrick Wilson, Carla Gugino",1
Training Day (Keepcase) , 122 minutes ,Antoine Fuqua,2010,Denzel Washington,Training Day,2 hr. 2 min.,Antoine Fuqua,2001,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry",1
The Brothers Grimm [Blu-ray] , 118 minutes ,Terry Gilliam,2013,Matt Damon,The Brothers Grimm,1 hr. 58 min.,Terry Gilliam,2005,"Matt Damon, Heath Ledger, Monica Bellucci, Jonathan Pryce, Peter Stormare, Lena Headey",1
Mandingo [Blu-ray] , 127 minutes ,Richard Fleischer,2015,James Mason,Mandingo,2 hr. 6 min.,Richard Fleischer,1975,"James Mason, Susan George, Perry King, Ken Norton, Richard Ward, Brenda Sykes",1
Ladder 49 (Full Screen Edition) , 115 minutes ,Jay Russell,2005,Joaquin Phoenix,Ladder 49,1 hr. 54 min.,Jay Russell,2004,"Joaquin Phoenix, John Travolta, Jacinda Barrett, Robert Patrick, Morris Chestnut, Billy Burke",1
Man of Steel (2013)    ,"2 hours, 23 minutes",Zack Snyder,2013,"Henry Cavill, Amy Adams",Man of Steel,2 hr. 23 min.,Zack Snyder,2013,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane, Russell Crowe, Harry Lennix",1
No Way Back    ,"1 hour, 29 minutes",Michael Borden,1990,"Campbell Scott,Virginia Lantry",No Way Back,1 hr. 30 min.,Michael Borden,1989,"Campbell Scott, Bernie White, Virginia Lantry, John Durbin, Len Lessner, Len Lesser",1
Headhunters (English Subtitled)    ,"1 hour, 41 minutes",Morten Tyldum,2012,"Aksel Hennie, Synnøve Macody Lund",Headhunters,1 hr. 41 min.,Morten Tyldum,2012,"Nikolaj Coster-Walda..., Aksel Hennie, Eivind Sander, Julie R Ì÷lgaard, SynnÌüve Macody Lund, Kyrre Haugen Sydness",1
Templar Nation    ,"1 hour, 25 minutes",Brian Vance,2013,"Erik Estrada, Richard Dutcher",Templar Nation,1 hr. 18 min.,Brian Vance,2012,"Richard Dutcher, Cristina Segovia, Don Knotty, Erik Estrada, Joseph James, Natalie Paige Willis...",1
Born to Raise Hell , 98 minutes ,Lauro Chartrand,2011,Steven Seagal,Born to Raise Hell,1 hr. 36 min.,Lauro Chartrand,2010,"Steven Seagal, Dan Badarau, Darren Shahlavi, D. Neil Mark, George Remes, Claudiu Bleont",1
Soaked In Bleach    ,"1 hour, 30 minutes",Benjamin Statler,2015,"Daniel Roebuck,Sarah Scott",Soaked In Bleach,1 hr. 29 min.,Benjamin Statler,2015,"Tyler Bryan, Sarah Scott, Daniel Roebuck, August Emerson, David Daskal, Julie Lancaster",1
The Bucket List , 97 minutes ,Rob Reiner,2008,Jack Nicholson,The Bucket List,1 hr. 37 min.,Rob Reiner,2007,"Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd, Alfonso Freeman, Rowena King",1
Idiocracy , 84 minutes ,Mike Judge,2007,Luke Wilson,Idiocracy,1 hr. 44 min.,Mike Judge,2006,"Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews, Anthony 'Citric' Cam..., David Herman",1
Safe House    ,"1 hour, 56 minutes",Daniel Espinosa,2012,"Denzel Washington, Ryan Reynolds",Safe House,1 hr. 54 min.,Daniel Espinosa,2012,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Ruben Blades",1
The Mechanic    ,"1 hour, 33 minutes",Simon West,2011,"Jason Statham, Ben Foster",The Mechanic,1 hr. 32 min.,Simon West,2011,"Jason Statham, Ben Foster, Donald Sutherland, Tony Goldwyn, Mini Anden, Jeff Chase",1
New Hope    ,"2 hours, 5 minutes",Rodney Ray,2012,"Samuel Davis, Perry Frost",New Hope,2 hr.,Rodney Ray,2012,"Brian Samuel Davis, Ben Davies, Perry Frost, Julie Kendall, Will Schwab, Dodie Brown",1
The Prestige    ,"2 hours, 11 minutes",Christopher Nolan,2006,"Hugh Jackman, Christian Bale",The Prestige,2 hr. 10 min.,Christopher Nolan,2006,"Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall, Scarlett Johansson",1
X-Men: First Class , 131 minutes ,Matthew Vaughn,2011,James McAvoy,X-Men: First Class,2 hr. 12 min.,Matthew Vaughn,2011,"James McAvoy, Michael Fassbender, Kevin Bacon, Caleb Landry Jones, Nicholas Hoult, January Jones",1
Band of Angels , 127 minutes ,Raoul Walsh,2007,Clark Gable,Band of Angels,2 hr. 5 min.,Raoul Walsh,1957,"Clark Gable, Yvonne De Carlo, Sidney Poitier, Efrem Zimbalist Jr., Rex Reason, Patric Knowles",1
Summer in February    ,"1 hour, 41 minutes",Christopher Menaul,2014,"Dominic Cooper, Dan Stevens",Summer in February,1 hr. 40 min.,Christopher Menaul,2014,"Dominic Cooper, Emily Browning, Dan Stevens (IV), Hattie Morahan, Shaun Dingwall, Max Deacon",1
Testing Life   ,"1 hour, 11 minutes",Carolin Von Petzholdt,2011,"Runa Aléon,Natascha Berg",Testing Life,1 hr. 12 min.,Carolin Von Petzholdt,2011,"Carolin Von Petzhold..., Olaf A. Kratke, Natascha Berg, Mira Mazumdar",1
The Hobbit: The Desolation of Smaug (Special Edition) (DVD) , 161 minutes ,Peter Jackson,2014,Ian McKellen,The Hobbit: The Desolation of Smaug,2 hr. 41 min.,Peter Jackson,2013,"Ian McKellen, Bret McKenzie, Martin Freeman (II), Richard Armitage, Andy Serkis, Benedict Cumberbatch",1
X-Men: Days of Future Past - The Rogue Cut    ,"2 hours, 29 minutes",Bryan Singer,2015,"Hugh Jackman, James McAvoy",X-Men: Days of Future Past,2 hr. 11 min.,Bryan Singer,2014,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence, Patrick Stewart, Ian McKellen",1
Superman Returns (Widescreen Edition) , 154 minutes ,Bryan Singer,2008,Brandon Routh,Superman Returns,2 hr. 34 min.,Bryan Singer,2006,"Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden, Parker Posey, Frank Langella",1
Big Eyes    ,"1 hour, 45 minutes",Tim Burton,2014,"Amy Adams, Christoph Waltz",Big Eyes,1 hr. 46 min.,Tim Burton,2014,"Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp",1
Fast & Furious 6    ,"2 hours, 11 minutes",Justin Lin,2013,"Vin Diesel, Paul Walker",Fast & Furious 6,2 hr. 10 min.,Justin Lin,2013,"Vin Diesel, Paul Walker, Dwayne ""The Rock"" Jo..., Jordana Brewster, Michelle Rodriguez, Tyrese Gibson",1
Rush [Blu-ray] , 246 minutes ,Ron Howard,2014,Daniel Brühl,Rush,2 hr. 3 min.,Ron Howard,2013,"Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, Stephen Mangan, Christian McKay",1
Hick , 99 minutes ,Derick Martini,2012,Chloë Grace Moretz,Hick,1 hr. 35 min.,Derick Martini,2012,"Chloe Grace Moretz, Blake Lively, Alec Baldwin, Eddie Redmayne, Juliette Lewis, Rory Culkin",1
The Darjeeling Limited , 91 minutes ,Wes Anderson,2008,Owen Wilson,The Darjeeling Limited,1 hr. 31 min.,Wes Anderson,2007,"Owen Wilson, Adrien Brody, Jason Schwartzman, Amara Karan, Wallace Wolodarsky, Waris Ahluwalia",1
24,47 minutes,Jon Cassar,2009,"Kiefer Sutherland, Cherry Jones",24: Redemption,1 hr. 40 min.,Jon Cassar,2008,"Kiefer Sutherland, Robert Carlyle, Cherry Jones, Jon Voight, Gil Bellows",1
Rock of Ages (2012)    ,"2 hours, 4 minutes",Adam Shankman,2012,"Julianne Hough, Dakota Sage Grant",Rock of Ages,2 hr. 3 min.,Adam Shankman,2012,"Julianne Hough, Diego Boneta, Tom Cruise, Russell Brand, Paul Giamatti, Catherine Zeta-Jones",1
Blood Diamond (Widescreen Edition) , 143 minutes ,Edward Zwick,2008,Leonardo DiCaprio,Blood Diamond,2 hr. 23 min.,Edward Zwick,2006,"Leonardo DiCaprio, Jennifer Connelly, Djimon Hounsou, Kagiso Kuypers, Arnold Vosloo, Antony Coleman",1
71,"1 hour, 40 minutes",Yann Demange,2015,"Jack O'Connell, Jack Lowden",'71,1 hr. 40 min.,Yann Demange,2015,"Jack O'Connell, Sean Harris, Jack Lowden, Charlie Murphy, Paul Anderson, Richard Dormer",1
Riddick: The Complete Collection (Blu-ray + Digital HD UltraViolet) , 756 minutes ,David Twohy,2014,Claudia Black,Riddick,1 hr. 59 min.,David Twohy,2013,"Vin Diesel, Matt Nable, Karl Urban, Katee Sackhoff, Bokeem Woodbine, Dave Bautista",1
Cowboys & Aliens    ,"1 hour, 59 minutes",Jon Favreau,2011,"Daniel Craig, Abigail Spencer",Cowboys & Aliens,1 hr. 59 min.,Jon Favreau,2011,"Daniel Craig, Olivia Wilde, Harrison Ford, Sam Rockwell, Brendan Wayne, Buck Taylor",1
The Theory of Everything    ,"2 hours, 5 minutes",James Marsh,2014,"Eddie Redmayne, Felicity Jones",The Theory of Everything,2 hr. 3 min.,James Marsh,2014,"Eddie Redmayne, Felicity Jones, Emily Watson, Charlie Cox, David Thewlis, Simon McBurney",1
Behind the Candelabra    ,"1 hour, 59 minutes",Steven Soderbergh,2013,"Matt Damon, Scott Bakula",Behind the Candelabra,1 hr. 58 min.,Steven Soderbergh,2013,"Matt Damon, Michael Douglas, Rob Lowe, Dan Aykroyd, Robert Boyd Holbrook",1
National Treasure (Widescreen Edition) , 131 minutes ,Jon Turteltaub,2005,Nicolas Cage,National Treasure,2 hr. 10 min.,Jon Turteltaub,2004,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel",1
Resident Evil: Retribution (+ UltraViolet Digital Copy) , 96 minutes ,Paul W.S. Anderson,2012,Milla Jovovich,Resident Evil: Retribution,1 hr. 35 min.,Paul W.S. Anderson,2012,"Sienna Guillory, Milla Jovovich, Colin Salmon, Michelle Rodriguez, Kevin Durand, Shawn Roberts",1
Where Hope Grows [DVD + Digital] , 98 minutes ,Chris Dowling,2015,Danica McKellar,Where Hope Grows,1 hr. 35 min.,Chris Dowling,2015,"Kristoffer Polaha, David DeSanctis, William Zabka, Brooke Burns, McKaley Miller, Alan Powell",1
Chaos , 106 minutes ,Tony Giglio,2008,Jason Statham,Chaos,1 hr. 46 min.,Tony Giglio,2005,"Jason Statham, Ryan Phillippe, Wesley Snipes, Henry Czerny, Justine Waddell, Nicholas Lea",1
The Salvation [Blu-ray] , 92 minutes ,Kristian Levring,2015,Mads Mikkelsen,The Salvation,1 hr. 40 min.,Kristian Levring,2015,"Mads Mikkelsen, Eva Green, Jeffrey Dean Morgan, Mikael Persbrandt, Michael Raymond-Jame..., Alexander Arnold",1
Apollo 13    ,50 minutes,Ron Howard,1995,"Tom Hanks, Bill Paxton",Apollo 13,2 hr. 20 min.,Ron Howard,1995,"Bill Paxton, Tom Hanks, Kevin Bacon, Gary Sinise, Ed Harris, Kathleen Quinlan",1
The Raid: Redemption [Blu-ray] , 201 minutes ,Gareth Evans,2012,Tegar Satrya,The Raid: Redemption,1 hr. 40 min.,Gareth Evans,2012,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yahan Ruhian, Pierre Gruno, Ray Sahetapy",1
Far From the Madding Crowd    ,"1 hour, 59 minutes",Thomas Vinterberg,2015,"Carey Mulligan, Matthias Schoenaerts",Far From the Madding Crowd,1 hr. 59 min.,Thomas Vinterberg,2015,"Carey Mulligan, Tom Sturridge, Matthias Schoenaerts, Michael Sheen, Juno Temple, Jessica Barden",1
10.5: Apocalypse , 169 minutes ,John Lafia,2006,Kim Delaney,10.5,4 hr.,John Lafia,2004,"Kim Delaney, Beau Bridges, Fred Ward, David Cubitt, DulÌ© Hill, Ivan Sergei",1
Lone Survivor , 122 minutes ,Peter Berg,2014,Mark Wahlberg,Lone Survivor,2 hr. 2 min.,Peter Berg,2014,"Ben Foster, Mark Wahlberg, Emile Hirsch, Taylor Kitsch, Eric Bana, Alexander Ludwig",1
Harold & Kumar Go to White Castle    ,"1 hour, 28 minutes",Danny Leiner,2004,"John Cho, Ethan Embry",Harold & Kumar Go to White Castle,1 hr. 28 min.,Danny Leiner,2004,"John Cho, Kal Penn, Paula GarcÌ©s, David Krumholtz, Eddie Kaye Thomas, Fred Willard",1
Colombiana (Blu-ray + UltraViolet Digital Copy) , 111 minutes ,Olivier Megaton,2011,Zoe Saldana,Colombiana,1 hr. 48 min.,Olivier Megaton,2011,"Zoe Saldana, Lennie James, Michael Vartan, Cliff Curtis, Jordi Molla, Beto Benites",1
