Title_A,Year_A,Directors_A,Actors_A,Content_Rating_A,Genre_A,Duration_A,Title_B,Year_B,Directors_B,Actors_B,Content_Rating_B,Genre_B,Duration_B,Gold
Run All Night,2015.0,Jaume Collet-Serra,"Liam Neeson,Joel Kinnaman,Ed Harris,Génesis Rodríguez,Vincent D'Onofrio,Common,Boyd Holbrook,Holt McCallany",3.0,"Action, Crime, Drama, Mystery, Thriller",114 minutes,Run All Night,2015,Jaume Collet-Serra,"Liam Neeson, Ed Harris, Joel Kinnaman",6.6,"Action, Crime, Drama",114 min ,1
Outrage,2012.0,,"Beat Takeshi,Soichiro Kitamura,Ryo Kase,Tomokazu Miura",2.5,"Action, Crime, Documentary, Drama, Foreign, Thriller",109 minutes,Beyond Outrage,2012,Takeshi Kitano,"Toshiyuki Nishida, Tomokazu Miura, Takeshi Kitano",6.7,"Action, Crime, Drama",112 min ,1
Premium Rush,2012.0,David Koepp,"Joseph Gordon-Levitt,Michael Shannon,Daniela Ramirez,Lauren Ashley Carter,Jamie Chung,Wole Parks",3.5,"Action, Thriller",91 minutes,Premium Rush,2012,David Koepp,"Joseph Gordon-Levitt, Michael Shannon, Dania Ramirez",6.5,"Action, Crime, Thriller",91 min ,1
District 9,2009.0,Neill Blomkamp,"Sharlto Copley,David James,Vanessa Haywood,Mandla Gaduka,Kenneth Nkosi",3.0,"Action, Foreign, Science Fiction, Thriller",112 minutes,9,2009,Shane Acker,"Elijah Wood, Jennifer Connelly, Crispin Glover",7.1,"Animation, Action, Adventure",79 min ,1
After Earth,2013.0,M. Night Shyamalan,"Will Smith,Jaden Smith,Sophie Okonedo,Zoe Kravitz",3.5,"Action, Adventure, Science Fiction",,After Earth,2013,M. Night Shyamalan,"Jaden Smith, David Denman, Will Smith",4.9,"Action, Adventure, Sci-Fi",100 min ,1
Tropic Thunder,2008.0,Ben Stiller,"Ben Stiller,Jack Black,Robert Downey Jr.,Nick Nolte,Steve Coogan,Jay Baruchel,Danny McBride,Brandon T. Jackson,Bill Hader",3.5,"Action, Comedy",107 minutes,Tropic Thunder,2008,Ben Stiller,"Ben Stiller, Jack Black, Robert Downey Jr.",7.0,"Action, Comedy",107 min ,1
Hercules,2014.0,Brett Ratner,"Dwayne Johnson,John Hurt,Ian McShane,Rufus Sewell,Aksel Hennie,Ingrid Bolsø Berdal,Joseph Fiennes",1.0,"Action, Adventure",98 minutes,Hercules,2014,Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane",6.1,"Action, Adventure",98 min ,1
Oldboy,2013.0,Spike Lee,"Josh Brolin,Samuel L. Jackson,Elizabeth Olsen,Sharlto Copley,Lance Reddick,Michael Imperioli,Richard Portnow,Max Casella",3.0,"Drama, Mystery, Thriller",,Oldboy,2013,Spike Lee,"Josh Brolin, Elizabeth Olsen, Samuel L. Jackson",5.8,"Action, Drama, Mystery",104 min ,1
Chandni Chowk to China,2009.0,Nikhil Advani,"Akshay Kumar,Deepika Padukone,Mithun Chakraborty,Ranvir Shorey,Gordon Liu,Roger Yuan",2.0,"Action, Adventure, Comedy, Drama, Foreign, Musical",149 minutes,Chandni Chowk to China,2009,Nikhil Advani,"Akshay Kumar, Deepika Padukone, Chia-Hui Liu",3.9,"Action, Adventure, Comedy",154 min ,1
In Time,2011.0,,"Justin Timberlake,Olivia Wilde,Amanda Seyfried,Vincent Kartheiser,Cillian Murphy,Matt Bomer,Alex Pettyfer,Johnny Galecki",3.0,"Action, Science Fiction, Thriller",109 minutes,Spy Kids: All the Time in the World in 4D,2011,Robert Rodriguez,"Jessica Alba, Jeremy Piven, Joel McHale",3.6,"Action, Adventure, Comedy",89 min ,1
The Eagle,2011.0,Kevin MacDonald,"Channing Tatum,Jamie Bell,Donald Sutherland,Mark Strong,Tahar Rahim,Denis O'Hare",3.0,"Action, Adventure, Drama, Thriller",114 minutes,The Eagle,2011,Kevin Macdonald,"Channing Tatum, Jamie Bell, Donald Sutherland",6.2,"Action, Adventure, Drama",114 min ,1
The Wolverine,2013.0,James Mangold,"Hugh Jackman,Brian Tee,Will Yun Lee,Svetlana Khodchenkova,Hiroyuki Sanada,Tao Okamoto,Hal Yamanouchi,Rila Fukushima",3.0,"Action, Adventure, Fantasy, Science Fiction",126 minutes,The Wolverine,2013,James Mangold,"Hugh Jackman, Will Yun Lee, Tao Okamoto",6.7,"Action, Adventure, Sci-Fi",126 min ,1
Wolves,2014.0,David Hayter,"Jason Momoa,Lucas Till,John Pyper-Ferguson,Stephen McHattie,Merritt Patterson",2.0,"Action, Horror",90 minutes,Wolves,2014,David Hayter,"Lucas Till, Stephen McHattie, John Pyper-Ferguson",5.2,"Action, Horror",91 min ,1
RoboCop,2014.0,José Padilha,"Joel Kinnaman,Gary Oldman,Michael Keaton,Abbie Cornish,Samuel L. Jackson,Jackie Earle Haley,Jennifer Ehle,Jay Baruchel",1.0,"Action, Crime, Science Fiction, Thriller",102 minutes,Our RoboCop Remake,2014,Kelsy Abbott,"Chase Fein, Nichole Bagby, Willy Roberts",6.6,"Animation, Action, Comedy",108 min ,1
Punisher: War Zone,2008.0,Lexi Alexander,"Ray Stevenson,Dominic West,Doug Hutchison,Julie Benz,Wayne Knight",2.0,"Action, Adventure, Thriller",107 minutes,Punisher: War Zone,2008,Lexi Alexander,"Ray Stevenson, Dominic West, Julie Benz",6.0,"Action, Crime, Drama",103 min ,1
Unknown,2011.0,Jaume Collet-Serra,"Liam Neeson,Diane Kruger,January Jones,Aidan Quinn,Bruno Ganz,Frank Langella",2.0,"Action, Drama, Indie, Mystery, Thriller",113 minutes,Unknown,2011,Jaume Collet-Serra,"Liam Neeson, Diane Kruger, January Jones",6.9,"Action, Mystery, Thriller",113 min ,1
A Good Day to Die Hard,2013.0,John Moore,"Bruce Willis,Jai Courtney,Sebastian Koch,Cole Hauser,Yuliya Snigir",1.5,"Action, Thriller",97 minutes,A Good Day to Die Hard,2013,John Moore,"Bruce Willis, Jai Courtney, Sebastian Koch",5.3,"Action, Crime, Thriller",98 min ,1
The Gunman,2015.0,Pierre Morel,"Sean Penn,Javier Bardem,Ray Winstone,Jasmine Trinca,Peter Franzén",2.0,"Action, Crime, Drama, Thriller",115 minutes,The Gunman,2015,Pierre Morel,"Sean Penn, Idris Elba, Jasmine Trinca",5.8,"Action, Crime, Drama",115 min ,1
The Cabin in the Woods,2012.0,,"Chris Hemsworth,Richard Jenkins,Bradley Whitford,Kristen Connolly,Anna Hutchison,Fran Kranz,Jesse Williams",3.0,"Horror, Thriller",95 minutes,Hidden in the Woods,2012,Patricio Valladares,"Siboney Lo, Carolina Retamal, Josefa Mora",4.3,"Action, Drama, Horror",97 min ,1
Hit and Run,2012.0,"Dax Shepard,David Palmer","Dax Shepard,Tom Arnold,Kristen Bell,Kal Bennett,Beau Bridges,Kristin Chenoweth,Bradley Cooper,Michael Rosenbaum,Jess Rowland",3.5,"Action, Comedy, Romance",100 minutes,Hit and Run,2012,David Palmer,"Dax Shepard, Kristen Bell, Bradley Cooper",6.1,"Action, Comedy, Romance",100 min ,1
Get Smart,2008.0,Peter Segal,"Steve Carell,Anne Hathaway,Alan Arkin,Dwayne Johnson,Terence Stamp,James Caan,Patrick Warburton",3.5,"Action, Adventure, Comedy",110 minutes,Get Smart,2008,Peter Segal,"Steve Carell, Anne Hathaway, Alan Arkin",6.5,"Action, Adventure, Comedy",110 min ,1
Mission: Impossible III,2006.0,,"Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Keri Russell,Laurence Fishburne,Billy Crudup,Jonathan Rhys-Meyers,Michelle Monaghan",2.5,"Action, Adventure, Thriller",126 minutes,Mission: Impossible III,2006,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames",6.9,"Action, Adventure, Thriller",126 min ,1
Death Sentence,2007.0,James Wan,"Kevin Bacon,Aisha Tyler,Kelly Preston,Stuart Lafferty,Garrett Hedlund,Matthew O'Leary,John Goodman",2.5,"Action, Crime, Drama, Thriller",105 minutes,Death Sentence,2007,James Wan,"Kevin Bacon, John Goodman, Kelly Preston",6.8,"Action, Crime, Drama",105 min ,1
The Treasure of the Sierra Madre,1948.0,,,4.0,"Action, Adventure, Drama, Western",126 minutes,The Treasure of the Sierra Madre,1948,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt",8.3,"Action, Adventure, Drama",126 min ,1
Beowulf,2007.0,Robert Zemeckis,"Ray Winstone,Anthony Hopkins,John Malkovich,Brendan Gleeson,Crispin Glover,Angelina Jolie",3.0,"Action, Adventure, Animation",115 minutes,Beowulf,2007,Robert Zemeckis,"Ray Winstone, Crispin Glover, Angelina Jolie",6.3,"Animation, Action, Adventure",115 min ,1
Battle of the Year,2013.0,Benson Lee,"Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,Terrence Jenkins,Weronika Rosati,Ivan 'Flipz' Velez,Jesse Erwin,Steve Terada",0.5,"Drama, Musical",,Battle of the Damned,2013,Christopher Hatton,"Dolph Lundgren, Melanie Zanetti, Matt Doran",4.5,"Action, Adventure, Horror",88 min ,1
Ender's Game,2013.0,Gavin Hood,"Asa Butterfield,Hailee Steinfeld,Harrison Ford,Abigail Breslin,Aramis Knight,Moisés Arias,Jimmy ""Jax"" Pinchak,Viola Davis,Ben Kingsley,Suraj Partha,Khlylin Rhambo",2.0,Science Fiction,110 minutes,Ender's Game,2013,Gavin Hood,"Harrison Ford, Asa Butterfield, Hailee Steinfeld",6.7,"Action, Sci-Fi",114 min ,1
Green Zone,2010.0,Paul Greengrass,"Matt Damon,Greg Kinnear,Brendan Gleeson,Amy Ryan,Khalid Abdalla,Jason Isaacs,Yigal Naor",4.0,"Action, Adventure, Drama, Thriller",115 minutes,Green Zone,2010,Paul Greengrass,"Matt Damon, Jason Isaacs, Greg Kinnear",6.9,"Action, Drama, Thriller",115 min ,1
Bellflower,2011.0,,"Evan Glodell,Jessie Wiseman,Tyler Dawson,Rebekah Brandes,Vincent Grashaw",3.0,"Action, Drama, Indie, Romance",106 minutes,Bellflower,2011,Evan Glodell,"Evan Glodell, Tyler Dawson, Jessie Wiseman",6.4,"Action, Drama, Romance",106 min ,1
Hitman,2007.0,Xavier Gens,"Dougray Scott,Olga Kurylenko,Robert Knepper,Ulrich Thomsen",3.0,"Action, Adventure, Crime, Drama, Thriller",89 minutes,Hitman,2007,Xavier Gens,"Timothy Olyphant, Dougray Scott, Olga Kurylenko",6.3,"Action, Crime, Drama",100 min ,1
Knight and Day,2010.0,James Mangold,"Tom Cruise,Cameron Diaz,Peter Sarsgaard,Viola Davis,Jordi Molla,Celia Weston",3.0,"Action, Adventure, Comedy, Romance",109 minutes,Knight and Day,2010,James Mangold,"Tom Cruise, Cameron Diaz, Peter Sarsgaard",6.3,"Action, Comedy, Romance",109 min ,1
Prince of Persia: The Sands of Time,2010.0,Mike Newell,"Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Toby Kebbell",2.0,"Action, Adventure, Fantasy, Science Fiction",116 minutes,Prince of Persia: The Sands of Time,2010,Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley",6.6,"Action, Adventure, Fantasy",116 min ,1
The Mortal Instruments: City of Bones,2013.0,Harald Zwart,"Lily Collins,Jamie Campbell Bower,Kevin Zegers,Jemima West,Robert Sheehan,Jared Harris,Lena Headey,Aidan Turner,Godfrey Gao",1.0,"Action, Adventure, Drama",,The Mortal Instruments: City of Bones,2013,Harald Zwart,"Lily Collins, Jamie Campbell Bower, Robert Sheehan",6.0,"Action, Adventure, Fantasy",130 min ,1
Garbo the Spy,2011.0,,,3.0,"Documentary, Foreign",88 minutes,Spy,2011,Alexander Klymko,"Vincent Pastore, Ben Curtis, Lora Kojovic",6.4,"Action, Crime, Drama",110 min ,1
Big Ass Spider!,2013.0,Mike Mendez,"Greg Grunberg,Lombardo Boyar,Clare Kramer,Ray Wise,Lin Shaye,Patrick Bauchau,Lloyd Kaufman",2.0,Science Fiction,85 minutes,Big Ass Spider!,2013,Mike Mendez,"Greg Grunberg, Lin Shaye, Ruben Pla",5.3,"Action, Comedy, Sci-Fi",80 min ,1
V/H/S: Viral,2014.0,"Justin Benson,Gregg Bishop,Aaron Moorhead,Marcel Sarmiento,Nacho Vigalondo","Justin Welborn,Emmy Argo,Gustavo Salmerón,Emilia Ares Zoryan",1.0,"Horror, Thriller",82 minutes,V/H/S: Viral,2014,Justin Benson,"Patrick Lawrie, Emilia Ares Zoryan, Celia K. Milius",4.2,"Action, Horror, Thriller",81 min ,1
The Karate Kid,2010.0,Harald Zwart,"Jaden Smith,Jackie Chan,Taraji P. Henson,Han Wenwen",3.5,"Action, Adventure, Drama, Family",140 minutes,The Karate Kid,2010,Harald Zwart,"Jackie Chan, Jaden Smith, Taraji P. Henson",6.2,"Action, Drama, Family",140 min ,1
The Expendables 3,2014.0,Patrick Hughes,"Sylvester Stallone,Jason Statham,Terry Crews,Randy Couture,Antonio Banderas,Jet Li,Wesley Snipes,Dolph Lundgren,Glen Powell,Mel Gibson,Harrison Ford,Arnold Schwarzenegger,Kellan Lutz,Kelsey Grammer,Robert Davi,Ronda Rousey,Victor Ortiz",3.0,"Action, Adventure, Thriller",126 minutes,The Expendables 3,2014,Patrick Hughes,"Sylvester Stallone, Jason Statham, Jet Li",6.1,"Action, Adventure, Thriller",126 min ,1
Snow White and the Huntsman,2012.0,Rupert Sanders,"Kristen Stewart,Charlize Theron,Chris Hemsworth,Sam Claflin",3.5,"Action, Adventure, Drama, Fantasy",127 minutes,Snow White and the Huntsman,2012,Rupert Sanders,"Kristen Stewart, Chris Hemsworth, Charlize Theron",6.1,"Action, Adventure, Drama",127 min ,1
Left Behind,2014.0,Vic Armstrong,"Nicolas Cage,Lea Thompson,Chad Michael Murray,Nicky Whelan,Jordin Sparks,Martin Klebba,Cassi Thompson",1.0,"Action, Science Fiction",105 minutes,Left Behind,2014,Vic Armstrong,"Nicolas Cage, Lea Thompson, Cassi Thomson",3.1,"Action, Sci-Fi, Thriller",110 min ,1
Blackhat,2015.0,Michael Mann,"Chris Hemsworth,Viola Davis,Tang Wei,Leehom Wang,Manny Montana,William Mapother",3.5,"Action, Crime, Thriller",135 minutes,Blackhat,2015,Michael Mann,"Chris Hemsworth, Viola Davis, Wei Tang",5.4,"Action, Crime, Drama",133 min ,1
Kung Fu Panda,2008.0,"John Stevenson,Mark Osborne","Jack Black,Dustin Hoffman,Angelina Jolie,Ian McShane,Seth Rogen,Lucy Liu,David Cross,Randall Duk Kim,James Hong,Dan Fogler,Michael Clarke Duncan,Jackie Chan",3.0,"Animation, Family",90 minutes,Kung Fu Panda,2008,Mark Osborne,"Jack Black, Ian McShane, Angelina Jolie",7.6,"Animation, Action, Adventure",92 min ,1
King Kong,2005.0,Peter Jackson,"Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke",4.0,"Action, Adventure, Drama, Foreign, Horror, Thriller",187 minutes,King Kong,2005,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody",7.3,"Action, Adventure, Drama",187 min ,1
Survival of the Dead,2010.0,,"Alan Van Sprang,Kenneth Welsh,Kathleen Munroe,Devon Bostick,Richard Fitzpatrick,Stefano Di Matteo",2.0,"Horror, Science Fiction",90 minutes,Valley of the Dead,2010,K. Adithya Ashok,"Lex Yochim, Max Horner, Timothy Luke",6.0,Action,50 min ,1
The Nutcracker in 3D,2010.0,Andrei Konchalovsky,,1.0,"Action, Family, Fantasy, Science Fiction",110 minutes,The Nutcracker in 3D,2010,Andrey Konchalovskiy,"Elle Fanning, Nathan Lane, John Turturro",4.4,"Action, Family, Fantasy",110 min ,1
The Adventures of Robin Hood,1938.0,,,4.0,"Action, Adventure, Drama, Romance",102 minutes,The Adventures of Robin Hood,1938,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Basil Rathbone",8.0,"Action, Adventure, Romance",102 min ,1
Kidnapping Mr. Heineken,2015.0,Daniel Alfredson,"Anthony Hopkins,Jim Sturgess,Sam Worthington,Ryan Kwanten,Mark van Eeuwen,Thomas Cocquerel",1.0,"Action, Crime, Drama, Thriller",,Kidnapping Mr. Heineken,2015,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten",6.1,"Action, Crime, Drama",95 min ,1
Miracle at St. Anna,2008.0,Spike Lee,"Derek Luke,Michael Ealy,Laz Alonso,Omar Benson Miller,Pierfrancesco Favino,Valentina Cervi,Matteo Sciabordi,Joseph Gordon-Levitt,John Turturro,John Leguizamo,Kerry Washington,D.B. Sweeney",3.0,"Action, Drama, History",160 minutes,Miracle at St. Anna,2008,Spike Lee,"Derek Luke, Michael Ealy, Laz Alonso",6.0,"Action, Crime, Drama",160 min ,1
The Perfect Sleep,2009.0,Jeremy Alter,"Anton Pardoe,Roselyn Sanchez,Patrick Bauchau,Tony Amendola",1.5,"Action, Adventure, Drama, Indie, Thriller",99 minutes,The Perfect Sleep,2009,Jeremy Alter,"Anton Pardoe, Anthony Dilio, David Beck",4.8,"Action, Drama, Romance",99 min ,1
Iron Man 2,2010.0,Favreau,"Robert Downey Jr.,Gwyneth Paltrow,Scarlett Johansson,Sam Rockwell,Mickey Rourke,Samuel L. Jackson,Clark Gregg,John Slattery,Garry Shandling",3.0,"Action, Adventure, Science Fiction, Thriller",124 minutes,Iron Man 2,2010,Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow",7.0,"Action, Adventure, Sci-Fi",124 min ,1
Act of Valor,2012.0,"Mike McCoy,Scott Waugh",Roselyn Sanchez,2.5,"Action, Adventure, Thriller, War",110 minutes,Act of Valor,2012,Mike McCoy,"Alex Veadov, Roselyn Sanchez, Nestor Serrano",6.5,"Action, Thriller, War",110 min ,1
Spider-Man 3,2007.0,,"Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace,J.K. Simmons,James Cromwell,Willem Dafoe",2.0,"Action, Drama, Fantasy, Science Fiction, Thriller",139 minutes,Spider-Man 3,2007,Sam Raimi,"Tobey Maguire, Kirsten Dunst, Topher Grace",6.2,"Action, Adventure",139 min ,1
Parker,2013.0,Taylor Hackford,"Jason Statham,Jennifer Lopez,Michael Chiklis,Wendell Pierce,Clifton Collins Jr.,Micah A. Hauptman,Bobby Canavale,Nick Nolte",1.5,"Crime, Thriller",,Parker,2013,Taylor Hackford,"Jason Statham, Jennifer Lopez, Michael Chiklis",6.2,"Action, Crime, Thriller",118 min ,1
Honour,2014.0,Shan Khan,"Aiysha Hart,Paddy Considine,Faraz Ayub,Shubham Saraf,Harvey Virdi,Nikesh Patel",2.5,"Drama, Thriller",104 minutes,Kirpaan: The Sword of Honour,2014,Amrik Gill,"Roshan Prince, Sameksha Singh, Gurline Chopra",6.5,"Action, Drama, Romance",138 min ,1
Snitch,2013.0,Ric Roman Waugh,"Dwayne Johnson,Susan Sarandon,Jon Bernthal,Barry Pepper,Benjamin Bratt,Rafi Gavron,Nadine Velazquez",3.0,Thriller,,Snitch,2013,Ric Roman Waugh,"Dwayne Johnson, Susan Sarandon, Jon Bernthal",6.5,"Action, Drama, Thriller",112 min ,1
White House Down,2013.0,Roland Emmerich,"Channing Tatum,Jamie Foxx,Joey King,Maggie Gyllenhaal,Richard Jenkins,James Woods",3.0,"Action, Drama, Thriller",137 minutes,White House Down,2013,Roland Emmerich,"Channing Tatum, Jamie Foxx, Maggie Gyllenhaal",6.4,"Action, Drama, Thriller",131 min ,1
Superman Returns,2006.0,Bryan Singer,"Brandon Routh,Kevin Spacey,Kate Bosworth,James Marsden,Frank Langella,Sam Huntington,Eva Marie Saint,Parker Posey",2.0,"Action, Adventure, Fantasy, Science Fiction",154 minutes,Superman Returns,2006,Bryan Singer,"Brandon Routh, Kevin Spacey, Kate Bosworth",6.1,"Action, Adventure, Fantasy",154 min ,1
How to Train Your Dragon 2,2014.0,Dean Deblois,"Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,Christopher Mintz-Plasse,T. J. Miller,Kristen Wiig,Djimon Hounsou,Kit Harington",3.5,"Action, Adventure, Animation",102 minutes,How to Train Your Dragon 2,2014,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler",7.9,"Animation, Action, Adventure",102 min ,1
Running Scared,2006.0,,"Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz",3.0,"Action, Adventure, Crime, Drama, Thriller",122 minutes,Running Scared,2006,Wayne Kramer,"Paul Walker, Cameron Bright, Chazz Palminteri",7.5,"Action, Crime, Drama",122 min ,1
Abraham Lincoln: Vampire Hunter,2012.0,Timur Bekmambetov,"Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,Jimmi Simpson,Erin Wasson,John Rothman",3.0,"Horror, Thriller",94 minutes,Abraham Lincoln: Vampire Hunter,2012,Timur Bekmambetov,"Benjamin Walker, Rufus Sewell, Dominic Cooper",5.9,"Action, Fantasy, Horror",105 min ,1
Open Windows,2014.0,Nacho Vigalondo,"Elijah Wood,Sasha Grey,Neil Maskell,Nacho Vigalondo,Scott Weinberg",3.0,"Action, Crime, Suspense",100 minutes,Open Windows,2014,Nacho Vigalondo,"Sasha Grey, Elijah Wood, Neil Maskell",5.2,"Action, Crime, Thriller",100 min ,1
The Wild Bunch,1969.0,Sam Peckinpah,"William Holden,Robert Ryan,Warren Oates,Jaime Sanchez",4.0,"Action, Drama, Western",145 minutes,The Wild Bunch,1969,Sam Peckinpah,"William Holden, Ernest Borgnine, Robert Ryan",8.0,"Action, Adventure, Western",145 min ,1
The Last of the Unjust,2013.0,Claude Lanzmann,"Benjamin Murmelstein,Claude Lanzmann",3.5,Documentary,210 minutes,In the Name of the King 3: The Last Job,2013,Uwe Boll,"Dominic Purcell, Ralitsa Paskaleva, Daria Simeonova",3.2,"Action, Adventure, Drama",86 min ,1
The A-Team,2010.0,Joe Carnahan,"Liam Neeson,Jessica Biel,Bradley Cooper,Sharlto Copley,Quinton,Patrick Wilson",1.5,"Action, Thriller",117 minutes,The A-Team,2010,Joe Carnahan,"Liam Neeson, Bradley Cooper, Sharlto Copley",6.8,"Action, Adventure, Comedy",117 min ,1
National Treasure: Book of Secrets,2007.0,Jon Turteltaub,"Nicolas Cage,Jon Voight,Justin Bartha,Harvey Keitel,Ed Harris,Diane Kruger,Helen Mirren,Bruce Greenwood",2.0,"Action, Adventure, Mystery, Thriller",124 minutes,National Treasure: Book of Secrets,2007,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha",6.5,"Action, Adventure, Mystery",124 min ,1
Precious: Based on the Novel Push by Sapphire,2009.0,Lee Daniels,"Gabourey Sidibe,Mo'Nique,Paula Patton,Lenny Kravitz,Mariah Carey,Sherri Shepherd",4.0,Drama,110 minutes,Push,2009,Paul McGuigan,"Camilla Belle, Dakota Fanning, Chris Evans",6.1,"Action, Sci-Fi, Thriller",111 min ,1
Drive Angry 3D,2011.0,Patrick Lussier,"Nicolas Cage,Amber Heard,William Fichtner,Billy Burke,David Morse,Todd Farmer,Christa Campbell,Charlotte Ross,Tom Atkins,Jack McGee",2.0,,,Drive Angry,2011,Patrick Lussier,"Nicolas Cage, Amber Heard, William Fichtner",5.5,"Action, Comedy, Fantasy",104 min ,1
Megamind,2010.0,Tom McGrath,"Will Ferrell,Tina Fey,Jonah Hill,David Cross,Brad Pitt",3.0,"Action, Animation, Comedy, Family",95 minutes,Megamind,2010,Tom McGrath,"Will Ferrell, Jonah Hill, Brad Pitt",7.3,"Animation, Action, Comedy",95 min ,1
Bring Me the Head of Alfredo Garcia,1974.0,,,4.0,"Action, Comedy, Crime, Drama, Thriller",112 minutes,Bring Me the Head of Alfredo Garcia,1974,Sam Peckinpah,"Warren Oates, Isela Vega, Robert Webber",7.6,"Action, Crime, Drama",112 min ,1
Next Day Air,2009.0,Benny Boom,"Donald Faison,Mike Epps,Mos Def,Wood Harris,Omari Hardwick,Emilio Rivera",3.0,"Action, Adventure, Comedy, Crime",84 minutes,Next Day Air,2009,Benny Boom,"Yasiin Bey, Mike Epps, Donald Faison",5.9,"Action, Comedy, Crime",84 min ,1
Men in Black III,2012.0,Barry Sonnenfeld,"Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,Emma Thompson,Michael Stuhlbarg,Alice Eve,David Rasche",3.0,,,Men in Black 3,2012,Barry Sonnenfeld,"Will Smith, Tommy Lee Jones, Josh Brolin",6.9,"Action, Comedy, Sci-Fi",106 min ,1
Raiders of the Lost Ark,1981.0,,,4.0,"Action, Adventure",115 minutes,Raiders of the Lost Ark,1981,Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman",8.6,"Action, Adventure",115 min ,1
Death Race,2008.0,,"Jason Statham,Joan Allen,Ian McShane,Tyrese Gibson,Natalie Martinez,Max Ryan",0.5,"Action, Science Fiction, Thriller",105 minutes,Race,2008,Abbas Alibhai Burmawalla,"Saif Ali Khan, Akshaye Khanna, Bipasha Basu",6.6,"Action, Crime, Drama",149 min ,1
Season of the Witch,2011.0,Dominic Sena,"Nicolas Cage,Ron Perlman,Claire Foy,Robert Sheehan,Christopher Lee",2.0,"Action, Adventure, Drama, Fantasy, Science Fiction, Thriller",95 minutes,Season of the Witch,2011,Dominic Sena,"Nicolas Cage, Ron Perlman, Claire Foy",5.4,"Action, Adventure, Fantasy",95 min ,1
The Hunter,2010.0,Rafi Pitts,"Rafi Pitts,Mitra Hajjar,Malek Jahan Khazai,Saba Yaghoobi",3.5,"Drama, Foreign, Thriller",90 minutes,The Bounty Hunter,2010,Andy Tennant,"Jennifer Aniston, Gerard Butler, Gio Perez",5.5,"Action, Comedy, Romance",110 min ,1
Dracula Untold,2014.0,Gary Shore,"Luke Evans,Sarah Gadon,Dominic Cooper,Art Parkinson,Charles Dance,Diarmaid Murtagh,Paul Kaye,William Houston,Noah Huntley,Ronan Vibert",2.5,"Action, Drama, Fantasy, Horror, War",92 minutes,Dracula Untold,2014,Gary Shore,"Luke Evans, Dominic Cooper, Sarah Gadon",6.3,"Action, Drama, Fantasy",92 min ,1
Jonah Hex,2010.0,Jimy Hayward,"Josh Brolin,John Malkovich,Megan Fox,Michael Fassbender,Will Arnett,John Gallagher Jr.,Tom Wopat,Michael Shannon,Wes Bentley,Julia Jones",2.0,"Action, Adventure, Drama, Science Fiction, Thriller, Western",80 minutes,Jonah Hex,2010,Jimmy Hayward,"Josh Brolin, Megan Fox, John Malkovich",4.6,"Action, Drama, Fantasy",81 min ,1
Conan the Barbarian,2011.0,Marcus Nispel,"Jason Momoa,Stephen Lang,Rose McGowan,Rachel Nichols,Ron Perlman,Leo Howard",1.5,"Action, Adventure, Fantasy, Science Fiction, Thriller",113 minutes,Conan the Barbarian,2011,Marcus Nispel,"Jason Momoa, Ron Perlman, Rose McGowan",5.2,"Action, Adventure, Fantasy",113 min ,1
The International,2009.0,Tom Tykwer,"Clive Owen,Naomi Watts,Armin Mueller-Stahl,Brian F. O'Byrne,James Rebhorn",3.0,"Action, Adventure, Crime, Mystery, Thriller",118 minutes,The International,2009,Tom Tykwer,"Clive Owen, Naomi Watts, Armin Mueller-Stahl",6.5,"Action, Crime, Drama",118 min ,1
The Grandmaster,2013.0,Wong Kar-Wai,"Tony Leung Chiu-Wai,Ziyi Zhang,Song Hye-Kyo,Chang Chen,Wong Hing-Cheung,Zhao Ben-Shan",3.0,"Action, Drama, Foreign, History",130 minutes,The Grandmaster,2013,Kar Wai Wong,"Tony Chiu Wai Leung, Ziyi Zhang, Jin Zhang",6.5,"Action, Biography, Drama",130 min ,1
