Title_A,Authors_A,Venue_A,Year_A,Title_B,Authors_B,Venue_B,Year_B,Gold
The TriGS Active Object-Oriented Database System - An Overview,"G Kappel, W Retschitzegger","SIGMOD Record,",1998.0,The TriGS Active Object-Oriented Database System - An Overview,"G Kappel, W Retschitzegger",SIGMOD Record,1998,1
,,,,Performance Issues in Incremental Warehouse Maintenance,"W Labio, J Yang, Y Cui, H Garcia-Molina, J Widom",VLDB,2000,1
"The New Locking, Logging, and Recovery Architecture of Microsoft SQL Server 7.0",D Campbell,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,"The New Locking, Logging, and Recovery Architecture of Microsoft SQL Server 7.0",D Campbell,VLDB,1999,1
Scheduling for shared window joins over data streams,"MA Hammad, MJ Franklin, WG Aref, AK Elmagarmid","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",,Scheduling for shared window joins over data streams,"M Hammad, M Franklin, W Aref, A Elmagarmid",VLDB,2003,1
ACDN: a content delivery network for applications,"P Karbhari, M Rabinovich, Z Xiao, F Douglis",,,ACDN: a content delivery network for applications,"P Karbhari, M Rabinovich, Z Xiao, F Douglis",SIGMOD Conference,2002,1
Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,"S Venkataraman, T Zhang","VLDB,",1998.0,Heterogeneous Database Query Optimization in DB2 Universal DataJoiner,"S Venkataraman, T Zhang",VLDB,1998,1
Executing SQL over encrypted data in the database-service-provider model,"H HacÄ±gumus, B Iyer, C Li, S Mehrotra","Proc. of ACM SIGMOD,",2002.0,Executing SQL over encrypted data in the database-service-provider model,"H Hacigќmќs, B Iyer, C Li, S Mehrotra",SIGMOD Conference,2002,1
Towards a Richer Web Object Model,F Manola,"SIGMOD Record,",1998.0,Towards a Richer Web Object Model,F Manola,SIGMOD Record,1998,1
Selectivity estimation for spatio-temporal queries to moving objects,"YJ Choi, CW Chung","SIGMOD Conference,",2002.0,Selectivity estimation for spatio-temporal queries to moving objects,"Y Choi, C Chung",SIGMOD Conference,2002,1
Query Processing in Spatial Network Databases,"D Papadias, J Zhang, N Mamoulis, Y Tao","VLDB,",2003.0,Query Processing in Spatial Network Databases,"D Papadias, J Zhang, N Mamoulis, Y Tao",VLDB,2003,1
Cache-Conscious Concurrency Control of Main-Memory Indexes on Shared-Memory Multiprocessor Systems,"SK Cha, S Hwang, K Kim, K Kwon","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,Cache-Conscious Concurrency Control of Main-Memory Indexes on Shared-Memory Multiprocessor Systems,"S Cha, S Hwang, K Kim, K Kwon",VLDB,2001,1
Computing Capabilities of Mediators,"R Yerneni, C Li, H Garcia-Molina, J Ullman","SIGMOD Conference,",1999.0,Computing Capabilities of Mediators,"R Yerneni, C Li, H Garcia-Molina, J Ullman",SIGMOD Conference,1999,1
Managing multiple and distributed ontologies on the Semantic Web,"A Maedche, B Motik, L Stojanovic","The VLDB Journal The International Journal on Very Large  &hellip;,",2003.0,Managing multiple and distributed ontologies on the Semantic Web,"A Maedche, B Motik, L Stojanovic",VLDB J.,2003,1
Critical Database Technologies for High Energy Physics,"DM Malon, EN May","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,Critical Database Technologies for High Energy Physics,"D Malon, E May",VLDB,1997,1
The Design and Performance Evaluation of Alternative XML Storage Strategies,"F Tian, DJ DeWitt, J Chen, C Zhang","SIGMOD Record,",2002.0,The Design and Performance Evaluation of Alternative XML Storage Strategies,"F Tian, D DeWitt, J Chen, C Zhang",SIGMOD Record,2002,1
STING: A Statistical Information Grid Approach to Spatial Data Mining,"W Wang, J Yang, R Muntz","VLDB,",1997.0,STING: A Statistical Information Grid Approach to Spatial Data Mining,"W Wang, J Yang, R Muntz",VLDB,1997,1
A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,"S Srinivasa, S Kumar","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",,A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,"S Srinivasa, S Kumar",VLDB,2003,1
Data Warehousing and OLAP for Decision Support (Tutorial),"S Chaudhuri, U Dayal","SIGMOD Conference,",,Data Warehousing and OLAP for Decision Support (Tutorial),,,1997,1
Report on The 1995 International Workshop on Temporal Databases,"A Segev, CS Jensen, RT Snodgrass","SIGMOD RECORD,",1995.0,Report on The 1995 International Workshop on Temporal Databases,,,1995,1
POESIA: An ontological workflow approach for composing Web services in agriculture,"R Fileto, L Liu, C Pu, ED Assad, CB Medeiros","The VLDB Journal The International Journal on Very Large  &hellip;,",2003.0,POESIA: An ontological workflow approach for composing Web services in agriculture,"R Fileto, L Liu, C Pu, E Assad, C Medeiros",VLDB J.,2003,1
Fast Algorithms for Universal Quantification in Large Databases,"G Graefe, RL Cole","ACM Transactions on Database Systems,",1995.0,Fast Algorithms for Universal Quantification in Large Databases,"G Graefe, R Cole",ACM Trans. Database Syst.,1995,1
Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database,"Q Cheng, J Gryz, F Koo, TYC Leung, L Liu, X Qian,  ","VLDB,",1999.0,Implementation of Two Semantic Query Optimization Techniques in DB2 Universal Database,"Q Cheng, J Gryz, F Koo, T Leung, L Liu, X Qian, K Schiefer",VLDB,1999,1
Automata Theory for XML Researchers,F Neven,"SIGMOD Record,",2002.0,Automata Theory for XML Researchers,F Neven,SIGMOD Record,2002,1
Business-to-business interactions: issues and enabling technologies,"B Medjahed, B Benatallah, A Bouguettaya, AHH Ngu,  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2003.0,Business-to-business interactions: issues and enabling technologies,"B Medjahed, B Benatallah, A Bouguettaya, A Ngu, A Elmagarmid",VLDB J.,2003,1
Object-Oriented Features of DB2 Client/Server,H Pirahesh,,,Object-Oriented Features of DB2 Client/Server,H Pirahesh,SIGMOD Conference,1994,1
Reminiscences on Influential Papers,HGM Stanlbrd,"SIGMOD Record,",1998.0,Reminiscences on Influential Papers,,,1998,1
An Optimal and Progressive Algorithm for Skyline Queries,"D Papadias, Y Tao, G Fu, B Seeger","SIGMOD Conference,",2003.0,An Optimal and Progressive Algorithm for Skyline Queries,"D Papadias, Y Tao, G Fu, B Seeger",SIGMOD Conference,2003,1
Research Issues in Databases for ARCS: Active Rapidly Changing Data Systems,A Datta,"SIGMOD Record,",1994.0,Research Issues in Databases for ARCS: Active Rapidly Changing Data Systems,A Datta,SIGMOD Record,1994,1
Dynamic Sample Selection for Approximate Query Processing,"B Babcock, S Chaudhuri, G Das","SIGMOD Conference,",2003.0,Dynamic Sample Selection for Approximate Query Processing,"B Babcock, S Chaudhuri, G Das",SIGMOD Conference,2003,1
Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,"AS Szalay, PZ Kunszt, A Thakar","SIGMOD Conference,",2000.0,Designing and Mining Multi-Terabyte Astronomy Archives: The Sloan Digital Sky Survey,"A Szalay, P Kunszt, A Thakar, J Gray, D Slutz",SIGMOD Conference,2000,1
Statistics on Views,"CA Galindo-Legaria, MM Joshi, F Waas, MC Wu","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Statistics on Views,"C Galindo-Legaria, M Joshi, F Waas, M Wu",VLDB,2003,1
FAS - A Freshness-Sensitive Coordination Middleware for a Cluster of OLAP Components,"U Roehm, K Boehm, HJ Schek, H Schuldt","VLDB,",2002.0,FAS - A Freshness-Sensitive Coordination Middleware for a Cluster of OLAP Components,"U Rіhm, K Bіhm, H Schek, H Schuldt",VLDB,2002,1
Applications of the JAVA Programming Language to Database Management,"BF Burton, VW Marek","SIGMOD Record,",1998.0,Applications of the JAVA Programming Language to Database Management,"B Burton, V Marek",SIGMOD Record,1998,1
Bringing Object-Relational Technology to Mainstream,"V Krishnamurthy, S Banerjee, A Nori","SIGMOD Conference,",1999.0,Bringing Object-Relational Technology to Mainstream,"V Krishnamurthy, S Banerjee, A Nori",SIGMOD Conference,1999,1
Dwarf: shrinking the PetaCube,"Y Sismanis, Y Kotidis",,,Dwarf: shrinking the PetaCube,"Y Sismanis, A Deligiannakis, N Roussopoulos, Y Kotidis",SIGMOD Conference,2002,1
A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"AWC Fu, DWL Cheung","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1994.0,A Transaction Replication Scheme for a Replicated Database with Node Autonomy,"A Fu, D Cheung",VLDB,1994,1
Enterprise Transaction Processing on Windows NT,"G Hope, C Architect","Fortune,",1995.0,Enterprise Transaction Processing on Windows NT,G Hope,SIGMOD Conference,1995,1
XQuery Formal Semantics: State and Challenges,P Fankhauser,"SIGMOD Record,",2001.0,XQuery Formal Semantics: State and Challenges,P Fankhauser,SIGMOD Record,2001,1
Query processing techniques for arrays,"AP Marathe, K Salem","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,Query processing techniques for arrays,"A Marathe, K Salem",VLDB J.,2002,1
Data Management for Earth System Science,"J Frew, J Dozier","SIGMOD Record,",1997.0,Data Management for Earth System Science,"J Frew, J Dozier",SIGMOD Record,1997,1
High-Performance Sorting on Networks of Workstations,"AC Arpaci-Dusseau, RH Arpaci-Dusseau, DE Culler,  ","SIGMOD Conference,",1997.0,High-Performance Sorting on Networks of Workstations,"A Arpaci-Dusseau, R Arpaci-Dusseau, D Culler, J Hellerstein, D Patterson",SIGMOD Conference,1997,1
Online Aggregation,M Raitner,,,Online Aggregation,"J Hellerstein, P Haas, H Wang",SIGMOD Conference,1997,1
"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions","T Zurek, M Sinnwell, SAP Business",,,"Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions",U Dayal,VLDB,1999,1
Locating Data Sources in Large Distributed Systems,"L Galanis, Y Wang, SR Jeffery, DJ DeWitt","VLDB,",2003.0,Locating Data Sources in Large Distributed Systems,"L Galanis, Y Wang, S Jeffery, D DeWitt",VLDB,2003,1
Prospector: A Content-Based Multimedia Server for Massively Parallel Architectures,", H Chen, A Biliris, E Panagos",,,Prospector: A Content-Based Multimedia Server for Massively Parallel Architectures,"S Choo, W O'Connell, G Linderman, H Chen, K Ganapathi, A Biliris, E Panagos, D Schrader",SIGMOD Conference,1996,1
The Aggregate Data Problem: A System for their Definition and Management,"M Rafanelli, A Bezenchek, L Tininini","SIGMOD Record,",1996.0,The Aggregate Data Problem: A System for their Definition and Management,"M Rafanelli, A Bezenchek, L Tininini",SIGMOD Record,1996,1
Aggregate-Query Processing in Data Warehousing Environments,AGVHD Quass,,,Aggregate-Query Processing in Data Warehousing Environments,"A Gupta, V Harinarayan, D Quass",VLDB,1995,1
Efficiently publishing relational data as XML documents,"J Shanmugasundaram, E Shekita, R Barr, M Carey, B  ","The VLDB Journal The International Journal on Very Large  &hellip;,",2001.0,Efficiently publishing relational data as XML documents,"J Shanmugasundaram, E Shekita, R Barr, M Carey, B Lindsay, H Pirahesh, B Reinwald",VLDB J.,2001,1
Materialized View and Index Selection Tool for Microsoft SQL Server 2000,"S Agrawal, S Chaudhuri, V Narasayya","SIGMOD Conference,",2001.0,Materialized View and Index Selection Tool for Microsoft SQL Server 2000,"S Agrawal, S Chaudhuri, V Narasayya",SIGMOD Conference,2001,1
THESUS: Organizing Web document collections based on link semantics,"M Halkidi, B Nguyen, I Varlamis, M Vazirgiannis","The VLDB Journal The International Journal on Very Large  &hellip;,",2003.0,THESUS: Organizing Web document collections based on link semantics,"M Halkidi, B Nguyen, I Varlamis, M Vazirgiannis",VLDB J.,2003,1
Clustering Methods for Large Databases: From the Past to the Future,"A Hinneburg, DA Keim","SIGMOD Conference,",1999.0,Clustering Methods for Large Databases: From the Past to the Future,"A Hinneburg, D Keim",SIGMOD Conference,1999,1
Efficient Geometry-based Similarity Search of 3D Spatial Databases,DA Keim,"SIGMOD Conference,",1999.0,Efficient Geometry-based Similarity Search of 3D Spatial Databases,D Keim,SIGMOD Conference,1999,1
Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting,"S Ashwin, P Roy, S Seshadri, A Silberschatz, S  ","VLDB,",1997.0,Garbage Collection in Object Oriented Databases Using Transactional Cyclic Reference Counting,"S Ashwin, P Roy, S Seshadri, A Silberschatz, S Sudarshan",VLDB,1997,1
Broadcast Disks: Data Management for Asymmetric Communications Environments,"S Achary, M Franklin, S Zdonik, R Alonso","Proceedings of the ACCM SIGMOD International Conference on  &hellip;,",,Broadcast Disks: Data Management for Asymmetric Communications Environments,"S Acharya, R Alonso, M Franklin, S Zdonik",SIGMOD Conference,1995,1
XSB as an Efficient Deductive Database Engine,"KST Swift, DS Warren",,1994.0,XSB as an Efficient Deductive Database Engine,"K Sagonas, T Swift, D Warren",SIGMOD Conference,1994,1
Locating and accessing data repositories with WebSemantics,"GA Mihaila, L Raschid, A Tomasic","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,Locating and accessing data repositories with WebSemantics,"G Mihaila, L Raschid, A Tomasic",VLDB J.,2002,1
Complex Queries over Web Repositories,"S Raghavan, H Garcia-Molina","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Complex Queries over Web Repositories,"S Raghavan, H Garcia-Molina",VLDB,2003,1
Fast Parallel Similarity Search in Multimedia Databases,S Berchtold,"SIGMOD Conference,",1997.0,Fast Parallel Similarity Search in Multimedia Databases,"S Berchtold, C Bіhm, B Braunmќller, D Keim, H Kriegel",SIGMOD Conference,1997,1
Generating Spatiotemporal Datasets on the WWW,"Y Theodoridos, M Nascimento","ACM SIGMOD Record,",,Generating Spatiotemporal Datasets on the WWW,"Y Theodoridis, M Nascimento",SIGMOD Record,2000,1
Belief Reasoning in MLS Deductive Databases,HM Jamil,"SIGMOD Conference,",1999.0,Belief Reasoning in MLS Deductive Databases,H Jamil,SIGMOD Conference,1999,1
Conceptual Schema Analysis: Techniques and Applications,"S Castano, V De Antonellis, MG Fugini, B Pernici","ACM Transactions on Database Systems,",1998.0,Conceptual Schema Analysis: Techniques and Applications,"S Castano, V Antonellis, M Fugini, B Pernici",ACM Trans. Database Syst.,1998,1
Querying ATSQL databases with temporal logic,"J Chomicki, D Toman, MH Bohlen","ACM TRANSACTIONS ON DATABASE SYSTEMS,",2001.0,Querying ATSQL databases with temporal logic,"J Chomicki, D Toman, M Bіhlen",ACM Trans. Database Syst.,2001,1
Free Parallel Data Mining,B Li,,1998.0,Free Parallel Data Mining,"B Li, D Shasha",SIGMOD Conference,1998,1
Maintaining Data Privacy in Association Rule Mining,"SJ Rizvi, JR Haritsa","VLDB,",2002.0,Maintaining Data Privacy in Association Rule Mining,"S Rizvi, J Haritsa",VLDB,2002,1
Efficient Materialization and Use of Views in Data Warehouses,"MF de Souza, MC Sampaio","SIGMOD Record,",1999.0,Efficient Materialization and Use of Views in Data Warehouses,"M Souza, M Sampaio",SIGMOD Record,1999,1
Similarity Query Processing Using Disk Arrays,"A Papadopoulos, Y Manolopoulos",,,Similarity Query Processing Using Disk Arrays,"A Papadopoulos, Y Manolopoulos",SIGMOD Conference,1998,1
A Performance Study of Transitive Closure Algorithms,"S Dar, R Ramakrishnan","SIGMOD Conference,",1994.0,A Performance Study of Transitive Closure Algorithms,"S Dar, R Ramakrishnan",SIGMOD Conference,1994,1
Dynamic Resource Brokering for Multi-User Query Execution,"DL Davison, G Graefe","SIGMOD Conference,",1995.0,Dynamic Resource Brokering for Multi-User Query Execution,"D Davison, G Graefe",SIGMOD Conference,1995,1
Efficient Algorithms for Mining Outliers from Large Data Sets,S Ramaswamy,"SIGMOD Conference,",2000.0,Efficient Algorithms for Mining Outliers from Large Data Sets,"S Ramaswamy, R Rastogi, K Shim",SIGMOD Conference,2000,1
Selectivity Estimation Without the Attribute Value Independence Assumption,"VP PI971, Y Ioannidis","Proc. Very Large Data Bases,",,Selectivity Estimation Without the Attribute Value Independence Assumption,"V Poosala, Y Ioannidis",VLDB,1997,1
Adaptive Filters for Continuous Queries over Distributed Data Streams,"C Olston, J Jiang, J Widom","SIGMOD Conference,",2003.0,Adaptive Filters for Continuous Queries over Distributed Data Streams,"C Olston, J Jiang, J Widom",SIGMOD Conference,2003,1
The Role of B2B Engines in B2B Integration Architectures,C Bussler,"SIGMOD Record,",2002.0,The Role of B2B Engines in B2B Integration Architectures,C Bussler,SIGMOD Record,2002,1
The Microsoft Repository,"B Harry, P Sanders, PA Bernstein, D Shutt, J  ",,,The Microsoft Repository,"P Bernstein, B Harry, P Sanders, D Shutt, J Zander",VLDB,1997,1
Recovering Information from Summary Data,"HV Jagadish, ND Sidiropoulost",,,Recovering Information from Summary Data,"C Faloutsos, H Jagadish, N Sidiropoulos",VLDB,1997,1
Effective Memory Use in a Media Server,"E Chang, H Garcia-Molina","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,Effective Memory Use in a Media Server,"E Chang, H Garcia-Molina",VLDB,1997,1
,,,,Including Group-By in Query Optimization,"S Chaudhuri, K Shim",VLDB,1994,1
Approximate Query Translation Across Heterogeneous Information Sources,"CCK Chang, H Garcia-Molina",,,Approximate Query Translation Across Heterogeneous Information Sources,"K Chang, H Garcia-Molina",VLDB,2000,1
From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,"Z Chen, HV Jagadish, LVS Lakshmanan, S Paparizos",,2003.0,From Tree Patterns to Generalized Tree Patterns: On Efficient Evaluation of XQuery,"Z Chen, H Jagadish, L Lakshmanan, S Paparizos",VLDB,2003,1
Walking Through a Very Large Virtual Environment in Real-time,"L Shou, J Chionh, Z Huang, Y Ruan, KL Tan","Proceedings of the 27th International Conference on Very  &hellip;,",2001.0,Walking Through a Very Large Virtual Environment in Real-time,"L Shou, J Chionh, Z Huang, Y Ruan, K Tan",VLDB,2001,1
Join Synopses for Approximate Query Answering,"SAPBG Viswanath, PS Ramaswamy",,,Join Synopses for Approximate Query Answering,"S Acharya, P Gibbons, V Poosala, S Ramaswamy",SIGMOD Conference,1999,1
A System for Watermarking Relational Databases,"R Agrawal, PJ Haas, J Kiernan",,,A System for Watermarking Relational Databases,"R Agrawal, P Haas, J Kiernan",SIGMOD Conference,2003,1
"Integrating Temporal, Real-Time, and Active Databases","K Ramamritham, R Sivasankaran, JA Stankovic, DT  ","SIGMOD Record,",1996.0,"Integrating Temporal, Real-Time, and Active Databases","K Ramamritham, R Sivasankaran, J Stankovic, D Towsley, M Xiong",SIGMOD Record,1996,1
An Anonymous Electronic Commerce Scheme with an Off-Line Authority and Untrusted Agents,"J Domingo-Ferrer, J Herrera-Joancomarti","SIGMOD Record,",1998.0,An Anonymous Electronic Commerce Scheme with an Off-Line Authority and Untrusted Agents,"J Domingo-Ferrer, J Herrera-Joancomartэ",SIGMOD Record,1998,1
A System for Keyword Proximity Search on XML Databases,"A Balmin, T Wang","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,A System for Keyword Proximity Search on XML Databases,"A Balmin, V Hristidis, N Koudas, Y Papakonstantinou, D Srivastava, T Wang",VLDB,2003,1
Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"P Ammann, S Jajodia, I Ray","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,"P Ammann, S Jajodia, I Ray",VLDB,1995,1
EROC: A Toolkit for Building NEATO Query Optimizers,"WJ McKenna, L Burger, C Hoang, M Truong","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996.0,EROC: A Toolkit for Building NEATO Query Optimizers,"W McKenna, L Burger, C Hoang, M Truong",VLDB,1996,1
Efficient filtering of XML documents with XPath expressions,"CY Chan, P Felber, M Garofalakis, R Rastogi","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,Efficient filtering of XML documents with XPath expressions,"C Chan, P Felber, M Garofalakis, R Rastogi",VLDB J.,2002,1
Near Neighbor Search in Large Metric Spaces,S Brin,"VLDB,",1995.0,Near Neighbor Search in Large Metric Spaces,S Brin,VLDB,1995,1
Reminiscences on Influential Papers,HGM Stanlbrd,"SIGMOD Record,",1998.0,Reminiscences on Influential Papers,,,1998,1
The ADABAS Buffer Pool Manager,H Schoning,,,The ADABAS Buffer Pool Manager,H Schіning,VLDB,1998,1
Contracting in the Days of eBusiness,"W Hthnmer, W Lehner, H Wedekind","SIGMOD Record,",2002.0,Contracting in the Days of eBusiness,"W Hќmmer, W Lehner, H Wedekind",SIGMOD Record,2002,1
Combining Fuzzy Information: an Overview,R Fagin,"SIGMOD Record,",2002.0,Combining Fuzzy Information: an Overview,R Fagin,SIGMOD Record,2002,1
Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"A Datta, DE VanderMeer, A Celik, V Kumar","ACM Transactions on Database Systems,",1999.0,Broadcast Protocols to Support Efficient Retrieval from Databases by Mobile Users,"A Datta, D VanderMeer, A Celik, V Kumar",ACM Trans. Database Syst.,1999,1
Similarity based Retrieval of Pictures Using Indices on Spatial Relationships,"AP Sistla, C Yu, C Liu, K Liu","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,Similarity based Retrieval of Pictures Using Indices on Spatial Relationships,"A Sistla, C Yu, C Liu, K Liu",VLDB,1995,1
CURE: An Efficient Clustering Algorithm for Large Databases,"G Sudipto, R Rastogi, K Shim","Proceedings of ACM SIGMOD International Conference on  &hellip;,",,CURE: An Efficient Clustering Algorithm for Large Databases,"S Guha, R Rastogi, K Shim",SIGMOD Conference,1998,1
The Complexity of Transformation-Based Join Enumeration,"A Pellenkoft, CA Galindo-Legaria, M Kersten","VLDB,",1997.0,The Complexity of Transformation-Based Join Enumeration,"A Pellenkoft, C Galindo-Legaria, M Kersten",VLDB,1997,1
Software as a service: ASP and ASP aggregation,C Bussler,,,Software as a service: ASP and ASP aggregation,,,2002,1
Chorochronos: A Research Network for Spatiotemporal Database Systems,C Participants,"SIGMOD Record,",,Chorochronos: A Research Network for Spatiotemporal Database Systems,"A Frank, S Grumbach, R Gќting, C Jensen, M Koubarakis, N Lorentzos, Y Manolopoulos, E Nardelli, B Pernici, H Schek, M Scholl, T Sellis, B Theodoulidis, P Widmayer",SIGMOD Record,1999,1
Maintenance of Automatic Summary Tables,"W Lehner, R Sidle, H Pirahesh, R Cochrane","SIGMOD Conference,",,Maintenance of Automatic Summary Tables,"W Lehner, R Sidle, H Pirahesh, R Cochrane",SIGMOD Conference,2000,1
NetCube: A Scalable Tool for Fast Data Mining and Compression,DMCFS Thrun,,,NetCube: A Scalable Tool for Fast Data Mining and Compression,"D Margaritis, C Faloutsos, S Thrun",VLDB,2001,1
Agora: Living with XML and Relational,D Florescu,,,Agora: Living with XML and Relational,"I Manolescu, D Florescu, D Kossmann, F Xhumari, D Olteanu",VLDB,2000,1
Phrase Matching in XML,"S Amer-Yahia, M Fernandez, D Srivastava, Y Xu","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Phrase Matching in XML,"S Amer-Yahia, M Fernandez, D Srivastava, Y Xu",VLDB,2003,1
Revisiting Commit Processing in Distributed Database Systems,"R Gupta, J Haritsa, K Ramamritham","SIGMOD Conference,",1997.0,Revisiting Commit Processing in Distributed Database Systems,"R Gupta, J Haritsa, K Ramamritham",SIGMOD Conference,1997,1
OODB Indexing by Class-Division,"S Ramaswamy, PC Kanellakis",,,OODB Indexing by Class-Division,"S Ramaswamy, P Kanellakis",SIGMOD Conference,1995,1
Multi-Dimensional Clustering: A New Data Layout Scheme in DB2,"S Padmanabhan, B Bhattacharjee, T Malkemus, L  ","SIGMOD Conference,",2003.0,Multi-Dimensional Clustering: A New Data Layout Scheme in DB2,"S Padmanabhan, B Bhattacharjee, T Malkemus, L Cranston, M Huras",SIGMOD Conference,2003,1
On the Cost of Monitoring and Reorganization of Object Bases for Clustering,CA Gerlhof,"SIGMOD Record,",1996.0,On the Cost of Monitoring and Reorganization of Object Bases for Clustering,"C Gerlhof, A Kemper, G Moerkotte",SIGMOD Record,1996,1
Cost-Based Optimization for Magic: Algebra and Implementation,"P Seshadri, JM Hellerstein, H Pirahesh, TYC Leung, ","SIGMOD Conference,",1996.0,Cost-Based Optimization for Magic: Algebra and Implementation,"P Seshadri, J Hellerstein, H Pirahesh, T Leung, R Ramakrishnan, D Srivastava, P Stuckey, S Sudarshan",SIGMOD Conference,1996,1
Tabular Placement of Relational Data on MEMS-based Storage Devices,"H Yu, D Agrawal","VLDB,",2003.0,Tabular Placement of Relational Data on MEMS-based Storage Devices,"H Yu, D Agrawal, A Abbadi",VLDB,2003,1
Learning to match ontologies on the Semantic Web,"D AnHai, M Jayant, D Robin, D Pedro, H Alon","The VLDB Journal,",,Learning to match ontologies on the Semantic Web,"A Doan, J Madhavan, R Dhamankar, P Domingos, A Halevy",VLDB J.,2003,1
Optimal Multi-Step k-Nearest Neighbor Search,"T Seidl, HP Kriegel",,,Optimal Multi-Step k-Nearest Neighbor Search,"T Seidl, H Kriegel",SIGMOD Conference,1998,1
An Efficient Algorithm for Mining Association Rules in Large Databases,ASEOS Navathe,,,An Efficient Algorithm for Mining Association Rules in Large Databases,"A Savasere, E Omiecinski, S Navathe",VLDB,1995,1
A Brief Survey of Web Data Extraction Tools,"AHF Laender, BA Ribeiro-Neto, JS Teixeira","SIGMOD Record,",2002.0,A Brief Survey of Web Data Extraction Tools,"A Laender, B Ribeiro-Neto, A Silva, J Teixeira",SIGMOD Record,2002,1
Massive Stochastic Testing of SQL,DR Slutz,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1998.0,Massive Stochastic Testing of SQL,D Slutz,VLDB,1998,1
Query Flocks: A Generalization of Association-Rule Mining,"JD Ullman, R Motwani, S Nestorov",,,Query Flocks: A Generalization of Association-Rule Mining,"S Tsur, J Ullman, S Abiteboul, C Clifton, R Motwani, S Nestorov, A Rosenthal",SIGMOD Conference,1998,1
The Design of an Acquisitional Query Processor For Sensor Networks,"S Madden, MJ Franklin, JM Hellerstein, W Hong","SIGMOD Conference,",2003.0,The Design of an Acquisitional Query Processor For Sensor Networks,"S Madden, M Franklin, J Hellerstein, W Hong",SIGMOD Conference,2003,1
A New Join Algorithm,"DK Shin, AC Meltzer","SIGMOD Record,",1994.0,A New Join Algorithm,"D Shin, A Meltzer",SIGMOD Record,1994,1
,,,,A Critique of ANSI SQL Isolation Levels,"H Berenson, P Bernstein, J Gray, J Melton, E O'Neil, P O'Neil",SIGMOD Conference,1995,1
Online Aggregation,JM Hellerstein,,,Online Aggregation,"J Hellerstein, P Haas, H Wang",SIGMOD Conference,1997,1
A performance study of four index structures for set-valued attributes of low cardinality,"S Helmer, G Moerkotte","The VLDB Journal The International Journal on Very Large  &hellip;,",2003.0,A performance study of four index structures for set-valued attributes of low cardinality,"S Helmer, G Moerkotte",VLDB J.,2003,1
Main-Memory Index Structures with Fixed-Size Partial Keys,"P Bohannon, R Rastogi","SIGMOD RECORD,",2001.0,Main-Memory Index Structures with Fixed-Size Partial Keys,"P Bohannon, P McIlroy, R Rastogi",SIGMOD Conference,2001,1
XPERANTO: Middleware for Publishing Object-Relational Data as XML Documents,"MJ Carey, J Kiernan, J Shanmugasundaram, EJ  ","VLDB,",2000.0,XPERANTO: Middleware for Publishing Object-Relational Data as XML Documents,"M Carey, J Kiernan, J Shanmugasundaram, E Shekita, S Subramanian",VLDB,2000,1
