Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
Particle Filtering for PLCA model with Application to Music Transcription,"D. Cazau, G. Revillon, W. Yuancheng, O. Adam","28 March, 2017",,Spatial distance dependent Chinese restaurant processes for image segmentation,"Soumya Ghosh, Andrei B. Ungureanu, Erik B. Sudderth, David M. Blei",December 2011,Neurips 2011,0
Universal Sampling Rate Distortion,"Vinay Praneeth Boda, Prakash Narayan","22 June, 2017",,Lifelong Learning with Non-i.i.d. Tasks,"Anastasia Pentina, Christoph H. Lampert",December 2015,Neurips 2015,0
Space lower bounds for linear prediction,"Yuval Dagan, Gil Kur, Ohad Shamir","22 February, 2019",,Bayesian Manifold Learning: The Locally Linear Latent Variable Model (LL-LVM),"Mijung Park, Wittawat Jitkrittum, Ahmad Qamar, Zoltan Szabo, Lars Buesing, Maneesh Sahani",December 2015,Neurips 2015,0
Becoming the Expert - Interactive Multi-Class Machine Teaching,"Edward Johns, Oisin Mac Aodha, Gabriel J. Brostow","28 April, 2015",,Efficient Convex Completion of Coupled Tensors using Coupled Nuclear Norms,"Kishan Wimalawarne, Hiroshi Mamitsuka",December 2018,Neurips 2018,0
Differentiable Programs with Neural Libraries,"Alexander L. Gaunt, Marc Brockschmidt, Nate Kushman, Daniel Tarlow","2 March, 2017",,Learning to Share and Hide Intentions using Information Regularization,"DJ Strouse, Max Kleiman-Weiner, Josh Tenenbaum, Matt Botvinick, David J. Schwab",December 2018,Neurips 2018,0
Reliable Decision Support using Counterfactual Models,"Peter Schulam, Suchi Saria","1 February, 2018",,AIDE: An algorithm for measuring the accuracy of probabilistic inference algorithms,"Marco Cusumano-Towner, Vikash K. Mansinghka",December 2017,Neurips 2017,0
An Efficient ADMM Algorithm for Structural Break Detection in Multivariate Time Series,"Alex Tank, Emily B. Fox, Ali Shojaie","25 June, 2018",,Learning Trajectory Preferences for Manipulators via Iterative Improvement,"Ashesh Jain, Brian Wojcik, Thorsten Joachims, Ashutosh Saxena",December 2013,Neurips 2013,0
Monitoring Chinese Population Migration in Consecutive Weekly Basis from Intra-city scale to Inter-province scale by Didi's Bigdata,Renyu Zhao,"7 April, 2016",,Online convex optimization for cumulative constraints,"Jianjun Yuan, Andrew Lamperski",December 2018,Neurips 2018,0
An initialization method for the k-means using the concept of useful nearest centers,Hassan Ismkhan,"10 May, 2017",,Polynomial Codes: an Optimal Design for High-Dimensional Coded Matrix Multiplication,"Qian Yu, Mohammad Maddah-Ali, Salman Avestimehr",December 2017,Neurips 2017,0
Relational Reasoning Network (RRN) for Anatomical Landmarking,"Neslisah Torosdagli, Mary McIntosh, Denise K. Liberton, Payal Verma, Murat Sincan, Wade W. Han, Janice S. Lee, Ulas Bagci","8 April, 2019",,Simple random search of static linear policies is competitive for reinforcement learning,"Horia Mania, Aurelia Guy, Benjamin Recht",December 2018,Neurips 2018,0
Random Feature Maps via a Layered Random Projection (LaRP) Framework for Object Classification,"A. G. Chung, M. J. Shafiee, A. Wong","4 February, 2016",,Approximation Algorithms for ,"Karl Bringmann, Pavel Kolev, David Woodruff",December 2017,Neurips 2017,0
Maximum Selection and Ranking under Noisy Comparisons,"Moein Falahatgar, Alon Orlitsky, Venkatadheeraj Pichapati, Ananda Theertha Suresh","15 May, 2017",,A Generalization of Submodular Cover via the Diminishing Return Property on the Integer Lattice,"Tasuku Soma, Yuichi Yoshida",December 2015,Neurips 2015,0
Randomized ICA and LDA Dimensionality Reduction Methods for Hyperspectral Image Classification,"Chippy Jayaprakash, Bharath Bhushan Damodaran, Sowmya V, K P Soman","19 April, 2018",,Practical exact algorithm for trembling-hand equilibrium refinements in games,"Gabriele Farina, Nicola Gatti, Tuomas Sandholm",December 2018,Neurips 2018,0
Learning Determinantal Point Processes,"Alex Kulesza, Ben Taskar","14 February, 2012",,Convolutional-Recursive Deep Learning for 3D Object Classification,"Richard Socher, Brody Huval, Bharath Bath, Christopher D. Manning, Andrew Y. Ng",December 2012,Neurips 2012,0
Adversarial Examples in RF Deep Learning: Detection of the Attack and its Physical Robustness,"Silvija Kokalj-Filipovic, Rob Miller","16 February, 2019",,Approximate Inference in Continuous Determinantal Processes,"Raja Hafiz Affandi, Emily Fox, Ben Taskar",December 2013,Neurips 2013,0
Infinite Shift-invariant Grouped Multi-task Learning for Gaussian Processes,"Yuyang Wang, Roni Khardon, Pavlos Protopapas","20 May, 2013",,Imitation Learning by Coaching,"He He, Jason Eisner, Hal Daume",December 2012,Neurips 2012,0
Toward Diverse Text Generation with Inverse Reinforcement Learning,"Zhan Shi, Xinchi Chen, Xipeng Qiu, Xuanjing Huang","7 June, 2018",,On Misinformation Containment in Online Social Networks,"Amo Tong, Ding-Zhu Du, Weili Wu",December 2018,Neurips 2018,0
Finding Associations and Computing Similarity via Biased Pair Sampling,"Andrea Campagna, Rasmus Pagh","17 February, 2010",,Regularized M-estimators with nonconvexity: Statistical and algorithmic theory for local optima,"Po-Ling Loh, Martin J. Wainwright",December 2013,Neurips 2013,0
Trajectory Clustering and an Application to Airspace Monitoring,"Maxime Gariel, Ashok N. Srivastava, Eric Feron","27 January, 2010",,Learning to Compose Domain-Specific Transformations for Data Augmentation,"Alexander J. Ratner, Henry Ehrenberg, Zeshan Hussain, Jared Dunnmon, Christopher R",December 2017,Neurips 2017,0
Improving Adversarial Robustness of Ensembles with Diversity Training,"Sanjay Kariyappa, Moinuddin K. Qureshi","28 January, 2019",,Learning Chordal Markov Networks by Constraint Satisfaction,"Jukka Corander, Tomi Janhunen, Jussi Rintanen, Henrik Nyman, Johan Pensar",December 2013,Neurips 2013,0
Optimizing Stochastic Gradient Descent in Text Classification Based on Fine-Tuning Hyper-Parameters Approach. A Case Study on Automatic Classification of Global Terrorist Attacks,Shadi Diab,"23 February, 2019","International Journal of Computer Science and Information Security (IJCSIS),Vol. 16, No. 12, December 2018",Sodium entry efficiency during action potentials: A novel single-parameter family of Hodgkin-Huxley models,"Anand Singh, Renaud Jolivet, Pierre Magistretti, Bruno Weber",December 2010,Neurips 2010,0
Supervised Quantile Normalisation,"Marine Le Morvan, Jean-Philippe Vert","1 June, 2017",,Sparse Estimation with Structured Dictionaries,David P. Wipf,December 2011,Neurips 2011,0
Convergence rates for the stochastic gradient descent method for non-convex objective functions,"Benjamin Fehrman, Benjamin Gess, Arnulf Jentzen","2 April, 2019",,QSGD: Communication-Efficient SGD via Gradient Quantization and Encoding,"Dan Alistarh, Demjan Grubic, Jerry Li, Ryota Tomioka, Milan Vojnovic",December 2017,Neurips 2017,0
SGDR: Stochastic Gradient Descent with Warm Restarts,"Ilya Loshchilov, Frank Hutter","3 May, 2017",,Hierarchical Graph Representation Learning with Differentiable Pooling,"Zhitao Ying, Jiaxuan You, Christopher Morris, Xiang Ren, Will Hamilton, Jure Leskovec",December 2018,Neurips 2018,0
Crime incidents embedding using restricted Boltzmann machines,"Shixiang Zhu, Yao Xie","13 February, 2018",,Perturbative Black Box Variational Inference,"Robert Bamler, Cheng Zhang, Manfred Opper, Stephan Mandt",December 2017,Neurips 2017,0
Classifying Documents within Multiple Hierarchical Datasets using Multi-Task Learning,"Azad Naik, Anveshi Charuvaka, Huzefa Rangwala","5 June, 2017",,BourGAN: Generative Networks with Metric Embeddings,"Chang Xiao, Peilin Zhong, Changxi Zheng",December 2018,Neurips 2018,0
Hierarchical Adversarially Learned Inference,"Mohamed Ishmael Belghazi, Sai Rajeswar, Olivier Mastropietro, Negar Rostamzadeh, Jovana Mitrovic, Aaron Courville","3 February, 2018",,Stochastic Ratio Matching of RBMs for Sparse High-Dimensional Inputs,"Yann Dauphin, Yoshua Bengio",December 2013,Neurips 2013,0
Deep-Sentiment: Sentiment Analysis Using Ensemble of CNN and Bi-LSTM Models,"Shervin Minaee, Elham Azimi, AmirAli Abdolrashidi","8 April, 2019",,LAG: Lazily Aggregated Gradient for Communication-Efficient Distributed Learning,"Tianyi Chen, Georgios Giannakis, Tao Sun, Wotao Yin",December 2018,Neurips 2018,0
CROSSBOW: Scaling Deep Learning with Small Batch Sizes on Multi-GPU Servers,"Alexandros Koliousis, Pijika Watcharapichat, Matthias Weidlich, Luo Mai, Paolo Costa, Peter Pietzuch","8 January, 2019",,Clustering by Nonnegative Matrix Factorization Using Graph Random Walk,"Zhirong Yang, Tele Hao, Onur Dikmen, Xi Chen, Erkki Oja",December 2012,Neurips 2012,0
A Review of Audio Features and Statistical Models Exploited for Voice Pattern Design,"Ngoc Q. K. Duong, Hien-Thanh Duong","24 February, 2015",,Learning and Inference in Hilbert Space with Quantum Graphical Models,"Siddarth Srinivasan, Carlton Downey, Byron Boots",December 2018,Neurips 2018,0
Smooth Structured Prediction Using Quantum and Classical Gibbs Samplers,"Behrooz Sepehry, Ehsan Iranmanesh, Michael P. Friedlander, Pooya Ronagh","27 February, 2019",,Learning Neural Representations of Human Cognition across Many fMRI Studies,"Arthur Mensch, Julien Mairal, Danilo Bzdok, Bertrand Thirion, Gael Varoquaux",December 2017,Neurips 2017,0
NIPS 2016 Tutorial: Generative Adversarial Networks,Ian Goodfellow,"3 April, 2017",,Dual Principal Component Pursuit: Improved Analysis and Efficient Algorithms,"Zhihui Zhu, Yifan Wang, Daniel Robinson, Daniel Naiman, Rene Vidal, Manolis Tsakiris",December 2018,Neurips 2018,0
Cluster-Seeking James-Stein Estimators,"K. Pavan Srinath, Ramji Venkataramanan","16 March, 2018","IEEE Transactions on Information Theory, vol. 64, no. 2, pp. 853-874, February 2018",Learning User Perceived Clusters with Feature-Level Supervision,"Ting-Yu Cheng, Guiguan Lin, xinyang gong, Kang-Jun Liu, Shan-Hung Wu",December 2016,Neurips 2016,0
The Log-Concave Maximum Likelihood Estimator is Optimal in High Dimensions,"Yuval Dagan, Gil Kur","13 March, 2019",,Sparse nonnegative deconvolution for compressive calcium imaging: algorithms and phase transitions,"Eftychios A. Pnevmatikakis, Liam Paninski",December 2013,Neurips 2013,0
Deep Neural Nets with Interpolating Function as Output Activation,"Bao Wang, Xiyang Luo, Zhen Li, Wei Zhu, Zuoqiang Shi, Stanley J. Osher","16 June, 2018",,Why are some word orders more common than others? A uniform information density account,"Luke Maurits, Dan Navarro, Amy Perfors",December 2010,Neurips 2010,0
Don't Jump Through Hoops and Remove Those Loops: SVRG and Katyusha are Better Without the Outer Loop,"Dmitry Kovalev, Samuel Horvath, Peter Richtarik","24 January, 2019",,LF-Net: Learning Local Features from Images,"Yuki Ono, Eduard Trulls, Pascal Fua, Kwang Moo Yi",December 2018,Neurips 2018,0
"Performance Limits of Stochastic Sub-Gradient Learning, Part I: Single Agent Case","Bicheng Ying, Ali H. Sayed","21 April, 2017",,Kernel Hyperalignment,"Alexander Lorbert, Peter J. Ramadge",December 2012,Neurips 2012,0
Separable Dictionary Learning,"Simon Hawe, Matthias Seibert, Martin Kleinsteuber","21 March, 2013",,Stimulus domain transfer in recurrent models for large scale cortical population prediction on video,"Fabian Sinz, Alexander S. Ecker, Paul Fahey, Edgar Walker, Erick Cobos, Emmanouil Froudarakis, Dimitri Yatsenko, Zachary Pitkow, Jacob Reimer, Andreas Tolias",December 2018,Neurips 2018,0
MobiRNN: Efficient Recurrent Neural Network Execution on Mobile GPU,"Qingqing Cao, Niranjan Balasubramanian, Aruna Balasubramanian","2 June, 2017",,Sparse Filtering,"Jiquan Ngiam, Zhenghao Chen, Sonia A. Bhaskar, Pang W. Koh, Andrew Y. Ng",December 2011,Neurips 2011,0
Parsimonious module inference in large networks,Tiago P. Peixoto,"8 April, 2013","Phys. Rev. Lett. 110, 148701 (2013)",Non-linear Metric Learning,"Dor Kedem, Stephen Tyree, Fei Sha, Gert R. Lanckriet, Kilian Q. Weinberger",December 2012,Neurips 2012,0
Bayes Optimal Early Stopping Policies for Black-Box Optimization,Matthew Streeter,"21 February, 2019",,From Stochastic Planning to Marginal MAP,"Hao Cui, Radu Marinescu, Roni Khardon",December 2018,Neurips 2018,0
Distributive Stochastic Learning for Delay-Optimal OFDMA Power and Subband Allocation,"Ying Cui, Vincent K. N. Lau","1 May, 2010",,A Deep Bayesian Policy Reuse Approach Against Non-Stationary Agents,"YAN ZHENG, Zhaopeng Meng, Jianye Hao, Zongzhang Zhang, Tianpei Yang, Changjie Fan",December 2018,Neurips 2018,0
Correct-by-synthesis reinforcement learning with temporal logic constraints,"Min Wen, Ruediger Ehlers, Ufuk Topcu","5 March, 2015",,Beta-Negative Binomial Process and Exchangeable Random Partitions for Mixed-Membership Modeling,Mingyuan Zhou,December 2014,Neurips 2014,0
On the statistical evaluation of algorithmic's computational experimentation with infeasible solutions,Iago A Carvalho,"31 January, 2019","CARVALHO, Iago A. On the statistical evaluation of algorithmic's computational experimentation with infeasible solutions. Information Processing Letters, 2019, vol. 143, p. 24-27",Epitome driven 3-D Diffusion Tensor image segmentation: on extracting specific structures,"Kamiya Motwani, Nagesh Adluru, Chris Hinrichs, Andrew Alexander, Vikas Singh",December 2010,Neurips 2010,0
Bayesian Posterior Sampling via Stochastic Gradient Fisher Scoring,"Sungjin Ahn, Anoop Korattikara, Max Welling","27 June, 2012",,Minimax Estimation of Maximum Mean Discrepancy with Radial Kernels,"Ilya O. Tolstikhin, Bharath K. Sriperumbudur, Bernhard Schlkopf",December 2016,Neurips 2016,0
Semi-analytical approximations to statistical moments of sigmoid and softmax mappings of normal variables,Jean Daunizeau,"3 March, 2017",,Factorized Latent Spaces with Structured Sparsity,"Yangqing Jia, Mathieu Salzmann, Trevor Darrell",December 2010,Neurips 2010,0
Modeling Grasp Motor Imagery through Deep Conditional Generative Models,"Matthew Veres, Medhat Moussa, Graham W. Taylor","11 January, 2017",,Computing Higher Order Derivatives of Matrix and Tensor Expressions,"Soeren Laue, Matthias Mitterreiter, Joachim Giesen",December 2018,Neurips 2018,0
Infinitely imbalanced binomial regression and deformed exponential families,Tomonari Sei,"21 April, 2013",,Truly Nonparametric Online Variational Inference for Hierarchical Dirichlet Processes,"Michael Bryant, Erik B. Sudderth",December 2012,Neurips 2012,0
DNA-inspired online behavioral modeling and its application to spambot detection,"Stefano Cresci, Roberto Di Pietro, Marinella Petrocchi, Angelo Spognardi, Maurizio Tesconi","30 January, 2016",,A Dirty Model for Multi-task Learning,"Ali Jalali, Sujay Sanghavi, Chao Ruan, Pradeep K. Ravikumar",December 2010,Neurips 2010,0
Cross-Modal Data Programming Enables Rapid Medical Machine Learning,"Jared Dunnmon, Alexander Ratner, Nishith Khandwala, Khaled Saab, Matthew Markert, Hersh Sagreiya, Roger Goldman, Christopher Lee-Messer, Matthew Lungren, Daniel Rubin, Christopher R","26 March, 2019",,L4: Practical loss-based stepsize adaptation for deep learning,"Michal Rolinek, Georg Martius",December 2018,Neurips 2018,0
Recurrent Attentional Networks for Saliency Detection,"Jason Kuen, Zhenhua Wang, Gang Wang","11 April, 2016",,Deep Supervised Discrete Hashing,"Qi Li, Zhenan Sun, Ran He, Tieniu Tan",December 2017,Neurips 2017,0
On Discrimination Discovery and Removal in Ranked Data using Causal Graph,"Yongkai Wu, Lu Zhang, Xintao Wu","5 March, 2018",,Tight Bounds for Influence in Diffusion Networks and Application to Bond Percolation and Epidemiology,"Remi Lemonnier, Kevin Scaman, Nicolas Vayatis",December 2014,Neurips 2014,0
Online learning over a finite action set with limited switching,"Jason Altschuler, Kunal Talwar","13 June, 2018",,Convergence Rates of Inexact Proximal-Gradient Methods for Convex Optimization,"Mark Schmidt, Nicolas L. Roux, Francis R. Bach",December 2011,Neurips 2011,0
Hierarchical Critics Assignment for Multi-agent Reinforcement Learning,"Zehong Cao, Chin-Teng Lin","10 February, 2019",,Integrated perception with recurrent multi-task neural networks,"Hakan Bilen, Andrea Vedaldi",December 2016,Neurips 2016,0
Incremental Majorization-Minimization Optimization with Application to Large-Scale Machine Learning,Julien Mairal,"1 February, 2015",,Efficient Offline Communication Policies for Factored Multiagent POMDPs,"Joo V. Messias, Matthijs Spaan, Pedro U. Lima",December 2011,Neurips 2011,0
Scalable and Incremental Learning of Gaussian Mixture Models,"Rafael Pinto, Paulo Engel","14 January, 2017",,Minimal Exploration in Structured Stochastic Bandits,"Richard Combes, Stefan Magureanu, Alexandre Proutiere",December 2017,Neurips 2017,0
Deep Reinforcement Learning for Time Optimal Velocity Control using Prior Knowledge,"Gabriel Hartmann, Zvi Shiller, Amos Azaria","12 March, 2019",,Paraphrasing Complex Network: Network Compression via Factor Transfer,"Jangho Kim, Seonguk Park, Nojun Kwak",December 2018,Neurips 2018,0
Training Variational Autoencoders with Buffered Stochastic Variational Inference,"Rui Shu, Hung H. Bui, Jay Whang, Stefano Ermon","26 February, 2019",,Accounting for network effects in neuronal responses using L1 regularized point process models,"Ryan Kelly, Matthew Smith, Robert Kass, Tai S. Lee",December 2010,Neurips 2010,0
Efficient and Parsimonious Agnostic Active Learning,"Tzu-Kuo Huang, Alekh Agarwal, Daniel J. Hsu, John Langford, Robert E. Schapire","7 January, 2016",,Globally Convergent Dual MAP LP Relaxation Solvers using Fenchel-Young Margins,"Alex Schwing, Tamir Hazan, Marc Pollefeys, Raquel Urtasun",December 2012,Neurips 2012,0
Approximating Continuous Functions by ReLU Nets of Minimal Width,"Boris Hanin, Mark Sellke","10 March, 2018",,Mirror Descent Meets Fixed Share (and feels no regret),"Nicol Cesa-bianchi, Pierre Gaillard, Gabor Lugosi, Gilles Stoltz",December 2012,Neurips 2012,0
Bayesian inference on random simple graphs with power law degree distributions,"Juho Lee, Creighton Heaukulani, Zoubin Ghahramani, Lancelot F. James, Seungjin Choi","18 June, 2017",,Recognizing Activities by Attribute Dynamics,"Weixin Li, Nuno Vasconcelos",December 2012,Neurips 2012,0
Deep Submodular Functions,"Jeffrey Bilmes, Wenruo Bai","31 January, 2017",,M-Best-Diverse Labelings for Submodular Energies and Beyond,"Alexander Kirillov, Dmytro Shlezinger, Dmitry P. Vetrov, Carsten Rother, Bogdan Savchynskyy",December 2015,Neurips 2015,0
Scalable Gaussian Processes on Discrete Domains,"Vincent Fortuin, Gideon Dresdner, Heiko Strathmann, Gunnar Rtsch","30 January, 2019",,Extremal Mechanisms for Local Differential Privacy,"Peter Kairouz, Sewoong Oh, Pramod Viswanath",December 2014,Neurips 2014,0
Recurrent Attentional Networks for Saliency Detection,"Jason Kuen, Zhenhua Wang, Gang Wang","11 April, 2016",,Sparse Approximate Manifolds for Differential Geometric MCMC,"Ben Calderhead, Mtys A. Sustik",December 2012,Neurips 2012,0
First Order Generative Adversarial Networks,"Calvin Seward, Thomas Unterthiner, Urs Bergmann, Nikolay Jetchev, Sepp Hochreiter","7 June, 2018",,Sample Efficient Stochastic Gradient Iterative Hard Thresholding Method for Stochastic Sparse Linear Regression with Limited Attribute Observation,"Tomoya Murata, Taiji Suzuki",December 2018,Neurips 2018,0
"""Show me the cup"": Reference with Continuous Representations","Gemma Boleda, Sebastian Pad, Marco Baroni","28 June, 2016",,Scalable imputation of genetic data with a discrete fragmentation-coagulation process,"Lloyd Elliott, Yee W. Teh",December 2012,Neurips 2012,0
Near Optimal Bayesian Active Learning for Decision Making,"Shervin Javdani, Yuxin Chen, Amin Karbasi, Andreas Krause, J. Andrew Bagnell, Siddhartha Srinivasa","24 February, 2014",,Regret Lower Bound and Optimal Algorithm in Finite Stochastic Partial Monitoring,"Junpei Komiyama, Junya Honda, Hiroshi Nakagawa",December 2015,Neurips 2015,0
Sequential Feature Explanations for Anomaly Detection,"Md Amran Siddiqui, Alan Fern, Thomas G. Dietterich, Weng-Keen Wong","27 February, 2015",,Real-Time Decoding of an Integrate and Fire Encoder,"Shreya Saxena, Munther Dahleh",December 2014,Neurips 2014,0
Robust Deep-Learning-Based Road-Prediction for Augmented Reality Navigation Systems,"Matthias Limmer, Julian Forster, Dennis Baudach, Florian Schle, Roland Schweiger, Hendrik P. A. Lensch","31 May, 2016",,Learning to Communicate with Deep Multi-Agent Reinforcement Learning,"Jakob Foerster, Ioannis Alexandros Assael, Nando de Freitas, Shimon Whiteson",December 2016,Neurips 2016,0
Application of the Ranking Relative Principal Component Attributes Network Model (REL-PCANet) for the Inclusive Development Index Estimation,"Anwar Irmatov, Elnura Irmatova","16 April, 2018",,Multi-Stage Multi-Task Feature Learning,"Pinghua Gong, Jieping Ye, Chang-shui Zhang",December 2012,Neurips 2012,0
Predicting Glaucoma Visual Field Loss by Hierarchically Aggregating Clustering-based Predictors,"Motohide Higaki, Kai Morino, Hiroshi Murata, Ryo Asaoka, Kenji Yamanishi","23 March, 2016",,A Model for Temporal Dependencies in Event Streams,"Asela Gunawardana, Christopher Meek, Puyang Xu",December 2011,Neurips 2011,0
Using transfer learning to detect galaxy mergers,"Sandro Ackermann, Kevin Schawinski, Ce Zhang, Anna K. Weigel, M. Dennis Turp","29 May, 2018",,Estimating Jaccard Index with Missing Observations: A Matrix Calibration Approach,Wenye Li,December 2015,Neurips 2015,0
Learning Edge Properties in Graphs from Path Aggregations,"Rakshit Agrawal, Luca de Alfaro","11 March, 2019",,Depth from a Single Image by Harmonizing Overcomplete Local Network Predictions,"Ayan Chakrabarti, Jingyu Shao, Greg Shakhnarovich",December 2016,Neurips 2016,0
Ensemble-based kernel learning for a class of data assimilation problems with imperfect forward simulators,Xiaodong Luo,"30 January, 2019",,Eigen-Distortions of Hierarchical Representations,"Alexander Berardino, Valero Laparra, Johannes Ball, Eero Simoncelli",December 2017,Neurips 2017,0
Deep Portfolio Theory,"J. B. Heaton, N. G. Polson, J. H. Witte","14 January, 2018",,Negotiable Reinforcement Learning for Pareto Optimal Sequential Decision-Making,"Nishant Desai, Andrew Critch, Stuart J. Russell",December 2018,Neurips 2018,0
Generative Adversarial Networks recover features in astrophysical images of galaxies beyond the deconvolution limit,"Kevin Schawinski, Ce Zhang, Hantian Zhang, Lucas Fowler, Gokula Krishnan Santhanam","1 February, 2017",,Self-Normalizing Neural Networks,"Gnter Klambauer, Thomas Unterthiner, Andreas Mayr, Sepp Hochreiter",December 2017,Neurips 2017,0
Noisy population recovery in polynomial time,"Anindya De, Michael Saks, Sijian Tang","24 February, 2016",,A latent factor model for highly multi-relational data,"Rodolphe Jenatton, Nicolas L. Roux, Antoine Bordes, Guillaume R. Obozinski",December 2012,Neurips 2012,0
An SIR Graph Growth Model for the Epidemics of Communicable Diseases,"Charanpal Dhanjal, Stphan Clmenon","5 February, 2014",,Few-Shot Adversarial Domain Adaptation,"Saeid Motiian, Quinn Jones, Seyed Iranmanesh, Gianfranco Doretto",December 2017,Neurips 2017,0
On Loss Functions for Deep Neural Networks in Classification,"Katarzyna Janocha, Wojciech Marian Czarnecki","18 February, 2017",,Transfer Learning by Borrowing Examples for Multiclass Object Detection,"Joseph J. Lim, Ruslan R. Salakhutdinov, Antonio Torralba",December 2011,Neurips 2011,0
Accuracy guaranties for $\ell_1$ recovery of block-sparse signals,"Anatoli Juditsky, Fatma K?l?n Karzan, Arkadi Nemirovski, Boris Polyak","27 February, 2013","Annals of Statistics 2012, Vol. 40, No. 6, 3077-3107",Dynamic Rank Factor Model for Text Streams,"Shaobo Han, Lin Du, Esther Salazar, Lawrence Carin",December 2014,Neurips 2014,0
DASA: Domain Adaptation in Stacked Autoencoders using Systematic Dropout,"Abhijit Guha Roy, Debdoot Sheet","19 March, 2016",,A Dirty Model for Multi-task Learning,"Ali Jalali, Sujay Sanghavi, Chao Ruan, Pradeep K. Ravikumar",December 2010,Neurips 2010,0
On Computation and Generalization of GANs with Spectrum Control,"Haoming Jiang, Zhehui Chen, Minshuo Chen, Feng Liu, Dingding Wang, Tuo Zhao","2 March, 2019",,Scalable Inference of Overlapping Communities,"Prem K. Gopalan, Sean Gerrish, Michael Freedman, David M. Blei, David M. Mimno",December 2012,Neurips 2012,0
Fast Accurate CT Metal Artifact Reduction using Data Domain Deep Learning,"Muhammad Usman Ghani, W. Clem Karl","9 April, 2019",,Finite Sample Prediction and Recovery Bounds for Ordinal Embedding,"Lalit Jain, Kevin G. Jamieson, Rob Nowak",December 2016,Neurips 2016,0
Inverse Moment Methods for Sufficient Forecasting using High-Dimensional Predictors,"Wei Luo, Lingzhou Xue, Jiawei Yao","30 April, 2017",,Distributed Bayesian Posterior Sampling via Moment Sharing,"Minjie Xu, Balaji Lakshminarayanan, Yee Whye Teh, Jun Zhu, Bo Zhang",December 2014,Neurips 2014,0
An Optimal Algorithm for Online Unconstrained Submodular Maximization,"Tim Roughgarden, Joshua R. Wang","8 June, 2018",,Protein Interface Prediction using Graph Convolutional Networks,"Alex Fout, Jonathon Byrd, Basir Shariat, Asa Ben-Hur",December 2017,Neurips 2017,0
Not Just Privacy: Improving Performance of Private Deep Learning in Mobile Cloud,"Ji Wang, Jianguo Zhang, Weidong Bao, Xiaomin Zhu, Bokai Cao, Philip S. Yu","5 January, 2019",,Fast and Memory Optimal Low-Rank Matrix Approximation,"Se-Young Yun, marc lelarge, Alexandre Proutiere",December 2015,Neurips 2015,0
Approximation of functions by neural networks,Andreas Thom,"29 January, 2019",,An Active Learning Framework using Sparse-Graph Codes for Sparse Polynomials and Graph Sketching,"Xiao Li, Kannan Ramchandran",December 2015,Neurips 2015,0
Modeling sepsis progression using hidden Markov models,"Brenden K. Petersen, Michael B. Mayhew, Kalvin O. E. Ogbuefi, John D. Greene, Vincent X. Liu, Priyadip Ray","8 January, 2018",,Z-Forcing: Training Stochastic Recurrent Networks,"Anirudh Goyal ALIAS PARTH GOYAL, Alessandro Sordoni, Marc-Alexandre Ct, Nan Rosemary Ke, Yoshua Bengio",December 2017,Neurips 2017,0
Coordinated Multi-Agent Imitation Learning,"Hoang M. Le, Yisong Yue, Peter Carr, Patrick Lucey","25 May, 2018","Hoang M. Le, Yisong Yue, Peter Carr, Patrick Lucey ; Proceedings of the 34th International Conference on Machine Learning, PMLR 70:1995-2003, 2017",Tiled convolutional neural networks,"Jiquan Ngiam, Zhenghao Chen, Daniel Chia, Pang W. Koh, Quoc V. Le, Andrew Y. Ng",December 2010,Neurips 2010,0
An Interpretable Knowledge Transfer Model for Knowledge Base Completion,"Qizhe Xie, Xuezhe Ma, Zihang Dai, Eduard Hovy","3 May, 2017",,Learning Infinite RBMs with Frank-Wolfe,"Wei Ping, Qiang Liu, Alexander T. Ihler",December 2016,Neurips 2016,0
Fine-Grained Visual Categorization via Multi-stage Metric Learning,"Qi Qian, Rong Jin, Shenghuo Zhu, Yuanqing Lin","4 June, 2015",,Stein Variational Gradient Descent as Moment Matching,"Qiang Liu, Dilin Wang",December 2018,Neurips 2018,0
JANUS: Fast and Flexible Deep Learning via Symbolic Graph Execution of Imperative Programs,"Eunji Jeong, Sungwoo Cho, Gyeong-In Yu, Joo Seong Jeong, Dong-Jin Shin, Byung-Gon Chun","11 March, 2019",16th USENIX Symposium on Networked Systems Design and Implementation (NSDI 2019),Avoiding Discrimination through Causal Reasoning,"Niki Kilbertus, Mateo Rojas Carulla, Giambattista Parascandolo, Moritz Hardt, Dominik Janzing, Bernhard Schlkopf",December 2017,Neurips 2017,0
Temporal Convolution for Real-time Keyword Spotting on Mobile Devices,"Seungwoo Choi, Seokjun Seo, Beomjun Shin, Hyeongmin Byun, Martin Kersner, Beomsu Kim, Dongyoung Kim, Sungjoo Ha","7 April, 2019",,Moment-based Uniform Deviation Bounds for ,"Matus J. Telgarsky, Sanjoy Dasgupta",December 2013,Neurips 2013,0
On the Approximation Properties of Neural Networks,"Jonathan W. Siegel, Jinchao Xu","3 April, 2019",,Learning convex polytopes with margin,"Lee-Ad Gottlieb, Eran Kaufman, Aryeh Kontorovich, Gabriel Nivasch",December 2018,Neurips 2018,0
