ID_A,ID_B,Title_A,Title_B,ISBN_A,ISBN_B
bn_2648,B69,"Microsoft? Access? 2010 Programming By Example: with VBA, XML, and ASP",Clean Data - Data Science Strategies for Tackling Dirty Data,9781936420025,9781785284014.0
bn_354,B824,Computational Technologies: A First Course,Pete Cassidy's Cookbook for Oracle SQL*Plus,9783110359923,
bn_470,B676,Information Systems Reengineering / Edition 1,Web Development with Oracle Portal,9789813083158,9780130600370.0
bn_1580,B1293,MySQL: Building User Interfaces,Processing XML documents with Oracle JDeveloper 11g,9780735710498,9781847196668.0
bn_2860,B46,"PHP, MySQL, JavaScript & HTML5 All-in-One For Dummies","New Perspectives on Computer Concepts 2014, Introductory (with Microsoft Office 2013 Try It! and CourseMate(TM) Printed Access Card)",9781118213704,9781285766997.0
bn_1279,B1275,Access 2002 Desktop Developer's Handbook,Disaster Recovery With DB2 Udb for Z/os,9780782140095,9780738490922.0
bn_965,B1940,Database Systems: The Complete Book / Edition 2,Excel and Access for Accounting,9780131873254,9780324068573.0
bn_925,B825,Ajax in Oracle JDeveloper / Edition 1,Microsoft Access 2.0 for Windows (South-Western Computer Training Series),9783540775959,9780538641326.0
bn_2921,B579,Computer-Aided Database Design: The DATAID Project,Ingres User Guide: Visual Programming Tools,9780444877352,9780134637204.0
bn_1585,B1608,JavaScript and jQuery for Data Analysis and Visualization,A Slacker's Guide to Utilizing VBScripts in a Teradata Environment,9781118847060,9780615962276.0
bn_801,B2873,The ABC's of Paradox,Homeland Security Techniques & Technologies (Networking Series),9780895885739,9781584503286.0
bn_1372,B700,Mastering Paradox 3.5,The Official Introduction to DB2(R) for z/OS(R): Covers DB2(R) Universal Database for z/OS(R) Version 8 (2nd Edition),9780895886774,9780131477506.0
bn_2212,B887,Distributed Database Systems / Edition 1,DB2 for Z/Os and Websphere Integration for Enterprise Java Applications,9780201544008,9780738438399.0
bn_2681,B981,The Adaptive Web: Methods and Strategies of Web Personalization / Edition 1,DB2 Cube Views: A Primer,9783540720782,9780738499734.0
bn_897,B7,"Advances in Web-Age Information Management: 5th International Conference, WAIM 2004, Dalian, China, July 15-17, 2004, Proceedings / Edition 1",SQL Server Concurrency,9783540224181,9781906434915.0
bn_2985,B2143,Beginning Microsoft SQL Server 2008 Administration,"Metadata and Semantic Research: Third International Conference, MTSR 2009, Milan, Italy, October 1-2, 2009. Proceedings (Communications in Computer and Information Science)",9780470440919,9783642045899.0
bn_1097,B2517,Ensuring Data Base Integrity,Client/Server Computing for Dummies,9780471865261,9780764500664.0
bn_1663,B234,Informix Guide to SQL: Reference and Syntax,Oracle9i Performance Tuning: Optimizing Database Productivity,9780130161666,9780619160043.0
bn_2214,B691,Data Visualization with JavaScript,Sams Teach Yourself DB2 Universal Database in 21 Days (2nd Edition),9781593276058,9780672325823.0
bn_1375,B197,A Practical Guide to Security Engineering and Information Assurance / Edition 1,Oracle Coherence 3.5,9780849311635,9781847196125.0
bn_69,B432,"Home and Small Business Guide to Protecting Your Computer Network, Electronic Assets, and Privacy",Easy Microsoft Access 97,9780313360077,9780789710277.0
bn_2584,B2433,Metadata / Edition 1,Microsoft Access 2003 (Marquee Series),9781555706357,9780763820701.0
bn_996,B821,"New Perspectives on Microsoft Access 2013, Brief",DB2 Udb Server for  Os/390 and Z/OS Version 7 Presentation Guide,9781285099224,9780738418254.0
bn_1872,B920,"Database Theory - ICDT &#039;97: 6th International Conference, Delphi, Greece, January 8-10, 1997. Proceedings / Edition 1",Digital Signal Processing Using MATLAB (Bookware Companion),9783540622222,9780495073116.0
bn_1425,B847,"Deductive and Object-Oriented Databases: Second International Conference, DOOD'91, Munich, Germany, December 16-18, 1991. Proceedings",Oracle Database Ajax & PHP Web Application Development (Oracle Press),9783540550150,9780071502771.0
bn_1387,B1111,Oracle 10g Developing Media Rich Applications,Machine Learning and Data Mining for Computer Security: Methods and Applications (Advanced Information and Knowledge Processing),9781555583316,9781849965446.0
bn_1267,B2271,Microsoft SQL Server 2000 Administrator's Companion with CD-ROM,Wireless Information Highways,9780735610514,9781591405405.0
bn_243,B179,Management of Heterogeneous and Autonomous Database Systems / Edition 1,Special Edition Using FileMaker 7,9781558602168,9780789730282.0
bn_2579,B1757,Recommender Systems: An Introduction,"Big Data: Related Technologies, Challenges and Future Prospects (SpringerBriefs in Computer Science)",9780521493369,9783319062440.0
bn_761,B1197,Microsoft Access Programming,Algorithms and Computation,9780830643103,9783540001423.0
bn_2003,B847,Oracle9i RMAN Backup &amp; Recovery / Edition 1,Oracle Database Ajax & PHP Web Application Development (Oracle Press),9780072226621,9780071502771.0
bn_2266,B2038,"Database and Expert Systems Applications: Proceedings of the International Conference, Valencia, Spain",Introduction to Oracle 10g,9780387824000,9780131957404.0
bn_2684,B1660,Processing And Managing Complex Data For Decision Support,MINERIA DE DATOS. REDES NEURONALES Y ARBOLES DE DECISION. Ejemplos con SAS ENTERPRISE MINER,9781591406556,9781493768400.0
bn_2061,B970,Microsoft Access 2000,Modeling and Data Mining in Blogosphere (Synthesis Lectures on Data Mining and Knowledge Discovery),9780735610668,9781598299083.0
bn_2823,B866,Applied Oracle Security: Developing Secure Database and Middleware Environments: Developing Secure Database and Middleware Environments / Edition 1,Microsoft Access 2010 In Depth,9780071613705,9780789743077.0
bn_2945,B1749,OpenStack Trove,Data Protection and Information Lifecycle Management,9781484212226,9780131927575.0
bn_1082,B2980,"Sap Hardware Solutions: Servers, Storage, and Networks for Mysap.com / Edition 1",Mastering Microcomputers: Core Concepts and Applications,9780130280848,9780805311709.0
bn_2964,B1598,CouchDB mit PHP,"Computational Science and Its Applications -- ICCSA 2012: 12th International Conference, Salvador de Bahia, Brazil,  June 18-21, 2012, Proceedings, Part II (Lecture Notes in Computer Science)",9783868026078,9783642310744.0
bn_309,B1646,Berkeley DB,Access 2002 on Your Side: Microsoft Office XP,9780735710641,9782746013544.0
bn_476,B1610,Intelligent Systems for Video Analysis and Access Over the Internet / Edition 1,New Perspectives on Microsoft Access 2002 Brief,9780130471178,
bn_2437,B537,Marketing Analytics: Data-Driven Techniques with Microsoft Excel,"Joe Celko's Thinking in Sets: Auxiliary, Temporal, and Virtual Tables in SQL (The Morgan Kaufmann Series in Data Management Systems)",9781118373439,9780123741370.0
bn_1603,B765,"Cooperative Information Systems: 9th International Conference, CoopIS 2001, Trento, Italy, September 5-7, 2001. Proceedings / Edition 1",Microsoft Access 97: Beginner's Course for Users (PC Crash Course),9783540425243,9781873005415.0
bn_1250,B420,"Advanced Communications and Multimedia Security: IFIP TC6 / TC11 Sixth Joint Working Conference on Communications and Multimedia Security September 26-27, 2002, PortoroZ, Slovenia / Edition 1",ADO.NET in a Nutshell,9781402072062,9780596003616.0
bn_2205,B1994,Innovations In Information Systems Modeling,Scaling MongoDB,9781605662787,9781449303211.0
bn_576,B1624,"Murach's ADO.NET 3.5, LINQ, and the Entity Framework with C# 2008",dBASE for DOS for Dummies,9781890774530,9781568841885.0
bn_274,B1312,Distributed Multimedia Databases: Techniques and Applications,"Automata, Languages and Programming: 33rd International Colloquium, ICALP 2006, Venice, Italy, July 10-14, 2006, Proceedings, Part I (Lecture Notes in ... Computer Science and General Issues)",9781931777735,9783540359043.0
bn_232,B991,"Database Tuning: Principles, Experiments, and Troubleshooting Techniques / Edition 1",New Perspectives on Data-Driven Web Sites with Microsoft Access 2000: Tools for E-Commerce,9781558607538,9780619019488.0
bn_2418,B2507,MySQL Administrator's Guide,Beginning Access 2007 VBA,9780672332654,9780470046845.0
bn_1150,B2941,Microsoft Access 2010 Step by Step,IBM Informix Dynamic Server 11: The Next Generation in OLTP Data Server Technology,9780735626928,9781583470756.0
bn_1767,B1535,Decision Support Systems / Edition 2,Access 97 Level II Essentials (Essentials (Que Paperback)),9780130922069,9781575768052.0
bn_673,B1377,Database Design: Applications of Library Cataloging Techniques,Relational Databases: State of the Art Report,9780830634439,9781483120492.0
bn_1581,B1352,Sams Teach Yourself SAP in 24 Hours,Effective MySQL Replication Techniques in Depth,9780132715102,9780071791861.0
bn_1059,B777,Dynamic And Advanced Data Mining For Progressing Technological Development,Integrating Excel and Access,9781605669083,9780596009731.0
bn_153,B1079,Fast Track ADO.NET,Implementation Best Practices for IBM DB2 Blu Acceleration With Sap Bw on IBM Power Systems,9781861007605,9780738440675.0
bn_1497,B2263,Coldfusion 5 Developer's Guide,OpenGL Development Cookbook,9780072132250,9781849695046.0
bn_533,B1099,Rapid Graphs with Tableau 8: The Original Guide for the Accidental Analyst,Responsive & Fast: Implementing High-Performance Responsive Design,9781430267379,9781491911617.0
bn_1406,B2544,"New Perspectives on Microsoft Access 2000, Comprehensive Enhanced / Edition 2",Introducing Groundwater,9780619044305,9780748743711.0
bn_722,B2840,Exploring Microsoft Access 97,Getting started with Julia Programming Language,9780137542277,9781783284795.0
bn_2777,B2036,Oracle Database 12c SQL / Edition 1,Oracle Security,9780071799355,9781565924505.0
bn_35,B482,Microsoft Access 7 for Windows 95: Double Diamond,"Big Data Analytics and Knowledge Discovery: 17th International Conference, DaWaK 2015, Valencia, Spain, September 1-4, 2015, Proceedings (Lecture Notes in Computer Science)",9780789511546,9783319227283.0
bn_2414,B2451,Holography MarketPlace: The Reference Text and Sourcebook for Holography Worldwide,Unicorns Among Us: Understanding the High Priests of Data Science,9780894960147,9780692286272.0
bn_810,B1567,Essential Access,Microsoft® Access Version 2002 Step by Step,9780672308697,9780735612990.0
bn_330,B122,Object Database Standard: ODMG-93,Relational Database Technology (Monographs in Computer Science),9781558603028,9783540962762.0
bn_2340,B1621,Microsoft SQL Server 6 Unleashed,dBASE IV QuickStart,9780672309038,9780880223898.0
bn_480,B2378,DBASE IV: A Ready Reference Manual,PHP and MySQL for Dynamic Web Sites: Visual QuickPro Guide (4th Edition),9780201197143,9780321784070.0
bn_813,B2241,Beginning PHP and PostgreSQL 8: From Novice to Professional / Edition 1,Fast Access Microsoft WORD,9781590595473,9780133075397.0
bn_1504,B2292,Sap Business One Implementation,Efficient Software Development with DB2 for OS/390: Organizational and Technical Measures for Performance Optimization,9781849683784,9783528155872.0
bn_1028,B1427,Constraint Databases / Edition 1,Windows for the Oracle DBA: The Definitive Reference (Oracle In-Focus) (Volume 44),9783642085420,9780977671519.0
bn_2958,B744,Data Mining: A Heuristic Approach,Microsoft SQL Server 7 Data Warehousing Technical Support Training Kit,9781930708259,9780735606708.0
bn_1941,B991,Advanced Web Sites Made Easy: The Simple Way to Build Web Databases and Other Applications Using HTML/OS / Edition 1,New Perspectives on Data-Driven Web Sites with Microsoft Access 2000: Tools for E-Commerce,9781930082175,9780619019488.0
bn_2680,B2095,Reference Modeling For Business Systems Analysis,"Lotus Solutions for the Enterprise, Using DB2 in a Domino Environment",9781599040547,9780738412139.0
bn_643,B2992,Crash Course in dBASE for Windows Programming,Developing Web Applications with Oracle ADF Essentials,9781565299382,9781782170686.0
bn_134,B504,Managing & Using MySQL: Open Source SQL Databases for Managing Information & Web Sites,PHP & MySQL: The Missing Manual,9780596002114,9780596515867.0
bn_2506,B1228,Advanced Oracle Tuning and Administration,Oracle Database Administration for Microsoft SQL Server DBAs (Oracle Press),9780078822414,9780071744317.0
bn_1339,B268,"SIGIR '94: Proceedings of the Seventeenth Annual International Information Retrieval. Held in Dublin, Ireland, July 3-6, 1994","Advances in Data Mining. Medical Applications, E-Commerce, Marketing, and Theoretical Aspects: 8th Industrial Conference, ICDM 2008 Leipzig, Germany, ... (Lecture Notes in Computer Science)",9780387198897,9783540707172.0
bn_885,B571,"Keeping Up With Oracle Database 12c Multitenant - Book One: CDBs, PDBs and the Multitenant World",Introduction to Computing and Algorithms,9781507628157,9780201314519.0
bn_1386,B754,Microsoft SQL Server 2005 Reporting Services Step by Step,DB2 Answers! Certified Tech Support,9780735622500,9780072119145.0
bn_1452,B2227,"WEBKDD 2002 - Mining Web Data for Discovering Usage Patterns and Profiles: 4th International Workshop, Edmonton, Canada, July 23, 2002, Revised Papers","Journal of Healthcare Information Management, E-Healthcare Data Warehousing: Journal of Healthcare Information Management, Volume 15, Number 2 (J-B JHIM Single Issue Health Care Information MGMT)",9783540203049,9780787958084.0
bn_780,B1981,"Database and Expert Systems Applications: 13th International Conference, DEXA 2002, Aix-en-Provence, France, September 2-6, 2002. Proceedings","Microsoft Access 2016 Programming By Example: with VBA, XML, and ASP",9783540441267,9781942270843.0
bn_1743,B2534,Access 97 One Step at a Time,"MySQL 5.1 for Professionals, (Book/CD-Rom)",9780764580277,9789350235188.0
bn_1364,B692,Microsoft SQL Server 2005 Unleashed,Teradata SQL: Unleash the Power,9780672328244,9780970498090.0
bn_1561,B161,Oracle Designer : A Template for Developing An Enterprise Standards Document,Sybase SQL Server 11 Dba Survival Guide,9780130153432,9780672308888.0
bn_1808,B1148,Database System Concepts (3/P),Essential ColdFusion fast: Developing Web-Based Applications (Essential Series),9780071005296,9781852333157.0
bn_772,B1330,"The Kimball Group Data Warehouse Box: The Data Warehouse Toolkit, 2nd Edition; The Data Warehouse Lifecycle, 2nd Edition; The Data Warehouse ETL Toolk / Edition 1",Microsoft® Office Access 2003 Step by Step,9780470479575,9788120324756.0
bn_1267,B2770,Microsoft SQL Server 2000 Administrator's Companion with CD-ROM,Expert Oracle Database 10g Administration (Expert's Voice),9780735610514,9788181283733.0
bn_1599,B1119,Compute! 'S Quick and Easy Guide to dBASE III Plus,Enterprise SOA: Designing IT for Business Innovation,9780874551075,9780596102388.0
bn_623,B2093,Illustrated Paradox II 3.0: Paradox Application Language (Pal),Purely Functional Data Structures,9781556221088,9780521663502.0
bn_2747,B378,Beginning SQL Server 2012 for Developers,Interactive Computing Series:  Microsoft Access 2000 Introductory Edition,9781430237501,9780072349283.0
bn_2844,B2578,Access Data Analysis Cookbook,Microsoft SQL Server 2000 Unleashed,9780596101220,9780672319976.0
bn_1954,B2977,DB2 for OS/390 Development for Performance,Oracle 10g Programming: A Primer,9780966846003,9780321463043.0
bn_14,B2978,Guide to Oracle9i / Edition 4,Building Access Web Sites,9780619159597,9780130798305.0
bn_12,B288,Access 2000 Developer's Black Book,"Data Integration in the Life Sciences: Second International Workshop, DILS 2005, San Diego, CA, USA, July 20-22, 2005, Proceedings (Lecture Notes in Computer Science / Lecture Notes in Bioinformatics)",9781576103494,9783540279679.0
bn_1141,B1705,Problem-Solving Cases in Microsoft Access and Excel / Edition 3,OCP Oracle Database 10g: New Features for Administrators Exam Guide (Oracle Press),9780619216979,9780072258622.0
bn_1179,B1667,Knowledge-Intensive Subgroup Mining: Techniques for Automatic and Interactive Discovery - Volume 307 Dissertations in Artificial Intelligence ¿ Infix,"Microsoft Access 2013 Programming by Example with VBA, XML, and ASP (Computer Science)",9781586037260,9781938549809.0
bn_410,B2641,Getting Started with Couchbase Server,Quick Course in Microsoft Access 97 (Education/Training Edition),9781449331061,9781879399730.0
bn_1970,B1389,"Multi-Media Database Management Systems, 1995 International Workshop (Mmdbms '95)","Big Data Analytics: Second International Conference, BDA 2013, Mysore, India, December 16-18, 2013, Proceedings (Lecture Notes in Computer Science / ... Applications, incl. Internet/Web, and HCI)",9780818671685,9783319036885.0
bn_64,B2317,Oracle Applications DBA Field Guide,The Beginners Guide to Access 2.0 Wrox Development,9781590596449,9781874416210.0
bn_425,B1348,Using Lotus Approach 3.0 for Windows,Managing and Using MySQL (2nd Edition),9781565291775,9780596002114.0
bn_619,B2571,DBASE IV 2.0 Quick Reference,Oracle Stored Programs for Beginners: Creating Your Own Procedures and Functions  in PL/SQL,9781565292673,9781503170407.0
bn_1798,B797,SAP Lumira Essentials,Microsoft Office Access 2007 Brief (O'Leary),9781785285622,9780073294544.0
bn_582,B1598,Aster Data Database Administration,"Computational Science and Its Applications -- ICCSA 2012: 12th International Conference, Salvador de Bahia, Brazil,  June 18-21, 2012, Proceedings, Part II (Lecture Notes in Computer Science)",9781940540221,9783642310744.0
bn_1956,B2618,Linq in Action,dBASE III Plus Made Easy,9781933988160,9780078812941.0
bn_2466,B2157,Strategic Data Warehousing: Achieving Alignment with Business / Edition 1,Web Design: Introductory Concepts and Techniques (Available Titles Skills Assessment Manager (SAM) - Office 2010),9781420083941,9781423927181.0
bn_770,B770,"Service Parts Planning with mySAP SCM: Processes, Structures, and Functions / Edition 1",Big Data Application Architecture Q&A: A Problem - Solution Approach (Expert's Voice in Big Data),9783540326502,9781430262923.0
bn_936,B1925,Visualizing Data / Edition 1,Learning Cypher,9780963488404,9781783287758.0
bn_218,B2517,Impromptu Startup! / Edition 1,Client/Server Computing for Dummies,9780130191151,9780764500664.0
bn_1625,B202,SQL Server Query Performance Tuning,Filemaker Pro 4 for Windows & Macintosh (Visual QuickStart Guide),9781430267430,9780201696646.0
bn_750,B2139,Learning Guide to Access for Windows 95,Tuning Oracle (Oracle Series),9780782118612,9780078811814.0
bn_1828,B1144,"Microsoft SQL Server 2005: A Beginner""s Guide",Oracle8 on Windows NT,9780072260939,9781555581909.0
bn_896,B2286,A Delicate Balance: Portfolio Analysis and Management for Intelligence Information Dissemination Programs,Oracle and Java Development,9780833049094,9780672321177.0
bn_2433,B684,Business Research Handbook,Introducing Microsoft  SQL Server(TM) 2005 for Developers (Pro-Developer),9780316808811,9788120327405.0
bn_2874,B1477,Access 2002 Development Unleashed,The Macintosh Bible Guide to FileMaker Pro: All You Need to Know to Manage Your Files Quickly and Efficiently,9780672321207,9780940235229.0
bn_988,B1548,MDX Reporting and Analytics with SAP NetWeaver BW,Introducing Dbase 111 - W/B 13 (Byte books),9781592292493,9780070037779.0
bn_1903,B1241,Microsoft SQL Server 2005 Compact Edition,SQL Server Internals: In-Memory OLTP,9780672329227,9781910035030.0
bn_1317,B1336,"Making Sense of Data II: A Practical Guide to Data Visualization, Advanced Data Mining Methods, and Applications / Edition 1","Engineering the Complex SOC: Fast, Flexible Design with Configurable Processors",9780470222805,9780131455375.0
bn_1946,B2,Access Forms & Reports For Dummies,OCP Oracle Certified Professional on Oracle 12c Certification Kit,9780764599651,9781118957684.0
bn_1298,B2042,Informix On-Line Performance Tuning,"PRICAI 2014: Trends in Artificial Intelligence: 13th Pacific Rim International Conference on Artificial Intelligence, PRICAI 2014, Gold Coast, QLD, ... (Lecture Notes in Computer Science)",9780131243224,9783319135595.0
bn_1679,B2517,MacWorld Filemaker Pro 2.0-2.1 Bible,Client/Server Computing for Dummies,9781568842011,9780764500664.0
bn_684,B246,Building Information Systems in the Islamic World,Oracle CRM On Demand Reporting (Oracle Press),9780720119718,9780071593045.0
bn_2101,B742,Expert One-on-One Microsoft Access Application Development,Applied Oracle Security: Developing Secure Database and Middleware Environments,9780764559044,9780071613705.0
bn_2540,B2530,Reporting with Microsoft SQL Server 2012,Teach Yourself Access 97 in 14 Days (Sams Teach Yourself),9781782171720,9780672309694.0
bn_1368,B1092,Quick Results With The Output Delivery System,Introduction to SQL: Mastering the Structured Query Language (3rd Edition),9781590471630,9780201596182.0
bn_2883,B1300,"Mambo: Installation, Administration, Anwendung und Entwicklung / Edition 1",PHP y MySQL: Manual de Programación USERS .CODE (Manuales Users en Espanol/Spanish) (Manuales Users.Code) (Spanish Edition),9783540221586,9789875262942.0
bn_506,B220,Data Mining and Diagnosing IC Fails / Edition 1,Getting Started With DB2 Stored Procedures: Give Them a Call Through the Network,9781441937674,9780738403250.0
bn_57,B324,Visual Reference Access 97,"Algorithmic Methods for Railway Optimization: International Dagstuhl Workshop, Railway Optimization 2004, Dagstuhl Castle, Germany, June 20-25, 2004, ... Computer Science and General Issues)",9781562434847,9783540742456.0
bn_1731,B1279,Oracle DBA Exam Cram: Test 3 and Test 4,Application Development with PowerBuilder,9781576103319,9780471060673.0
bn_92,B81,Data Analysis Using SQL and Excel / Edition 1,Morality And Machines: Perspectives On Computer Ethics,9780470099513,9780763717674.0
bn_2379,B906,ACT! 2006 For Dummies,IBM Ess and IBM DB2 Udb Working Together,9780471774549,9780738422589.0
bn_2368,B2332,"Conceptual Modeling - ER 2006: 25th International Conference on Conceptual Modeling, Tucson, AZ, USA, November 6-9, 2006, Proceedings",Computerized Data Acquisition and Analysis for the Life Sciences: A Hands-on Guide,9783540472247,9780521565707.0
bn_2892,B2492,Disaster Recovery Planning for Nonprofits,Access 2003 for Starters: The Missing Manual: Exactly What You Need to Get Started,9780761826606,9780596006655.0
bn_2849,B2516,Handbook of Relational Database Design / Edition 1,Using Oracle,9780201114348,9780880225069.0
bn_252,B2821,Developing with Couchbase Server,Oracle Developer/2000 Forms,9781449331160,9780139490330.0
bn_377,B2794,Data Dictionaries for Database Administrators,"Data Warehouse 100 Success Secrets - 100 most Asked questions on Data Warehouse Design, Projects, Business Intelligence, Architecture, Software and Models",9780830635153,9781921523267.0
bn_778,B1175,SAP R/3 Reporting and E-Business Intelligence,dBASE III Plus: A Practical Approach With Assist,9780130226150,9780938661184.0
bn_186,B1693,Using Microsoft Access to Create Reports from SASIxp,MongoDB in Action,9781418485177,9781935182870.0
bn_1312,B2992,Weaving the Web: The Original Design and Ultimate Destiny of the World Wide Web by Its Inventor,Developing Web Applications with Oracle ADF Essentials,9780062515865,9781782170686.0
bn_544,B2018,Head First SQL: Your Brain on SQL -- A Learner's Guide,"Spatial and Temporal Databases: 13th International Symposium, SSTD 2013, Munich, Germany, August 21-23, 2013, Proceedings (Lecture Notes in Computer ... Applications, incl. Internet/Web, and HCI)",9780596526849,9783642402340.0
bn_75,B15,"Database Technologies: Concepts, Methodologies, Tools, and Applications",High Availability MySQL Cookbook,9781605660585,9781847199942.0
bn_487,B1874,ICDT Eighty-Eight,Oracle JDeveloper 10g: Empowering J2EE Development (Expert's Voice),9780387501710,9781590591420.0
bn_2986,B1265,"Engineering Global E-Commerce Sites: A Guide to Data Capture, Content, and Transactions",SQL Server 2000 Xml Distilled,9781558608924,9781590591918.0
bn_2590,B1354,Social Sensing: Building Reliable Systems on Unreliable Data,Implementing Databases in Oracle 9i,9780128008676,9781576760826.0
bn_233,B1011,"Biomedical Imaging, Visualization, and Analysis / Edition 1",Oracle Database 11g RMAN Backup & Recovery,9780471283539,9780983044505.0
bn_1745,B571,Using FoxPro for Windows,Introduction to Computing and Algorithms,9780789700766,9780201314519.0
bn_2729,B314,"Beginning Power BI with Excel 2013: Self-Service Business Intelligence Using Power Pivot, Power View, Power Query, and Power Map","Using Computers and Applications Software: Featuring Vp-Planner, dBASE Iii/III Plus, and Wordperfect (The Ingalsbe business applications software textbook series)",9781430264453,9780675210973.0
bn_2231,B1202,Implementing SAP ERP Sales &amp; Distribution / Edition 1,Implementing Practical DB2 Applications,9780071497053,9783540199533.0
bn_666,B1660,Microsoft Access 97 Developer's Handbook: Create Robust Databases Develop Custom Interfaces,MINERIA DE DATOS. REDES NEURONALES Y ARBOLES DE DECISION. Ejemplos con SAS ENTERPRISE MINER,9781572313583,9781493768400.0
bn_1482,B1332,Microsoft Office Access 2007: Illustrated Introductory / Edition 1,The Guru's Guide to SQL Server Boxed Set,9781423905189,9780321287502.0
bn_435,B936,C++ Database Development: Covers All Versions of C++,MOS 2013 Study Guide for Microsoft Access (MOS Study Guide),9781558282162,9780735669192.0
bn_937,B2612,dBASE IV Programming Language,Oracle Grid and Real Application Clusters: Oracle Grid Computing with RAC (Oracle in-Focus Series) (Volume 32),9780672228407,9780991638628.0
bn_760,B2714,FileMaker Pro 5.0 : Basic,Machine Learning: An Algorithmic Perspective (Chapman & Hall/Crc Machine Learning & Pattern Recognition),9780619023102,9781420067187.0
bn_632,B1650,Oraql SQL: A Professional Programmer's Guide,Service-Oriented Design with Ruby and Rails (Addison-Wesley Professional Ruby Series),9780070407756,9780321659361.0
bn_1318,B2181,"Database Systems for Advanced Applications '91: Proceedings of the Second International Symposium on Database Systems for Advanced Applications, April 2-4, 1991, Tokyo, Japan",Informix On-Line Performance Tuning (Informix Series),9789810210557,9780131243224.0
bn_297,B1080,Start Predicting In A World Of Data Science And Predictive Analysis,"Google, Amazon, and Beyond: Creating and Consuming Web Services",2940045155007,9781590591314.0
bn_1334,B330,Creating a Database in FileMaker Pro 8: Visual QuickProject Guide,Microsoft® SQL Server 2005: Database Essentials Step by Step (Step by Step Developer),9780132797801,9780735622074.0
bn_1728,B2681,Oracle SQL Thinking: Vom Problem zum SQL-Statement mit Oracle 12c,DB2 Administration Solution Pack for Z/Os: Streamlining DB2 for Z/Os Database Administration,9783826695827,9780738438665.0
bn_1677,B2696,"New Perspectives on Microsoft Office Access 2003, Brief, CourseCard Edition / Edition 1",dBASE IV 1.5 Inside & Out,9781418839079,9780078818172.0
bn_894,B361,Digital Crime: Policing the Cybernation,Database Design for Smarties: Using UML for Data Modeling (The Morgan Kaufmann Series in Data Management Systems),9780749420987,9781558605152.0
bn_2447,B277,Continuous Media Databases / Edition 1,"SQL for Beginners: Learn the Structured Query Language for the Most Popular Databases including Microsoft SQL Server, MySQL, MariaDB, PostgreSQL, and Oracle",9780792378181,9781508503422.0
bn_2479,B766,Data Mining with SQL Server 2005,Complexity of Lattice Problems: A Cryptographic Perspective (The Springer International Series in Engineering and Computer Science),9780471462613,9781461352938.0
bn_2407,B175,Components of a Canonical Data Model,Oracle8i From Scratch,2940012728388,9780789723697.0
bn_708,B2285,"Middleware 2000: IFIP/ACM International Conference on Distributed Systems Platforms and Open Distributed Processing New York, NY, USA, April 4-7, 2000 Proceedings","Databases in Telecommunications II: VLDB 2001 International Workshop, DBTel 2001 Rome, Italy, September 10, 2001 Proceedings (Lecture Notes in Computer Science)",9783540673521,9783540426233.0
bn_1134,B81,"Advances in Knowledge Discovery and Data Mining: 11th Pacific-Asia Conference, PAKDD 2007, Nanjing, China, May 22-25, 2007, Proceedings / Edition 1",Morality And Machines: Perspectives On Computer Ethics,9783540717003,9780763717674.0
bn_741,B2526,Zabbix Network Monitoring Essentials,Expert Oracle Database 11g Administration,9781784394080,9781430220176.0
bn_754,B1046,Temporal Data Mining / Edition 1,Experience Skype to the Max: The Essential Guide to the World's Leading Internet Communications Platform,9781420089769,9781484206577.0
bn_1827,B331,Pro SQL Server 2005 High Availability,Discrete Event Systems: Diagnosis and Diagnosability (SpringerBriefs in Electrical and Computer Engineering),9781430211808,9781461400301.0
bn_702,B217,"Data Warehousing and Knowledge Discovery: 9th International Conference, DaWaK 2007, Regensburg, Germany, September 3-7, 2007, Proceedings",The InfoSec Handbook: An Introduction to Information Security,9783540745525,9781430263821.0
bn_2073,B553,Access 2000 for Busy People,Discover Access 97 (6-Point Discover Advantage),9780072119831,9780764580260.0
bn_1137,B2958,"Sams Teach Yourself PHP, MySQL and Apache All in One (Sams Teach Yourself Series) / Edition 4",Oracle9i DBA Handbook,9780672329760,9780072193749.0
bn_2815,B1464,"Specifications of Database Systems: First International Workshop on Specifications of Database Systems, Glasgow, 3-5 July, 1991 Proceedings",Business Intelligence with SQL Server Reporting Services,9780387197326,9781484205334.0
bn_1774,B481,Mining Very Large Databases with Parallel Processing / Edition 1,Recommender Systems for Location-based Social Networks (SpringerBriefs in Electrical and Computer Engineering),9780792380481,9781493902859.0
bn_2608,B2769,Data Analysis; The Key to Data Base Design,Microsoft Business Intelligence For Dummies,9780894351051,9780470526934.0
bn_1990,B2454,Clinical Data Management / Edition 2,PL/1 Programmer's Guide to Embedded SQL for DB2,9780471983293,9780894353468.0
bn_347,B1351,High-Dimensional Indexing: Transformational Approaches to High-Dimensional Range and Similarity Searches,The Oracle  Designer/2000 Handbook,9783540441991,9780201634457.0
bn_506,B1922,Data Mining and Diagnosing IC Fails / Edition 1,Get Started With Microsoft Access 97!: Illustrated Interactive Edition,9781441937674,9780760053409.0
bn_2900,B2143,Multimedia Forensics and Security,"Metadata and Semantic Research: Third International Conference, MTSR 2009, Milan, Italy, October 1-2, 2009. Proceedings (Communications in Computer and Information Science)",9781599048697,9783642045899.0
