ID_A,ID_B,Flag,Title_A,Title_B,ISBN_A,ISBN_B
bn_1618,B1434,0,Microsoft Access,Microsoft Access 2002 - Illustrated Second Course (Illustrated Series. Second Course),9.78156E+12,
bn_376,B1440,,Teach Yourself VISUALLY Access 2002,"Teach Yourself VISUALLY Access 2002 (Visual Read Less, Learn More)",9.78076E+12,9.78076E+12
bn_1380,B1452,,Access Power Programming with VBA / Edition 1,AccessÂ 2003 Power Programming with VBA,9.78076E+12,9.78076E+12
bn_1556,B1476,,"DB2 Universal Database V6.1 for Unix, Windows and OS/2 Certification Guide / Edition 3","DB2 Universal Database V6.1 for Unix, Windows and OS/2  Certification Guide (3rd Edition)",9.78013E+12,9.78013E+12
bn_1984,B1482,,Mary Campbell's dBASE IV Handbook,MARY CAMPBELL'S DBASE IV HANDB (The Business productivity library),9.78055E+12,9.78055E+12
bn_1157,B1488,,Oracle Solid State Disk Tuning: High Performance Oracle Tuning with RAM Disk (Oracle in Focus Series),Oracle Solid State Disk Tuning: High Performance Oracle Tuning with RAM Disk,9.78097E+12,9.78097E+12
bn_1829,B1489,,"Oracle XSQL: Combining SQL, Oracle Text, XSLT, and Java to Publish Dynamic Web Content / Edition 1","Oracle XSQL: Combining SQL, Oracle Text, XSLT, and Java to Publish Dynamic Web Content",9.78047E+12,9.78047E+12
bn_497,B1493,,SQL in a Nutshell,SQL in a Nutshell (In a Nutshell (O'Reilly)),9.7806E+12,9.7806E+12
bn_1613,B1501,,Linux for the Oracle DBA: The Definitive Reference,Linux for the Oracle DBA: The Definitive Reference (Oracle In-Focus series) (Volume 40),9.78098E+12,9.78098E+12
bn_147,B1502,,Beginning Relational Data Modeling / Edition 2,"Beginning Relational Data Modeling, Second Edition",9.78159E+12,9.78159E+12
bn_264,B1505,,ASP .NET Programming with C# &amp; SQL Server / Edition 1,ASP .NET Programming with C# & SQL Server (Web Technologies),9.78142E+12,9.78142E+12
bn_1296,B1506,,"Using dBASE 4, 2.0 Special Edition",Using dBASE IV 2.0,9.78157E+12,9.78157E+12
bn_1781,B1512,,Mastering SQL,Mastering SQL,9.78078E+12,9.78078E+12
bn_448,B1515,,SQL desk Reference: For Microsoft SQL Server,Transact-SQL Desk Reference: For Microsoft SQL Server,9.78013E+12,9.78013E+12
bn_337,B1518,,Teach Yourself VISUALLY Access 2010,Teach Yourself Visually Access 2010,9.78047E+12,9.78047E+12
bn_1389,B1522,,Oracle Big Data Handbook,Oracle Big Data Handbook (Oracle Press),9.78007E+12,9.78007E+12
bn_394,B1524,,Applied Microsoft SQL Server 2008 Reporting Services,Applied Microsoft SQL Server 2008 Reporting Services,9.78098E+12,9.78098E+12
bn_183,B1528,,Data Fluency: Empowering Your Organization with Effective Data Communication,Data Fluency: Empowering Your Organization with Effective Data Communication,9.78112E+12,9.78112E+12
bn_1469,B1542,,Access 2000,"Access 2000 con CD-ROM: Dr. Max, en Espanol / Spanish (Dr. Max: Biblioteca Total de la Computacion) (Spanish Edition)",9.78969E+12,9.78969E+12
bn_276,B1559,0,Oracle PL/SQL Programming,"Oracle PL/SQL Programming: Covers Versions Through Oracle Database 11g Release 2 (Animal Guide) (Edition Fifth Edition) by Feuerstein, Steven, Pribyl, Bill [paperback(2009£©]",9.7806E+12,
bn_611,B1559,0,Oracle PL/SQL Programming,"Oracle PL/SQL Programming: Covers Versions Through Oracle Database 11g Release 2 (Animal Guide) (Edition Fifth Edition) by Feuerstein, Steven, Pribyl, Bill [paperback(2009£©]",9.78008E+12,
bn_749,B1559,0,Oracle PL/SQL,"Oracle PL/SQL Programming: Covers Versions Through Oracle Database 11g Release 2 (Animal Guide) (Edition Fifth Edition) by Feuerstein, Steven, Pribyl, Bill [paperback(2009£©]",9.78007E+12,
bn_322,B1578,,Multimedia Databases: An Object-Relational Approach / Edition 1,Multimedia Databases: An Object-Relational Approach,9.7802E+12,9.7802E+12
bn_1226,B1579,,Microsoft Access 2002,10 Minute Guide to Microsoft Access 2002,9.78079E+12,9.78079E+12
bn_550,B1582,,Sams Teach Yourself Microsoft Access 2000 in 10 Minutes,Sams Teach Yourself Microsoft Access 2000 in 10 Minutes,9.78067E+12,9.78067E+12
bn_1644,B1587,,Concepts of Database Management / Edition 6,Concepts of Database Management,9.78142E+12,9.78142E+12
bn_1886,B1588,,Inside Oracle Designer/2000,Inside Oracle Designer/2000 with CDROM (Oracle Press Series),9.78014E+12,9.78014E+12
bn_542,B1591,,Problem Solving Cases with Microsoft Access and Excel / Edition 6,Problem Solving Cases with Microsoft Access and Excel,9.78142E+12,9.78142E+12
bn_1226,B1610,0,Microsoft Access 2002,New Perspectives on Microsoft Access 2002 Brief,9.78079E+12,
bn_1618,B1610,0,Microsoft Access,New Perspectives on Microsoft Access 2002 Brief,9.78156E+12,
bn_765,B1616,,MS Access En Espanol/Spanish Para PyMEs,"MS Access Manual para PyMEs / SMEs: Compumagazine PyMEs, en Espanol / Spanish (Compumagazine; Coleccion de Libros & Manuales) (Spanish Edition)",9.78988E+12,9.78988E+12
bn_1996,B1630,,Microsoft Access 2 Quick and Easy,Microsoft Access 2 Quick & Easy,9.78078E+12,9.78078E+12
bn_594,B1634,0,Database Management,Modern Database Management,9.78007E+12,
bn_724,B1634,0,Database Management,Modern Database Management,9.78088E+12,
bn_1168,B1634,0,Modern Database Management &amp; Oracle 8i Software / Edition 5,Modern Database Management,9.78013E+12,
bn_863,B1638,,Oracle Web Application Programming for PL/SQL Developers,Oracle Web Application Programming for PL/SQL Developers,9.78013E+12,9.78013E+12
bn_2002,B1664,,Introduction to Oracle 9I: SQLV / Edition 1,Oracle9i: SQL (with an Introduction to PL/SQL),9.78062E+12,9.78062E+12
bn_1401,B1695,,Oracle WebDB Bible,Oracle WebDB Bible,9.78076E+12,9.78076E+12
bn_1468,B1705,,OCP Oracle Database 10g: New Features for Administrators Exam Guide / Edition 1,OCP Oracle Database 10g: New Features for Administrators Exam Guide (Oracle Press),9.78007E+12,9.78007E+12
bn_1682,B1706,,MySQL Workbench Data Modeling and Development,MySQL Workbench: Data Modeling & Development (Oracle Press),9.78007E+12,9.78007E+12
bn_2045,B1708,,dBASE IV 2.0 Programming,dBase IV 2.0 Programming,9.78083E+12,9.78083E+12
bn_1359,B1712,,Oracle Shell Scripting: Linux and UNIX Programming for Oracle,Oracle Shell Scripting: Linux and UNIX Programming for Oracle (Oracle In-Focus series) (Volume 26),9.78098E+12,9.78098E+12
bn_1679,B1720,,MacWorld Filemaker Pro 2.0-2.1 Bible,Filemaker Pro 2.0/2.1 Bible,9.78157E+12,9.78157E+12
bn_355,B1724,,SQL Functions: Programmer's Reference,SQL Functions Programmer's Reference (Programmer to Programmer),9.78076E+12,9.78076E+12
bn_8,B1734,,"New Perspectives on Microsoft Access 2010, Comprehensive","New Perspectives on Microsoft Access 2010, Comprehensive (New Perspectives Series: Individual Office Applications)",9.78054E+12,9.78054E+12
bn_1007,B1735,,PHP and MySQL (Video Training),PHP and MySQL LiveLessons (Video Training),9.78014E+12,9.78014E+12
bn_914,B1738,,The dBASE IV One-Point-One QuickStart,dBASE IV 1.1: Quickstart,9.78088E+12,9.78088E+12
bn_1041,B1741,,Access 2003: Your Visual Blue Print for Creating and Maintaining Real-World Databases,"Access 2003: Your visual blueprintfor creating and maintaining real-world databases (Visual Read Less, Learn More)",9.78076E+12,9.78076E+12
bn_1026,B1762,,Informix Universal Data Option,Informix Universal Data Option (Client/Server),9.78008E+12,9.78008E+12
bn_1811,B1770,,"Conceptual Modeling for E-Business and the Web: ER 2000 Workshops on Conceptual Modeling Approaches for E-Business and the World Wide Web and Conceptual Modeling, Salt Lake City, Utah, USA, October 9-12, 2000 Proceedings",Conceptual Modeling for E-Business and the Web: ER 2000 Workshops on Conceptual Modeling Approaches for E-Business and the World Wide Web and ... (Lecture Notes in Computer Science),9.78354E+12,9.78354E+12
bn_502,B1804,,Microsoft SQL Server 2012 Master Data Services 2E,Microsoft SQL Server 2012 Master Data Services 2/E,9.78007E+12,9.78007E+12
bn_77,B1805,,Microsoft Access 2013 Step By Step,Microsoft Access 2013 Step by Step,9.78074E+12,9.78074E+12
bn_839,B1811,,Oracle PL/SQL 101,Oracle PL/SQL 101,9.78007E+12,9.78007E+12
bn_85,B1821,,Learning SQL: A Step-By-Step Guide Using Oracle,Learning SQL: A Step-By-Step Guide Using Oracle,9.7802E+12,9.7802E+12
bn_1944,B1837,,Relational Database Design Clearly Explained / Edition 2,"Relational Database Design Clearly Explained, Second Edition (The Morgan Kaufmann Series in Data Management Systems)",9.78156E+12,9.78156E+12
bn_329,B1842,,Microsoft SQL Server 2005,Programming Microsoft  SQL Server 2005,9.78074E+12,9.78074E+12
bn_166,B1844,,"SAS/Warehouse Administrator Metadata API Reference,Release 1.3,First Edition","SAS/Warehouse Administrator(TM) Metadata API Reference, Release 1.3,",9.78158E+12,9.78158E+12
bn_98,B1845,,Easy Microsoft Access 2000,Easy Access 2000,9.78079E+12,9.78079E+12
bn_1136,B1848,,SQL: Practical Guide for Developers / Edition 1,SQL: Practical Guide for Developers (The Practical Guides),9.78012E+12,9.78012E+12
bn_1710,B1866,,Introduction to SQL: Mastering the Relational Database Language / Edition 4,Introduction to SQL: Mastering the Relational Database Language (4th Edition),9.78032E+12,9.78032E+12
bn_1400,B1867,,Index Structures for Data Warehouses / Edition 1,Index Structures for Data Warehouses,9.78354E+12,9.78354E+12
bn_1778,B1868,,Database Management Using Micrsoft Access,Database Management Using Microsoft Access,9.7807E+12,9.7807E+12
bn_1849,B1871,,Machine Learning in Python: Essential Techniques for Predictive Analysis,Machine Learning in Python: Essential Techniques for Predictive Analysis,9.78112E+12,9.78112E+12
bn_1696,B1877,,SQL For Dummies,SQL For Dummies,9.78112E+12,9.78112E+12
bn_1460,B1878,,FileMaker Pro 14: The Missing Manual,FileMaker Pro 14: The Missing Manual,9.78149E+12,9.78149E+12
bn_347,B1887,,High-Dimensional Indexing: Transformational Approaches to High-Dimensional Range and Similarity Searches,High-Dimensional Indexing: Transformational Approaches to High-Dimensional Range and Similarity Searches (Lecture Notes in Computer Science),9.78354E+12,9.78354E+12
bn_1423,B1916,,IBM Cognos TM1 The Official Guide,IBM Cognos TM1: The Official Guide,9.78007E+12,9.78007E+12
bn_1962,B1936,,SQL Design Patterns: Expert Guide to SQL Programming,SQL Design Patterns: Expert Guide to SQL Programming (IT In-Focus series) (Volume 4),9.78098E+12,9.78098E+12
bn_802,B1951,,Oracle8 Bible,Oracle8 Bible,9.78076E+12,9.78076E+12
bn_1019,B1952,,Harness the Power of Big Data The IBM Big Data Platform,Harness the Power of Big Data The IBM Big Data Platform,9.78007E+12,9.78007E+12
bn_1246,B1963,,Expert Cube Development with SQL Server Analysis Services 2012 Multidimensional Models,Expert Cube Development with SSAS Multidimensional Models,9.78185E+12,9.78185E+12
bn_1235,B1974,,Developing Client/Server Systems with Oracle Developer/2000,Developing Client/Server Applications With Oracle Developer/2000,9.78067E+12,9.78067E+12
bn_670,B1986,,Designing SQL Server 2000 Databases,Designing SQL Server 2000 Databases,9.78193E+12,9.78193E+12
bn_791,B1989,,Apache Cassandra Hands-On Training Level One,Apache Cassandra Hands-On Training Level One,9.7815E+12,9.7815E+12
bn_1794,B1992,,Oracle8 For Dummies,Oracle8 For Dummies (For Dummies (Computers)),9.78076E+12,9.78076E+12
bn_751,B1993,,Oracle 11G: SQL (Book Only) / Edition 2,Oracle 11G: SQL (Book Only),9.78131E+12,9.78131E+12
bn_848,B1994,,Scaling MongoDB,Scaling MongoDB,9.78145E+12,9.78145E+12
bn_1198,B2001,,Oracle PL/SQL Language Pocket Reference,Oracle PL/SQL Language Pocket Reference (Pocket Reference (O'Reilly)),9.7806E+12,9.7806E+12
bn_1905,B2026,,Oracle Backup and Recovery Handbook,Oracle Backup & Recovery Handbook (Oracle Series),9.78008E+12,9.78008E+12
bn_595,B2038,,Introduction to Oracle 10g / Edition 1,Introduction to Oracle 10g,9.78013E+12,9.78013E+12
bn_1588,B2040,,The dBASE Macintosh Power,dBASE Mac: Advanced Techniques and Applications,9.78055E+12,9.78055E+12
bn_170,B2049,,The Definitive DataWindow: Your Key to PowerBuilder Success,The Definitive DataWindow: Your Key to  PowerBuilder Success,9.7802E+12,9.7802E+12
bn_301,B2051,,Oracle Troubleshooting: The Ultimate Guide for Preventive Maintenance and Oracle Problem Solving,Oracle Troubleshooting,9.78008E+12,9.78008E+12
bn_1231,B2065,,SQL Server 2000 Backup and Recovery,SQL Server 2000 Backup and Recovery,9.78007E+12,9.78007E+12
bn_544,B2079,,Head First SQL: Your Brain on SQL -- A Learner's Guide,Head First SQL: Your Brain on SQL -- A Learner's Guide,9.7806E+12,9.7806E+12
bn_1707,B2083,,Microsoft Office Access 2003 QuickSteps,Microsoft Office Access 2003 QuickSteps,9.78007E+12,9.78007E+12
bn_960,B2089,,Oracle Exadata Survival Guide,Oracle Exadata Survival Guide (Expert's Voice in Oracle),9.78143E+12,9.78143E+12
bn_1072,B2091,,Expert MySQL,Expert MySQL (Expert's Voice in Databases),9.78143E+12,9.78143E+12
bn_208,B2106,,Oracle DBA Automation Scripts,Oracle DBA Automation Scripts,9.78067E+12,9.78067E+12
bn_1103,B2107,,Learn FileMaker Pro 7,Learn FileMaker Pro 7 (Wordware Library for FileMaker),9.78156E+12,9.78156E+12
bn_1965,B2127,,Jump Start MySQL,Jump Start MySQL,9.78099E+12,9.78099E+12
bn_1757,B2134,,Microsoft Data Mining,Microsoft Data Mining: Integrated Business Intelligence for e-Commerce and Knowledge Management,9.78156E+12,9.78156E+12
bn_517,B2139,,Tuning Oracle,Tuning Oracle (Oracle Series),9.78008E+12,9.78008E+12
bn_1892,B2155,,The DB2 Universal DRDA Certification Guide,"DB2 Universal DRDA Certification Guide, The",9.78013E+12,9.78013E+12
bn_614,B2163,,Data Strategy / Edition 1,Data Strategy,9.78032E+12,9.78032E+12
bn_499,B2167,,Access 2 Developers Guide,Access 2 Developer's Guide/Book and Disk,9.78067E+12,9.78067E+12
bn_1062,B2170,,XML and SQL: Developing Web Applications / Edition 1,XML and SQL: Developing Web Applications,9.7802E+12,9.7802E+12
bn_471,B2173,,Cost-Based Oracle Fundamentals / Edition 1,Cost-Based Oracle Fundamentals (Expert's Voice in Oracle),9.78159E+12,9.78159E+12
bn_598,B2179,,Microsoft Access 2.0: LTU Windows Applications / Edition 1,Learning to Use Windows Applications (Shelly Cashman Series),9.78088E+12,9.78088E+12
bn_1298,B2181,,Informix On-Line Performance Tuning,Informix On-Line Performance Tuning (Informix Series),9.78013E+12,9.78013E+12
bn_1652,B2189,,How to Do Everything with PHP &amp; MySQL / Edition 1,How to Do Everything with PHP and MySQL,9.78007E+12,9.78007E+12
bn_935,B2196,,Mastering Oracle8i,Mastering Oracle8i,9.78078E+12,9.78078E+12
bn_1409,B2197,,Everyday Oracle DBA,Everyday Oracle DBA (Osborne ORACLE Press Series),9.78007E+12,9.78007E+12
bn_1280,B2204,,FileMaker Pro 5 Bible,FileMakerÂ Pro 5 Bible,9.78076E+12,9.78076E+12
bn_2047,B2206,,Bad Data Handbook: Cleaning Up The Data So You Can Get Back To Work,Bad Data Handbook: Cleaning Up The Data So You Can Get Back To Work,9.78145E+12,9.78145E+12
bn_1843,B2210,,MySQL in a Nutshell,MySQL in a Nutshell (In a Nutshell (O'Reilly)),9.7806E+12,9.7806E+12
bn_1129,B2219,,Oracle8i for Windows NT Starter Kit,Oracle8I for Windows Nt Starter Kit (Oracle Press Series),9.78007E+12,9.78007E+12
bn_1150,B2228,,Microsoft Access 2010 Step by Step,Microsoft Access 2010 Step by Step,9.78074E+12,9.78074E+12
bn_491,B2234,,Microsoft Access 2002 Visual Basic for Applications Step by Step,Microsoft Access 2002 Visual Basic for Applications Step by Step (Step by Step (Microsoft)),9.78074E+12,9.78074E+12
bn_1474,B2254,,dBASE 5 for Windows Quick and Easy,dBASE 5 for Windows Quick and Easy,9.78078E+12,9.78078E+12
bn_462,B2255,,Dynamic Web Application Development Using PHP and MySQL / Edition 1,Dynamic Web Application Development Using PHP and MySQL,9.78184E+12,9.78184E+12
bn_875,B2262,,Easy Access for Version X for Windows,Easy Access 2 for Windows,9.78157E+12,9.78157E+12
bn_278,B2269,,Building the Operational Data Store,"Building the Operational Data Store, 2nd Edition",9.78047E+12,9.78047E+12
bn_1047,B2275,,Sql Server 2000 Web Application Developer's Guide,SQL Server 2000 Web Application Developer's Guide,9.78007E+12,9.78007E+12
bn_455,B2278,,Learning Oracle PL/SQL,Learning Oracle PL/SQL,9.7806E+12,9.7806E+12
bn_1618,B2288,0,Microsoft Access,Microsoft Access 2010 Plain & Simple,9.78156E+12,
bn_753,B2292,,Efficient Software Development with DB2 for OS/390: Organizational and Technical Measures for Performance Optimization / Edition 2,Efficient Software Development with DB2 for OS/390: Organizational and Technical Measures for Performance Optimization,9.78353E+12,9.78353E+12
bn_1534,B2302,,Microsoft Access 2.0 how-to CD,Microsoft Access 2.0 How-To Cd,9.78188E+12,9.78188E+12
bn_586,B2304,,Oracle DBA Backup and Recovery Quick Reference,Oracle DBA Backup and Recovery Quick Reference (Prentice Hall PTR Oracle Series),9.78013E+12,9.78013E+12
bn_1074,B2307,,Effective Oracle by Design / Edition 1,Effective Oracle by Design (Osborne ORACLE Press Series),9.78007E+12,9.78007E+12
bn_72,B2312,,Access VBA Programming / Edition 1,Access VBA Programming,9.78007E+12,9.78007E+12
bn_202,B2313,,PostgreSQL: Introduction and Concepts / Edition 1,PostgreSQL: Introduction and Concepts,9.7802E+12,9.7802E+12
bn_1896,B2317,,Beginner's Guide to Access 2.0,The Beginners Guide to Access 2.0 Wrox Development,9.78187E+12,9.78187E+12
bn_1809,B2319,,Professional SQL Server Development with Access 2000 / Edition 1,Professional SQL Server Development with Access 2000,9.78186E+12,9.78186E+12
bn_1166,B2326,,A Developer's Guide to Data Modeling for SQL Server: Covering SQL Server 2005 and 2008 (Addison-Wesley Microsoft Technology Series),A Developer's Guide to Data Modeling for SQL Server: Covering SQL Server 2005 and 2008,9.78032E+12,9.78032E+12
bn_1308,B2329,,Oracle Sql Loader,Oracle SQL*Loader: The Definitive Guide,9.78157E+12,9.78157E+12
bn_985,B2335,,"JDBC API Tutorial and Reference, Second Edition: Universal Data Access for the Java 2 Platform / Edition 2",JDBC(TM) API Tutorial and Reference: Universal Data Access for the Java(TM) 2 Platform (2nd Edition),9.7802E+12,9.7802E+12
bn_242,B2344,,DB2 Udb Evaluation Guide for Linux and Windows,DB2 Udb Evaluation Guide for Linux and Windows,9.78074E+12,9.78074E+12
bn_800,B2357,,An Extended Entity-Relationship Model: Fundamentals and Pragmatics,An Extended Entity-Relationship Model: Fundamentals and Pragmatics (Lecture Notes in Computer Science),9.78039E+12,9.78039E+12
bn_14,B2375,,Guide to Oracle9i / Edition 4,Guide to Oracle9i,9.78062E+12,9.78062E+12
bn_1088,B2376,,The DB2 Cluster Certification Guide,"DB2 Cluster Certification Guide, The",9.78013E+12,9.78013E+12
bn_196,B2382,,Access 2003 VBA: Programmer's Reference,Access 2003 VBA Programmer's Reference,9.78076E+12,9.78076E+12
bn_1461,B2386,,Expert Oracle RAC Performance Diagnostics and Tuning,Expert Oracle RAC Performance Diagnostics and Tuning,9.78143E+12,9.78143E+12
bn_1462,B2409,,High-Performance Oracle: Proven Methods for Achieving Optimum Performance and Availability / Edition 1,High-Performance Oracle: Proven Methods for Achieving Optimum Performance and Availability,9.78047E+12,9.78047E+12
bn_1144,B2412,,Oracle9i New Features,Oracle9i New Features,9.78007E+12,9.78007E+12
bn_105,B2414,,PHP and MySQL For Dummies,"PHP & MySQL For Dummies, 4th Edition",9.78047E+12,9.78047E+12
bn_1686,B2418,,Microsoft SQL Server 2005 Developer's Guide,Microsoft SQL Server 2005 Developer's Guide,9.78007E+12,9.78007E+12
bn_1646,B2421,,Advanced SQL:1999: Understanding Object-Relational and Other Advanced Features,Advanced SQL:1999: Understanding Object-Relational and Other Advanced Features (The Morgan Kaufmann Series in Data Management Systems),9.78156E+12,9.78156E+12
bn_1112,B2424,,Introduction to Database Systems / Edition 8,An Introduction to Database Systems (8th Edition),9.78032E+12,9.78032E+12
bn_308,B2436,,Life Science Data Mining,"LIFE SCIENCE DATA MINING (Science, Engineering, and Biology Informatics)",9.78981E+12,9.78981E+12
bn_1618,B2443,0,Microsoft Access,Microsoft Access 2010 Inside Out,9.78156E+12,
bn_972,B2448,,Practical PHP and MySQL: Building Eight Dynamic Web Applications,Practical PHP and MySQL: Building Eight Dynamic Web Applications,9.78013E+12,9.78013E+12
bn_1653,B2455,,Access for Windows 95 for Dummies,Access For Windows 95 For Dummies,9.78157E+12,9.78157E+12
bn_1933,B2459,,Microsoft SQL Server 2012 Reporting Services,Microsoft SQL Server 2012 Reporting Services (Developer Reference),9.78074E+12,9.78074E+12
bn_267,B2468,,SQL Server and Power Pivot - Tabular Modeling Cookbook,Microsoft Tabular Modeling Cookbook,9.78178E+12,9.78178E+12
bn_1860,B2491,,dBASE II for the Programmer: A How-To-Do-It Book,dBASE II for the Programmer: A How-To-Do-It Book,9.78067E+12,9.78067E+12
bn_192,B2495,,Access 2010 Bible,Access 2010 Bible,9.78047E+12,9.78047E+12
bn_1856,B2496,,Beyond Big Data: Using Social MDM to Drive Deep Customer Insight,Beyond Big Data: Using Social MDM to Drive Deep Customer Insight (IBM Press),9.78013E+12,9.78013E+12
bn_744,B2527,,Understanding dBase III,Understanding dBASE III,9.7809E+12,9.7809E+12
bn_228,B2531,,Microsoft SQL Server 6.5 DBA Survival Guide,Microsoft SQL Server 6.5 Dba Survival Guide,9.78067E+12,9.78067E+12
bn_1309,B2535,,Oracle: A Beginner's Guide,Oracle: A Beginner's Guide,9.78008E+12,9.78008E+12
bn_1618,B2554,0,Microsoft Access,Microsoft Access: Building Applications,9.78156E+12,
bn_1485,B2573,,Professional SQL Server 2012 Internals and Troubleshooting,Professional SQL Server 2012 Internals and Troubleshooting,9.78112E+12,9.78112E+12
bn_1376,B2577,,The Data Warehouse Lifecycle Toolkit / Edition 2,The Data Warehouse Lifecycle Toolkit,9.78047E+12,9.78047E+12
bn_1934,B2578,,Microsoft SQL Server 2000 Unleashed,Microsoft SQL Server 2000 Unleashed,9.78067E+12,9.78067E+12
bn_118,B2585,,Access 97 Developer&#039;s Handbook / Edition 3,Access 97 Developers Handbook,9.78078E+12,9.78078E+12
bn_246,B2588,,Access 97: Projects for Microsoft,Access 97: Projects for Microsoft (Select Plus Series),9.7802E+12,9.7802E+12
bn_469,B2593,,"MySQL, Third Edition / Edition 3",MySQL (3rd Edition),9.78067E+12,9.78067E+12
bn_810,B2594,,Essential Access,Essential Access 95 (Essential Series),9.78067E+12,9.78067E+12
bn_1279,B2597,,Access 2002 Desktop Developer's Handbook,Access 2002 Desktop Developer's Handbook,9.78078E+12,9.78078E+12
bn_1364,B2603,,Microsoft SQL Server 2005 Unleashed,Microsoft SQL Server 2005 Unleashed,9.78067E+12,9.78067E+12
bn_1610,B2604,,Data Mashups With R,Data Mashups in R,9.78145E+12,9.78145E+12
bn_1793,B2606,,Mastering Phpmyadmin 3.3.X For Effective Mysql Management,Mastering phpMyAdmin 3.3.x for Effective MySQL Management,9.78185E+12,9.78185E+12
bn_62,B2616,,Oracle DBA 101,Oracle DBA 101,9.78007E+12,9.78007E+12
bn_459,B2618,,DBASE III Plus Made Easy,dBASE III Plus Made Easy,9.78008E+12,9.78008E+12
bn_400,B2633,,SQL: The Complete Reference,SQL: The Complete Reference,9.78007E+12,9.78007E+12
bn_2003,B2643,,Oracle9i RMAN Backup &amp; Recovery / Edition 1,Oracle9i RMAN Backup & Recovery,9.78007E+12,9.78007E+12
bn_1450,B2647,,Oracle8 Tuning,Oracle8 Tuning (Oracle Press Series),9.78008E+12,9.78008E+12
bn_1242,B2661,,DB2/400 Design Concepts: Referential Integrity and Triggers,DB2/400 Design Concepts: Referential Integrity and Triggers,9.78188E+12,9.78188E+12
bn_1593,B2671,,Pro Spatial with SQL Server 2012,Pro Spatial with SQL Server 2012 (Expert's Voice in Databases),9.78143E+12,9.78143E+12
bn_65,B2693,,Test-Driven Database Development: Unlocking Agility,Test-Driven Database Development: Unlocking Agility (Net Objectives Lean-Agile Series),9.78032E+12,9.78032E+12
bn_978,B2703,,Using R to Unlock the Value of Big Data: Big Data Analytics with Oracle R Enterprise and Oracle R Connector for Hadoop,Using R to Unlock the Value of Big Data: Big Data Analytics with Oracle R Enterprise and Oracle R Connector for Hadoop,9.78007E+12,9.78007E+12
bn_899,B2707,,dBASE IV Programmer's Reference Guide,dBASE IV: Programmer's Reference Guide (Database Performance Library),9.78067E+12,9.78067E+12
bn_96,B2735,,Beginning SQL,Beginning SQL,9.78076E+12,9.78076E+12
bn_1627,B2736,,"Oracle Replication: Snapshot, Multi-master and Materialized Views Scripts",Oracle Replication: Expert Methods for Robust Data Sharing (Oracle In-Focus series),9.78097E+12,9.78097E+12
bn_643,B2756,,Crash Course in dBASE for Windows Programming,Crash Course in dBASE 5. 0 for Windows Programming,9.78157E+12,9.78157E+12
bn_1407,B2758,,Essential SQLAlchemy,Essential SQLAlchemy,9.7806E+12,9.7806E+12
bn_599,B2797,,Oracle JDeveloper 10g for Forms &amp; PL/SQL Developers: A Guide to Web Development with Oracle ADF / Edition 1,Oracle JDeveloper 10g for Forms & PL/SQL Developers: A Guide to Web Development with Oracle ADF (Oracle Press),9.78007E+12,9.78007E+12
bn_1580,B2808,,MySQL: Building User Interfaces,MySQL: Building User Interfaces (Landmark),9.78074E+12,9.78074E+12
bn_1631,B2812,,"SQL Server 2000 Stored Procedure & XML Programming, Second Edition","SQL Server 2000 Stored Procedure & XML Programming, Second Edition",9.78007E+12,9.78007E+12
bn_1579,B2813,,Personal Oracle Real Application Clusters: Create Oracle 10g Grid Computing At-Home,Personal Oracle Real Application Clusters: Create Oracle 10g Grid Computing at-home (Oracle In-Focus series),9.78098E+12,9.78098E+12
bn_1949,B2815,,Mastering SQL Server 2008,Mastering SQL Server 2008,9.78047E+12,9.78047E+12
bn_195,B2819,,Crystal Reports 2008: The Complete Reference,Crystal Reports 2008: The Complete Reference (Osborne Complete Reference Series),9.78007E+12,9.78007E+12
bn_1135,B2830,,Access 2002 For Dummies Quick Reference,Access 2002 For Dummies Quick Reference,9.78076E+12,9.78076E+12
bn_390,B2831,,Oracle Database 12c Security,Oracle Database 12c Security,9.78007E+12,9.78007E+12
bn_126,B2843,,Oracle Discoverer 10g Handbook / Edition 1,Oracle Discoverer 10g Handbook (Oracle (McGraw-Hill)),9.78007E+12,9.78007E+12
bn_964,B2845,,MySQL Phrasebook,MySQL Phrasebook,9.78067E+12,9.78067E+12
bn_1426,B2846,,"The Windows Workshop: Access for Windows, Version 2.0",Access 2.0 for Windows (Windows Workshop),9.78053E+12,9.78053E+12
bn_642,B2851,,Oracle Database 10g New Features,Oracle Database 10g New Features (Osborne ORACLE Press Series),9.78007E+12,9.78007E+12
bn_1875,B2853,,Interactive Data Visualization for the Web,Interactive Data Visualization for the Web,9.78145E+12,9.78145E+12
bn_46,B2876,,Data Mining with Microsoft SQL Server 2008 / Edition 1,Data Mining with Microsoft SQL Server 2008,9.78047E+12,9.78047E+12
bn_1694,B2888,,"Oracle Privacy Security Auditing: Includes Federal Law Compliance with HIPAA, Sarbanes-Oxley & The Gramm-Leach-Bliley Act GLB","Oracle Privacy Security Auditing: Includes Federal Law Compliance with HIPAA, Sarbanes Oxley & The Gramm Leach Bliley Act GLB (Oracle In-Focus series)",9.78097E+12,9.78097E+12
bn_820,B2891,,Sams Teach Yourself Oracle 8 in 21 Days,Teach Yourself Oracle8 in 21 Days (Sams Teach Yourself...),9.78067E+12,9.78067E+12
