id,title,time,director,year,star,cost
1509,Superman/Batman: Public Enemies    ,"1 hour, 7 minutes",Sam Liu,2010,"Clancy Brown, Kevin Conroy","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1510,"4 Film Favorites: Survival (Outbreak, The Perfect Storm, Poseidon, Twister) ", 472 minutes ,Jan de Bont,2010,Helen Hunt,$9.35 
1511,MacGyver - The Complete First Season , 1045 minutes ,Alan Smithee,2005,Richard Dean Anderson,$11.26 
1512,Dark Shadows/ Sleepy Hollow (BD) (DBFE) [Blu-ray] , 218 minutes ,Various,2013,Various,$7.99 
1513,John Carpenter's Escape From L.A. [Blu-ray] , 100 minutes ,Various,2010,Various,$8.69 
1514,In Pursuit of Honor , 110 minutes ,Ken Olin,2006,Craig Sheffer,$5.81 
1515,Mission: Impossible 3 [Blu-ray] , 126 minutes ,J.J. Abrams,2010,Tom Cruise,$8.99 
1516,Pale Rider    ,"1 hour, 56 minutes",Clint Eastwood,1985,"Clint Eastwood, Michael Moriarty","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1517,The Desert Rats , 88 minutes ,Robert Wise,2002,Richard Burton,$9.82 
1518,Sinners in Paradise    ,"1 hour, 5 minutes",James Whale,1938,"Madge Evans, John Boles","Buy SD $9.99,"
1519,Batman: Under the Red Hood (Single-Disc Edition) , 75 minutes ,Brandon Vietti,2010,Jensen Ackles,$10.99 
1520,Relic , 111 minutes ,Various,1999,Various,$4.99 
1521,The Rum Diary    ,"2 hours, 0 minutes",Bruce Robinson,2011,"Johnny Depp, Aaron Eckhart","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1522,American History X / A History of Violence / True Romance (Triple Feature) [Blu-ray] ,,Tony Kaye,2012,Edward Norton,$13.25 
1523,El Norte (The Criterion Collection) , 140 minutes ,Gregory Nava,2009,Zaide Silvia Gutierrez,$23.42 
1524,Kiss Kiss Bang Bang [Blu-ray] , 103 minutes ,Shane Black,2006,Robert Downey Jr.,$9.69 
1525,"The Best of Abbott & Costello, Vol. 4 (Abbott & Costello Meet Dr. Jekyl & Mr. Hyde / Abbott & Costello Meet the Keystone Cops / Abbott & Costello Meet the Mummy / Abbott & Costello Meet Jerry Seinfeld / Abbott & Costello Meet the Monsters / The World of Abbott & Costello) ", 391 minutes ,Charles Lamont,2005,Boris Karloff,$22.99 
1526,Fish'n 4 Fun   ,12/27/2013,Tami Curtis,2013,24 minutes,"Buy SD $1.99,Buy HD $13.99,Buy SD $12.99,"
1527,Executive Decision , 134 minutes ,Stuart Baird,2010,Kurt Russell,$4.92 
1528,Destination Moon , 92 minutes ,Irving Pichel,2000,John Archer,$7.79 
1529,"The Venture Bros.: Season 4, Vol. 2 ", 286 minutes ,Various,2011,Various,$14.39 
1530,The Court Jester    ,"1 hour, 42 minutes",Melvin Frank,1956,"Danny Kaye, Glynis Johns","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
1531,We're Back! A Dinosaur's Story    ,"1 hour, 12 minutes",Phil Nibbelink,1993,"John Goodman, Blaze Berdahl","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1532,The Only Way , 86 minutes ,Brent Christensen,2010,Jane Seymour,$9.99 
1533,Battlestar Galactica ('04)   ,44 minutes,Michael Rymer,2008,"Edward James Olmos, Mary McDonnell","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1534,The Con Artists - Digitally Remastered    ,"1 hour, 27 minutes",Sergio Corbucci,2013,"Adriano Celentano, Anthony Quinn","Buy SD $7.96,"
1535,RocknRolla (Single-Disc Edition) , 116 minutes ,Guy Ritchie,2009,Gerard Butler,$7.31 
1536,Absolute Power , 121 minutes ,Clint Eastwood,2010,Clint Eastwood,$7.89 
1537,The High and the Mighty (Two-Disc Collector's Edition) , 147 minutes ,William A. Wellman,2005,John Wayne,$9.92 
1538,The Rundown (Widescreen Edition) , 105 minutes ,Peter Berg,2004,Dwayne 'The Rock' Johnson,$6.15 
1539,How the States Got Their Shapes: Season 2 , 441 minutes ,Amber Engelmann,2013,Brian Unger,$9.99 
1540,Texas Chainsaw Massacre: The Beginning (Rated)    ,"1 hour, 31 minutes",Jonathan Liebesman,2006,"Jordana Brewster, Taylor Handley","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1541,Remington Steele: Seasons Four & Five , 1360 minutes ,Alexander Singer,2006,Stephanie Zimbalist,$22.92 
1542,Hanna [Blu-ray] , 111 minutes ,Joe Wright,2011,Saoirse Ronan,$9.58 
1543,The Caine Mutiny (Combat Classics) , 125 minutes ,Edward Dmytryk,2007,E.G. Marshall,$9.51 
1544,Harley Davidson and the Marlboro Man    ,"1 hour, 39 minutes",Simon Wincer,1991,"Mickey Rourke, Don Johnson","Rent SD $2.99,Buy SD $9.99,"
1545,Premium Rush    ,"1 hour, 31 minutes",David Koepp,2012,"Joseph Gordon-Levitt, Dania Ramirez","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1546,Torpedo Run , 95 minutes ,Joseph Pevney,2014,Dean Jones,$17.99 
1547,The Spectacular Spider-Man: Season 1 , 300 minutes ,Dan Fausett,2009,Josh Keaton,$9.92 
1548,The Message (30th Anniversary Edition) , 177 minutes ,Moustapha Akkad,2005,Anthony Quinn,$9.83 
1549,Mission: Impossible Ghost Protocol Special Feature - Soaring In Dubai    ,3 minutes,Brad Bird,2011,"Brad Bird, Tom Cruise","Rent SD Free,"
1550,Heaven Knows Mr. Allison , 108 minutes ,John Huston,2003,Robert Mitchum,$9.77 
1551,The Patriot    ,"1 hour, 26 minutes",Frank Harris,2002,"Gregg Henry, Simone Griffeth","Buy SD $9.99,"
1552,Underdog    ,"1 hour, 22 minutes",Frederik Du Chau,2007,"Jason Lee, Peter Dinklage","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1553,Immortals , 110 minutes ,Tarsem Singh,2012,Henry Cavill,$9.99 
1554,Clint Eastwood Western Icon Collection (High Plains Drifter / Joe Kidd / Two Mules For Sister Sara) , 307 minutes ,Clint Eastwood,2007,Billy Curtis,$19.98 
1555,Out of the Furnace , 116 minutes ,Scott Cooper,2014,Christian Bale,$5.99 
1556,Aura (English Subtitled)   ,"1 hour, 21 minutes",Zsolt Bernáth,2014,"Szénási Bálint, Szénási Kristóf","Buy SD $9.99,"
1557,Survivor Vanuatu - The Complete Season , 60 minutes ,Mark Burnett,2006,Jeff Probst,$16.29 
1558,"The Good, the Bad and the Ugly ", 179 minutes ,Sergio Leone,1998,Clint Eastwood,$9.50 
1559,Extremely Loud & Incredibly Close (DVD + Ultraviolet Digital Copy) , 130 minutes ,Stephen Daldry,2012,Tom Hanks,$4.99 
1560,The Shadow Riders    ,"1 hour, 37 minutes",Andrew V. McLaglen,1982,"Tom Selleck, Sam Elliott","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1561,Mutant Chronicles    ,"1 hour, 52 minutes",Simon Hunter,2009,"Thomas Jane, Ron Perlman","Rent HD $3.99,Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
1562,Batman and Robin (1997)    ,"2 hours, 5 minutes",Joel Schumacher,1997,"Arnold Schwarzenegger, George Clooney","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1563,Four Brothers , 109 minutes ,Various,2005,Various,$4.94 
1564,The Man In The Iron Mask    ,"2 hours, 12 minutes",Randall Wallace,1998,"Leonardo DiCaprio, Jeremy Irons","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1565,Island In The Sky (Special Collector's Edition) , 109 minutes ,William A. Wellman,2005,John Wayne,$6.43 
1566,Smallville   ,43 minutes,Kevin Fair,2010,"Tom Welling, Erica Durance","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1567,Earthquake in LA    ,31 minutes,Marc Berlin,2007,Marc Berlin,"Buy SD $4.99,"
1568,Catch-22 (1970) , 122 minutes ,Mike Nichols,2013,Alan Arkin,$5.92 
1569,Hero (English Subtitled)   ,"1 hour, 40 minutes",Yimou Zhang,2004,"Jet Li, Tony Chiu Wai Leung","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1570,Grind , 105 minutes ,Casey La Scala,2004,Colin McKay,$27.38 
1571,Shanghai Noon / Shanghai Knights , 224 minutes ,David Dobkin,2008,Jackie Chan,$9.79 
1572,The 5 Deadly Venoms , 97 minutes ,Chang Cheh,2009,,$6.51 
1573,Killer Elite , 117 minutes ,Gary McKendry,2012,Jason Statham,$6.49 
1574,Call Of The Wild - 1972 - Color    ,"1 hour, 41 minutes",Ken Annakin,2012,"Charlton Heston, Michèle Mercier","Buy SD $3.75,"
1575,Poolhall Junkies , 99 minutes ,Various,2007,Various,$72.99 
1576,South Central (1992) , 99 minutes ,Steve Anderson,2004,Byron Keith Minns,$4.99 
1577,Bamboozled , 135 minutes ,Spike Lee,2001,Damon Wayans,$69.95 
1578,Joan of Arc , 180 minutes ,Christian Duguay,2001,Leelee Sobieski,
1579,Code:Breaker: Complete Series (Blu-ray/DVD Combo) , 325 minutes ,Colleen Clinkenbeard,2014,Jad Saxton,$37.39 
1580,Next of Kin (1989) , 109 minutes ,John Irvin,2004,Patrick Swayze,$5.00 
1581,Cats & Dogs    ,"1 hour, 28 minutes",Lawrence Guterman,2001,"Jeff Goldblum, Elizabeth Perkins","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1582,Ergo Proxy: Box Set (Classic) , 575 minutes ,Tatsuya Igarashi,2012,Rachel Hirschfeld,$25.99 
1583,Bloodsport , 92 minutes ,Various,2004,Various,$4.99 
1584,The Outsider , 119 minutes ,Randa Haines,2003,Tim Daly,$9.92 
1585,Starsky & Hutch    ,"1 hour, 41 minutes",Todd Phillips,2004,"Ben Stiller, Owen Wilson","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1586,The Secret of My Success , 111 minutes ,Herbert Ross,1998,Michael J. Fox,$10.93 
1587,Ladder 49 (Full Screen Edition) , 115 minutes ,Jay Russell,2005,Joaquin Phoenix,$4.99 
1588,"Fighter, The ", 115 minutes ,Various,2011,Various,$3.74 
1589,The Jewel of the Nile (Special Edition) , 106 minutes ,Lewis Teague,2006,Michael Douglas,$3.99 
1590,Legion of Super Heroes   ,23 minutes,Ben Jones,2006,"Michael Cornacchia, Jennifer Hale","Buy SD $19.99,"
1591,Bottle Rocket , 92 minutes ,Wes Anderson,1998,Robert Musgrave,$6.40 
1592,Cool World , 102 minutes ,Ralph Bakshi,2003,Gabriel Byrne,$79.95 
1593,Flash Gordon and the Planet of Death    ,"5 hours, 10 minutes",Gunther von Fritsch,1954,Steve Holland: Irene Champlin,"Buy SD $4.99,"
1594,Rambo: First Blood    ,"1 hour, 34 minutes",Ted Kotcheff,1982,"Sylvester Stallone, Richard Crenna","Buy HD $9.99,Buy SD $7.99,"
1595,Transporter 2 [Blu-ray] , 87 minutes ,Louis Leterrier,2006,Jason Statham,$7.40 
1596,Ken Burns - American Lives (Thomas Jefferson / Lewis & Clark / Frank Lloyd Wright / Elizabeth Cady Stanton & Susan B Anthony / Mark Twain / Horatio's Drive / Unforgivable Blackness) , 1480 minutes ,Ken Burns,2005,Edward Herrmann,$88.88 
1597,Joey Dunlop: No Ordinary Joe    ,"1 hour, 23 minutes",Anna Masefield,2007,"Stephen Watson, Joey Dunlop","Rent HD $4.99,Rent SD $3.99,Buy HD $9.99,Buy SD $7.99,"
1598,Hellboy    ,"2 hours, 2 minutes",Guillermo del Toro,2004,"Ron Perlman, John Hurt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
1599,Star Wars: The Clone Wars   ,23 minutes,Steward Lee,2012,"James Arnold Taylor, Sam Witwer","Buy SD $1.99,Buy HD $29.99,Buy SD $24.99,"
1600,Robin Hood    ,"2 hours, 21 minutes",Ridley Scott,2010,"Russell Crowe, Cate Blanchett","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1601,The Last Boy Scout    ,"1 hour, 46 minutes",Tony Scott,1991,"Bruce Willis, Damon Wayans","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1602,Battle of the River Plate , 119 minutes ,Emeric Pressburger,2010,John Gregson,$19.49 
1603,Buck and the Preacher , 117 minutes ,Sidney Poitier,2000,Harry Belafonte,$9.67 
1604,Streets of Fire    ,"1 hour, 34 minutes",Walter Hill,1984,"Michael Paré, Diane Lane","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1605,Flight of the Intruder    ,"1 hour, 55 minutes",John Milius,1991,"Danny Glover, Willem Dafoe","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1606,The Tempest    ,"1 hour, 51 minutes",Julie Taymor,2010,"Felicity Jones, Jude Akuwudike","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
1607,Terminator 2: Judgment Day    ,"2 hours, 17 minutes",James Cameron,1991,"Arnold Schwarzenegger, Linda Hamilton","Buy HD $16.99,Buy SD $15.99,"
1608,The Invasion    ,"1 hour, 40 minutes",Oliver Hirschbiegel,2007,"Nicole Kidman, Daniel Craig","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1609,The Iceman , 105 minutes ,Ariel Vromen,2013,Michael Shannon,$5.99 
1610,Trollhunter [Blu-ray] , 103 minutes ,AndrÃ© Ãvredal,2011,Otto Jespersen,$9.49 
1611,Arlington Road    ,"1 hour, 58 minutes",Mark Pellington,1999,"Jeff Bridges, Tim Robbins","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1612,Rush (Widescreen Edition) , 120 minutes ,Lili Fini Zanuck,2002,Jason Patric,
1613,Kill Bill: Volume 1 , 111 minutes ,Quentin Tarantino,2011,Uma Thurman,$4.99 
1614,The Core    ,"2 hours, 15 minutes",Jon Amiel,2003,"Christopher Shyer, Ray Galletti","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1615,The Great Escape    ,"2 hours, 53 minutes",John Sturges,1963,"Steve McQueen, James Garner","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1616,Doom (Unrated Extended Edition) [Blu-ray] , 113 minutes ,Andrzej Bartkowiak,2009,Dwayne 'The Rock' Johnson,$8.50 
1617,The Devil's Brigade , 131 minutes ,Andrew V. McLaglen,2002,William Holden,$7.46 
1618,Extinction (2015)    ,"1 hour, 42 minutes",Miguel Ángel Vivas,2015,"Matthew Fox, Jeffrey Donovan","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1619,Fist of the North Star: The Movie , 110 minutes ,Toyoo Ashida,2009,Wally Burr,$19.99 
1620,Beavis and Butt-Head Do America (10th Anniversary Special Collector's Edition) , 81 minutes ,Mike Judge,2006,Mike Judge,$14.95 
1621,Mortal Kombat 2: Annihilation    ,"1 hour, 35 minutes",John R. Leonetti,1997,"Robin Shou, Talisa Soto","Buy HD $12.99,Buy SD $9.99,"
1622,Jaws: The Revenge , 91 minutes ,Joseph Sargent,2003,Lorraine Gary,$6.52 
1623,Assassins , 133 minutes ,Richard Donner,2010,Sylvester Stallone,$4.57 
1624,Batman: Gotham Knight    ,"1 hour, 16 minutes",Yasuhiro Aoki,2008,"Kevin Conroy, Jason Marsden","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1625,The Descent: Part 2 , 94 minutes ,Jon Harris,2010,Michael J. Reynolds,$8.23 
1626,Young Sherlock Holmes , 109 minutes ,Barry Levinson,2003,Nicholas Rowe,$5.00 
1627,Hard Boiled [Blu-ray] , 128 minutes ,John Woo,2010,Yun-Fat Chow,$14.99 
1628,Red Heat (Special Edition) , 104 minutes ,Walter Hill,2004,Arnold Schwarzenegger,$6.50 
1629,The Kingdom [Blu-ray] , 111 minutes ,Peter Berg,2008,Jamie Foxx,$9.58 
1630,Rolling Home    ,"1 hour, 8 minutes",William Berke,1946,"Jean Parker, Russell Hayden","Buy SD $9.99,"
1631,The Legend of Zorro (Widescreen Special Edition) , 130 minutes ,Martin Campbell,2006,Antonio Banderas,$7.98 
1632,The Desert Fox , 88 minutes ,Henry Hathaway,2003,James Mason,$12.99 
1633,Beverly Hills Cop (Special Collector's Edition) , 105 minutes ,Martin Brest,2002,Eddie Murphy,$4.99 
1634,Lord of the Flies: Essential Art House , 90 minutes ,Peter Brook,2008,James Aubrey,$13.59 
1635,Werewolf: The Beast Among Us - Unrated Edition (Blu-ray + DVD + Digital Copy + UltraViolet) , 374 minutes ,Louis Morneau,2012,Ed Quinn,$7.99 
1636,Lord of War (Widescreen) , 122 minutes ,Andrew Niccol,2006,Nicolas Cage,$5.00 
1637,"Golden Child, The (1986) ", 93 minutes ,Various,2013,Various,$5.35 
1638,The Man with the Iron Fists - Unrated Extended Edition (Blu-ray + DVD + Digital Copy + UltraViolet) , 95 minutes ,RZA,2013,Rick Yune,$13.49 
1639,Person of Interest   ,44 minutes,Richard J. Lewis,2012,"Jim Caviezel, Taraji P. Henson","Buy SD $1.99,Buy HD $34.99,Buy SD $34.99,"
1640,Drums Along the Mohawk , 104 minutes ,John Ford,2005,Claudette Colbert,$27.04 
1641,"Wolfblood, Season 1 ", 340 minutes ,Debbie Moon,2013,Bobby Lockwood,$11.49 
1642,Gakudori (English Subtitled)   ,"1 hour, 30 minutes",Kei Era,2015,"Naoto Eguchi, Kôtarô Hayashi","Buy SD $6.99,"
1643,First Knight    ,"2 hours, 15 minutes",Jerry Zucker,1995,"Sean Connery, Richard Gere","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $7.99,"
1644,Godzilla (Mastered in 4K) (Single-Disc Blu-ray + Ultra Violet Digital Copy) , 139 minutes ,Roland Emmerich,2013,Maria Pitillo,$11.99 
1645,Rocky Balboa , 102 minutes ,Sylvester Stallone,2007,Burt Young,$18.99 
1646,Man of Tai Chi, 105 minutes ,Keanu Reeves,2013,Keanu Reeves,$9.89 
1647,Street Kings (+ Digital Copy) [Blu-ray] , 109 minutes ,David Ayer,2008,Keanu Reeves,$7.02 
1648,Batman - The Complete 1943 Movie Serial Collection , 259 minutes ,Lambert Hillyer,2005,Lewis Wilson,$19.99 
1649,Mission: Impossible (Special Collector's Edition) , 110 minutes ,Brian De Palma,2006,Tom Cruise,$9.59 
1650,Land of the Lost , 102 minutes ,Brad Silberling,2009,Will Ferrell,$9.58 
1651,Vendetta    ,"1 hour, 31 minutes",Jen Soska,2015,"Dean Cain, Paul Wight","Rent HD $4.99,Rent SD $3.99,Buy HD $17.99,Buy SD $14.99,"
1652,Star Trek: The Motion Picture - The Director's Edition (Remastered)    ,"2 hours, 17 minutes",Robert Wise,1979,"William Shatner, Leonard Nimoy","Buy SD $9.99,"
1653,Return of 5 Deadly Venoms , 100 minutes ,Chang Cheh,2010,Kuan Tai Chen,$6.59 
1654,Superman II: The Richard Donner Cut [Blu-ray] , 127 minutes ,Richard Donner,2006,Gene Hackman,$7.72 
1655,Heaven's Prisoners , 106 minutes ,Phil Joanou,2004,Alec Baldwin,$5.90 
1656,Superman: Doomsday [Blu-ray] , 300 minutes ,Various,2008,Various,$12.99 
1657,Steve McQueen Triple Feature (Bullitt / Cincinnati Kid / Getaway) [Blu-ray] ,,Various,2012,Various,$14.68 
1658,King Solomon's Mines , 103 minutes ,Compton Bennett,2005,Deborah Kerr,$8.97 
1659,Day of the Siege , 114 minutes ,Renzo Martinelli,2014,F. Murray Abraham,$13.39 
1660,Guadalcanal Diary , 93 minutes ,Lewis Seiler,2002,Preston Foster,$12.99 
1661,Doctor Who: Shada (Story 109) , 109 minutes ,Pennant Roberts,2013,Tom Baker,$28.79 
1662,Spartacus   ,52 minutes,John Hannah,2011,"John Hannah, Manu Bennett","Buy SD $1.99,Buy HD $9.99,Buy SD $7.99,"
1663,Captain Blood    ,"2 hours, 0 minutes",Michael Curtiz,1935,"Errol Flynn, Olivia de Havilland","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,"
1664,Ishtar [Blu-ray] , 105 minutes ,Elaine May,2013,Warren Beatty,$8.34 
1665,One Million Years B.C. , 91 minutes ,Don Chaffey,2004,Raquel Welch,$6.52 
1666,King of Kings , 171 minutes ,Nicholas Ray,2009,Siobhan McKenna,$9.05 
1667,The Seven-Ups , 103 minutes ,Philip D'Antoni,1973,Roy Scheider,$11.99 
1668,The Eiger Sanction , 129 minutes ,Clint Eastwood,1998,Clint Eastwood,$9.61 
1669,Batman: The Dark Knight Returns - Part 2    ,"2 hours, 34 minutes",Jay Oliva,2013,"Peter Weller, Ariel Winter","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1670,Everything Is Illuminated , 105 minutes ,Liev Schreiber,2006,Elijah Wood,$10.37 
1671,"Tokyo, Japan - Celebrating the Past and Present    ",27 minutes,Joseph Rosendo,2013,Joseph Rosendo,"Rent SD $1.99,Buy HD $13.99,Buy SD $12.99,"
1672,The Enemy Below    ,"1 hour, 38 minutes",Dick Powell,1957,"Robert Mitchum, Curd Jürgens","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1673,Murder At 1600    ,"1 hour, 47 minutes",Dwight H. Little,1997,"Wesley Snipes, Diane Lane","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1674,The River Wild    ,"1 hour, 52 minutes",Curtis Hanson,1994,"Meryl Streep, Joseph Mazzello","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1675,The Mosquito Coast , 117 minutes ,Peter Weir,2008,Harrison Ford,$4.92 
1676,Kickboxer [Blu-ray] , 97 minutes ,Mark Disalle,2009,Dennis Alexio,$6.99 
1677,Barbarella [Blu-ray] , 98 minutes ,Roger Vadim,2012,Jane Fonda,$7.99 
1678,Blood +: Volume One , 124 minutes ,Junichi Fujisaku,2008,Kari Wahlgren,$28.33 
1679,Firewall    ,"1 hour, 46 minutes",Richard Loncraine,2006,"Harrison Ford, Virginia Madsen","Rent HD $3.99,Rent SD $2.99,Buy HD $7.99,Buy SD $9.99,"
1680,Joy Ride (Special Edition) , 97 minutes ,John Dahl,2002,Matthew Kimbrough,$4.99 
1681,The Mosquito Coast (Zaentz)    ,"1 hour, 59 minutes",Peter Weir,1986,"Harrison Ford, Helen Mirren","Buy HD $13.99,Buy SD $9.99,"
1682,Batman   ,23 minutes,Don Towsley,1977,"Adam West, Burt Ward","Buy SD $23.99,"
1684,"The Young Riders: The Series (Seasons 1, 2 & 3) - 14 DVD Collector's Edition ", 2944 minutes ,Ed Spielman,2014,Josh Brolin,$35.49 
1685,Boiler Room , 120 minutes ,Ben Younger,2005,Giovanni Ribisi,$4.57 
1686,Lara Croft: Tomb Raider    ,"1 hour, 41 minutes",Simon West,2001,"Angelina Jolie, Jon Voight","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1687,Naked Lunch (Criterion Collection) [Blu-ray] , 115 minutes ,David Cronenberg,2013,Peter Weller,$22.54 
1688,Revelation Road 2: Sea of Glass & Fire , 90 minutes ,Gabriel Sabloff,2013,David a R White,$7.99 
1689,Cannonball Run II , 108 minutes ,Hal Needham,1999,Burt Reynolds,
1690,Moll Flanders , 123 minutes ,Pen Densham,2001,Robin Wright,$33.79 
1691,The Bourne Supremacy (Widescreen Edition) , 109 minutes ,Paul Greengrass,2004,Matt Damon,$8.49 
1692,Mr Majestyk , 103 minutes ,Richard Fleischer,2003,Charles Bronson,$9.62 
1693,The Green Hornet    ,"1 hour, 59 minutes",Michel Gondry,2011,"Seth Rogen, Jay Chou","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1694,Reap the Wild Wind , 124 minutes ,Cecil B. DeMille,1998,John Wayne,$9.61 
1695,Black Beauty (1994)    ,"1 hour, 28 minutes",Caroline Thompson,1994,"Docs Keepin Time, Alan Cumming","Buy HD $13.99,Buy SD $9.99,"
1696,Boot Hill , 87 minutes ,Giuseppe Colizzi,2014,Terrence Hill,$5.49 
1697,The Beach , 119 minutes ,Danny Boyle,2005,Leonardo DiCaprio,$17.74 
1698,Macgyver - The Complete Third Season , 942 minutes ,Alan Simmonds,2005,Richard Dean Anderson,$10.01 
1699,The Pursuit of Function    ,51 minutes,Litmatch Productions,2000,"Kyle Johnson,Ivan Marcinko",
1700,Rocky , 119 minutes ,John G. Avildsen,2005,Sylvester Stallone,$7.28 
1701,The Getaway (1972) [Blu-ray] , 122 minutes ,Sam Peckinpah,2007,Steve McQueen,$12.99 
1702,Underworld (Unrated) [Blu-ray] , 134 minutes ,Len Wiseman,2007,Michael Sheen,$9.00 
1703,Remington Steele - Season Two , 1078 minutes ,Alexander Singer,2005,Stephanie Zimbalist,$14.58 
1704,Bird on a Wire , 110 minutes ,John Badham,1998,Mel Gibson,$10.49 
1705,Dog Day Afternoon (Two-Disc Special Edition) , 124 minutes ,Sidney Lumet,2006,Al Pacino,$6.99 
1706,Spy Game [Blu-ray] , 127 minutes ,Tony Scott,2009,Robert Redford,$9.49 
1707,Faster [Blu-ray] , 98 minutes ,George Tillman Jr.,2011,Dwayne Johnson,$7.99 
1708,Wanted [Blu-ray] , 110 minutes ,Timur Bekmambetov,2008,James McAvoy,$7.50 
1709,Seattle Superstorm , 88 minutes ,Jason Bourque,2013,Esai Morales,$4.92 
1710,Walking Tall , 86 minutes ,Kevin Bray,2004,Dwayne Johnson,$6.15 
1711,Moby Dick (1956)    ,"1 hour, 56 minutes",John Huston,1956,"Gregory Peck, Richard Basehart","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1712,Gymkata , 90 minutes ,Robert Clouse,2007,Kurt Thomas,$5.97 
1713,Kill Bill: Volume 2 , 137 minutes ,Quentin Tarantino,2011,Uma Thurman,$4.98 
1714,Executive Action , 91 minutes ,David Miller,2007,Burt Lancaster,$10.60 
1715,Captain America [Blu-ray] , 97 minutes ,Albert Pyun,2013,Matt Salinger,$9.99 
1716,Tracks    ,"1 hour, 41 minutes",John Curran,2014,"Lily Pearl, Mia Wasikowska","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
1717,Barry Lyndon    ,"3 hours, 5 minutes",Stanley Kubrick,1975,"Ryan O'Neal, Marisa Berenson","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1718,Cowboys & Aliens    ,"1 hour, 59 minutes",Jon Favreau,2011,"Daniel Craig, Abigail Spencer","Rent HD $3.99,Buy HD $12.99,Buy SD $9.99,"
1719,Gladiator - Extended    ,"2 hours, 51 minutes",Ridley Scott,2000,"Russell Crowe, Joaquin Phoenix","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
1720,For Whom the Bell Tolls , 166 minutes ,Sam Wood,1998,Gary Cooper,$9.69 
1721,"Roger Corman's Cult Classics Sword And Sorcery Collection (Deathstalker, Deathstalker II, The Warrior And The Sorceress & Barbarian Queen) ", 315 minutes ,James Sbardellati,2011,Rick Hill,$16.95 
1723,Saul and David    ,"1 hour, 53 minutes",Marcello Baldi,2008,"Norman Wooland, Gianni Garko","Buy SD $9.99,"
1724,The Last Valley , 128 minutes ,James Clavell,2004,Michael Caine,$55.90 
1725,Firefox , 137 minutes ,Clint Eastwood,2010,Clint Eastwood,$6.73 
1726,Touching the Void , 106 minutes ,Kevin Macdonald,2004,Simon Yates,$59.95 
