#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
"_id","ltable.id","rtable.id","ltable.title","ltable.director","ltable.year","ltable.cost","ltable.star","rtable.title","rtable.director","rtable.year","rtable.rotten_tomatoes","rtable.review1","rtable.review2","rtable.review3","rtable.review4","rtable.review5","gold"
98,793,4223,"Close Encounters of the Third Kind (30th Anniversary Ultimate Edition)","Steven Spielberg",2007,$11.99,"Melinda Dillon","King of the Underworld","Lewis Seiler",1939,0,"It's not a very good melodrama, but it was nevertheless enjoyable.",,,,,0
99,805,3128,"The Lord of the Rings: The Two Towers (Widescreen Edition) (2002)","Peter Jackson",2003,$4.00,"Elijah Wood","The Hobbit: The Desolation of Smaug","Peter Jackson",2013,74,"The Hobbit: The Desolation of Smaug is technically better than The Hobbit: An Unexpected Journey in the same way Attack of the Clones was technically better than The Phantom Menace.","The Hobbit: The Desolation of Smaug is another grand entry in the Tolkien saga, raising the emotional and physical stakes while revealing more of the sinister forces that we know will ultimately come to threaten the entire world.","(There) seems to be more action this time around. It's much more thrilling and is, again, pertinent, necessary action. And the character moments just work better in this installment.","Smaug slept through the first Hobbit film, and boy was I jealous.","For all the great effects it garners, [it] is a cold, and monotonous epic that borders on fan fiction.",0
100,807,2223,"Masters of the Universe (Keepcase)","Gary Goddard",2009,$5.90,"Dolph Lundgren","Assault of the Sasquatch","Andrew Gernhard",2009,0,,,,,,0
101,829,5168,"Prisoners (Blu-ray+DVD)","Dennis Villeneuve",2013,$14.99,"Hugh Jackman","Prisoners","Denis Villeneuve",2013,81,"The last half hour, despite the occasional jolt of excitement, is an embarrassment.","I was shocked to learn this is an original screenplay and not an adaptation. Everything about the story stinks of a crappy novel someone bought at an airport.","This film haunted me for days and weeks after seeing it, and the feeling still lingers.","Prisoners is in the best thriller traditions, but goes deeper into a reflection of one of the greatest moral dilemmas in modern society ... choosing to not only be memorable, but to matter.","Prisoners is a devastating ordeal through the Villeneuve's impressionistic prism. It's a testament to all involved that you want to revisit the ugliness of the story for the artistry of its construction.",1
102,841,5620,"The Other Side of Heaven","Mitch Davis",2003,$6.25,"Christopher Gorham","The Legend of Billie Jean","Matthew Robbins",1985,44,,,,"The Legend of Billie Jean does remain interesting and entertaining throughout its run, even if it is a bit short on plot and a lot short on realism.","Has a straight faced camp about itself that makes it a blast from the past worth sitting through",0
103,854,496,"The Day of the Jackal","Fred Zinnemann",1998,$9.87,"Edward Fox","Lemony Snicket's A Series of Unfortunate Events","Brad Silberling",2004,72,"Episodic but entertaining.","It's all a bit superficial, but highly entertaining, wickedly funny, and alluring enough to make you want to start reading the books.","A sick joke of a film that realizes the best children's entertainment doesn't hide from the bleaker side of life, but plunges into the void and respects kids enough to assume they can handle it.","Book's fans will enjoy, but too creepy for some.","Whilst the direction and script seem off, the rest of the production work is excellent.",0
104,854,1947,"The Day of the Jackal","Fred Zinnemann",1998,$9.87,"Edward Fox","Land of the Lost","Brad Silberling",2009,26,"[A] gigantic chunk of scat.","A ragbag of lackadaisical plotting, drugs references, puerile lechery and shiny effects work, an assemblage far from child-friendly yet not quite grungey enough to wow older teens.","Danny McBride and Will Ferrell make it worth a trip to Land of the Lost.","Who is this movie being made for in the first place?","By stringing together a bunch of campy retro set-ups and witty improvs, Land of the Lost manages to be a watchable comedy with plenty of laughs.",0
105,855,2837,"The Mask of Zorro [Blu-ray]","Martin Campbell",2009,$5.97,"Matthew Letscher","The Return of Johnny V","Aaron Lopez",2013,0,,,,,,0
106,859,6161,"Snow White & the Huntsman - Extended Edition (Blu-ray + DVD + Digital Copy + UltraViolet)","Rupert Sanders",2012,$7.46,"Kristen Stewart","Black or White","Mike Binder",2015,39,"The films strength is its performances. Costner is especially good as a man whose grief brings forth a deep seeded anger, especially when confronted with the threat of losing the one thing left in his life that he loves.","Leaves no room to explore the gray areas that could have made the scenario interesting","Writer-director Mike Binder, who drew one of Costner's best performances in The Upside of Anger, does it again here, and for good measure, he does the same for Spencer.","Really great performances... but this inspired-by-fact tale... only just skims the many provocative issues it touches on, and is rather anticlimactic in the end.","A plea-filled, soapish human-interest story that's too sudsy, Black or White can't lather over its basic message-movie-ness, but its moral's hardly Shakespearean in its profundity: ""What fools these adults be, bickering over a sweet little girl.""",0
107,872,5877,"I Am Number Four [Blu-ray]","D.J. Caruso",2011,$6.61,"Alex Pettyfer","If I Stay","R.J. Cutler",2014,36,"The title refers to Mia's fraught decision-should she cling to existence or just give up?-and, well before the end, even loyal viewers will be begging her to hurry up and choose.","Documentarian R.J. Cutler, in his feature debut, joins Moretz in delivering this pap as if it meant something. Cue eye rolling.","For a drama pretty much aimed at 12-year-old girls, this is less superficial than you'd expect.","A true middle-of-the-road effort, provoking neither scorn nor admiration","If I Stay never explains whether Mia's is a special case or if everyone who hovers between life and death has that decision to make. And if it's the latter, does that mean your gramps and meemaw simply didn't love you enough to stick around?",0
108,879,3268,"X-Men Trilogy (X-Men / X2: X-Men United / X-Men: The Last Stand) [Blu-ray]","Bryan Singer",2009,$28.39,"Patrick Stewart","X-Men: Days of Future Past","Bryan Singer",2014,91,"The teenaged Quicksilver, played by Evan Peters... grants this sometimes unwieldy lot of exposition a brilliantly entertaining set-piece, as he speeds around a prison chamber to the tune of Jim Croce's Time in a Bottle.","It doesn't deliver as many wow moments as one might hope for, but as far as the X-Men franchise is concerned, it's one of the better installments.","It's an ingenuous screenplay that's marvelously executed by Singer, whose return to the series is more than welcome.","The best part of this film and the best thing to happen to the franchise as a whole is the casting of Michael Fassbender as Eric Lehnsherr/Magneto and James McAvoy as Professor Charles Xavier.","X-Men: Days of Future Past builds upon the outstanding First Class by offering up an immensely fascinating and spectacularly entertaining storyline that just goes to show how far this franchise has come in recent years.",0
109,897,2565,"The Man Who Would Be King","Various",2010,$7.89,"Various","King of Devil's Island","Marius Holst",2011,93,"Rather one-note in its bleakness, and doesn't have a vast amount to say beyond 'reform school sucks'.","Possibly no one else does ""grim"" with as much unsparing enthusiasm as the Scandinavians.","Skarsgard is riveting throughout as a man whose high morality is steeped in hypocrisy and whose mask of civility easily slips, when challenged, to reveal the monster beneath.","It's a very measured account of how men will accept their fates to a degree, slowly coil up and then spring with anger.","A slow-burning but satisfying drama that persuasively blends elements of Scum and Papillon.",0
110,900,1642,"Star Wars: The Clone Wars: Season 4","Dave Filoni",2012,$27.58,"Tom Kane","Star Wars: The Clone Wars","Dave Filoni",2008,18,"It moves fast, conquers armies, kicks into hyperspace and spits out idiotic quips with unapologetic cartoon brio.","The visuals are worthy, but the big screen brings the movie's script shortcomings and pacing problems into sharper relief.","I cannot accept that this is a Star Wars movie.","It's a film of many firsts, but few of them positive: for the first time in history, we have a Star Wars film that you won't love or hate, but one about which you just won't care less either way.","A complete gas to more open-minded fans, and assured catnip to children. The occasional sexually-ambiguous Hutt or sassmouthed, premenstrual Jedi aside, it's an exciting picture and a tempting commencement for the TV series.",0
111,924,1577,"The Adventures of Robin Hood (1938)","William Keighley",2010,$4.99,"Errol Flynn","The Legend of the Lone Ranger","William A. Fraker",1981,0,,,,,,0
112,944,3788,"Bird of Paradise","King Vidor",2012,"Buy SD $4.99,","Dolores del Rio, Joel McCrea","Age of Heroes","Adrian Vitoria",2011,40,,"The gruelling training, clandestine mission and sacrifice is familiar Boy's Own stuff but the lack of a decent budget really hurts the film.","Dyer has forged a career around screen violence which can leave a very unpleasant aftertaste. But this is a relatively conventional Second World War story about seizing Nazi radar technology from occupied Norway and he's all the better for it.","This film's shoestring budget is just far too apparent, making it impossible to take seriously. But it has its moments.","Bean and Danny Dyer butt heads in an engaging manner, and the icy locations add an atmospheric backdrop.",0
113,957,748,"Empire of the Sun","Steven Spielberg",1987,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Christian Bale, John Malkovich","War of the Worlds","Steven Spielberg",2005,74,"Spielberg's calculations turn out to be more prominent than any effects they could possibly produce, and the less pretentious 1953 version by producer George Pal emerges as more likable.","The film succeeds as pure sensation, an exacting distillation of fear.","Steven Spielberg's War of the Worlds is huge and scary, moving and funny-another capper to a career that seems like an unending succession of captivations.","The story is affecting, the action scenes are thrilling, the issues are resonant.","An unstoppable juggernaut of action and anxiety that will have you blundering from the cinema in a state of nervous exhaustion. Don't expect any soft drink promotional tie-ins with this summer blockbuster.",0
114,957,3177,"Empire of the Sun","Steven Spielberg",1987,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Christian Bale, John Malkovich","Son of Batman","Ethan Spaulding",2014,75,"As adept as the animation unit usually is at bringing the tone of the comics to the screen, at times this feels like a sitcom premise.","Violent and noirish Batman is engaging but cynical.","Neither terrific nor terrible, Son of Batman bears some similarities to a Saturday morning Batman cartoon; it's fast-paced, action-packed, entirely disposable and extremely fun at times.","Serving more as a decent introduction to a new character to the Batman mythos than a fully developed adaptation of the Grant Morrison storyline, 'Son of Batman' is entertaining, but hardly essential viewing for DC animated movie fans.","Son of Batman is not Batman and Son. It's a pig wrapped in a silk cape and cowl.",0
115,957,3600,"Empire of the Sun","Steven Spielberg",1987,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Christian Bale, John Malkovich","The Sons of Mistletoe","Steven Robman",2001,0,,,,,,0
116,957,5424,"Empire of the Sun","Steven Spielberg",1987,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Christian Bale, John Malkovich","The Secret Life Of Walter Mitty","Ben Stiller",2013,50,"This is one of the more disappointing efforts of the holiday movie season.","While the original Mitty was a heartbreakingly sad figure, this Mitty is a weak parable for living life to the fullest (or something like that.)","The Secret Life of Walter Mitty provides fun and laughs, but also meaningful thoughts on life and how we choose to live it, along with a touching lead performance you'll want to root for.","Steve Conrad's script is a jumbled farce, misfiring on comedic executions and inserting beats that have no real relevance to the story.","The Secret Life of Walter Mitty is one charming film to see, and there's nothing wrong with a feel-good movie that makes you feel good about liking it.",0
117,992,3768,"The Assassination of Jesse James","Andrew Dominik",2007,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Brad Pitt, Mary-Louise Parker","The Wylds (The Adventures of Chris Fable)","Andrew Wiest",2010,0,,,,,,0
118,1004,493,"Blade: Trinity (R-rated)","David S. Goyer",2004,"Buy HD $8.99,Buy SD $6.99,","Wesley Snipes, Kris Kristofferson","Blade: Trinity","David S. Goyer",2004,25,"The only one who seems to be having much fun, though, is Parker Posey, camping it up as one of the vampires.","This has all the appeal of reheated, congealed blood.","Blade: Trinity does nothing more ambitious than continue a sputtering franchise.","I'm a great fan of Blade, the Marvel Comics vampire hunter played by Wesley Snipes... But a third episode, Blade: Trinity, directed by David S. Goyer, is a blood fest too far.","A trainwreck set to a booming soundtrack, turning vampire hunting into a screen chore while it almost intentionally torches the macabre groundwork laid down by the first two features.",1
119,1016,1146,"Person of Interest","David Semel",2011,"Buy SD $1.99,Buy HD $34.99,Buy SD $34.99,","Jim Caviezel, Taraji P. Henson","The Last of the Mohicans","David Maloney",1971,0,,,,,,0
120,1088,1368,"Spider-Man (Widescreen Special Edition)","Sam Raimi",2002,$4.99,"Tobey Maguire","Spider-Man 3","Sam Raimi",2007,63,"At 141 minutes, this supe-opera is seriously overextended, with four distinct subplots and way too much hand-wringing over things like the heroine's singing career.","Too many villains, too many pale plot strands, too many romantic misunderstandings, too many conversations, too many street crowds looking high into the air and shouting ""oooh!"" this way, then swiveling and shouting ""aaah!"" that way.","Bored. Bored witless.","Spider-Man 3 is the longest film in the series so far, and perhaps it tries to pack in rather too much. But it's intelligently directed by Sam Raimi and, with all those eye-popping set pieces, it's certainly never boring.","The breeziness that was so refreshing in the other episodes has been largely replaced by the kind of misery and moping that we can get from any old superhero.",0
121,1094,2338,"Da Vinci's Demons: Season 1","David Goyer",2013,$19.99,"Tom Riley","Harry Potter and the Deathly Hallows - Part 1","David Yates",2010,78,"Part 1, like its predecessors, has been made with great care, craft and attention to detail. It is also darker and more foreboding.","Half a movie at full price, it exists only to supply laborious setup for next summer's final installment.","Harry Potter and the Deathly Hallows, Part 1 isn't close to being a bad movie, but it is arguably the weakest among the seven films in the series.","It feels like the longest, deathliest panto ever made -- and still it isn't over.","Maybe Harry Potter could cast a magic spell over us before we see his new movie.",0
122,2954,2831,"The Hobbit: An Unexpected Journey","Peter Jackson",2012,"Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,","Ian McKellen, Martin Freeman","The Hobbit: An Unexpected Journey","Peter Jackson",2012,64,"A bloated, entirely unnecessary cash-grab prequel suffering from a fatal case of elephantitis.","You may have seen Middle Earth before. But you haven't been IN Middle Earth.Peter Jackson's 'The Hobbit: An Unexpected Journey' has made it possible for you to feel like you're surrounded by the astonishing environment created by J.R.R. Tolkien.","With the first film pushing three hours, purists will be pleased. Less die-hard audiences will find a lot of meandering set-up - albeit visually gorgeous meandering setup.","Remember the joke that The Fellowship of the Ring was just a bunch of people walking around for three hours? In this case, it's actually true.","An occasionally entertaining but empty fantasy epic...",1
123,1103,4262,"Snow White & The Huntsman","Rupert Sanders",2012,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","Kristen Stewart, Chris Hemsworth","Snow White and the Huntsman","Rupert Sanders",2012,48,"Theron gives the picture some spine. As Snow White, Kristen Stewart supplies the heart.","This Snow White may not be the fairest of them all, but sometimes, especially during the heat of summer, fair-to-middling does just fine.","Strong effects, good design, and an exciting use of nature help to empower Stewart and Theron, who inject a rich, double dose of feminism.","Like its vain Queen, it's so enamored of its own mirror image that it's hard to see past the style and get lost in the story. But as sheer spectacle, it delivers the goods.","Ostracized teacher fights to clear his name after false child molestation accusation.",1
124,1104,974,"Treasure of the Sierra Madre, The","John Huston",2010,$4.00,"Humphrey Bogart","His Kind of Woman","John Farrow",1951,0,,,,"Price's role was priceless as the conceited thespian quoting Shakespeare during perilous moments.",,0
125,1104,3478,"Treasure of the Sierra Madre, The","John Huston",2010,$4.00,"Humphrey Bogart","Avengers: Age of Ultron","Joss Whedon",2015,74,"Is Avengers: Age Of Ultron the point where the Marvel Cinematic Universe goes too far? Hel no! But ... it's hard not to feel it somewhat missed the mark.","Whedon delivers enough fun, action, and engaging team banter that fans will exit pleased but perhaps not giddy with joy.","pointless","Whedon returns to assemble his team once more in Avengers: Age Of Ultron, and the results are at the same time familiar, different and as thrilling as ever before.","It scarcely needs to be said that there's a certain lack of freshness here, and some plot developments from the original graphic novels that we really didn't need - although, of course, there's also some seriously cool Avenger-ing too.",0
126,1115,1445,"The Night of the Grizzly","Joseph Pevney",2012,$13.99,"Clint Walker","Army of the dead","Joseph Conti",2008,0,,,,,,0
127,1123,2285,"The Best of Abbott & Costello, Vol. 3 (Abbott & Costello Go to Mars / Abbott & Costello in the Foreign Legion / Abbott & Costello Meet Frankenstein / Abbott & Costello Meet the Invisible Man / Abbott & Costello Meet the Killer / Comin' Round the Mountain / Lost in Alaska / Mexican Hayride)","Charles Barton",2004,$21.90,"Bela Lugosi","Everyday Black Man","Carmen Madden",2010,0,,,,,,0
128,1126,2245,"Talladega Nights - The Ballad of Ricky Bobby (Unrated Widescreen Edition)","Adam McKay",2006,$4.99,"Will Ferrell","Ecstasy of Gold (The Gunslingers)","Adam Oxsen",2009,0,,,,,,0
129,1138,1723,"Wrath of the Titans","Jonathan Liebesman",2012,$4.93,"Sam Worthington","The Librarian: The Curse of the Judas Chalice","Jonathan Frakes",2008,0,"As soon as the opening credits begin, spurred on by Joseph LoDuca's 'adventure' score, we know we're in Indiana Jones territory %u2013 but Indy has left the building and the filmmakers have their tongues firmly in their cheeks",,,,,0
130,1155,5335,"The Mummy: Tomb of the Dragon Emperor","Rob Cohen",2008,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Brendan Fraser, Jet Li","Out of the Furnace","Scott Cooper",2013,53,"A humorless, ponderously solemn dirge that chokes on its own oppressive aura of self-importance.","The grittiness of the tone... will bring to mind films ranging from The Fighter to The Deer Hunter, but it's that lack of cinematic gloss that makes the film come to life.","Looking totally unlike his fattened persona in American Hustle, the unrestrained Bale offers explosive unpredictability fuelled by family loyalties.","Beautifully shot in and around the depressed town of Braddock, Pa. Out of the Furnace is generally well acted by a top-notch cast, but a bit weak on the storytelling side.","Set in a place where the American Dream has been dead for so long that no one even thinks to question its loss, the picture features terrific performances from its game cast.",0
131,1192,803,"Eight Men Out (20th Anniversary Edition)","John Sayles",2008,$11.60,"John Cusack","Two Men Went to War","John Henderson",2004,63,"Endearing little film.","As straightforward as its title, delivering exactly what you would expect: a pleasant bit of stiff-upper-lip nostalgia with a touch of whimsy.","More often than not, Two Men Went to War resembles a feature-length episode of Hogan's Heroes.","The mission, which the soldiers codenamed Operation Mad Dog, would have been delicious as a documentary, but director John Henderson goes for an antic Two Stooges Abroad approach.","Wait for Two Men Went to War to go to the small screen.",0
132,1202,1702,"The Samurai Trilogy (The Criterion Collection) [Blu-ray]","Hiroshi Inagaki",2012,$37.49,"Toshiro Mifune","Afro Samurai: Resurrection","Takashi Okazaki",2009,0,,,,,,0
133,1212,1965,"War of the Worlds","Steven Spielberg",2005,$8.18,"Tom Cruise","G.I. Joe: The Rise of Cobra","Stephen Sommers",2009,35,"Loud, shiny, and critic-proof, this franchise launcher is basically Transformers minus the humanity.","[Director] Sommers did the first two chaotic Mummy remakes; those play like Tender Mercies compared to this one.","A dull, passionless take on a property that any fan could have outdone with half the budget. No Joe!","It's about nothing, but who cares? It's the last big action movie of the summer and it does what it's supposed to do.","Here comes GI Joe, a film so loud and dumb it makes Transformers: Revenge of the Fallen look like a Mike Leigh docudrama.",0
134,1227,3187,"The Mark of Zorro (Special Edition) (Colorized / Black and White)","Rouben Mamoulian",2005,$19.98,"Tyrone Power","Prisoners Of The Sun","Roger Christian",2013,0,,,,,,0
135,1230,4505,"City Slickers 2 - The Legend of Curly's Gold","Paul Weiland",2007,$4.96,"Billy Crystal","Night of the Templar","Paul Sampson",2010,0,,,,,,0
136,1233,481,"Ball of Fire (DVD)","Various",2014,$8.90,"Various","Knives of the Avenger","Mario Bava",1966,0,"Has some appeal in its earnest story.","Grand Viking opera","The colossally incompetent vibe will undoubtedly turn off all but the most ardent Bava follower...",,,0
137,1256,701,"Lords Of Dogtown","Catherine Hardwicke",2005,"Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","John Robinson, Emile Hirsch","Lords of Dogtown","Catherine Hardwicke",2005,55,"Lords of Dogtown is an interesting look at the start of an ever increasingly more popular part of American youth culture, but often settles for surface gloss instead of introspection.","As the three friends separate via commercial successes afforded them, ""Lords Of Dogtown"" becomes a distinctly youthful American anecdote about the nature of friendship and success.","You don't have to care much about skateboarding (I really don't) to find the movie exhilarating and engaging.","Dogtown's testosterone fueled, deeply and sadly affectionate excursion into the contact highs and lows of male adolescence, gets it just right and more.","A modestly entertaining movie, thanks largely to the efforts of director Catherine Hardwicke and the three leads.",1
138,1318,1602,"Red Dawn ('84)","John Milius",1984,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Patrick Swayze, C. Thomas Howell","Red Cliff (Chi Bi)","John Woo",2009,89,"The director's magnum opus.","The result is an awfully big and powerful movie, even in abbreviated form.","A formidable prelude to an epic battle with resplendent effects and action spectacles.","Woo has re-embraced his Chinese roots with brutal commitment.","Flaws and all, you can't watch a frame of it without feeling that it has been generations since Hollywood tackled anything on this scale.",0
139,1328,230,"Adventures of Robin Hood","Michael Curtiz",1938,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Errol Flynn, Olivia de Havilland","King of the Ants","Michael Arabian",2003,0,,,,,,0
140,1342,2253,"Knight and Day (Extended Edition)","James Mangold",2010,"Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,","Tom Cruise, Cameron Diaz","Knight & Day","James Mangold",2010,52,"A broad, boring comedy bogged down with a plot that doesn't seem to matter much, even to the participants.","hits all the beats you'd expect from an international thriller","Scattered and uneven, this action drama wastes a terrific Tom Cruise.","Fast-paced action sequences, coupled with the performances and O'Neill's script, make ""Knight and Day"" a fun film that will please fans of the action genre.","It's a calculated, artificial formula for box office success barely disguised as a story.",1
141,1345,496,"The Day of the Jackal","Fred Zinnemann",1973,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Edward Fox, Terence Alexander","Lemony Snicket's A Series of Unfortunate Events","Brad Silberling",2004,72,"Episodic but entertaining.","It's all a bit superficial, but highly entertaining, wickedly funny, and alluring enough to make you want to start reading the books.","A sick joke of a film that realizes the best children's entertainment doesn't hide from the bleaker side of life, but plunges into the void and respects kids enough to assume they can handle it.","Book's fans will enjoy, but too creepy for some.","Whilst the direction and script seem off, the rest of the production work is excellent.",0
142,1374,3959,"Spider-Man 2 (Widescreen Special Edition)","Sam Raimi",2004,$4.99,"Rosemary Harris","Crew 2 Crew","Mark Bacci",2012,0,,,,,,0
143,1381,1691,"The Blue Max","John Guillermin",2003,$9.62,"George Peppard","Max Payne","John Moore",2008,16,"John Moore directs the hell out of the action, while Jonathan Sela's glistening photography captures the snow and rain that fall on these bloody New York streets. But you'd have to be on crack not to guess the 'surprise' finale.","The rain in Payne falls on dialogue inane.","Payneful","Never comes close to captivating its audience like the game did before it.","The willfully absurd action sequences help the movie slog along, but slog it does, right through to the obligatory after-credits scene to establish the possibility of a franchise.",0
144,1433,2006,"Babylon 5: The Legend of the Rangers","Michael Vejar",2006,$14.93,"Dylan Neal","Call of the Wild 3D","Richard Gabai",2009,0,"Alternately jerking the audience's tears and splashing snow in their faces, 3-D indie Call of the Wild loses focus (literally) but gets by on its good-hearted demeanor.","Although Call of the Wild would have been a dime a dozen in a previous era, right now, it's so old it feels new again.","Even comparing itself to the beloved book makes this clunky and supposedly family-friendly drama seem worse than it already is.",,,0
145,1449,481,"Lois & Clark: The New Adventures of Superman: Season 1","Various",2006,$9.06,"Dean Cain","Knives of the Avenger","Mario Bava",1966,0,"Has some appeal in its earnest story.","Grand Viking opera","The colossally incompetent vibe will undoubtedly turn off all but the most ardent Bava follower...",,,0
146,1449,3952,"Lois & Clark: The New Adventures of Superman: Season 1","Various",2006,$9.06,"Dean Cain","King of Devil's Island","Marius Holst",2011,93,"Rather one-note in its bleakness, and doesn't have a vast amount to say beyond 'reform school sucks'.","Possibly no one else does ""grim"" with as much unsparing enthusiasm as the Scandinavians.","Skarsgard is riveting throughout as a man whose high morality is steeped in hypocrisy and whose mask of civility easily slips, when challenged, to reveal the monster beneath.","It's a very measured account of how men will accept their fates to a degree, slowly coil up and then spring with anger.","A slow-burning but satisfying drama that persuasively blends elements of Scum and Papillon.",0
147,1491,5244,"The Life and Times of Judge Roy Bean","John Huston",1972,"Rent SD $2.99,Buy SD $9.99,","Paul Newman, Roy Jenson","Isle Of Dogs","Tammi Sutton",2010,0,"Fans of arch dialogue (Howard chews the considerable scenery in a monologue about dogs, bitches, and loyalty) and those who know their giallo (there's a wonderfully voyeuristic stalk and slash scene) will not be disappointed.","By the time the plot reached its ridiculous conclusion, I was resigned to sitting back and enjoying the absurdity of it all.","Every surprise feels contrived, the many twists soon become tied in knots, and all the comings and goings, all the rug-pulling revelations, all the skeletons in the closet and expository flashbacks, end up resembling little more than a daft farce.",,,0
148,1523,1687,"El Norte (The Criterion Collection)","Gregory Nava",2009,$23.42,"Zaide Silvia Gutierrez","El Norte","Gregory Nava",1984,84,"From the very first moments of El Norte, we know that we are in the hands of a great movie.","It is beautifully lensed and comes across as a kind of giant Renaissance canvas.","El Norte is not exactly a great film, but it's a very good one that, through the devices of fiction, manages to provoke a number of healthily contradictory feelings about the world we all inhabit at the moment.","Though his subject is a serious one and his intentions are apparently noble, Nava has made a film that is essentially indistinguishable from Love Story.","It's heartening to see this non-Hollywood production finding a solid niche in the commercial movie circuit.",0
149,1525,6387,"The Best of Abbott & Costello, Vol. 4 (Abbott & Costello Meet Dr. Jekyl & Mr. Hyde / Abbott & Costello Meet the Keystone Cops / Abbott & Costello Meet the Mummy / Abbott & Costello Meet Jerry Seinfeld / Abbott & Costello Meet the Monsters / The World of Abbott & Costello)","Charles Lamont",2005,$22.99,"Boris Karloff","Testament Of Youth","James Kent",2015,81,"Somehow, Vikander sells it all, not with braying and big gestures, but with vulnerability, sincerity and the sort of ethereal realness that can't be quantified. More, please, more.","Though the movie at times feels oddly unfinished (you wonder what Miranda Richardson, in a tiny role as an Oxford professor, is there for), it's artful and moving.","As a story, it evokes a word that no battlefield nurse would ever apply to her experiences: sterile.","Testament of Youth isn't a typical biopic; it's a heartfelt manual on forging ahead.","Beneath all that genre eye candy, though, resides a smart and moving story that, after a somewhat slow-moving first hour, builds nicely to become an emotionally engaging drama.",0
150,1564,562,"The Man In The Iron Mask","Randall Wallace",1998,"Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Leonardo DiCaprio, Jeremy Irons","The Man Who Never Was","Ronald Neame",1956,100,,,,,"Inspirado numa fascinante hist_ria real, o filme mantm a sobriedade em quase toda sua durao, permitindo que acompanhemos as inteligentes aes de britnicos e alemes para confundir uns aos outros.",0
151,1580,3074,"Next of Kin (1989)","John Irvin",2004,$5.00,"Patrick Swayze","The Adventurer: The Curse of the Midas Box","Jonathan Newman",2014,17,"There simply isn't a whole lot of excitement being generated in this lackluster family adventure, though it tries oh so very hard.","The quest for the Midas Box never seems like more than a poor man's plot-engine substitute for Tolkien's One Ring.","Michael Sheen, Lena Heady and Sam Neill are among the big names expecting a franchise, but they'll be lucky to get a mid-morning TV slot, let alone a sequel.","The visually stylish film feels like a combination of elements from other fantasy adventures, yet turns out more muddled and convoluted than suspenseful.","Solid Victorian adventure is too dark for younger kids.",0
152,1580,5146,"Next of Kin (1989)","John Irvin",2004,$5.00,"Patrick Swayze","Heart of the Country","John Ward",2013,0,"Faith-based drama has heavy themes but positive messages.",,,,,0
153,1590,2232,"Legion of Super Heroes","Ben Jones",2006,"Buy SD $19.99,","Michael Cornacchia, Jennifer Hale","King of the Avenue","Ryan Combs",2010,0,,,,,,0
154,1600,2204,"Robin Hood","Ridley Scott",2010,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Russell Crowe, Cate Blanchett","Robin Hood","Ridley Scott",2010,43,"We never even get to see Robin steal from the rich and give to the poor. That's because the film is a prequel in search of a sequel. With any luck, we won't get one.","It's a prequel of sorts to the popular folklore, a prequel that nobody asked for.","Dark and depressing, this adventure lacks all of the excitement and joy of many of Robin Hood's previous adventures.","Despite [its] problems, it is still worth seeing mainly because of its fascinating take on the characters.","I thought [Robin Hood] was going to be the best film of the year ... [it] never gels.",1
155,1613,171,"Kill Bill: Volume 1","Quentin Tarantino",2011,$4.99,"Uma Thurman","Kill Bill: Volume 2","Quentin Tarantino",2004,84,"If Kill Bill - Vol. 1 was like a roundhouse kick to the head, Vol. 2 is practically a warm hug.","Those turned off by the first part's reckless, relentless violent purges aren't likely to find cause for conversion, but Vol. 2 certainly broadens the tale's remit, even as it aims to deepen it.","I've lost my sweet tooth for slice-and-dice escapism, and perhaps this is why I feel the need to see movies that don't simply glamorize or fetishize or supernaturalize brutality.","The pop encyclopedist and video-store genius has become a megalomaniac, and the exhilarating filmmaker he might have been is disappearing fast.","It has its moments, and Thurman is an appealing heroine. But on the whole, this is a disjointed, disappointing and monstrously self-indulgent exercise.",0
156,1615,1578,"The Great Escape","John Sturges",1963,"Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,","Steve McQueen, James Garner","Escape From Fort Bravo","John Sturges",1953,0,"Though not one of the better Westerns it was still effective.",,,,,0
