ID,Title,Author,ISBN,Publisher,PublicationDate,Pages,price,ProductType
bn_663,Oracle Developer Forms Techniques,Bulusu Lakshman,9780672318467,Prentice Hall,02/18/2000,248,$39.99,Paperback
bn_664,PHP and MySQL by Example,"Ellie Quigley,  Marko Gargenta",9780138006020,Pearson Education,11/22/2006,912,$27.49,NOOK Book
bn_665,Agile Database Techniques: Effective Strategies for the Agile Software Developer,Scott Ambler,9780471202837,Wiley,10/06/2003,480,$32.00,Paperback
bn_666,Microsoft Access 97 Developer's Handbook: Create Robust Databases Develop Custom Interfaces,Timothy M O'Brien T Glenn Tim Tim Lawrence Dan Edna Richard Frank Frank John Jack Jack Jack J,9781572313583,Microsoft Press,02/26/1997,768,,Paperback
bn_667,Beginning Database Design: From Novice to Professional,Clare Churcher,9781430242093,Apress,06/27/2012,252,$26.81,Paperback
bn_668,SQL Guide for dBASE IV,F. Van Lans Rick,9780201544107,Addison-Wesley,01/01/1991,362,,Paperback
bn_669,Understanding Relational Databases: With Examples in SQL-92,Fabian Pascal,9780471585381,Wiley,08/24/1993,304,,Paperback
bn_670,Designing SQL Server 2000 Databases,"Syngress,  Robert Patton,  Jennifer Ogle",9781928994190,Elsevier Science,01/01/2000,608,$54.95,Paperback
bn_671,The FoxPro Code Book,Yair Alan Griver,9781556236143,McGraw-Hill School Education Group,10/15/1991,400,,Paperback
bn_672,Instant Highcharts,Cyril Grandjean,9781849697552,Packt Publishing Pvt. Ltd.,07/26/2013,,$14.99,NOOK Book
bn_673,Database Design: Applications of Library Cataloging Techniques,David L. Clark,9780830634439,McGraw-Hill School Education Group,05/01/1990,352,,Hardcover
bn_674,"Advances in Information Retrieval: 24th BCS-IRSG European Colloquium on IR Research Glasgow, UK, March 25-27, 2002 Proceedings",Fabio Crestani,9783540433439,Springer Berlin Heidelberg,04/08/2002,366,$109.00,Paperback
bn_675,Data Mining Methods for Knowledge Discovery / Edition 1,"Krzysztof J. Cios,  Witold Pedrycz,  Roman W. Swiniarski",9780792382522,Springer US,08/31/1998,495,$229.00,Hardcover
bn_676,Special Edition Using Sap R/3 / Edition 3,Jonathan Blain,9780789718211,Que,11/23/1998,1164,$1.99,Hardcover
bn_677,Schaum's Outline of Fundamentals of Relational Databases,"Ramon Mata-Toledo,  Pauline Cushman",9780071361880,"McGraw-Hill Companies, The",11/15/2000,249,,Paperback
bn_678,Keyguide to Information Sources in Online and CD-ROM Database Searching,"C. J. Armstrong,  John Cox,  Richard J. Hartley",9780720122077,"Mansell Publishing, Limited",02/01/1997,307,,Hardcover
bn_679,Access 2.0 for Windows: Star Series,Boyd and Fraser Staff,9780877099413,"Course Technology, Inc.",02/01/1995,208,,Paperback
bn_680,Archival Information Procesing for Sound Recordings,David H. Thomas,9780914954453,"Rowman & Littlefield Publishers, Inc.",03/28/1998,132,,Paperback
bn_681,Data Warehousing: Using the Wal-Mart Model / Edition 1,Paul Westerman,9781558606845,Elsevier Science,09/01/2000,297,$62.67,Paperback
bn_682,What Every Paradox for Windows Programmer Should Know,Mike Prestwood,9780672303685,Sams,09/03/1993,1200,,Paperback
bn_683,Learning to Use dBASE IV Version 1.1,James Pratt,9780878357666,"Course Technology, Inc.",04/01/1992,224,,Paperback
bn_684,Building Information Systems in the Islamic World,Z. Sardar,9780720119718,Continuum International Publishing Group,01/01/1988,176,,Hardcover
bn_685,Modern Analytics Methodologies: Driving Business Value with Big Data,"Michele Chambers,  Thomas Dinsmore",9780133498585,Pearson FT Press,08/15/2014,240,$47.89,Hardcover
bn_686,Expert SQL Server 2005 Development,"Adam Machanic,  Lara Rubbelke,  Hugo Kornelis",9781590597293,Apress,05/16/2007,472,$39.80,Paperback
bn_687,Mastering Data Analysis with R,Gergely Daroczi,9781783982035,Packt Publishing,09/30/2015,,$43.99,NOOK Book
bn_688,The Windows Workshop: Access 1.1 for Windows,James E. Shuman,9780534305260,"Course Technology, Inc.",01/01/1994,134,,Paperback
bn_689,"Database and Expert Systems Applications: 10th International Conference, DEXA'99, Florence, Italy, August 30 - September 3, 1999, Proceedings","Trevor Bench-Capon,  Giovanni Soda,  A Min Tjoa",9783540664482,Springer Berlin Heidelberg,09/24/1999,1110,$189.00,Paperback
bn_690,Databases on the Web,Patricia Ju,9781558515109,"Wiley, John & Sons, Incorporated",08/07/1997,288,,Paperback
bn_691,Information Generation: How Data Rules Our World,David J. Hand,9781851684458,Oneworld Publications,01/25/2007,256,$21.11,Hardcover
bn_692,Relational Database Design: An Introduction,Igor T. Hawryszkiewycz,9780137717910,Prentice Hall Professional Technical Reference,01/04/1991,300,,Hardcover
bn_693,FoxPro Programmer's Reference,"John L. Hawkins,  Bill House,  Joseph A. Gotthelf",9780880226769,Que,06/29/1992,800,,Paperback
bn_694,Delphi COM Programming,Eric Harmon,9781578702213,Macmillan Technical Publishing,01/19/2000,510,,Paperback
bn_695,Learn SQL Server Administration,Jeffrey R. Garbus,9781556228148,"Wordware Publishing, Inc.",01/01/1901,258,,Paperback
bn_696,Bioinformatics Converting Data to Knowledge: Workshop Summary,"Robert Pool,  Joan Esnayra,  Board on Biology Staff,  National Research Council Staff",9780309072564,National Academies Press,11/28/2000,54,,Paperback
bn_697,Database System Implementation / Edition 1,"Hector Garcia-Molina,  Jeffrey D. Ullman,  Jennifer Widom,  Jennifer D. Widom",9780130402646,Prentice Hall,05/28/1999,653,$21.74,Paperback
bn_698,Automated Data Collection with R: A Practical Guide to Web Scraping and Text Mining,"Simon Munzert,  Christian Rubba,  Peter Meissner,  Dominic Nyhuis",9781118834817,Wiley,01/20/2015,480,$66.13,Hardcover
bn_699,"Databases &amp; Information Systems V: Selected Papers from the Eighth International Baltic Conference, DB&amp;IS 2008 Vol. 187 Frontiers in Artificial Intelligence and Applications",H.M. Haav,9781586039394,"I O S Press, Incorporated",01/15/2009,324,$158.65,Hardcover
bn_700,The Universal Guide to DB2 for Windows NT,"Jonathan Cook,  Robert Harbus,  Dwaine Snow,  Calene Janacek",9780130997234,Prentice Hall,12/04/1998,528,,Multimedia Set
bn_701,Mike Ault's Oracle Internals Monitoring and Tuning Scripts: Advanced Internals and OCP Certification Insights for the Master DBA,Mike Ault,9780972751384,Rampant Techpress,12/01/2003,288,,Paperback
bn_702,"Data Warehousing and Knowledge Discovery: 9th International Conference, DaWaK 2007, Regensburg, Germany, September 3-7, 2007, Proceedings",Il Yeol Song,9783540745525,Springer Berlin Heidelberg,08/28/2007,484,$129.00,Paperback
bn_703,Microsoft Office Access 2003 in a Snap,Alison Balter,9780132714099,Pearson Education,08/09/2004,336,$11.99,NOOK Book
bn_704,Upgrading Relational Databases with Objects,"Robert Vermeulen,  Sigs Books Staff",9780135706077,SIGS,12/13/1997,234,$58.00,Paperback
bn_705,dBASE IV Concepts Exercises and Applications,L. Joyce Arntson,9780538706001,Cengage South-Western,07/01/1995,410,,Paperback
bn_706,FileMaker 8 Calculation Functions (Digital Short Cut),"Steve Lane,  Scott Love,  Bob Bowers",9780132713184,Pearson Education,08/08/2006,156,$11.49,NOOK Book
bn_707,Successful SAP R/3 Implementation: Practical Management of ERP Projects,Norbert Welti,9780201398243,Addison-Wesley,02/15/1999,185,$3.16,Paperback
bn_708,"Middleware 2000: IFIP/ACM International Conference on Distributed Systems Platforms and Open Distributed Processing New York, NY, USA, April 4-7, 2000 Proceedings",Joseph Sventek,9783540673521,Springer Berlin Heidelberg,04/26/2000,440,$129.00,Paperback
bn_709,Oracle Database Administration for UNIX Systems (Bk/CD-ROM),"Lynnwood Brown,  Lymnwood Brown",9780132446662,Pearson Education,06/23/1997,224,,Multimedia Set
bn_710,The Database Experts' Guide to SQL,Frank Lusardi,9780070390027,Intertext,01/01/1988,224,,Paperback
bn_711,Beginning PHP and MySQL E-Commerce: From Novice to Professional / Edition 2,"Cristian Darie,  Emilian Balanescu",9781590598641,Apress,02/25/2008,707,$34.31,Paperback
bn_712,Master Microsoft Access Visually,Curtis Frye,9780764560484,"Wiley, John & Sons, Incorporated",02/04/2000,686,,Other Format
bn_713,Developing Analytical Database Applications,"Francis McGuff,  John Kador",9780130824301,Prentice Hall Professional Technical Reference,12/22/1998,640,,Paperback
bn_714,Tableau 8.0 Training Manual: From Clutter to Clarity,Larry Keller,9781626758889,BookBaby,05/10/2013,239,$20.49,NOOK Book
bn_715,Ultra-fast ASP.NET: Building Ultra-Fast and Ultra-Scalable Websites Using ASP.NET and SQL Server / Edition 1,Rick Kiessig,9781430223832,Apress,11/10/2009,496,$26.65,Paperback
bn_716,Data Management Systems: Evolution and Interoperation / Edition 1,Bhavani Thuraisingham,9780849394935,Taylor & Francis,05/19/1997,272,,Hardcover
bn_717,Sams Teach Yourself Microsoft Access 2000 Programming in 24 Hours,Paul Kimmel,9780672316616,Sams,12/20/1999,472,,Paperback
bn_718,Oracle Scripts: Powerful Tools for DBAs and Developers,"Brian Lomasky,  David C. Kreines",9781565924383,"O'Reilly Media, Incorporated",05/28/1998,204,,Paperback
bn_719,Time and Relational Theory: Temporal Databases in the Relational Model and SQL,"C.J. Date,  Nikos Lorentzos,  Hugh Darwen",9780128006313,Elsevier Science,07/31/2014,560,$49.71,Paperback
bn_720,Hacking Web Intelligence: Open Source Intelligence and Web Reconnaissance Concepts and Techniques,"Sudhanshu Chauhan,  Nutan Kumar Panda",9780128018675,Elsevier Science,05/07/2015,300,$52.86,Paperback
bn_721,Content-Based Video Retrieval: A Database Perspective / Edition 1,"Milan Petkovic,  Willem Jonker",9781441953964,Springer US,12/01/2010,151,$169.00,Paperback
bn_722,Exploring Microsoft Access 97,"Robert T. Grauer,  Maryann Barber,  Maryann Barber,  Maryann T. Barber",9780137542277,Pearson Education,08/06/1997,416,$2.25,Other Format
bn_723,MCITP Self-Paced Training Kit (Exam 70-444): Optimizing and Maintaining a Database Administration Solution Using Microsoft SQL Server 2005,"Orin Thomas,  Ian McLean",9780735622548,Microsoft Press,10/25/2006,800,,Paperback
bn_724,Database Management,Elias M. Awad,9780878357130,"Course Technology, Inc.",02/28/1992,800,,Hardcover
bn_725,"Web Mining: From Web to Semantic Web: First European Web Mining Forum, EWMF 2003, Cavtat-Dubrovnik, Croatia, September 22, 2003, Revised Selected and Invited Papers / Edition 1",Bettina Berendt,9783540232582,Springer Berlin Heidelberg,12/08/2004,206,$89.99,Paperback
bn_726,Handbook of Information Security Management: 1994-95 Handbook,Zella G. Ruthberg,9780791320730,"Warren, Gorham & Lamont, Incorporated",06/28/1995,427,,Paperback
bn_727,Oracle 11g New Features: Get Started Fast with Oracle 11g Enhancements,"Brian Carr,  John Garmany,  Lutz Hartmann,  V. J. Jain",9780979795107,Rampant Techpress,11/01/2008,468,,Paperback
bn_728,"Database: Models, Languages, Design / Edition 1",James L. Johnson,9780195107838,"Oxford University Press, USA",03/13/1997,944,$1.99,Hardcover
bn_729,"Autonomous Intelligent Systems: Multi-Agents and Data Mining: Second International Workshop, AIS-ADM 2007, St. Petersburg, Russia, June 3-5, 2007, Proceedings",Vladimir Gorodetsky,9783540728382,Springer Berlin Heidelberg,07/11/2007,326,$99.00,Paperback
bn_730,Introduction to Constraint Databases / Edition 1,Peter Revesz,9781441931559,Springer New York,12/15/2010,394,$95.00,Paperback
bn_731,"DB2 Express-C: The Developer Handbook for XML, PHP, C/C++, Java, and .NET",Whei-Jen Chen,9780738496757,Prentice Hall Professional Technical Reference,09/07/2006,330,,Hardcover
bn_732,SQL for DB2 and SQL-DS Application Developers,Jonathan S. Sayles,9780471588139,Wiley,10/01/1990,473,,Paperback
bn_733,Apache Cassandra 41 Success Secrets - 41 Most Asked Questions On Apache Cassandra - What You Need To Know,Scott Bird,9781488536984,Emereo Publishing,02/24/2014,30,$13.99,NOOK Book
bn_734,Paradox for DOS Revealed!,"Gregory B. Salcedo,  Rusel DeMaria",9781559581790,Premier Press,02/28/1993,496,,Paperback
bn_735,Using dBase Four Version 1.1,Philip J. Pratt,9780878357932,"Course Technology, Inc.",06/15/1992,576,,Paperback
bn_736,XML Topic Maps: Creating and Using Topic Maps for the Web,"Jack Park,  Sam Hunting",9780201749601,Addison-Wesley,07/16/2002,605,$1.99,Paperback
bn_737,dBASE IV: A Short Course / Edition 2,Dennis P. Curtin,9780130959287,Prentice Hall Professional Technical Reference,08/28/1993,200,$5.78,Paperback
bn_738,Handbook of Information Security Management,"Tipton,  RuthbeRg;",9780791316368,"Taylor & Francis, Inc.",01/28/1993,773,,Hardcover
bn_739,Integrated Design and Simulation of Chemical Processes,"Alexandre C. Dimian,  Costin S. Bildea,  Anton A. Kiss",9780444627001,Elsevier Science,10/09/2014,886,$285.00,Hardcover
bn_740,Data Management: Databases &amp; Organizations / Edition 5,Richard T. Watson,9780471715368,Wiley,08/26/2005,640,,Paperback
bn_741,Zabbix Network Monitoring Essentials,"Andrea Dalle Vacche,  Stefano Kewan Lee",9781784394080,Packt Publishing,02/26/2015,,$14.99,NOOK Book
bn_742,Managing Data with Excel,"Conrad Carlberg,  Tim Tow",9780789703859,Que,10/30/1995,504,,Paperback
bn_743,Oracle RMAN for Absolute Beginners,Darl Kuhn,9781484207642,Apress,11/05/2014,280,$24.18,Paperback
bn_744,Understanding dBase III,Alan Simpson,9780895882677,"Wiley, John & Sons, Incorporated",01/01/1985,300,,Paperback
bn_745,"Data-Intensive Computing: Architectures, Algorithms, and Applications",Ian Gorton,9780521191951,Cambridge University Press,11/30/2012,312,$89.99,Hardcover
bn_746,dBASE IV Hotline Q and A,"Richard A. Biegel,  Sumant S. Pendharkar",9780442013844,"Wiley, John & Sons, Incorporated",02/01/1993,367,,Paperback
bn_747,Personal Productivity with dBASE III+ / Edition 1,Kenneth Gorham,9780697058980,McGraw-Hill Professional Publishing,10/28/1988,288,$1.99,Hardcover
bn_748,"Engineering Human Computer Interaction and Interactive Systems: Joint Working Conferences EHCI-DSVIS 2004, Hamburg, Germany, July 11-13, 2004, Revised Selected Papers / Edition 1",Remi Bastide,9783540260974,Springer Berlin Heidelberg,08/22/2005,404,$129.00,Paperback
bn_749,Oracle PL/SQL,"Scott Urman,  Tim Smith",9780072121445,"McGraw-Hill Companies, The",11/01/1999,772,,Hardcover
bn_750,Learning Guide to Access for Windows 95,"Annette And Marquis,  Marquis",9780782118612,"Wiley, John & Sons, Incorporated",03/01/1997,400,,Hardcover
bn_751,Oracle 11G: SQL (Book Only) / Edition 2,Joan Casteel,9781305268029,Cengage Learning,06/25/2014,608,$84.59,Paperback
bn_752,"Database Theory - ICDT '95: Proceedings of the 5th International Conference, Prague, Czech Republic, January 1995",Georg Gottlob,9780387589077,"Springer-Verlag New York, LLC",01/28/1995,454,,Paperback
bn_753,Efficient Software Development with DB2 for OS/390: Organizational and Technical Measures for Performance Optimization / Edition 2,"Ursula Kollar-Fiedrich,  Jurgen Glag",9783528155872,Vieweg+Teubner Verlag,12/02/2011,150,$66.00,Paperback
bn_754,Temporal Data Mining / Edition 1,Theophano Mitsa,9781420089769,Taylor & Francis,03/10/2010,395,$65.65,Hardcover
bn_755,Video Data Management And Information Retrieval,Sagarmay Deb,9781591405719,IGI Global,12/31/2004,408,$84.95,Hardcover
bn_756,Microsoft Sql Server 2008 R2 Administration Cookbook,Satya Shyam K. Jayanty,9781849681445,Packt Publishing,05/27/2011,468,$54.99,Paperback
bn_757,Relational Database Design and Implementation: Clearly Explained / Edition 3,Jan L. Harrington,9780123747303,Elsevier Science,07/24/2009,440,$32.14,Paperback
bn_758,dBASE III Plus First Run,Lorilee Sadler,9781565294189,Que,03/01/1994,103,,Hardcover
bn_759,Crystal Reports XI Official Guide,"Neil Fitzgerald,  James Edkins,  Michael Voloshko,  James Edkins",9780672329173,Sams,11/15/2006,960,$44.52,Paperback
bn_760,FileMaker Pro 5.0 : Basic,Staff of Course Technology,9780619023102,Cengage Learning,01/28/2001,112,,Other Format
bn_761,Microsoft Access Programming,Namir Clement Shammas,9780830643103,T A B Books,01/10/1993,400,,Paperback
bn_762,Understanding the Oracle Server,Marina Krakovsky,9780131902657,Prentice Hall Professional Technical Reference,11/13/1995,192,,Paperback
bn_763,Vocabulary Control And Search Strategies In Online Searching,Alice Yanosko Chamis,9780313254901,"ABC-CLIO, Incorporated",09/25/1991,142,$101.00,Hardcover
bn_764,"Theory And Practice Of Relational Databases, Second Edition","Stefan Stanczyk,  Bob Champion,  Richard Leyton",9780415247016,Taylor & Francis,08/01/2001,264,$132.95,Hardcover
bn_765,MS Access En Espanol/Spanish Para PyMEs,Mario Tomas Umana,9789879131930,MP Ediciones S.A.,04/06/1999,271,,Paperback
bn_766,Data Mining for Design and Manufacturing: Methods and Applications / Edition 1,D. Braha,9781441952059,Springer US,12/08/2010,524,$229.00,Paperback
bn_767,World Wide Web Bible,Bryan Pfaffenberger,9781558284104,"Holt, Henry & Company, Inc.",03/21/1995,585,,Paperback
bn_768,Microsoft Access Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,2940013739840,Vibrant Publishers,01/10/2012,118,$7.99,NOOK Book
bn_769,Web Developer.com Guide to Search Engines,"Wes Sonnenreich,  Tim Macinta",9780471246381,Wiley,02/04/1998,464,,Paperback
bn_770,"Service Parts Planning with mySAP SCM: Processes, Structures, and Functions / Edition 1",Jorg T. Dickersbach,9783540326502,Springer Berlin Heidelberg,02/21/2007,296,$54.52,Hardcover
bn_771,Access 2 for Windows (Essentials) / Edition 1,"Que Corporation,  Bowker,  Donna M. Matherly",9780789701107,Prentice Hall Professional Technical Reference,03/28/1995,181,$10.00,Paperback
bn_772,"The Kimball Group Data Warehouse Box: The Data Warehouse Toolkit, 2nd Edition; The Data Warehouse Lifecycle, 2nd Edition; The Data Warehouse ETL Toolk / Edition 1","Ralph Kimball,  Bob Becker,  Margy Ross,  Warren Thornthwaite",9780470479575,Wiley,04/06/2009,1628,$79.92,Paperback
bn_773,Principles of Data Mining / Edition 1,Max Bramer,9781846287657,"Springer-Verlag New York, LLC",03/28/2007,354,$26.85,Paperback
bn_774,Inside Microsoft SQL Server 2005: T-SQL Querying,"Dejan Sarka,  Itzik Ben-Gan,  Lubor Kollar,  Roger Wolter",9780735623132,Microsoft Press,04/26/2006,640,,Paperback
bn_775,Data Mining: A Tutorial Based Primer / Edition 1,"Richard Roiger,  Michael Geatz",9780201741285,Pearson,09/26/2002,408,$14.90,Other Format
bn_776,"SAP BW Ultimate Interview Questions, Answers, and Explanations: SAP BW Certification Review",Anurag Barua,9780975305287,Equity Press,12/28/2005,144,$59.95,Paperback
bn_777,ODBC 3.5 Developer's Guide,Roger E. Sanders,9780070580879,McGraw-Hill Professional,09/10/1998,975,,Paperback
bn_778,SAP R/3 Reporting and E-Business Intelligence,"Thomas A. Curran,  Andrew Ladd",9780130226150,Prentice Hall Professional Technical Reference,05/16/2000,436,,Other Format
bn_779,Knight's 24-Hour Trainer: Microsoft SQL Server 2008 Integration Services [With DVD],"Brian Knight,  Devin Knight,  Mike Davis",9780470496923,Wiley,07/20/2009,384,$33.23,Paperback
bn_780,"Database and Expert Systems Applications: 13th International Conference, DEXA 2002, Aix-en-Provence, France, September 2-6, 2002. Proceedings",Abdelkader Hameurlain,9783540441267,Springer Berlin Heidelberg,10/03/2002,954,$209.00,Paperback
bn_781,Successful Termination: A Dbm Training Program,Willam J. Morin,9781880030066,D B M Publishing,10/28/1994,,,Paperback
bn_782,Instant Oracle GoldenGate,Tony Bruzzese,9781782170259,Packt Publishing Pvt. Ltd.,07/22/2013,,$13.99,NOOK Book
bn_783,scikit-learn Cookbook,Trent Hauck,9781783989492,Packt Publishing,11/04/2014,,$18.89,NOOK Book
bn_784,State-of-the-Art in Content-Based Image and Video Retrieval,Remco Veltkamp,9781402001093,Springer Netherlands,10/31/2001,345,$149.00,Hardcover
bn_785,Learning SQL,Alan Beaulieu,9780596520830,"O'Reilly Media, Incorporated",04/27/2009,338,$27.31,Paperback
bn_786,Handbook of Data Visualization / Edition 1,Chun-houh Chen,9783540330363,Springer Berlin Heidelberg,05/28/2007,936,$367.53,Hardcover
bn_787,"Universal Algebra, Algebraic Logic, and Databases / Edition 1",B. Plotkin,9780792326656,Springer Netherlands,01/31/1994,438,$189.00,Hardcover
bn_788,Microsoft Access for Windows 95 Instant Reference,James E. Powell,9780782117622,"Wiley, John & Sons, Incorporated",11/01/1995,304,,Paperback
bn_789,"DB2 9 for Linux, UNIX, and Windows Advanced Database Administration Certification: Certification Study Guide","Roger E. Sanders,  Dwaine R Snow",9781583470800,Mc Press,11/03/2008,650,$64.95,Paperback
bn_790,PHP 6 and MySQL 6 Bible (Bible Series),"Steve Suehring,  Tim Converse,  Joyce Park",9780470384503,Wiley,02/03/2009,912,,Paperback
bn_791,Apache Cassandra Hands-On Training Level One,Ruth Stryker,9781500548391,CreateSpace Publishing,07/23/2014,406,$38.15,Paperback
bn_792,Intelligent Offices: Object-Oriented Multi-Media Information Management in Client-Server Architectures,"Setrag Khoshafian,  Kevin Shepherd,  Razmik Abnous,  A. Brad Baker",9780471547006,Wiley,04/28/1992,448,,Paperback
bn_793,Structuring XML Documents,David Megginson,9780136422990,Prentice Hall Professional Technical Reference,03/20/1998,420,,Paperback
bn_794,Database Systems Engineering,"R. P. Whittington,  Whittington",9780198596721,"Oxford University Press, USA",12/01/1988,448,,Paperback
bn_795,Teach Yourself dBASE IV 1.1,Charles Siegel,9781558281202,"Wiley, John & Sons, Incorporated",02/01/1991,350,,Paperback
bn_796,Professional Crystal Reports for Visual Studio .NET,David McAmis,9780764557309,Wiley,04/30/2004,384,$39.99,Paperback
bn_797,"Information Hiding: First International Workshop, Cambridge, U.K., May 30 - June 1, 1996. Proceedings / Edition 1",Ross Anderson,9783540619963,Springer Berlin Heidelberg,08/13/2002,364,$109.00,Paperback
bn_798,"Information Hiding: 10th International Workshop, IH 2008, Sana Barbara, CA, USA, May 19-21, 2008, Revised Selected Papers / Edition 1",Kaushal Solanki,9783540889601,Springer Berlin Heidelberg,12/08/2008,373,$109.00,Paperback
bn_799,"Concepts of Database Management, Fifth Edition / Edition 5","Philip J. Pratt,  Joseph J. Adamski,  Joseph J. Adamski,  Adamski",9780619215293,Cengage Learning,07/12/2004,440,$1.99,Paperback
bn_800,An Extended Entity-Relationship Model: Fundamentals and Pragmatics,Martin Gogolla,9780387576480,"Springer-Verlag New York, LLC",03/01/1994,136,,Paperback
bn_801,The ABC's of Paradox,Charles Siegel,9780895885739,"Wiley, John & Sons, Incorporated",11/01/1989,330,,Paperback
bn_802,Oracle8 Bible,"Carol McCullough-Dieter,  Jatinder Prem,  Ramesh Chandak,  Purshottam Chandak",9780764531989,Wiley,06/11/1998,1140,,Paperback
bn_803,"Data Warehousing and Mining: Concepts, Methodologies, Tools and Applications",Wang,9781599049519,IGI Global,05/28/2008,4104,"$1,841.58",Hardcover
bn_804,MySQL Crash Course,Ben Forta,9780672327124,Sams,12/15/2005,336,$27.75,Paperback
bn_805,Lotus Notes and Domino R5 All-in-One Exam Guide / Edition 1,"Libby Ingrassia Schwarz,  Total Seminars,  Ben Malekzadeh",9780071350907,"McGraw-Hill Companies, The",06/01/1901,1326,$2.49,Hardcover
bn_806,Uncertainty Management in Information Systems: From Needs to Solutions / Edition 1,Amihai Motro,9780792398035,Springer US,12/31/1996,464,$274.00,Hardcover
bn_807,Sams Teach Yourself SAP R/3 in 24 Hours,Danielle Larocca,9780672316241,Sams,06/18/1999,472,,Paperback
bn_808,Pro SQL Database for Windows Azure: SQL Server in the Cloud,"Scott Klein,  Herve Roggero",9781430243953,Apress,12/31/2012,320,$42.37,Paperback
bn_809,"Data Warehousing and Knowledge Discovery: First International Conference, DaWaK&#039;99 Florence, Italy, August 30 - September 1, 1999 Proceedings / Edition 1",Mukesh Mohania,9783540664581,Springer Berlin Heidelberg,09/24/1999,408,$119.00,Paperback
bn_810,Essential Access,"Greg M. Perry,  Alison Balter",9780672308697,Sams,11/15/1995,544,,Paperback
bn_811,Software Forensics,Robert M. Slade,9780071428040,"McGraw-Hill Companies, The",01/12/2004,240,$43.95,Paperback
bn_812,Microsoft SMS Administrators Survival Guide,"Ric Anderson,  Ahsan Farooqi",9780672309847,Sams,02/28/1997,678,,Paperback
bn_813,Beginning PHP and PostgreSQL 8: From Novice to Professional / Edition 1,"W Jason Gilmore,  Robert H. Treat",9781590595473,Apress,03/02/2006,892,$32.87,Paperback
bn_814,Visual FoxPro 3.0 for Windows: Development of Full-Scale Applications,Nelson King,9781558514157,"Wiley, John & Sons, Incorporated",11/21/1995,896,,Paperback
bn_815,Web Farming for the Data Warehouse / Edition 1,Richard D. Hackathorn,9781558605039,Elsevier Science & Technology Books,11/10/1998,384,$28.97,Paperback
bn_816,Microsoft SQL Server 2012 Analysis Services: The BISM Tabular Model,"Marco Russo,  Alberto Ferrari,  Chris Webb",9780735658189,Microsoft Press,07/25/2012,656,$42.32,Paperback
bn_817,Access 97 Macro and VBA Handbook (Developer's Handbook Series),Susann Novalis,9780782119770,Wiley,01/28/1997,1074,,Paperback
bn_818,"Data Warehouses and OLAP: Concepts, Architectures and Solutions",Wrembel,9781599043647,IGI Global,10/15/2006,362,$89.95,Hardcover
bn_819,Oracle9i Web Development,"Bradley D. Brown,  Bradley D. Brown",9780072193886,"McGraw-Hill Companies, The",10/26/2001,1119,,Paperback
bn_820,Sams Teach Yourself Oracle 8 in 21 Days,"Edward Whalen,  Steve Adrien Deluca,  Ed Whalen",9780672311598,Sams,11/28/1997,604,,Hardcover
bn_821,SIGIR 96: 19th Annual Conference on Research and Development in Information Retrieval,Association for Computing Machinery,9780897917926,Association for Computing Machinery,10/28/1996,344,,Paperback
bn_822,Business Objects: The Complete Reference,Cindi Howson,9780072226812,"McGraw-Hill Companies, The",05/03/2003,770,,Paperback
bn_823,Databases - Role & Structure: An Advanced Course,P. M. Stocker,9780521254304,Cambridge University Press,07/26/1984,406,,Hardcover
bn_824,Oracle9iR2 Data Warehousing,"Lilian Hobbs,  Shilpa Lawande,  Susan Hillson",9781555582876,Elsevier Science & Technology Books,02/15/2003,519,,Paperback
bn_825,Spatio-Temporal Databases: Flexible Querying and Reasoning / Edition 1,Rita de Caluwe,9783642060700,Springer Berlin Heidelberg,12/07/2010,392,$269.00,Paperback
bn_826,Data Warehouse : Practical Advice from the Experts / Edition 1,"Joyce Bischoff,  Ted Alexander",9780135773703,Pearson,04/17/1997,428,$1.99,Hardcover
bn_827,INTRODUCTION TO DATA MINING WITH CASE STUDIES,G. K. GUPTA,9788120350021,PHI Learning,06/28/2014,,$7.50,NOOK Book
bn_828,"Database Theory - ICDT 2001: 8th International Conference London, UK, January 4-6, 2001 Proceedings",Jan Van den Bussche,9783540414568,Springer Berlin Heidelberg,02/08/2001,454,$129.00,Paperback
bn_829,"Digital Libraries - Current Issues: Digital Libraries Workshop, DL &#039;94, Newark, NJ, USA, May 19- 20, 1994. Selected Papers / Edition 1",Nabil R. Adam,9783540592822,Springer Berlin Heidelberg,05/26/1995,321,$99.00,Paperback
bn_830,Collaborative Computing with Delphi,"James R. Callan,  James Callan",9781556225543,"Wordware Publishing, Inc.",09/28/1997,600,,Paperback
bn_831,Image Storage and Retrieval Systems,Albert A. Jamberdino,9780819408167,SPIE Press,07/28/1992,299,,Hardcover
bn_832,Content Management: Bridging the Gap Between Theory and Practice,"George Pullman,  Baotong Gu",9780895033789,"Baywood Publishing Company, Incorporated",09/01/2008,228,$50.00,Hardcover
bn_833,Expert Oracle Enterprise Manager 12c,"Kellyn Pot'Vin,  Anand Akela,  Gokhan Atil,  Bobby Curtis",9781430249382,Apress,06/30/2013,9781430249382,$51.10,Paperback
bn_834,Microsoft SQL Server 2008 Analysis Services Unleashed,"Irina Gorbach,  Alexander Berger,  Edward Melomed",9780672330018,Sams,01/05/2009,868,$43.42,Paperback
bn_835,The dBase III User's Handbook,Weber Systems,9780345323781,Random House Publishing Group,05/12/1985,275,,Paperback
