Title_A,Authors_A,ISBN_A,Publisher_A,Pages_A,Price_A,Title_B,Authors_B,ISBN_B,Publisher_B,Pages_B,Price_B,Gold
Data Warehousing: Architecture and Implementation / Edition 1,"Mark W. Humphries,  Michael W. Hawkins,  Michelle C. Dy,  Michelle C. Dy",9780130809025,Prentice Hall,362.0,$1.99,Data Warehousing: Architecture and Implementation,,9780130809025.0," Prentice Hall (January 9, 1999)",360.0,$0.39,1
Oracle 8 PL/SQL Black Book: The Oracle 8 Professional's Guide to PL/SQL Language Concepts,"Mark Gokman,  Jonathan Ingram",9781576101896,Coriolis Group,694.0,,Oracle8 Pl/SQL Black Book,Mark Gokman,9781576101896.0, Coriolis Group (February 1998),694.0,,1
High-Dimensional Indexing: Transformational Approaches to High-Dimensional Range and Similarity Searches,Cui Yu,9783540441991,Springer Berlin Heidelberg,156.0,$99.00,High-Dimensional Indexing: Transformational Approaches to High-Dimensional Range and Similarity Searches (Lecture Notes in Computer Science),Cui Yu,9783540441991.0," Springer; 2002 edition (December 16, 2002)",161.0,$99.00,1
"JDBC API Tutorial and Reference, Second Edition: Universal Data Access for the Java 2 Platform / Edition 2","Seth White,  Mark Hapner,  Graham Hamilton,  Rick Cattell",9780201433289,Pearson Education,1059.0,$1.99,JDBC(TM) API Tutorial and Reference: Universal Data Access for the Java(TM) 2 Platform (2nd Edition),,9780201433289.0," Pearson Education; 2 edition (June 11, 1999)",1059.0,$6.94,1
Java Programming with Oracle SQLJ,Jason Price,9780596000875,"O'Reilly Media, Incorporated",400.0,,Java Programming with Oracle SQLJ,Jason Price,9780596000875.0," O'Reilly Media; 1 edition (August 15, 2001)",398.0,$0.77,1
Oracle8i: A Beginner's Guide,"Michael Abbey,  Donald Woodley,  Ian Abramson,  Michael J. Corey",9780072122046,"McGraw-Hill Companies, The",765.0,,Oracle8i: A Beginner's Guide,"Ian Abramson, Michael J. Corey",9780072122046.0," Osborne/McGraw-Hill; 1 edition (September 8, 1999)",765.0,$4.87,1
Access VBA Programming / Edition 1,"Charles Brown,  Ron Petrusha",9780072231977,McGraw-Hill Professional Publishing,464.0,$1.99,Access VBA Programming,,9780072231977.0," McGraw-Hill Education; 1 edition (September 13, 2004)",464.0,$35.54,1
The dBASE IV 1.1 Programmer's Desktop Reference,Alan Simpson,9780895885395,"Wiley, John & Sons, Incorporated",1100.0,,dBASE IV 1.1 Programmer's Desktop Reference,Alan Simpson,9780895885395.0, Sybex Inc (June 1991),1050.0,,1
End-User Computing: Concepts and Applications,Kathleen P. Wagoner,9780538704977,Cengage South-Western,601.0,,"End-User Computing: Concepts and Applications : Wordperfect 5.1, Lotus 1-2-3, dBASE IV",Kathleen P. Wagoner,9780538704977.0, Course Technology Ptr (Sd) (March 1992),601.0,,1
Teach Yourself VISUALLY Access 2002,Ruth Maran,9780764535918,"Wiley, John & Sons, Incorporated",320.0,,"Teach Yourself VISUALLY Access 2002 (Visual Read Less, Learn More)",Ruth Maran,9780764535918.0," Visual; 1 edition (April 15, 2002)",320.0,$4.37,1
Microsoft Access 2002,Joe Habraken,9780789726315,Que,224.0,,10 Minute Guide to Microsoft Access 2002,,9780789726315.0," Que; 1 edition (August 30, 2001)",224.0,$3.26,1
Designing SQL Server 2000 Databases,"Syngress,  Robert Patton,  Jennifer Ogle",9781928994190,Elsevier Science,608.0,$54.95,Designing SQL Server 2000 Databases,,9781928994190.0," Syngress; 1 edition (January 15, 2001)",608.0,$54.95,1
SQL: The Complete Reference,"James R. Groff,  Paul N. Weinberg",9780072118452,"McGraw-Hill Companies, The",1008.0,,SQL: The Complete Reference,"James R. Groff, Paul N. Weinberg",9780072118452.0, Osborne/McGraw-Hill; Bk&CD Rom edition (February 1999),994.0,$5.49,1
"Oracle Privacy Security Auditing: Includes Federal Law Compliance with HIPAA, Sarbanes-Oxley & The Gramm-Leach-Bliley Act GLB","Arup Nanda,  Donald K. Burleson",9780972751391,Rampant Techpress,670.0,,"Oracle Privacy Security Auditing: Includes Federal Law Compliance with HIPAA, Sarbanes Oxley & The Gramm Leach Bliley Act GLB (Oracle In-Focus series)",Arup Nanda,9780972751391.0," Rampant Techpress (December 1, 2003)",655.0,,1
Teach Yourself FileMaker Pro,Jan L. Harrington,9781558283695,"Wiley, John & Sons, Incorporated",89.0,,Teach Yourself...Filemaker Pro for the Mac (Teach Yourself Visually),Jan L. Harrington,9781558283695.0, Mis Pr; Pap/Dskt edition (September 1994),400.0,,1
Essential Access,"Greg M. Perry,  Alison Balter",9780672308697,Sams,544.0,,Essential Access 95 (Essential Series),Allen Browne,9780672308697.0, Sams Publishing; 1st edition (November 1995),507.0,,1
SQL Server Developer's Guide to Olap with Analysis Services (Developer's Handbook Series),"Mike Gunderloy,  Tim Sneath",9780782129571,Wiley,480.0,,SQL Server Developer's Guide to OLAP with Analysis Services,Mike Gunderloy,9780782129571.0," Sybex (June 19, 2001)",480.0,$23.49,1
Advanced SQL:1999: Understanding Object-Relational and Other Advanced Features,Jim Melton,9781558606777,Elsevier Science,562.0,$91.95,Advanced SQL:1999: Understanding Object-Relational and Other Advanced Features (The Morgan Kaufmann Series in Data Management Systems),Jim Melton,9781558606777.0," Morgan Kaufmann; 1 edition (September 23, 2002)",562.0,$91.95,1
Essentials: Microsoft Access 2003 Level 2 / Edition 4,Pamela R. Toliver,9780131435636,Prentice Hall,448.0,$40.56,Essentials: Microsoft Access 2003 Level 2 (Essentials Series for Office 2003),Pamela R. Toliver,9780131435636.0," Prentice Hall; 4 edition (April 25, 2004)",368.0,$1.99,1
Data Mashups With R,"Jeremy Leipzig,  Xiao-Yi Li",9781449303532,"O'Reilly Media, Incorporated",40.0,$11.96,Data Mashups in R,Jeremy Leipzig,9781449303532.0," O'Reilly Media; 1 edition (March 24, 2011)",40.0,$3.84,1
"Conceptual Modeling for E-Business and the Web: ER 2000 Workshops on Conceptual Modeling Approaches for E-Business and the World Wide Web and Conceptual Modeling, Salt Lake City, Utah, USA, October 9-12, 2000 Proceedings",Stephen W. Liddle,9783540410737,Springer Berlin Heidelberg,182.0,,Conceptual Modeling for E-Business and the Web: ER 2000 Workshops on Conceptual Modeling Approaches for E-Business and the World Wide Web and ... (Lecture Notes in Computer Science),,9783540410737.0," Springer; 2000 edition (October 27, 2000)",179.0,,1
Professional Data Warehousing with SQL Server 7.0 and OLAP Services,"YOUNESS,  Sakhr Youness",9781861002815,Apress,604.0,,Professional Data Warehousing with SQL Server 7.0 and OLAP Services,Sakhr Youness,9781861002815.0, Peer Information Inc. (January 2000),600.0,,1
PHP and MySQL (Video Training),Marc Wandschneider,9780137155750,Prentice Hall,112.0,,PHP and MySQL LiveLessons (Video Training),Marc Wandschneider,9780137155750.0," Prentice Hall; 1 edition (October 12, 2008)",112.0,$27.54,1
"Apache, MySQL, and PHP Web Development All-in-One Desk Reference For Dummies","Jeff Cogswell,  David Dalan",9780764549694,Wiley,760.0,$38.84,"Apache, MySQL, and PHP Web Development All-in-One Desk Reference For Dummies",,9780764549694.0," For Dummies; 1 edition (December 5, 2003)",760.0,$38.23,1
Crystal Reports Encyclopedia Volume 2: Programming .NET 2005,Brian Bischof,9780974953618,Dotnet Tech,500.0,$42.74,Crystal Reports Encyclopedia Volume 2: .NET 2005/2008,Brian Bischof,9780974953618.0," Dotnet Tech; 2nd edition edition (November 1, 2008)",500.0,,1
"Essential Oracle8i Data Warehousing: Designing, Building, and Managing Oracle Data Warehouses","Gary Dodge,  Tim Gorman",9780471376781,Wiley,928.0,,"Essential Oracle8i Data Warehousing: Designing, Building, and Managing Oracle Data Warehouses","Gary Dodge, Tim Gorman",9780471376781.0," Wiley; 2 edition (September 6, 2000)",928.0,$4.88,1
Data Mining with Microsoft SQL Server 2008 / Edition 1,"Jamie MacLennan,  ZhaoHui Tang,  Bogdan Crivat",9780470277744,Wiley,636.0,$9.13,Data Mining with Microsoft SQL Server 2008,"Jamie MacLennan, Bogdan Crivat",9780470277744.0," Wiley; 1 edition (November 17, 2008)",672.0,$35.48,1
A Guide to MySQL / Edition 1,"Philip J. Pratt,  Mary Z. Last,  Mary Z. Last",9781418836351,Cengage Learning,304.0,$20.99,A Guide to MySQL (Available Titles Skills Assessment Manager (SAM) - Office 2010),Philip J. Pratt,9781418836351.0," Course Technology; 1 edition (December 9, 2005)",304.0,$90.75,1
Microsoft SQL Server 6.5 DBA Survival Guide,Mark Spenik,9780672309595,Macmillan Computer Publishing,912.0,,Microsoft SQL Server 6.5 Dba Survival Guide,Orryn Sledge,9780672309595.0," Sams Publishing; 2 edition (June 1, 1996)",912.0,,1
Oracle8 Architecture,Steven M. Bobrowski,9780078822742,"McGraw-Hill Companies, The",343.0,,Oracle8 Architecture,,9780078822742.0," Oracle Press; Authorized Oracle Press ed edition (September 25, 1997)",356.0,,1
Oracle: A Beginner's Guide,Michael J. Corey,9780078821226,McGraw-Hill Professional,522.0,,Oracle: A Beginner's Guide,"Michael Abbey, Michael J. Corey",9780078821226.0," Oracle Pr; 1 edition (June 5, 1995)",522.0,$4.38,1
PostgreSQL: Introduction and Concepts / Edition 1,Bruce Momjian,9780201703313,Pearson Education,496.0,$1.99,PostgreSQL: Introduction and Concepts,Bruce Momjian,9780201703313.0," Pearson Education; 1st edition (December 15, 2000)",462.0,,1
Microsoft SQL Server 2012 Internals,"Kalen Delaney,  Bob Beauchemin,  Conor Cunningham,  Jonathan Kehayias",9780735658561,Microsoft Press,982.0,$44.05,Microsoft SQL Server 2012 Internals (Developer Reference),Kalen Delaney,9780735658561.0," Microsoft Press; 1 edition (November 25, 2013)",982.0,$43.25,1
dBASE IV Power Tools,Malcolm C. Rubel,9780553347685,Random House Publishing Group,992.0,,DBASE IV POWER TOOLS (The Business Productivity Library),,9780553347685.0," RH Information Group (November 29, 1993)",512.0,,1
Oracle DBA 101,"Marlene L. Theriault,  Rachel Carmichael",9780072121209,"McGraw-Hill Companies, The",563.0,,Oracle DBA 101,"James Viscusi, Rachel Carmichael",9780072121209.0," McGraw-Hill Companies; 1st edition (January 15, 2000)",563.0,,1
Oracle Database Ajax &amp; PHP Web Application Development,"Lee Barney,  Michael McLaughlin",9780071502771,McGraw-Hill Professional Publishing,458.0,$52.00,Oracle Database Ajax & PHP Web Application Development (Oracle Press),"Lee Barney, Michael McLaughlin",9780071502771.0," McGraw-Hill Education; 1 edition (March 13, 2008)",458.0,$52.00,1
Dba's Guide to Databases under Linux,"Syngress Media Inc,  Paul C. Zikopoulos,  David Egan",9781928994046,Syngress Publishing,485.0,,DBA's Guide to Databases Under Linux,,9781928994046.0," Syngress; 1 edition (May 15, 2000)",485.0,,1
Oracle8 Tuning,"Michael J. Corey,  Michael Abbey,  Daniel J. Dechichio Jr.,  Abbott Corey",9780078823909,Osborne/McGraw-Hill,604.0,,Oracle8 Tuning (Oracle Press Series),Michael J. Corey,9780078823909.0," Osborne Publishing; Authorized edition (October 30, 1997)",608.0,$4.87,1
eXist: A NoSQL Document Database and Application Platform,"Erik Siegel,  Adam Retter",9781449337100,"O'Reilly Media, Incorporated",584.0,$35.73,eXist: A NoSQL Document Database and Application Platform,Adam Retter,9781449337100.0," O'Reilly Media; 1 edition (December 25, 2014)",584.0,$38.13,1
Oracle Data Mining: Mining Gold from Your Warehouse,Carolyn K. Hamm,9780974448633,Rampant TechPress,270.0,$39.95,Oracle Data Mining: Mining Gold from Your Warehouse (Oracle In-Focus series) (Volume 25),,9780974448633.0," Rampant Techpress (July 1, 2007)",300.0,$39.95,1
Access for Windows 95 for Dummies,John Kaufeld,9781568849294,"Wiley, John & Sons, Incorporated",384.0,,Access For Windows 95 For Dummies,John Kaufeld,9781568849294.0," For Dummies; 1 edition (December 26, 1995)",384.0,$3.98,1
Oracle8 Backup and Recovery Handbook,"Rama Velpuri,  Anand Adkoli",9780078823893,Osborne/McGraw-Hill,628.0,,Oracle8 Backup and Recovery Handbook,"Rama Velpuri, Anand Adkoli",9780078823893.0," Mcgraw-Hill Osborne Media; 1 edition (January 1, 1998)",608.0,$4.93,1
The Art and Science of Analyzing Software Data,"Christian Bird,  Tim Menzies,  Thomas Zimmermann",9780124115194,Elsevier Science,672.0,$65.82,The Art and Science of Analyzing Software Data,Thomas Zimmermann,9780124115194.0," Morgan Kaufmann; 1 edition (September 15, 2015)",672.0,$66.83,1
Introduction to SQL: Mastering the Relational Database Language / Edition 4,Rick F. van der Lans,9780321305961,Addison-Wesley,1056.0,$36.85,Introduction to SQL: Mastering the Relational Database Language (4th Edition),Rick F. van der Lans,9780321305961.0," Addison-Wesley Professional; 4 edition (October 6, 2006)",1056.0,$36.85,1
A Guide to SQL Standard / Edition 4,"C. J. Date,  Hugh Darwen",9780201964264,Addison-Wesley,544.0,$32.13,A Guide to SQL Standard (4th Edition),C. J. Date,9780201964264.0," Addison-Wesley Professional; 4 edition (November 18, 1996)",544.0,$47.95,1
Using R to Unlock the Value of Big Data: Big Data Analytics with Oracle R Enterprise and Oracle R Connector for Hadoop,"Mark Hornick,  Tom Plunkett",9780071824385,McGraw-Hill Professional Publishing,77.0,$20.09,Using R to Unlock the Value of Big Data: Big Data Analytics with Oracle R Enterprise and Oracle R Connector for Hadoop,Tom Plunkett,9780071824385.0," McGraw-Hill Education; 1 edition (June 27, 2013)",84.0,$19.79,1
Creating Access Applications,Melissa Dunn,9781565296367,Que,550.0,,Creating Access Applications/Book and Disk,Melissa W. Dunn,9781565296367.0, Que Pub; Pap/Dskt edition (July 1994),550.0,,1
dBASE II for the Programmer: A How-To-Do-It Book,Nelson T. Dinerstein,9780673159564,Addison Wesley School,176.0,,dBASE II for the Programmer: A How-To-Do-It Book,Nelson T. Dinerstein,9780673159564.0, Scott Foresman & Co (January 1984),240.0,,1
Microsoft Access 2002 ? Illustrated Complete / Edition 1,Lisa Friedrichsen,9780619045081,Cengage Learning,488.0,$1.99,Microsoft Access 2002  Illustrated Complete (Illustrated (Thompson Learning)),,9780619045081.0," Course Technology; 1 edition (October 17, 2001)",472.0,$0.42,1
Oracle Big Data Handbook,"Tom Plunkett,  Brian Macdonald,  Bruce Nelson,  Mark Hornick",9780071827263,McGraw-Hill Professional Publishing,464.0,$38.75,Oracle Big Data Handbook (Oracle Press),"Tom Plunkett, Brian Macdonald, Bruce Nelson",9780071827263.0," McGraw-Hill Education; 1 edition (September 25, 2013)",464.0,$38.49,1
Head First SQL: Your Brain on SQL -- A Learner's Guide,Lynn Beighley,9780596526849,"O'Reilly Media, Incorporated",610.0,$36.63,Head First SQL: Your Brain on SQL -- A Learner's Guide,Lynn Beighley,9780596526849.0," O'Reilly Media; 1 edition (September 1, 2007)",610.0,,1
SQL: Practical Guide for Developers / Edition 1,"Michael J. Donahoo,  Gregory D. Speegle",9780122205316,Elsevier Science,272.0,$28.36,SQL: Practical Guide for Developers (The Practical Guides),Michael J. Donahoo,9780122205316.0," Morgan Kaufmann; 1 edition (August 15, 2005)",272.0,$28.36,1
Database Design,"Ryan Stephens,  Ronald Plew,  Ronald R. Plew",9780672317583,Sams,508.0,$21.69,Database Design,,9780672317583.0," Sams Publishing; 1 edition (November 30, 2000)",528.0,$21.69,1
Microsoft SQL Server 2000 Programming by Example,"Fernando Guerrero,  Carlos Rojas,  Fernando G. Guerrero",9780789724496,Que,792.0,$53.99,Microsoft SQL Server 2000 Programming by Example,,9780789724496.0," Que Publishing (April 27, 2001)",792.0,$59.99,1
Microsoft Access 2010 VBA Programming Inside Out,Andrew Couch,9780735659872,Microsoft Press,736.0,$31.66,Microsoft Access 2010 VBA Programming Inside Out,Andrew Couch,9780735659872.0," Microsoft Press; 1 edition (July 25, 2011)",736.0,$31.48,1
Microsoft SQL Server 2012 Master Data Services 2E,"Tyler Graham,  Suzanne Selhorn",9780071797856,McGraw-Hill Professional Publishing,416.0,$35.46,Microsoft SQL Server 2012 Master Data Services 2/E,Tyler Graham,9780071797856.0," McGraw-Hill Education; 2 edition (October 30, 2012)",416.0,$34.81,1
Oracle8i for Linux Starter Kit (Book/CD-ROM Package),Steve M. Bobrowski,9780072124422,Osborn Foundation,528.0,,Oracle8i for Linux Starter Kit (Book/CD-ROM Package),,9780072124422.0," Oracle Press (August 22, 2000)",478.0,,1
Mastering Data Warehouse Design: Relational and Dimensional Techniques / Edition 1,"Claudia Imhoff,  Jonathan G. Geiger,  Nicholas Galemmo",9780471324218,Wiley,456.0,$26.49,Mastering Data Warehouse Design: Relational and Dimensional Techniques,Claudia Imhoff,9780471324218.0," Wiley; 1 edition (August 8, 2003)",456.0,,1
Oracle Designers Handbook,"Dave Ensor,  Ian Stevenson",9781565922686,"O'Reilly Media, Incorporated",552.0,$39.52,Oracle Design: The Definitive Guide (Nutshell Handbooks),"Dave Ensor, Ian Stevenson",9781565922686.0," O'Reilly Media; 1 edition (March 11, 1997)",552.0,,1
Understanding Relational Database Query Languages / Edition 1,Suzanne W Dietrich,9780130286529,Prentice Hall,192.0,$52.08,Understanding Relational Database Query Languages,,9780130286529.0," Prentice Hall; 1 edition (March 8, 2001)",192.0,$12.78,1
Easy Access for Version X for Windows,Que Corporation,9781565297142,Que,235.0,,Easy Access 2 for Windows,,9781565297142.0, Que Pub (April 1994),250.0,,1
"The dBASE IV: Secrets, Solutions, Shortcuts",Lisa Biow,9780078815157,McGraw-Hill Osborne,942.0,,dBASE IV: Secrets Solutions Shortcuts,Lisa Biow,9780078815157.0, Computing Mcgraw-Hill (August 1989),957.0,,1
"Build Your Own Database-Driven Website Using PHP & MySQL: Covers PHP 5, MySQL4 and Mac OS X","Kevin Yank,  Georgina Laidlaw",9780975240212,"SitePoint Pty, Limited",373.0,,Build Your Own Database Driven Website Using PHP and MySQL,Kevin Yank,9780975240212.0," SitePoint; Third Edition edition (October 11, 2004)",373.0,$4.34,1
Oracle Database 10g PL/SQL Programming / Edition 1,"Scott Urman,  Ron Hardman,  Michael McLaughlin",9780072230666,McGraw-Hill Professional Publishing,896.0,$28.99,Oracle Database 10g PL/SQL Programming,"Scott  Urman, Michael McLaughlin",9780072230666.0," McGraw-Hill Education; 1st edition (October 7, 2004)",896.0,,1
Oracle and UNIX Performance Tuning with Cdrom,Ahmed Alomari,9780138491673,Prentice Hall Professional Technical Reference,400.0,,Oracle and UNIX Performance Tuning with CDROM,Ahmed Alomari,9780138491673.0, Prentice Hall (May 1997),255.0,,1
"Research Issues in Structured and Semistructured Database Programming: 7th International Workshop on Database Programming Languages, DBPL'99 Kinloch Rannoch, UK, September 1-3, 1999 Revised Papers",Richard Connor,9783540414810,Springer Berlin Heidelberg,328.0,$99.00,"Research Issues in Structured and Semistructured Database Programming: 7th International Workshop on Database Programming Languages, DBPL'99 Kinloch ... Papers (Lecture Notes in Computer Science)",,9783540414810.0," Springer; 2000 edition (January 25, 2001)",328.0,,1
"Oracle Database 12c: Install, Configure &amp; Maintain Like a Professional","Ian Abramson,  Michael Abbey,  Michelle Malcher,  Michael Corey",9780071799331,McGraw-Hill Professional Publishing,472.0,$26.25,"Oracle Database 12c Install, Configure & Maintain Like a Professional (Oracle Press)","Ian Abramson, Michelle Malcher",9780071799331.0," McGraw-Hill Education; 1 edition (September 25, 2013)",472.0,$26.25,1
SQL Built-In Functions and Stored Procedures: The i5/iSeries Programmer's Guide,Mike Faust,9781583470541,Mc Press,176.0,$49.95,SQL Built-In Functions and Stored Procedures: The i5/iSeries Programmer's Guide,Mike Faust,9781583470541.0," Mc Press (June 15, 2005)",176.0,$20.00,1
Troubleshooting Sql,Forrest Houlette,9780072134896,"McGraw-Hill Companies, The",384.0,$43.95,Troubleshooting SQL,Forrest Houlette,9780072134896.0," McGraw-Hill Companies (September 14, 2001)",384.0,,1
Mastering SQL Server 2005 Reporting Services Infrastructure Design,"Joseph L. Jorden,  Joseph L. Jorden,  Mike Gunderloy",9780470114599,Wiley,486.0,,Mastering SQL Server 2005 Reporting Services Infrastructure Design,Joseph L. Jorden,9780470114599.0," Sybex; 1 edition (August 6, 2007)",486.0,$1.25,1
Microsoft Access for Windows 95 / Edition 1,Patricia Murphy,9780538715416,South-Western,160.0,$23.99,Microsoft Access for Windows 95 (Quicktorial),,9780538715416.0, South-Western Educational Publishing; Pap/Dsk edition (January 1997),156.0,,1
dBASE 5 for Windows Quick and Easy,Audrey Kalman,9780782114645,"Wiley, John & Sons, Incorporated",243.0,,dBASE 5 for Windows Quick and Easy,Audrey Kalman,9780782114645.0, Sybex Inc (December 1994),225.0,,1
Microsoft Office Access 2003,"Microsoft Official Academic Course,  Moac (Microsoft Academic Curriculum)",9780470069042,Wiley,566.0,,Microsoft Office Access 2003: Introductory,,, Course Technology Ptr (Sd) (December 2003),216.0,,1
Oracle8 Bible,"Carol McCullough-Dieter,  Jatinder Prem,  Ramesh Chandak,  Purshottam Chandak",9780764531989,Wiley,1140.0,,Oracle8 Bible,Carol McCullough-Dieter,9780764531989.0," Wiley (June 11, 1998)",1140.0,$23.49,1
Mary Campbell's dBASE IV Handbook,Mary V. Campbell,9780553347760,Bantam Books,992.0,,MARY CAMPBELL'S DBASE IV HANDB (The Business productivity library),,9780553347760.0," Random House Information Group (July 1, 1989)",704.0,,1
The Linux Databases,Fred Butzen,9781558284913,"Wiley, John & Sons, Incorporated",576.0,,The Linux Database (Mis Press Slackware Series),Fred Butzen,9781558284913.0, Mis Pr (February 1997),561.0,,1
Microsoft Access 97-Visual Basic Step by Step,Evan Callahan,9781572313194,Microsoft Press,379.0,,Microsoft Access 97 Visual Basic Step by Step (Step by Step (Microsoft)),Evan Callahan,9781572313194.0," Microsoft Press (February 1, 1997)",379.0,,1
Data and Reality,William Kent,9781585009701,Authorhouse,276.0,,Data and Reality,William Kent,9781585009701.0," 1st Book Library (April 20, 2000)",276.0,,1
PeopleSoft PeopleTools Data Management and Upgrade Handbook,"Paula Dean,  Jim Marion",9780071787925,McGraw-Hill Professional Publishing,352.0,$55.13,PeopleSoft PeopleTools Data Management and Upgrade Handbook (Oracle Press),Paula Dean,9780071787925.0," McGraw-Hill Education; 1 edition (November 12, 2012)",352.0,$54.84,1
Access 97 for Windows 95,Cathy Vento,9781562435004,DDC Publishing,164.0,,Short Course: Microsoft Access 97 (Short Course Learning Series),Cathy Vento,9781562435004.0, D D C Pub; Pap/Dskt edition (September 1997),160.0,,1
"The Organization of Reduction, Data Flow, and Control Flow Systems",Werner Kluge,9780262610810,MIT Press,481.0,,"The Organization of Reduction, Data Flow, and Control Flow Systems (Computer Systems)",Werner Kluge,9780262610810.0," The MIT Press (September 24, 1992)",481.0,,1
Machine Learning and Data Mining for Computer Security: Methods and Applications / Edition 1,Marcus A. Maloof,9781849965446,Springer London,210.0,$179.00,Machine Learning and Data Mining for Computer Security: Methods and Applications (Advanced Information and Knowledge Processing),,9781849965446.0," Springer; 2006 edition (December 16, 2011)",210.0,$179.00,1
Microsoft Excel and Access Integration: With Office 2007,"Michael Alexander,  Geoffrey Clark",9780470104880,Wiley,408.0,$31.80,Microsoft Excel and Access Integration: With Microsoft Office 2007,Michael Alexander,9780470104880.0," Wiley; 1 edition (April 30, 2007)",408.0,$18.89,1
Microsoft SQL Server 2008 R2 Analytics & Data Visualization,"Doug Harts,  Jim Dugan,  Tricia Almas",9780071601436,McGraw-Hill Professional Publishing,576.0,$40.39,Microsoft® SQL Server 2008 R2 Analytics & Data Visualization,Doug Harts,9780071601436.0," McGraw-Hill Education; 1 edition (September 30, 2010)",576.0,$40.39,1
Access 2003: Your Visual Blue Print for Creating and Maintaining Real-World Databases,Hungry Minds Staff,9780764540813,"Wiley, John & Sons, Incorporated",9780764540813.0,,"Access 2003: Your visual blueprintfor creating and maintaining real-world databases (Visual Read Less, Learn More)",F. Scott Barker,9780764540813.0," Visual (January 2, 2004)",336.0,$12.68,1
Microsoft Access 97 Developer's Handbook: Create Robust Databases Develop Custom Interfaces,Timothy M O'Brien T Glenn Tim Tim Lawrence Dan Edna Richard Frank Frank John Jack Jack Jack J,9781572313583,Microsoft Press,768.0,,Microsoft Access 97 Developers Handbook: With CDROM (Solution Developer Series),,9781572313583.0," Microsoft Press (January 1, 1997)",768.0,,1
Agile Analytics: A Value-Driven Approach to Business Intelligence and Data Warehousing / Edition 1,Ken W. Collier,9780321504814,Addison-Wesley,368.0,$32.60,Agile Analytics: A Value-Driven Approach to Business Intelligence and Data Warehousing (Agile Software Development Series),,9780321504814.0," Addison-Wesley Professional; 1 edition (August 6, 2011)",368.0,$33.61,1
IBM Cognos TM1 The Official Guide,"Karsten Oehler,  Jochen Gruenes,  Christopher Ilacqua",9780071765695,McGraw-Hill Professional Publishing,800.0,$53.06,IBM Cognos TM1: The Official Guide,Karsten Oehler,9780071765695.0," McGraw-Hill; 1st edition (March 14, 2012)",800.0,$52.19,1
FileMaker Pro 2.0 for Macintosh: A Practical Handbook for Designing Sophisticated Databases,Rich Coulombre,9780201622126,Addison Wesley Professional,465.0,,FileMaker Pro 2.0 for Macintosh: A Practical Handbook for Designing Sophisticated Databases,"Rich Coulombre, Jonathan Price",9780201622126.0, Addison Wesley Publishing Company; Pap/Dskt edition (January 1993),465.0,,1
Personal Oracle Real Application Clusters: Create Oracle 10g Grid Computing At-Home,Edward Stoever,9780976157380,Rampant Techpress,200.0,,Personal Oracle Real Application Clusters: Create Oracle 10g Grid Computing at-home (Oracle In-Focus series),Edward Stoever,9780976157380.0," Rampant Techpress (August 31, 2006)",200.0,$1.63,1
Murach&#039;s PHP and MySQL,"Joel Murach,  Ray Harris,  Mike Murach",9781890774561,"Murach, Mike & Associates, Inc.",366.0,$8.61,Murach's PHP and MySQL (Murach: Training & Reference),"Joel Murach, Ray Harris",9781890774561.0," Mike Murach & Associates; First Printing edition (November 23, 2010)",840.0,,1
Principles of Data Mining / Edition 1,Max Bramer,9781846287657,"Springer-Verlag New York, LLC",354.0,$26.85,Principles of Data Mining (Undergraduate Topics in Computer Science),,9781846287657.0," Springer; 2007 edition (March 28, 2007)",354.0,$0.00,1
The dBase III User's Handbook,Weber Systems,9780345323781,Random House Publishing Group,275.0,,dBase III User's Handbook,,9780345323781.0," Ballantine Books; 1st Ballantine Books ed edition (May 12, 1985)",275.0,,1
Understanding Oracle,"Perry/late,  Joseph G. Lateer",9780895885340,"Wiley, John & Sons, Incorporated",634.0,,Understanding Oracle,James T. Perry,9780895885340.0, Sybex Inc (January 1989),672.0,,1
"DB2 11: The Ultimate Database for Cloud, Analytics & Mobile","Chris Crone,  Gareth Jones,  Surekha Parekh,  Jay Yothers",9781583474013,Mc Press,112.0,$14.53,"DB2 11: The Ultimate Database for Cloud, Analytics & Mobile",,9781583474013.0," Mc Press; 1 edition (February 1, 2014)",112.0,,1
Problem Solving Cases with Microsoft Access and Excel / Edition 6,"Joseph Brady,  Ellen Monk",9781423902133,Cengage Learning,240.0,$6.00,Problem Solving Cases with Microsoft Access and Excel,,9781423902133.0," Cengage Learning; 6 edition (January 28, 2008)",224.0,$91.42,1
Microsoft Access 2002 Visual Basic for Applications Step by Step,Evan Callahan,9780735613584,Microsoft Press,384.0,,Microsoft Access 2002 Visual Basic for Applications Step by Step (Step by Step (Microsoft)),Evan Callahan,9780735613584.0," Microsoft Press (October 5, 2001)",384.0,,1
"The Windows Workshop: Access for Windows, Version 2.0",James E. Shuman,9780534305581,"Course Technology, Inc.",160.0,,Access 2.0 for Windows (Windows Workshop),,9780534305581.0, Wadsworth Publishing Company (December 1995),144.0,,1
The dBASE Macintosh Power,"Richard Loggins,  Bantam Electronic Pub Staff",9780553343922,Random House Information Group,466.0,,dBASE Mac: Advanced Techniques and Applications,,9780553343922.0," Random House Information Group (February 15, 1994)",448.0,,1
Patterns of Data Modeling / Edition 1,Michael Blaha,9781439819890,Taylor & Francis,266.0,$40.07,Patterns of Data Modeling (Emerging Directions in Database Systems and Applications),Michael Blaha,9781439819890.0," CRC Press; 1 edition (June 1, 2010)",266.0,$40.07,1
