ID_A,ID_B,Title_A,Title_B,Authors_A,Authors_B
3995,1188,On Distributed Cooperative Decision-Making in Multiarmed Bandits,Distributed ,"Peter Landgren, Vaibhav Srivastava, Naomi Ehrich Leonard","Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang"
3995,4110,On Distributed Cooperative Decision-Making in Multiarmed Bandits,Distributed ,"Peter Landgren, Vaibhav Srivastava, Naomi Ehrich Leonard","Shi Li, Xiangyu Guo"
1257,288,Multi-Merge Budget Maintenance for Stochastic Gradient Descent SVM Training,Parallelized Stochastic Gradient Descent,"Sahar Qaadan, Tobias Glasmachers","Martin Zinkevich, Markus Weimer, Lihong Li, Alex J. Smola"
752,2261,Learning to fail: Predicting fracture evolution in brittle material models using recurrent graph convolutional neural networks,Doubly Convolutional Neural Networks,"Max Schwarzer, Bryce Rogan, Yadong Ruan, Zhengming Song, Diana Y. Lee, Allon G. Percus, Viet T. Chau, Bryan A. Moore, Esteban Rougier, Hari S. Viswanathan, Gowri Srinivasan","Shuangfei Zhai, Yu Cheng, Zhongfei (Mark) Zhang, Weining Lu"
774,1616,Sample-Efficient Learning of Mixtures,Learning Mixtures of Ranking Models,"Hassan Ashtiani, Shai Ben-David, Abbas Mehrabian","Pranjal Awasthi, Avrim Blum, Or Sheffet, Aravindan Vijayaraghavan"
441,4120,Non-Autoregressive Neural Machine Translation,Layer-Wise Coordination between Encoder and Decoder for Neural Machine Translation,"Jiatao Gu, James Bradbury, Caiming Xiong, Victor O. K. Li, Richard Socher","Tianyu He, Xu Tan, Yingce Xia, Di He, Tao Qin, Zhibo Chen, Tie-Yan Liu"
3410,3947,Parametrization and generation of geological models with generative adversarial networks,Graphical Generative Adversarial Networks,"Shing Chan, Ahmed H. Elsheikh","Chongxuan LI, Max Welling, Jun Zhu, Bo Zhang"
1324,2809,Efficient learning of simplices,Revisiting Perceptron: Efficient and Label-Optimal Learning of Halfspaces,"Joseph Anderson, Navin Goyal, Luis Rademacher","Songbai Yan, Chicheng Zhang"
2780,4061,Online Fall Detection using Recurrent Neural Networks,Relational recurrent neural networks,"Mirto Musci, Daniele De Martini, Nicola Blago, Tullio Facchinetti, Marco Piastra","Adam Santoro, Ryan Faulkner, David Raposo, Jack Rae, Mike Chrzanowski, Theophane Weber, Daan Wierstra, Oriol Vinyals, Razvan Pascanu, Timothy Lillicrap"
137,1837,Graph Convolutional Neural Networks for Web-Scale Recommender Systems,Shepard Convolutional Neural Networks,"Rex Ying, Ruining He, Kaifeng Chen, Pong Eksombatchai, William L. Hamilton, Jure Leskovec","Jimmy SJ Ren, Li Xu, Qiong Yan, Wenxiu Sun"
2598,1442,A Gaussian process latent force model for joint input-state estimation in linear structural systems,Gaussian Process Volatility Model,"Rajdip Nayek, Souvik Chakraborty, Sriram Narasimhan","Yue Wu, Jos Miguel Hernndez-Lobato, Zoubin Ghahramani"
3136,2930,Deep Multi-fidelity Gaussian Processes,Deep Multi-task Gaussian Processes for Survival Analysis with Competing Risks,"Maziar Raissi, George Karniadakis",
3746,720,Classification of crystallization outcomes using deep convolutional neural networks,ImageNet Classification with Deep Convolutional Neural Networks,"Andrew E. Bruno, Patrick Charbonneau, Janet Newman, Edward H. Snell, David R. So, Vincent Vanhoucke, Christopher J. Watkins, Shawn Williams, Julie Wilson","Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton"
2612,3939,High-Dimensional Bayesian Optimization with Manifold Gaussian Processes,Automating Bayesian optimization with Bayesian optimization,"Riccardo Moriconi, K. S. Sesh Kumar, Marc P. Deisenroth","Gustavo Malkomes, Roman Garnett"
2459,142,Churn analysis using deep convolutional neural networks and autoencoders,Tiled convolutional neural networks,"Artit Wangperawong, Cyrille Brun, Olav Laudy, Rujikorn Pavasuthipaisit","Jiquan Ngiam, Zhenghao Chen, Daniel Chia, Pang W. Koh, Quoc V. Le, Andrew Y. Ng"
2736,2684,Complex Unitary Recurrent Neural Networks using Scaled Cayley Transform,Full-Capacity Unitary Recurrent Neural Networks,"Kehelwala D. G. Maduranga, Kyle E. Helfrich, Qiang Ye","Scott Wisdom, Thomas Powers, John Hershey, Jonathan Le Roux, Les Atlas"
2437,1837,Diagnosis of Celiac Disease and Environmental Enteropathy on Biopsy Images Using Color Balancing on Convolutional Neural Networks,Shepard Convolutional Neural Networks,"Kamran Kowsari, Rasoul Sali, Marium N. Khan, William Adorno, S. Asad Ali, Sean R. Moore, Beatrice C. Amadi, Paul Kelly, Sana Syed, Donald E. Brown","Jimmy SJ Ren, Li Xu, Qiong Yan, Wenxiu Sun"
165,3749,Riemannian stochastic variance reduced gradient,Stochastic Nested Variance Reduced Gradient Descent for Nonconvex Optimization,"Hiroyuki Sato, Hiroyuki Kasai, Bamdev Mishra","Dongruo Zhou, Pan Xu, Quanquan Gu"
1750,2725,Generative Neural Machine Translation,Decoding with Value Networks for Neural Machine Translation,"Harshil Shah, David Barber","Di He, Hanqing Lu, Yingce Xia, Tao Qin, Liwei Wang, Tie-Yan Liu"
3525,1628,A Novel Approach for Phase Identification in Smart Grids Using Graph Theory and Principal Component Analysis,Cone-Constrained Principal Component Analysis,"P Satya Jayadev, Aravind Rajeswaran, Nirav P Bhatt, Ramkrishna Pasumarthy","Yash Deshpande, Andrea Montanari, Emile Richard"
2644,3237,Mean Field Limit of the Learning Dynamics of Multilayer Neural Networks,On the Complexity of Learning Neural Networks,Phan-Minh Nguyen,"Le Song, Santosh Vempala, John Wilmes, Bo Xie"
236,3081,Mode Regularized Generative Adversarial Networks,Structured Generative Adversarial Networks,"Tong Che, Yanran Li, Athul Paul Jacob, Yoshua Bengio, Wenjie Li","Zhijie Deng, Hao Zhang, Xiaodan Liang, Luona Yang, Shizhen Xu, Jun Zhu, Eric P. Xing"
3553,1837,Multi-Level and Multi-Scale Feature Aggregation Using Pre-trained Convolutional Neural Networks for Music Auto-tagging,Shepard Convolutional Neural Networks,"Jongpil Lee, Juhan Nam","Jimmy SJ Ren, Li Xu, Qiong Yan, Wenxiu Sun"
3746,3389,Classification of crystallization outcomes using deep convolutional neural networks,Structure-Aware Convolutional Neural Networks,"Andrew E. Bruno, Patrick Charbonneau, Janet Newman, Edward H. Snell, David R. So, Vincent Vanhoucke, Christopher J. Watkins, Shawn Williams, Julie Wilson","Jianlong Chang, Jie Gu, Lingfeng Wang, GAOFENG MENG, SHIMING XIANG, Chunhong Pan"
871,80,LOCO: Distributing Ridge Regression with Random Projections,LSTD with Random Projections,"Christina Heinze, Brian McWilliams, Nicolai Meinshausen, Gabriel Krummenacher","Mohammad Ghavamzadeh, Alessandro Lazaric, Odalric Maillard, Rmi Munos"
1090,868,Bayesian Efficient Multiple Kernel Learning,Multiple Operator-valued Kernel Learning,Mehmet Gonen,"Hachem Kadri, Alain Rakotomamonjy, Philippe Preux, Francis R. Bach"
622,1654,Efficient online learning with kernels for adversarial large scale problems,Learning with Fredholm Kernels,"Rmi Jzquel, Pierre Gaillard, Alessandro Rudi","Qichao Que, Mikhail Belkin, Yusu Wang"
409,3290,Stochastic Canonical Correlation Analysis,SVCCA: Singular Vector Canonical Correlation Analysis for Deep Learning Dynamics and Interpretability,"Chao Gao, Dan Garber, Nathan Srebro, Jialei Wang, Weiran Wang","Maithra Raghu, Justin Gilmer, Jason Yosinski, Jascha Sohl-Dickstein"
3665,3947,Computational Histological Staining and Destaining of Prostate Core Biopsy RGB Images with Generative Adversarial Neural Networks,Graphical Generative Adversarial Networks,"Aman Rana, Gregory Yauney, Alarice Lowe, Pratik Shah","Chongxuan LI, Max Welling, Jun Zhu, Bo Zhang"
3661,902,Learning Determinantal Point Processes,Near-Optimal MAP Inference for Determinantal Point Processes,"Alex Kulesza, Ben Taskar","Jennifer Gillenwater, Alex Kulesza, Ben Taskar"
2291,2826,Generative Adversarial Positive-Unlabelled Learning,Multi-Modal Imitation Learning from Unstructured Demonstrations using Generative Adversarial Nets,"Ming Hou, Brahim Chaib-draa, Chao Li, Qibin Zhao","Karol Hausman, Yevgen Chebotar, Stefan Schaal, Gaurav Sukhatme, Joseph J. Lim"
1903,3275,Sampling-based Gradient Regularization for Capturing Long-Term Dependencies in Recurrent Neural Networks,Fast-Slow Recurrent Neural Networks,"Artem Chernodub, Dimitri Nowicki","Asier Mujika, Florian Meier, Angelika Steger"
1129,4218,Multi-Step Prediction of Occupancy Grid Maps with Recurrent Neural Networks,Reversible Recurrent Neural Networks,"Nima Mohajerin, Mohsen Rohani","Matthew MacKay, Paul Vicol, Jimmy Ba, Roger B. Grosse"
2992,3389,Robust Convolutional Neural Networks under Adversarial Noise,Structure-Aware Convolutional Neural Networks,"Jonghoon Jin, Aysegul Dundar, Eugenio Culurciello","Jianlong Chang, Jie Gu, Lingfeng Wang, GAOFENG MENG, SHIMING XIANG, Chunhong Pan"
1937,819,On Better Exploring and Exploiting Task Relationships in Multi-Task Learning: Joint Model and Feature Learning,Multi-Stage Multi-Task Feature Learning,"Ya Li, Xinmei Tian, Tongliang Liu, Dacheng Tao","Pinghua Gong, Jieping Ye, Chang-shui Zhang"
1324,3200,Efficient learning of simplices,Efficient Modeling of Latent Information in Supervised Learning using Gaussian Processes,"Joseph Anderson, Navin Goyal, Luis Rademacher","Zhenwen Dai, Mauricio lvarez, Neil Lawrence"
728,3275,Riemannian metrics for neural networks II: recurrent networks and learning symbolic data sequences,Fast-Slow Recurrent Neural Networks,Yann Ollivier,"Asier Mujika, Florian Meier, Angelika Steger"
1342,3389,Deep learning with convolutional neural networks for decoding and visualization of EEG pathology,Structure-Aware Convolutional Neural Networks,"Robin Tibor Schirrmeister, Lukas Gemein, Katharina Eggensperger, Frank Hutter, Tonio Ball","Jianlong Chang, Jie Gu, Lingfeng Wang, GAOFENG MENG, SHIMING XIANG, Chunhong Pan"
65,2261,Deep Epitomic Convolutional Neural Networks,Doubly Convolutional Neural Networks,George Papandreou,"Shuangfei Zhai, Yu Cheng, Zhongfei (Mark) Zhang, Weining Lu"
1105,3211,Capturing Variabilities from Computed Tomography Images with Generative Adversarial Networks,Triangle Generative Adversarial Networks,"Umair Javaid, John A. Lee","Zhe Gan, Liqun Chen, Weiyao Wang, Yuchen Pu, Yizhe Zhang, Hao Liu, Chunyuan Li, Lawrence Carin"
101,3378,Active Learning for Decision-Making from Imbalanced Observational Data,Active Learning from Peers,"Iiris Sundin, Peter Schulam, Eero Siivola, Aki Vehtari, Suchi Saria, Samuel Kaski","Keerthiram Murugesan, Jaime Carbonell"
1105,2192,Capturing Variabilities from Computed Tomography Images with Generative Adversarial Networks,Coupled Generative Adversarial Networks,"Umair Javaid, John A. Lee","Ming-Yu Liu, Oncel Tuzel"
620,1346,Systematic Weight Pruning of DNNs using Alternating Direction Method of Multipliers,Parallel Direction Method of Multipliers,"Tianyun Zhang, Shaokai Ye, Yipeng Zhang, Yanzhi Wang, Makan Fardad","Huahua Wang, Arindam Banerjee, Zhi-Quan Luo"
3518,3216,Online learning over a finite action set with limited switching,Online Learning with a Hint,"Jason Altschuler, Kunal Talwar","Ofer Dekel, arthur flajolet, Nika Haghtalab, Patrick Jaillet"
1049,565,A Strong Baseline for Domain Adaptation and Generalization in Medical Imaging,Co-Training for Domain Adaptation,"Li Yao, Jordan Prosky, Ben Covington, Kevin Lyman","Minmin Chen, Kilian Q. Weinberger, John Blitzer"
310,3430,"A Model for Learned Bloom Filters, and Optimizing by Sandwiching",A Model for Learned Bloom Filters and Optimizing by Sandwiching,Michael Mitzenmacher,Michael Mitzenmacher
2243,3247,A Generative Model for Deep Convolutional Learning,Deep Learning for Precipitation Nowcasting: A Benchmark and A New Model,"Yunchen Pu, Xin Yuan, Lawrence Carin","Xingjian Shi, Zhihan Gao, Leonard Lausen, Hao Wang, Dit-Yan Yeung, Wai-kin Wong, Wang-chun WOO"
2510,2725,Refining Source Representations with Relation Networks for Neural Machine Translation,Decoding with Value Networks for Neural Machine Translation,"Wen Zhang, Jiawei Hu, Yang Feng, Qun Liu","Di He, Hanqing Lu, Yingce Xia, Tao Qin, Liwei Wang, Tie-Yan Liu"
1565,3555,A novel adaptive learning rate scheduler for deep neural networks,Collaborative Learning for Deep Neural Networks,"Rahul Yedida, Snehanshu Saha","Guocong Song, Wei Chai"
1589,3813,Variance Reduction for Distributed Stochastic Gradient Descent,Byzantine Stochastic Gradient Descent,"Soham De, Gavin Taylor, Tom Goldstein","Dan Alistarh, Zeyuan Allen-Zhu, Jerry Li"
1131,4268,Learning What Data to Learn,Towards Understanding Learning Representations: To What Extent Do Different Neural Networks Learn the Same Representation,"Yang Fan, Fei Tian, Tao Qin, Jiang Bian, Tie-Yan Liu","Liwei Wang, Lunjia Hu, Jiayuan Gu, Zhiqiang Hu, Yue Wu, Kun He, John Hopcroft"
3358,606,Hierarchical Imitation and Reinforcement Learning,Bayesian Hierarchical Reinforcement Learning,"Hoang M. Le, Nan Jiang, Alekh Agarwal, Miroslav Dudk, Yisong Yue, Hal Daum III","Feng Cao, Soumya Ray"
1403,3081,Mode Regularized Generative Adversarial Networks,Structured Generative Adversarial Networks,"Tong Che, Yanran Li, Athul Paul Jacob, Yoshua Bengio, Wenjie Li","Zhijie Deng, Hao Zhang, Xiaodan Liang, Luona Yang, Shizhen Xu, Jun Zhu, Eric P. Xing"
2011,2166,Strongly-Typed Recurrent Neural Networks,Integrated perception with recurrent multi-task neural networks,"David Balduzzi, Muhammad Ghifary","Hakan Bilen, Andrea Vedaldi"
1148,575,Generalized Boosting Algorithms for Convex Optimization,Algorithms for Hyper-Parameter Optimization,"Alexander Grubb, J. Andrew Bagnell","James S. Bergstra, Rmi Bardenet, Yoshua Bengio, Balzs Kgl"
3478,2716,Audio Scene Classification with Deep Recurrent Neural Networks,Dilated Recurrent Neural Networks,"Huy Phan, Philipp Koch, Fabrice Katzberg, Marco Maass, Radoslaw Mazur, Alfred Mertins","Shiyu Chang, Yang Zhang, Wei Han, Mo Yu, Xiaoxiao Guo, Wei Tan, Xiaodong Cui, Michael Witbrock, Mark A. Hasegawa-Johnson, Thomas S. Huang"
1970,288,SGDR: Stochastic Gradient Descent with Warm Restarts,Parallelized Stochastic Gradient Descent,"Ilya Loshchilov, Frank Hutter","Martin Zinkevich, Markus Weimer, Lihong Li, Alex J. Smola"
1160,3389,Protein Secondary Structure Prediction Using Cascaded Convolutional and Recurrent Neural Networks,Structure-Aware Convolutional Neural Networks,"Zhen Li, Yizhou Yu","Jianlong Chang, Jie Gu, Lingfeng Wang, GAOFENG MENG, SHIMING XIANG, Chunhong Pan"
2087,3947,Convergence Problems with Generative Adversarial Networks (GANs),Graphical Generative Adversarial Networks,Samuel A. Barnett,"Chongxuan LI, Max Welling, Jun Zhu, Bo Zhang"
3769,4061,Compression of Recurrent Neural Networks for Efficient Language Modeling,Relational recurrent neural networks,"Artem M. Grachev, Dmitry I. Ignatov, Andrey V. Savchenko","Adam Santoro, Ryan Faulkner, David Raposo, Jack Rae, Mike Chrzanowski, Theophane Weber, Daan Wierstra, Oriol Vinyals, Razvan Pascanu, Timothy Lillicrap"
2916,3912,Unsupervised Meta-Learning for Reinforcement Learning,Unsupervised Video Object Segmentation for Deep Reinforcement Learning,"Abhishek Gupta, Benjamin Eysenbach, Chelsea Finn, Sergey Levine","Vikash Goel, Jameson Weng, Pascal Poupart"
1284,2019,Performance Analysis and Dynamic Evolution of Deep Convolutional Neural Network for Nonlinear Inverse Scattering,Deep Convolutional Inverse Graphics Network,"Lianlin Li, Long Gang Wang, Fernando L. Teixeira","Tejas D. Kulkarni, William F. Whitney, Pushmeet Kohli, Josh Tenenbaum"
105,3710,Stochastic Variance Reduction for Nonconvex Optimization,Dimensionality Reduction for Stationary Time Series via Stochastic Nonconvex Optimization,"Sashank J. Reddi, Ahmed Hefny, Suvrit Sra, Barnabas Poczos, Alex Smola","Minshuo Chen, Lin Yang, Mengdi Wang, Tuo Zhao"
832,130,Diverse Landmark Sampling from Determinantal Point Processes for Scalable Manifold Learning,Structured Determinantal Point Processes,"Christian Wachinger, Polina Golland","Alex Kulesza, Ben Taskar"
642,3000,RATM: Recurrent Attentive Tracking Model,Hierarchical Attentive Recurrent Tracking,"Samira Ebrahimi Kahou, Vincent Michalski, Roland Memisevic","Adam Kosiorek, Alex Bewley, Ingmar Posner"
3494,3099,Generative Adversarial Nets for Information Retrieval: Fundamentals and Advances,Triple Generative Adversarial Nets,Weinan Zhang,"Chongxuan LI, Taufik Xu, Jun Zhu, Bo Zhang"
106,2298,Stochastic Variance Reduction Methods for Policy Evaluation,Stochastic Variance Reduction Methods for Saddle-Point Problems,"Simon S. Du, Jianshu Chen, Lihong Li, Lin Xiao, Dengyong Zhou","Balamurugan Palaniappan, Francis Bach"
1457,1837,Stacked Convolutional and Recurrent Neural Networks for Bird Audio Detection,Shepard Convolutional Neural Networks,"Sharath Adavanne, Konstantinos Drossos, Emre ak?r, Tuomas Virtanen","Jimmy SJ Ren, Li Xu, Qiong Yan, Wenxiu Sun"
2459,1837,Churn analysis using deep convolutional neural networks and autoencoders,Shepard Convolutional Neural Networks,"Artit Wangperawong, Cyrille Brun, Olav Laudy, Rujikorn Pavasuthipaisit","Jimmy SJ Ren, Li Xu, Qiong Yan, Wenxiu Sun"
3840,3112,Learning Concept Taxonomies from Multi-modal Data,Learning Active Learning from Data,"Hao Zhang, Zhiting Hu, Yuntian Deng, Mrinmaya Sachan, Zhicheng Yan, Eric P. Xing","Ksenia Konyushkova, Raphael Sznitman, Pascal Fua"
2729,3112,Learning Policies for Markov Decision Processes from Data,Learning Active Learning from Data,"Manjesh K. Hanawal, Hao Liu, Henghui Zhu, Ioannis Ch. Paschalidis","Ksenia Konyushkova, Raphael Sznitman, Pascal Fua"
2066,3175,On Loss Functions for Deep Neural Networks in Classification,Selective Classification for Deep Neural Networks,"Katarzyna Janocha, Wojciech Marian Czarnecki","Yonatan Geifman, Ran El-Yaniv"
3105,1639,Online Alternating Direction Method,Bregman Alternating Direction Method of Multipliers,"Huahua Wang, Arindam Banerjee","Huahua Wang, Arindam Banerjee"
3490,2629,Segmental Recurrent Neural Networks,LightRNN: Memory and Computation-Efficient Recurrent Neural Networks,"Lingpeng Kong, Chris Dyer, Noah A. Smith","Xiang Li, Tao Qin, Jian Yang, Tie-Yan Liu"
1803,4061,Generalized Tensor Models for Recurrent Neural Networks,Relational recurrent neural networks,"Valentin Khrulkov, Oleksii Hrinchuk, Ivan Oseledets","Adam Santoro, Ryan Faulkner, David Raposo, Jack Rae, Mike Chrzanowski, Theophane Weber, Daan Wierstra, Oriol Vinyals, Razvan Pascanu, Timothy Lillicrap"
1185,2716,Folded Recurrent Neural Networks for Future Video Prediction,Dilated Recurrent Neural Networks,"Marc Oliu, Javier Selva, Sergio Escalera","Shiyu Chang, Yang Zhang, Wei Han, Mo Yu, Xiaoxiao Guo, Wei Tan, Xiaodong Cui, Michael Witbrock, Mark A. Hasegawa-Johnson, Thomas S. Huang"
2841,2530,A giant with feet of clay: on the validity of the data that feed machine learning in medicine,The Limits of Learning with Missing Data,"Federico Cabitza, Davide Ciucci, Raffaele Rasoini","Brian Bullins, Elad Hazan, Tomer Koren"
3148,1628,Unsupervised learning of phase transitions: from principal component analysis to variational autoencoders,Cone-Constrained Principal Component Analysis,Sebastian Johann Wetzel,"Yash Deshpande, Andrea Montanari, Emile Richard"
3761,4133,QFlow: A Reinforcement Learning Approach to High QoE Video Streaming over Wireless Networks,A Lyapunov-based Approach to Safe Reinforcement Learning,"Rajarshi Bhattacharyya, Archana Bura, Desik Rengarajan, Mason Rumuly, Srinivas Shakkottai, Dileep Kalathil, Ricky K. P. Mok, Amogh Dhamdhere","Yinlam Chow, Ofir Nachum, Edgar Duenez-Guzman, Mohammad Ghavamzadeh"
3490,2344,Segmental Recurrent Neural Networks,Architectural Complexity Measures of Recurrent Neural Networks,"Lingpeng Kong, Chris Dyer, Noah A. Smith","Saizheng Zhang, Yuhuai Wu, Tong Che, Zhouhan Lin, Roland Memisevic, Ruslan R. Salakhutdinov, Yoshua Bengio"
585,2981,Recurrent Estimation of Distributions,Estimation of the covariance structure of heavy-tailed distributions,"Junier B. Oliva, Kumar Avinava Dubey, Barnabas Poczos, Eric Xing, Jeff Schneider","Xiaohan Wei, Stanislav Minsker"
2011,4218,Strongly-Typed Recurrent Neural Networks,Reversible Recurrent Neural Networks,"David Balduzzi, Muhammad Ghifary","Matthew MacKay, Paul Vicol, Jimmy Ba, Roger B. Grosse"
315,4126,Learning Constraints from Demonstrations,Reward learning from human preferences and demonstrations in Atari,"Glen Chou, Dmitry Berenson, Necmiye Ozay","Borja Ibarz, Jan Leike, Tobias Pohlen, Geoffrey Irving, Shane Legg, Dario Amodei"
3526,2379,Deep Multi-Agent Reinforcement Learning with Discrete-Continuous Hybrid Action Spaces,Learning to Communicate with Deep Multi-Agent Reinforcement Learning,"Haotian Fu, Hongyao Tang, Jianye Hao, Zihan Lei, Yingfeng Chen, Changjie Fan","Jakob Foerster, Ioannis Alexandros Assael, Nando de Freitas, Shimon Whiteson"
315,1284,Learning Constraints from Demonstrations,Learning from Limited Demonstrations,"Glen Chou, Dmitry Berenson, Necmiye Ozay","Beomjoon Kim, Amir-massoud Farahmand, Joelle Pineau, Doina Precup"
298,3211,NIPS 2016 Tutorial: Generative Adversarial Networks,Triangle Generative Adversarial Networks,Ian Goodfellow,"Zhe Gan, Liqun Chen, Weiyao Wang, Yuchen Pu, Yizhe Zhang, Hao Liu, Chunyuan Li, Lawrence Carin"
495,196,Kernelized Bayesian Matrix Factorization,Global Analytic Solution for Variational Bayesian Matrix Factorization,"Mehmet Gnen, Suleiman A. Khan, Samuel Kaski","Shinichi Nakajima, Masashi Sugiyama, Ryota Tomioka"
220,4083,Net2Vec: Quantifying and Explaining how Concepts are Encoded by Filters in Deep Neural Networks,Generalisation in humans and deep neural networks,"Ruth Fong, Andrea Vedaldi","Robert Geirhos, Carlos R. M. Temme, Jonas Rauber, Heiko H. Schtt, Matthias Bethge, Felix A. Wichmann"
2437,2261,Diagnosis of Celiac Disease and Environmental Enteropathy on Biopsy Images Using Color Balancing on Convolutional Neural Networks,Doubly Convolutional Neural Networks,"Kamran Kowsari, Rasoul Sali, Marium N. Khan, William Adorno, S. Asad Ali, Sean R. Moore, Beatrice C. Amadi, Paul Kelly, Sana Syed, Donald E. Brown","Shuangfei Zhai, Yu Cheng, Zhongfei (Mark) Zhang, Weining Lu"
2009,4065,Quantum generative adversarial networks,Disconnected Manifold Learning for Generative Adversarial Networks,"Pierre-Luc Dallaire-Demers, Nathan Killoran","Mahyar Khayatkhoei, Maneesh K. Singh, Ahmed Elgammal"
1154,3213,Topological Bayesian Optimization with Persistence Diagrams,Bayesian Optimization with Gradients,"Tatsuya Shiraishi, Tam Le, Hisashi Kashima, Makoto Yamada","Jian Wu, Matthias Poloczek, Andrew G. Wilson, Peter Frazier"
1146,2425,Listening to Chaotic Whispers: A Deep Learning Framework for News-oriented Stock Trend Prediction,A Probabilistic Framework for Deep Learning,"Ziniu Hu, Weiqing Liu, Jiang Bian, Xuanzhe Liu, Tie-Yan Liu","Ankit B. Patel, Minh Tan Nguyen, Richard Baraniuk"
719,923,Clustering with Distributed Data,Distributed Probabilistic Learning for Camera Networks with Missing Data,"Soummya Kar, Brian Swenson","Sejong Yoon, Vladimir Pavlovic"
850,3112,The Use of Unlabeled Data versus Labeled Data for Stopping Active Learning for Text Classification,Learning Active Learning from Data,"Garrett Beatty, Ethan Kochis, Michael Bloodgood","Ksenia Konyushkova, Raphael Sznitman, Pascal Fua"
3095,3175,Deep Convolutional Neural Networks for Map-Type Classification,Selective Classification for Deep Neural Networks,"Xiran Zhou, Wenwen Li, Samantha T. Arundel, Jun Liu","Yonatan Geifman, Ran El-Yaniv"
449,1837,Pruning Convolutional Neural Networks for Resource Efficient Inference,Shepard Convolutional Neural Networks,"Pavlo Molchanov, Stephen Tyree, Tero Karras, Timo Aila, Jan Kautz","Jimmy SJ Ren, Li Xu, Qiong Yan, Wenxiu Sun"
928,4295,Sampling Acquisition Functions for Batch Bayesian Optimization,Maximizing acquisition functions for Bayesian optimization,"Alessandro De Palma, Celestine Mendler-Dnner, Thomas Parnell, Andreea Anghel, Haralampos Pozidis","James Wilson, Frank Hutter, Marc Deisenroth"
795,3389,Jointly Sparse Convolutional Neural Networks in Dual Spatial-Winograd Domains,Structure-Aware Convolutional Neural Networks,"Yoojin Choi, Mostafa El-Khamy, Jungwon Lee","Jianlong Chang, Jie Gu, Lingfeng Wang, GAOFENG MENG, SHIMING XIANG, Chunhong Pan"
344,587,Principal Component Analysis with Contaminated Data: The High Dimensional Case,Demixed Principal Component Analysis,"Huan Xu, Constantine Caramanis, Shie Mannor","Wieland Brendel, Ranulfo Romo, Christian K. Machens"
3593,1611,Scalable and Incremental Learning of Gaussian Mixture Models,Feedforward Learning of Mixture Models,"Rafael Pinto, Paulo Engel","Matthew Lawlor, Steven W. Zucker"
1028,3312,Learning Discrete Structures for Graph Neural Networks,Neural Discrete Representation Learning,"Luca Franceschi, Mathias Niepert, Massimiliano Pontil, Xiao He","Aaron van den Oord, Oriol Vinyals, koray kavukcuoglu"
1606,3081,Skin Lesion Synthesis with Generative Adversarial Networks,Structured Generative Adversarial Networks,"Alceu Bissoto, Fbio Perez, Eduardo Valle, Sandra Avila","Zhijie Deng, Hao Zhang, Xiaodan Liang, Luona Yang, Shizhen Xu, Jun Zhu, Eric P. Xing"
3039,1261,Differentially Private Fair Learning,A Stability-based Validation Procedure for Differentially Private Machine Learning,"Matthew Jagielski, Michael Kearns, Jieming Mao, Alina Oprea, Aaron Roth, Saeed Sharifi-Malvajerdi, Jonathan Ullman","Kamalika Chaudhuri, Staal A. Vinterbo"
2174,3944,Fair Algorithms for Clustering,Approximation algorithms for stochastic clustering,"Suman K. Bera, Deeparnab Chakrabarty, Maryam Negahbani","David Harris, Shi Li, Aravind Srinivasan, Khoa Trinh, Thomas Pensyl"
1449,3117,A Supervised STDP-based Training Algorithm for Living Neural Networks,Sobolev Training for Neural Networks,"Yuan Zeng, Kevin Devincentis, Yao Xiao, Zubayer Ibne Ferdous, Xiaochen Guo, Zhiyuan Yan, Yevgeny Berdichevsky","Wojciech M. Czarnecki, Simon Osindero, Max Jaderberg, Grzegorz Swirszcz, Razvan Pascanu"
1666,3302,Clustering under Local Stability: Bridging the Gap between Worst-Case and Beyond Worst-Case Analysis,Hierarchical Clustering Beyond the Worst-Case,"Maria-Florina Balcan, Colin White","Vincent Cohen-Addad, Varun Kanade, Frederik Mallmann-Trenn"
795,2261,Jointly Sparse Convolutional Neural Networks in Dual Spatial-Winograd Domains,Doubly Convolutional Neural Networks,"Yoojin Choi, Mostafa El-Khamy, Jungwon Lee","Shuangfei Zhai, Yu Cheng, Zhongfei (Mark) Zhang, Weining Lu"
575,3927,On Computation and Generalization of GANs with Spectrum Control,On GANs and GMMs,"Haoming Jiang, Zhehui Chen, Minshuo Chen, Feng Liu, Dingding Wang, Tuo Zhao","Eitan Richardson, Yair Weiss"
3770,3238,Kernel Implicit Variational Inference,Hierarchical Implicit Models and Likelihood-Free Variational Inference,"Jiaxin Shi, Shengyang Sun, Jun Zhu","Dustin Tran, Rajesh Ranganath, David Blei"
3533,2183,GAP Safe Screening Rules for Sparse-Group-Lasso,GAP Safe Screening Rules for Sparse-Group Lasso,"Eugene Ndiaye, Olivier Fercoq, Alexandre Gramfort, Joseph Salmon","Eugene Ndiaye, Olivier Fercoq, Alexandre Gramfort, Joseph Salmon"
92,3290,Deep Learning for Time-Series Analysis,SVCCA: Singular Vector Canonical Correlation Analysis for Deep Learning Dynamics and Interpretability,John Cristian Borges Gamboa,"Maithra Raghu, Justin Gilmer, Jason Yosinski, Jascha Sohl-Dickstein"
