ID,Title,Authors,Date,Journal-ref
739,Comparison-Based Learning with Rank Nets,"Amin Karbasi, Stratis Ioannidis, laurent Massoulie","18 June, 2012",
740,Finite Sample Analysis of Stochastic System Identification,"Anastasios Tsiamis, George J. Pappas","21 March, 2019",
741,"Deep Multimodal Embedding: Manipulating Novel Objects with Point-clouds, Language and Trajectories","Jaeyong Sung, Ian Lenz, Ashutosh Saxena","17 May, 2017",
742,Computationally Efficient Robust Estimation of Sparse Functionals,"Simon S. Du, Sivaraman Balakrishnan, Aarti Singh","24 February, 2017",
743,Provably robust estimation of modulo 1 samples of a smooth function with applications to phase unwrapping,"Mihai Cucuringu, Hemant Tyagi","9 March, 2018",
744,Minimax Testing of Identity to a Reference Ergodic Markov Chain,"Geoffrey Wolfer, Aryeh Kontorovich","31 January, 2019",
745,Relational Pooling for Graph Representations,"Ryan L. Murphy, Balasubramaniam Srinivasan, Vinayak Rao, Bruno Ribeiro","6 March, 2019",
746,"Algorithmic Robustness for Learning via $(?, ?, ?)$-Good Similarity Functions","Maria-Irina Nicolae, Marc Sebban, Amaury Habrard, ric Gaussier, Massih-Reza Amini","31 March, 2015",
747,Recovering True Classifier Performance in Positive-Unlabeled Learning,"Shantanu Jain, Martha White, Predrag Radivojac","1 February, 2017",
748,Machine Learning Accelerated Likelihood-Free Event Reconstruction in Dark Matter Direct Detection,"U. Simola, B. Pelssers, D. Barge, J. Conrad, J. Corander","25 February, 2019",
749,TrojDRL: Trojan Attacks on Deep Reinforcement Learning Agents,"Panagiota Kiourti, Kacper Wardega, Susmit Jha, Wenchao Li","28 February, 2019",
750,CSI-Net: Unified Human Body Characterization and Pose Recognition,"Fei Wang, Jinsong Han, Shiyuan Zhang, Xu He, Dong Huang","22 January, 2019",
751,Balancing New Against Old Information: The Role of Surprise in Learning,"Mohammadjavad Faraji, Kerstin Preuschoff, Wulfram Gerstner","1 March, 2017",
752,Learning to fail: Predicting fracture evolution in brittle material models using recurrent graph convolutional neural networks,"Max Schwarzer, Bryce Rogan, Yadong Ruan, Zhengming Song, Diana Y. Lee, Allon G. Percus, Viet T. Chau, Bryan A. Moore, Esteban Rougier, Hari S. Viswanathan, Gowri Srinivasan","15 March, 2019","Computational Materials Science 162, 322-332 (2019)"
753,Randomized Allocation with Nonparametric Estimation for Contextual Multi-Armed Bandits with Delayed Rewards,"Sakshi Arya, Yuhong Yang","4 February, 2019",
754,Opening the Black Box of Deep Neural Networks via Information,"Ravid Shwartz-Ziv, Naftali Tishby","29 April, 2017",
755,The Evolved Transformer,"David R. So, Chen Liang, Quoc V. Le","15 February, 2019",
756,Discrete Variational Autoencoders,Jason Tyler Rolfe,"21 April, 2017",
757,Entropy-based closure for probabilistic learning on manifolds,"C. Soizea, R. Ghanem, C. Safta, X. Huan, Z. P. Vane, J. Oefelein, G. Lacaz, H. N. Najm, Q. Tang, X. Chen","28 March, 2018",
758,On the Detection of Mixture Distributions with applications to the Most Biased Coin Problem,"Kevin Jamieson, Daniel Haas, Ben Recht","25 March, 2016",
759,Switching EEG Headsets Made Easy: Reducing Offline Calibration Effort Using Active Weighted Adaptation Regularization,"Dongrui Wu, Vernon J. Lawhern, W. David Hairston, Brent J. Lance","9 February, 2017","IEEE Trans. on Neural Systems and Rehabilitation Engineering, 24(11), pp. 1125-1137 (2016)"
760,Learn What Not to Learn: Action Elimination with Deep Reinforcement Learning,"Tom Zahavy, Matan Haroush, Nadav Merlis, Daniel J. Mankowitz, Shie Mannor","24 February, 2019",Advances in Neural Information Processing Systems (pp. 3566-3577). 2018
761,"Snapshot Ensembles: Train 1, get M for free","Gao Huang, Yixuan Li, Geoff Pleiss, Zhuang Liu, John E. Hopcroft, Kilian Q. Weinberger","31 March, 2017",
762,Sparse Gaussian ICA,"Nilin Abrahamsen, Philippe Rigollet","3 April, 2018",
763,Learning to Succeed while Teaching to Fail: Privacy in Closed Machine Learning Systems,"Jure Sokolic, Qiang Qiu, Miguel R. D. Rodrigues, Guillermo Sapiro","23 May, 2017",
764,Switching to Learn,"Shahin Shahrampour, Mohammad Amin Rahimian, Ali Jadbabaie","11 March, 2015",
765,Precision Matrix Estimation with Noisy and Missing Data,"Roger Fan, Byoungwook Jang, Yuekai Sun, Shuheng Zhou","6 April, 2019",
766,PAG2ADMG: An Algorithm for the Complete Causal Enumeration of a Markov Equivalence Class,Nishant Subramani,"18 January, 2018",
767,Are Saddles Good Enough for Deep Learning?,"Adepu Ravi Sankar, Vineeth N Balasubramanian","7 June, 2017",
768,Generalized Low Rank Models,"Madeleine Udell, Corinne Horn, Reza Zadeh, Stephen Boyd","5 May, 2015",
769,Expectation Propagation for Approximate Inference: Free Probability Framework,"Burak akmak, Manfred Opper","9 May, 2018",
770,Attention-based Lane Change Prediction,"Oliver Scheel, Naveen Shankar Nagaraja, Loren Schwarz, Nassir Navab, Federico Tombari","7 March, 2019",
771,Costing Generated Runtime Execution Plans for Large-Scale Machine Learning Programs,Matthias Boehm,"22 March, 2015",
772,Maximum Entropy Kernels for System Identification,"Francesca Paola Carli, Tianshi Chen, Lennart Ljung","15 January, 2016",
773,BOCK : Bayesian Optimization with Cylindrical Kernels,"ChangYong Oh, Efstratios Gavves, Max Welling","5 June, 2018",
774,Sample-Efficient Learning of Mixtures,"Hassan Ashtiani, Shai Ben-David, Abbas Mehrabian","3 June, 2018",
775,Taskonomy: Disentangling Task Transfer Learning,"Amir Zamir, Alexander Sax, William Shen, Leonidas Guibas, Jitendra Malik, Silvio Savarese","23 April, 2018",
776,Recurrence required to capture the dynamic computations of the human ventral visual stream,"Tim C Kietzmann, Courtney J Spoerer, Lynn Srensen, Radoslaw M Cichy, Olaf Hauk, Nikolaus Kriegeskorte","14 March, 2019",
777,Optimizing Sponsored Search Ranking Strategy by Deep Reinforcement Learning,"Li He, Liang Wang, Kaipeng Liu, Bo Wu, Weinan Zhang","26 March, 2018",
778,Reducing the Training Time of Neural Networks by Partitioning,"Conrado S. Miranda, Fernando J. Von Zuben","3 January, 2016",
779,Stochastic Zeroth-order Optimization in High Dimensions,"Yining Wang, Simon Du, Sivaraman Balakrishnan, Aarti Singh","25 February, 2018",
780,Fusion of ANN and SVM Classifiers for Network Attack Detection,"Takwa Omrani, Adel Dallali, Bilgacem Chibani Rhaimi, Jaouhar Fattahi","9 January, 2018",
781,An Overview of Melanoma Detection in Dermoscopy Images Using Image Processing and Machine Learning,"Nabin K. Mishra, M. Emre Celebi","28 January, 2016",
782,Statistical Regression to Predict Total Cumulative CPU Usage of MapReduce Jobs,"Nikzad Babaii Rizvandi, Javid Taheri, Reza Moraveji, Albert Y. Zomaya","14 March, 2013",
783,Mean Estimation from One-Bit Measurements,"Alon Kipnis, John C. Duchi","10 January, 2019",
784,Using Reinforcement Learning for Demand Response of Domestic Hot Water Buffers: a Real-Life Demonstration,"Oscar De Somer, Ana Soares, Tristan Kuijpers, Koen Vossen, Koen Vanthournout, Fred Spiessens","16 March, 2017",
785,Semi-Unsupervised Learning with Deep Generative Models: Clustering and Classifying using Ultra-Sparse Labels,"Matthew Willetts, Stephen J Roberts, Christopher C Holmes","24 January, 2019",
786,On the Implementation of the Probabilistic Logic Programming Language ProbLog,"Angelika Kimmig, Bart Demoen, Luc De Raedt, Vtor Santos Costa, Ricardo Rocha","23 June, 2010","Theory and Practice of Logic Programming, 11, 235-262, 2011"
787,A Brief History of Learning Classifier Systems: From CS-1 to XCS,Larry Bull,"7 February, 2014",
788,Distributed Inexact Damped Newton Method: Data Partitioning and Load-Balancing,"Chenxin Ma, Martin Tak?","16 March, 2016",
789,Distributed Nesterov gradient methods over arbitrary graphs,"Ran Xin, Dusan Jakovetic, Usman A. Khan","21 January, 2019",
790,DJ-MC: A Reinforcement-Learning Agent for Music Playlist Recommendation,"Elad Liebman, Maytal Saar-Tsechansky, Peter Stone","25 March, 2015",
791,What Can Machine Learning Teach Us about Communications?,"Mengke Lian, Christian Hger, Henry D. Pfister","23 January, 2019",
792,Subspace Match Probably Does Not Accurately Assess the Similarity of Learned Representations,Jeremiah Johnson,"3 January, 2019",
793,Improved Deep Speaker Feature Learning for Text-Dependent Speaker Recognition,"Lantian Li, Yiye Lin, Zhiyong Zhang, Dong Wang","27 June, 2015",
794,On learning parametric-output HMMs,"Aryeh Kontorovich, Boaz Nadler, Roi Weiss","25 February, 2013",
795,Jointly Sparse Convolutional Neural Networks in Dual Spatial-Winograd Domains,"Yoojin Choi, Mostafa El-Khamy, Jungwon Lee","20 February, 2019",
796,White-to-Black: Efficient Distillation of Black-Box Adversarial Attacks,"Yotam Gil, Yoav Chai, Or Gorodissky, Jonathan Berant","4 April, 2019",
797,CodeX: Bit-Flexible Encoding for Streaming-based FPGA Acceleration of DNNs,"Mohammad Samragh, Mojan Javaheripi, Farinaz Koushanfar","16 January, 2019",
798,Transmission Matrix Inference via Pseudolikelihood Decimation,"Daniele Ancora, Luca Leuzzi","13 March, 2019",
799,Learning Heteroscedastic Models by Convex Programming under Group Sparsity,"Arnak S. Dalalyan, Mohamed Hebiri, Katia Mziani, Joseph Salmon","16 April, 2013",
800,Weakly-supervised Dictionary Learning,"Zeyu You, Raviv Raich, Xiaoli Z. Fern, Jinsub Kim","5 February, 2018",
801,Learning Dexterous Manipulation for a Soft Robotic Hand from Human Demonstration,"Abhishek Gupta, Clemens Eppner, Sergey Levine, Pieter Abbeel","20 March, 2017",
802,Graph Structure Learning from Unlabeled Data for Event Detection,"Sriram Somanchi, Daniel B. Neill","5 January, 2017",
803,Batch-Expansion Training: An Efficient Optimization Framework,"Micha? Derezi?ski, Dhruv Mahajan, S. Sathiya Keerthi, S. V. N. Vishwanathan, Markus Weimer","23 February, 2018",
804,Quantum machine learning with glow for episodic tasks and decision games,"Jens Clausen, Hans J. Briegel","27 January, 2016","Phys. Rev. A 97, 022303 (2018)"
805,Unified Visual-Semantic Embeddings: Bridging Vision and Language with Structured Meaning Representations,"Hao Wu, Jiayuan Mao, Yufeng Zhang, Yuning Jiang, Lei Li, Weiwei Sun, Wei-Ying Ma","11 April, 2019",
806,Nonlinear ICA Using Auxiliary Variables and Generalized Contrastive Learning,"Aapo Hyvarinen, Hiroaki Sasaki, Richard E. Turner","4 February, 2019",
807,Uncertainty-aware performance assessment of optical imaging modalities with invertible neural networks,"Tim J. Adler, Lynton Ardizzone, Anant Vemuri, Leonardo Ayala, Janek Grhl, Thomas Kirchner, Sebastian Wirkert, Jakob Kruse, Carsten Rother, Ullrich Kthe, Lena Maier-Hein","8 March, 2019",
808,Dank Learning: Generating Memes Using Deep Neural Networks,"Abel L Peirson V, E Meltem Tolunay","7 June, 2018",
809,On the Covariance-Hessian Relation in Evolution Strategies,"Ofer M. Shir, Amir Yehudayoff","10 June, 2018",
810,Learning from Imprecise and Fuzzy Observations: Data Disambiguation through Generalized Loss Minimization,Eyke Hllermeier,"3 May, 2013","International Journal of Approximate Reasoning, 55(7):1519-1534, 2014"
811,Deep learning as optimal control problems: models and numerical methods,"Martin Benning, Elena Celledoni, Matthias J. Ehrhardt, Brynjulf Owren, Carola-Bibiane Schnlieb","11 April, 2019",
812,Adversarial Mixup Resynthesizers,"Christopher Beckham, Sina Honari, Alex Lamb, Vikas Verma, Farnoosh Ghadiri, R Devon Hjelm, Christopher Pal","4 April, 2019",
813,Predicting Glaucoma Visual Field Loss by Hierarchically Aggregating Clustering-based Predictors,"Motohide Higaki, Kai Morino, Hiroshi Murata, Ryo Asaoka, Kenji Yamanishi","23 March, 2016",
814,Criticality & Deep Learning II: Momentum Renormalisation Group,"Dan Oprisa, Peter Toth","31 May, 2017",
815,Stable specification search in structural equation model with latent variables,"Ridho Rahmadi, Perry Groot, Tom Heskes","24 May, 2018",
816,REGAL: A Regularization based Algorithm for Reinforcement Learning in Weakly Communicating MDPs,"Peter L. Bartlett, Ambuj Tewari","9 May, 2012",
817,Robust Sparse Blind Source Separation,"Cecile Chenot, Jerome Bobin, Jeremy Rapin","25 April, 2016",
818,Revisiting the Nystrom Method for Improved Large-Scale Machine Learning,"Alex Gittens, Michael W. Mahoney","3 June, 2013",
819,Early warning in egg production curves from commercial hens: A SVM approach,"Ivn Ramrez Morales, Daniel Rivero Cebrin, Enrique Fernndez Blanco, Alejandro Pazos Sierra","8 April, 2019","Early warning in egg production curves from commercial hens: A SVM approach, Computers and Electronics in Agriculture, Volume 121, 2016, Pages 169-179, ISSN 0168-1699, https://doi.org/10.1016/j.compag.2015.12.009"
820,Feature Selection for Data Integration with Mixed Multi-view Data,"Yulia Baker, Tiffany M. Tang, Genevera I. Allen","26 March, 2019",
821,Firefly Monte Carlo: Exact MCMC with Subsets of Data,"Dougal Maclaurin, Ryan P. Adams","22 March, 2014",
822,Diagnostic Classification Of Lung Nodules Using 3D Neural Networks,"Raunak Dey, Zhongjie Lu, Yi Hong","19 March, 2018",
823,RAVEN: A Dataset for Relational and Analogical Visual rEasoNing,"Chi Zhang, Feng Gao, Baoxiong Jia, Yixin Zhu, Song-Chun Zhu","7 March, 2019",
824,Where are we now? A large benchmark study of recent symbolic regression methods,"Patryk Orzechowski, William La Cava, Jason H. Moore","7 June, 2018",
825,Hamiltonian Annealed Importance Sampling for partition function estimation,"Jascha Sohl-Dickstein, Benjamin J. Culpepper","9 May, 2012",
826,Bounded Optimal Exploration in MDP,Kenji Kawaguchi,"5 April, 2016",
827,Toward Optimal Stratification for Stratified Monte-Carlo Integration,"Alexandra Carpentier, Remi Munos","12 March, 2013",
828,Contrasting information theoretic decompositions of modulatory and arithmetic interactions in neural information processing systems,"Jim W. Kay, William A. Phillips","15 March, 2018",
829,Augmenting Gastrointestinal Health: A Deep Learning Approach to Human Stool Recognition and Characterization in Macroscopic Images,"David Hachuel, Akshay Jha, Deborah Estrin, Alfonso Martinez, Kyle Staller, Christopher Velez","25 March, 2019",
830,On assumption-free tests and confidence intervals for causal effects estimated by machine learning,"Lin Liu, Rajarshi Mukherjee, James M Robins","8 April, 2019",
831,"Fast Incremental von Neumann Graph Entropy Computation: Theory, Algorithm, and Applications","Pin-Yu Chen, Lingfei Wu, Sijia Liu, Indika Rajapakse","29 May, 2018",
832,Diverse Landmark Sampling from Determinantal Point Processes for Scalable Manifold Learning,"Christian Wachinger, Polina Golland","11 March, 2015",
833,Accelerating Natural Gradient with Higher-Order Invariance,"Yang Song, Jiaming Song, Stefano Ermon","7 June, 2018",
834,Beyond One-Step-Ahead Forecasting: Evaluation of Alternative Multi-Step-Ahead Forecasting Models for Crude Oil Prices,"Tao Xiong, Yukun Bao, Zhongyi Hu","7 January, 2014","Energy Economics. 40, 2013: 405-415"
835,Finding GEMS: Multi-Scale Dictionaries for High-Dimensional Graph Signals,"Yael Yankelevsky, Michael Elad","14 June, 2018",
836,Machine learning on images using a string-distance,"Uzi Chester, Joel Ratsaby","17 May, 2013",
837,Simple Question Answering with Subgraph Ranking and Joint-Scoring,"Wenbo Zhao, Tagyoung Chung, Anuj Goyal, Angeliki Metallinou","3 April, 2019",
838,A New Approach for Distributed Hypothesis Testing with Extensions to Byzantine-Resilience,"Aritra Mitra, John A. Richards, Shreyas Sundaram","14 March, 2019",
839,Layer-wise learning of deep generative models,"Ludovic Arnold, Yann Ollivier","16 February, 2013",
840,Optimal link prediction with matrix logistic regression,"Nicolai Baldin, Quentin Berthet","19 March, 2018",
841,Variational Relevance Vector Machines,"Christopher M. Bishop, Michael Tipping","16 January, 2013",
842,Artificial Neural Networks,B. Mehlig,"1 February, 2019",
843,Dynamic Decomposition of Spatiotemporal Neural Signals,"Luca Ambrogioni, Marcel A. J. van Gerven, Eric Maris","9 May, 2016",
844,Statistical and Algorithmic Perspectives on Randomized Sketching for Ordinary Least-Squares -- ICML,"Garvesh Raskutti, Michael Mahoney","25 May, 2015",
845,Do Outliers Ruin Collaboration?,Mingda Qiao,"12 May, 2018",
846,Polarization Measurement of High Dimensional Social Media Messages With Support Vector Machine Algorithm Using Mapreduce,Ferhat zgr atak,"11 March, 2015",
847,High-Dimensional Regularized Discriminant Analysis,"John A. Ramey, Caleb K. Stein, Phil D. Young, Dean M. Young","5 February, 2017",
848,Etiqueter un corpus oral par apprentissage automatique  l'aide de connaissances linguistiques,"Iris Eshkol, Isabelle Tellier, Taalab Samer, Sylvie Billot","30 March, 2010","10mes Journes Internationales d'Analyse statistique des Donnes Textuelles JADT'2010, Rome : Italie (2010)"
849,Towards Imperceptible and Robust Adversarial Example Attacks against Neural Networks,"Bo Luo, Yannan Liu, Lingxiao Wei, Qiang Xu","15 January, 2018",
850,The Use of Unlabeled Data versus Labeled Data for Stopping Active Learning for Text Classification,"Garrett Beatty, Ethan Kochis, Michael Bloodgood","25 January, 2019",
851,On the Optimization of Deep Networks: Implicit Acceleration by Overparameterization,"Sanjeev Arora, Nadav Cohen, Elad Hazan","11 June, 2018",
852,Asynchronous Distributed ADMM for Large-Scale Optimization- Part I: Algorithm and Convergence Analysis,"Tsung-Hui Chang, Mingyi Hong, Wei-Cheng Liao, Xiangfeng Wang","19 February, 2016",
853,Natural Language Statistical Features of LSTM-generated Texts,"Marco Lippi, Marcelo A Montemurro, Mirko Degli Esposti, Giampaolo Cristadoro","10 April, 2018",
854,Residual Gated Graph ConvNets,"Xavier Bresson, Thomas Laurent","24 April, 2018",
855,Online Structured Laplace Approximations For Overcoming Catastrophic Forgetting,"Hippolyt Ritter, Aleksandar Botev, David Barber","20 May, 2018",
856,On-line learning dynamics of ReLU neural networks using statistical physics techniques,"Michiel Straat, Michael Biehl","18 March, 2019",
857,Spatial Mixture Models with Learnable Deep Priors for Perceptual Grouping,"Jinyang Yuan, Bin Li, Xiangyang Xue","7 February, 2019",
858,Neural Graph Machines: Learning Neural Networks Using Graphs,"Thang D. Bui, Sujith Ravi, Vivek Ramavajjala","14 March, 2017",
859,Multi-Armed Bandit Strategies for Non-Stationary Reward Distributions and Delayed Feedback Processes,"Larkin Liu, Richard Downe, Joshua Reid","22 February, 2019",
860,Heteroscedastic Treed Bayesian Optimisation,"John-Alexander M. Assael, Ziyu Wang, Bobak Shahriari, Nando de Freitas","4 March, 2015",
861,Kernel Partial Least Squares is Universally Consistent,"Gilles Blanchard, Nicole Kraemer","14 January, 2010","JMLR Workshop and Conference Proceedings 9 (AISTATS 2010) 57-64, 2010"
862,A short review on Applications of Deep learning for Cyber security,"Mohammed Harun Babu R, Vinayakumar R, Soman KP","29 January, 2019",
863,Learning Memory Access Patterns,"Milad Hashemi, Kevin Swersky, Jamie A. Smith, Grant Ayers, Heiner Litz, Jichuan Chang, Christos Kozyrakis, Parthasarathy Ranganathan","6 March, 2018",
864,Between Pure and Approximate Differential Privacy,"Thomas Steinke, Jonathan Ullman","24 January, 2015",
865,Active learning for enumerating local minima based on Gaussian process derivatives,"Yu Inatsu, Daisuke Sugita, Kazuaki Toyoura, Ichiro Takeuchi","7 March, 2019",
866,A Universal Approximation Theorem for Mixture of Experts Models,"Hien D Nguyen, Luke R Lloyd-Jones, Geoffrey J McLachlan","11 February, 2016",
867,Stochastic Gradient MCMC for Nonlinear State Space Models,"Christopher Aicher, Srshti Putcha, Christopher Nemeth, Paul Fearnhead, Emily B. Fox","29 January, 2019",
868,A Neural Network model with Bidirectional Whitening,"Yuki Fujimoto, Toru Ohira","24 April, 2017","In: Rutkowski L., Scherer R., Korytkowski M., Pedrycz W., Tadeusiewicz R., Zurada J. (eds) Artificial Intelligence and Soft Computing. ICAISC 2018. Lecture Notes in Computer Science, vol 10841. Springer, Cham"
869,Constructing Time Series Shape Association Measures: Minkowski Distance and Data Standardization,Ildar Batyrshin,"20 May, 2014","Published in Proceedings of BRICS CCI 2013, Porto de Galinhas, Brasil, 8-11 September 2013"
870,Unsupervised neural and Bayesian models for zero-resource speech processing,Herman Kamper,"3 January, 2017",
871,LOCO: Distributing Ridge Regression with Random Projections,"Christina Heinze, Brian McWilliams, Nicolai Meinshausen, Gabriel Krummenacher","8 June, 2015",
872,A Neural Multi-sequence Alignment TeCHnique (NeuMATCH),"Pelin Dogan, Boyang Li, Leonid Sigal, Markus Gross","9 April, 2018",
873,Understanding Membership Inferences on Well-Generalized Learning Models,"Yunhui Long, Vincent Bindschaedler, Lei Wang, Diyue Bu, Xiaofeng Wang, Haixu Tang, Carl A. Gunter, Kai Chen","13 February, 2018",
874,Learning Compact Recurrent Neural Networks with Block-Term Tensor Decomposition,"Jinmian Ye, Linnan Wang, Guangxi Li, Di Chen, Shandian Zhe, Xinqi Chu, Zenglin Xu","11 May, 2018",
875,Large-Scale Plant Classification with Deep Neural Networks,Ignacio Heredia,"12 June, 2017","ACM CF'17 Proceedings of the Computing Frontiers Conference (2017), 259-262"
876,Context-Based Dynamic Pricing with Online Clustering,"Sentao Miao, Xi Chen, Xiuli Chao, Jiaxi Liu, Yidong Zhang","16 February, 2019",
877,Optimal Matrix Momentum Stochastic Approximation and Applications to Q-learning,"Adithya M. Devraj, Ana Bui?, Sean Meyn","5 February, 2019",
878,Composite Marginal Likelihood Methods for Random Utility Models,"Zhibing Zhao, Lirong Xia","4 June, 2018",
879,Learning to Modulate for Non-coherent MIMO,"Ye Wang, Toshiaki Koike-Akino","8 March, 2019",
880,Polynomial-time probabilistic reasoning with partial observations via implicit learning in probability logics,Brendan Juba,"28 June, 2018",
881,Recurrent Convolution for Compact and Cost-Adjustable Neural Networks: An Empirical Study,"Zhendong Zhang, Cheolkon Jung","26 February, 2019",
882,Efficiently Using Second Order Information in Large l1 Regularization Problems,"Xiaocheng Tang, Katya Scheinberg","27 March, 2013",
883,"Learning ReLU Networks on Linearly Separable Data: Algorithm, Optimality, and Generalization","Gang Wang, Georgios B. Giannakis, Jie Chen","6 April, 2019",
884,Fuzzy Rough Set Feature Selection to Enhance Phishing Attack Detection,"Mahdieh Zabihimayvan, Derek Doran","13 March, 2019",
885,Independently Controllable Features,"Emmanuel Bengio, Valentin Thomas, Joelle Pineau, Doina Precup, Yoshua Bengio","22 March, 2017",
886,Noise2Self: Blind Denoising by Self-Supervision,"Joshua Batson, Loic Royer","30 January, 2019",
887,Unsupervised Speech Enhancement Based on Multichannel NMF-Informed Beamforming for Noise-Robust Automatic Speech Recognition,"Kazuki Shimada, Yoshiaki Bando, Masato Mimura, Katsutoshi Itoyama, Kazuyoshi Yoshii, Tatsuya Kawahara","31 March, 2019",
888,Multi-Objective Non-parametric Sequential Prediction,"Guy Uziel, Ran El-Yaniv","19 March, 2017",
889,Multimodal Representation Learning using Deep Multiset Canonical Correlation,"Krishna Somandepalli, Naveen Kumar, Ruchir Travadi, Shrikanth Narayanan","3 April, 2019",
890,Spectral M-estimation with Applications to Hidden Markov Models,"Dustin Tran, Minjae Kim, Finale Doshi-Velez","29 March, 2016",
891,Sparse Linear Regression With Missing Data,"Ravi Ganti, Rebecca M. Willett","28 March, 2015",
892,A Rank-1 Sketch for Matrix Multiplicative Weights,"Yair Carmon, John C. Duchi, Aaron Sidford, Kevin Tian","6 March, 2019",
893,Two Step CCA: A new spectral method for estimating vector models of words,"Paramveer Dhillon, Jordan Rodu, Dean Foster, Lyle Ungar","27 June, 2012",
894,Uniform concentration and symmetrization for weak interactions,"Andreas Maurer, Massimiliano Pontil","17 February, 2019",
895,A Neural-Network-Based Model Predictive Control of Three-Phase Inverter With an Output LC Filter,"Ihab S. Mohamed, Stefano Rovetta, Ahmed A. Zaki Diab, Ton Duc Do","22 February, 2019",
896,Deep active subspaces - a scalable method for high-dimensional uncertainty propagation,"Rohit Tripathy, Ilias Bilionis","28 February, 2019",
897,Extractive Summarization using Deep Learning,"Sukriti Verma, Vagisha Nidhi","9 January, 2019",
898,An Unsupervised Method for Estimating the Global Horizontal Irradiance from Photovoltaic Power Measurements,"Lorenzo Nespoli, Vasco Medici","22 February, 2018","Solar Energy Volume 158, December 2017, Pages 701-710"
899,Constraint-free Graphical Model with Fast Learning Algorithm,"Kazuya Takabatake, Shotaro Akaho","17 June, 2012",
900,Active Feature Acquisition with Supervised Matrix Completion,"Sheng-Jun Huang, Miao Xu, Ming-Kun Xie, Masashi Sugiyama, Gang Niu, Songcan Chen","4 June, 2018",
901,Expected Policy Gradients for Reinforcement Learning,"Kamil Ciosek, Shimon Whiteson","10 January, 2018",
902,Query Learning with Exponential Query Costs,"Gowtham Bellala, Suresh Bhavnani, Clayton Scott","21 February, 2010",
903,Convergence Analysis of Gradient Descent Algorithms with Proportional Updates,"Igor Gitman, Deepak Dilipkumar, Ben Parr","9 January, 2018",
904,Fashion Conversation Data on Instagram,"Yu-I Ha, Sejeong Kwon, Meeyoung Cha, Jungseock Joo","13 April, 2017",
905,Communication Topologies Between Learning Agents in Deep Reinforcement Learning,"Dhaval Adjodah, Dan Calacci, Abhimanyu Dubey, Anirudh Goyal, Peter Krafft, Esteban Moro, Alex Pentland","16 February, 2019",
906,Robust Nonnegative Matrix Factorization via $L_1$ Norm Regularization,"Bin Shen, Luo Si, Rongrong Ji, Baodi Liu","10 April, 2012",
907,Learning Sparse Neural Networks through $L_0$ Regularization,"Christos Louizos, Max Welling, Diederik P. Kingma","22 June, 2018",
908,Recovering communities in the general stochastic block model without knowing the parameters,"Emmanuel Abbe, Colin Sandon","11 June, 2015",
909,Concept Drift and Anomaly Detection in Graph Streams,"Daniele Zambon, Cesare Alippi, Lorenzo Livi","9 February, 2018",
910,Clustering With Pairwise Relationships: A Generative Approach,"Yen-Yun Yu, Shireen Y. Elhabian, Ross T. Whitaker","6 May, 2018",
911,Efforts estimation of doctors annotating medical image,"Yang Deng, Yao Sun, Yongpei Zhu, Yue Xu, Qianxi Yang, Shuo Zhang, Mingwang Zhu, Jirang Sun, Weiling Zhao, Xiaobo Zhou, Kehong Yuan","5 January, 2019",
912,On Kernelized Multi-armed Bandits,"Sayak Ray Chowdhury, Aditya Gopalan","17 May, 2017",
913,Stein Variational Online Changepoint Detection with Applications to Hawkes Processes and Neural Networks,"Gianluca Detommaso, Hanne Hoitzing, Tiangang Cui, Ardavan Alamir","23 January, 2019",
914,Gene selection with guided regularized random forest,"Houtao Deng, George Runger","20 June, 2013",
915,Neutron drip line in the Ca region from Bayesian model averaging,"Lo Neufcourt, Yuchen Cao, Witold Nazarewicz, Erik Olsen, Frederi Viens","22 January, 2019","Phys. Rev. Lett. 122, 062502 (2019)"
916,Bayesian Inference for Gaussian Process Classifiers with Annealing and Pseudo-Marginal MCMC,Maurizio Filippone,"26 May, 2014",
917,Memory-Efficient Adaptive Optimization for Large-Scale Learning,"Rohan Anil, Vineet Gupta, Tomer Koren, Yoram Singer","30 January, 2019",
918,Consistent On-Line Off-Policy Evaluation,"Assaf Hallak, Shie Mannor","23 February, 2017",
919,Edge Label Inference in Generalized Stochastic Block Models: from Spectral Theory to Impossibility Results,"Jiaming Xu, Laurent Massouli, Marc Lelarge","26 June, 2014",
920,Sample Complexity of Episodic Fixed-Horizon Reinforcement Learning,"Christoph Dann, Emma Brunskill","11 May, 2016",
921,How Much Data is Enough? A Statistical Approach with Case Study on Longitudinal Driving Behavior,"Wenshuo Wang, Chang Liu, Ding Zhao","23 June, 2017",
922,Learning to Rank Personalized Search Results in Professional Networks,"Viet Ha-Thuc, Shakti Sinha","15 May, 2016",SIGIR 2016
923,Actor-Critic Instance Segmentation,"Nikita Araslanov, Constantin Rothkopf, Stefan Roth","10 April, 2019",
924,Reducing Runtime by Recycling Samples,"Jialei Wang, Hai Wang, Nathan Srebro","5 February, 2016",
925,Dynamic Assortment Selection under the Nested Logit Models,"Xi Chen, Yining Wang, Yuan Zhou","27 June, 2018",
926,Bayesian Hybrid Matrix Factorisation for Data Integration,"Thomas Brouwer, Pietro Li","17 April, 2017","PMLR 54:557-566, 2017"
