ID,Title,Authors,Date,Journal-ref
1102,More Effective Distributed ML via a Stale Synchronous Parallel Parameter Server,"Qirong Ho, James Cipar, Henggang Cui, Seunghak Lee, Jin Kyu Kim, Phillip B. Gibbons, Garth A. Gibson, Greg Ganger, Eric P. Xing",December 2013,Neurips 2013
1103,Bayesian Estimation of Latently-grouped Parameters in Undirected Graphical Models,"Jie Liu, David Page",December 2013,Neurips 2013
1104,Online Learning with Switching Costs and Other Adaptive Adversaries,"Nicol Cesa-Bianchi, Ofer Dekel, Ohad Shamir",December 2013,Neurips 2013
1105,Sparse nonnegative deconvolution for compressive calcium imaging: algorithms and phase transitions,"Eftychios A. Pnevmatikakis, Liam Paninski",December 2013,Neurips 2013
1106,A Novel Two-Step Method for Cross Language Representation Learning,"Min Xiao, Yuhong Guo",December 2013,Neurips 2013
1107,On Sampling from the Gibbs Distribution with Random Maximum A-Posteriori Perturbations,"Tamir Hazan, Subhransu Maji, Tommi Jaakkola",December 2013,Neurips 2013
1108,Graphical Models for Inference with Missing Data,"Karthika Mohan, Judea Pearl, Jin Tian",December 2013,Neurips 2013
1109,Reshaping Visual Datasets for Domain Adaptation,"Boqing Gong, Kristen Grauman, Fei Sha",December 2013,Neurips 2013
1110,Statistical Active Learning Algorithms,"Maria-Florina F. Balcan, Vitaly Feldman",December 2013,Neurips 2013
1111,Bayesian Inference and Online Experimental Design for Mapping Neural Microcircuits,"Ben Shababo, Brooks Paige, Ari Pakman, Liam Paninski",December 2013,Neurips 2013
1112,Reflection methods for user-friendly submodular optimization,"Stefanie Jegelka, Francis Bach, Suvrit Sra",December 2013,Neurips 2013
1113,Unsupervised Structure Learning of Stochastic And-Or Grammars,"Kewei Tu, Maria Pavlovskaia, Song-Chun Zhu",December 2013,Neurips 2013
1114,Convex Tensor Decomposition via Structured Schatten Norm Regularization,"Ryota Tomioka, Taiji Suzuki",December 2013,Neurips 2013
1115,Stochastic Ratio Matching of RBMs for Sparse High-Dimensional Inputs,"Yann Dauphin, Yoshua Bengio",December 2013,Neurips 2013
1116,Learning Chordal Markov Networks by Constraint Satisfaction,"Jukka Corander, Tomi Janhunen, Jussi Rintanen, Henrik Nyman, Johan Pensar",December 2013,Neurips 2013
1117,Parametric Task Learning,"Ichiro Takeuchi, Tatsuya Hongo, Masashi Sugiyama, Shinichi Nakajima",December 2013,Neurips 2013
1118,A Deep Architecture for Matching Short Texts,"Zhengdong Lu, Hang Li",December 2013,Neurips 2013
1119,Computing the Stationary Distribution Locally,"Christina E. Lee, Asuman Ozdaglar, Devavrat Shah",December 2013,Neurips 2013
1120,Nonparametric Multi-group Membership Model for Dynamic Networks,"Myunghwan Kim, Jure Leskovec",December 2013,Neurips 2013
1121,Adaptive Step-Size for Policy Gradient Methods,"Matteo Pirotta, Marcello Restelli, Luca Bascetta",December 2013,Neurips 2013
1122,Optimistic Concurrency Control for Distributed Unsupervised Learning,"Xinghao Pan, Joseph E. Gonzalez, Stefanie Jegelka, Tamara Broderick, Michael I. Jordan",December 2013,Neurips 2013
1123,Reservoir Boosting : Between Online and Offline Ensemble Learning,"Leonidas Lefakis, Franois Fleuret",December 2013,Neurips 2013
1124,Multiclass Total Variation Clustering,"Xavier Bresson, Thomas Laurent, David Uminsky, James von Brecht",December 2013,Neurips 2013
1125,Approximate Inference in Continuous Determinantal Processes,"Raja Hafiz Affandi, Emily Fox, Ben Taskar",December 2013,Neurips 2013
1126,Global Solver and Its Efficient Approximation for Variational Bayesian Low-rank Subspace Clustering,"Shinichi Nakajima, Akiko Takeda, S. Derin Babacan, Masashi Sugiyama, Ichiro Takeuchi",December 2013,Neurips 2013
1127,Thompson Sampling for 1-Dimensional Exponential Family Bandits,"Nathaniel Korda, Emilie Kaufmann, Remi Munos",December 2013,Neurips 2013
1128,Active Learning for Probabilistic Hypotheses Using the Maximum Gibbs Error Criterion,"Nguyen Viet Cuong, Wee Sun Lee, Nan Ye, Kian Ming A. Chai, Hai Leong Chieu",December 2013,Neurips 2013
1129,It is all in the noise: Efficient multi-task Gaussian process inference with structured residuals,"Barbara Rakitsch, Christoph Lippert, Karsten Borgwardt, Oliver Stegle",December 2013,Neurips 2013
1130,Convex Calibrated Surrogates for Low-Rank Loss Matrices with Applications to Subset Ranking Losses,"Harish G. Ramaswamy, Shivani Agarwal, Ambuj Tewari",December 2013,Neurips 2013
1131,Inverse Density as an Inverse Problem: the Fredholm Equation Approach,"Qichao Que, Mikhail Belkin",December 2013,Neurips 2013
1132,Adaptive Multi-Column Deep Neural Networks with Application to Robust Image Denoising,"Forest Agostinelli, Michael R. Anderson, Honglak Lee",December 2013,Neurips 2013
1133,EDML for Learning Parameters in Directed and Undirected Graphical Models,"Khaled S. Refaat, Arthur Choi, Adnan Darwiche",December 2013,Neurips 2013
1134,Similarity Component Analysis,"Soravit Changpinyo, Kuan Liu, Fei Sha",December 2013,Neurips 2013
1135,Approximate Bayesian Image Interpretation using Generative Probabilistic Graphics Programs,"Vikash K. Mansinghka, Tejas D. Kulkarni, Yura N. Perov, Josh Tenenbaum",December 2013,Neurips 2013
1136,Local Privacy and Minimax Bounds: Sharp Rates for Probability Estimation,"John Duchi, Martin J. Wainwright, Michael I. Jordan",December 2013,Neurips 2013
1137,Firing rate predictions in optimal balanced networks,"David G. Barrett, Sophie Denve, Christian K. Machens",December 2013,Neurips 2013
1138,Manifold-based Similarity Adaptation for Label Propagation,"Masayuki Karasuyama, Hiroshi Mamitsuka",December 2013,Neurips 2013
1139,Non-Uniform Camera Shake Removal Using a Spatially-Adaptive Sparse Penalty,"Haichao Zhang, David Wipf",December 2013,Neurips 2013
1140,Near-Optimal Entrywise Sampling for Data Matrices,"Dimitris Achlioptas, Zohar S. Karnin, Edo Liberty",December 2013,Neurips 2013
1141,Learning to Prune in Metric and Non-Metric Spaces,"Leonid Boytsov, Bilegsaikhan Naidan",December 2013,Neurips 2013
1142,Online learning in episodic Markovian decision processes by relative entropy policy search,"Alexander Zimin, Gergely Neu",December 2013,Neurips 2013
1143,Optimistic policy iteration and natural actor-critic: A unifying view and a non-optimality result,Paul Wagner,December 2013,Neurips 2013
1144,Bayesian Hierarchical Community Discovery,"Charles Blundell, Yee Whye Teh",December 2013,Neurips 2013
1145,From Bandits to Experts: A Tale of Domination and Independence,"Noga Alon, Nicol Cesa-Bianchi, Claudio Gentile, Yishay Mansour",December 2013,Neurips 2013
1146,Predictive PAC Learning and Process Decompositions,"Cosma Shalizi, Aryeh Kontorovich",December 2013,Neurips 2013
1147,Pass-efficient unsupervised feature selection,"Crystal Maung, Haim Schweitzer",December 2013,Neurips 2013
1148,Simultaneous Rectification and Alignment via Robust Recovery of Low-rank Tensors,"Xiaoqin Zhang, Di Wang, Zhengyuan Zhou, Yi Ma",December 2013,Neurips 2013
1149,Bayesian Mixture Modelling and Inference based Thompson Sampling in Monte-Carlo Tree Search,"Aijun Bai, Feng Wu, Xiaoping Chen",December 2013,Neurips 2013
1150,Solving inverse problem of Markov chain with partial observations,"Tetsuro Morimura, Takayuki Osogami, Tsuyoshi Ide",December 2013,Neurips 2013
1151,Locally Adaptive Bayesian Multivariate Time Series,"Daniele Durante, Bruno Scarpa, David B. Dunson",December 2013,Neurips 2013
1152,Mapping paradigm ontologies to and from the brain,"Yannick Schwartz, Bertrand Thirion, Gael Varoquaux",December 2013,Neurips 2013
1153,Noise-Enhanced Associative Memories,"Amin Karbasi, Amir Hesam Salavati, Amin Shokrollahi, Lav R. Varshney",December 2013,Neurips 2013
1154,Exact and Stable Recovery of Pairwise Interaction Tensors,"Shouyuan Chen, Michael R. Lyu, Irwin King, Zenglin Xu",December 2013,Neurips 2013
1155,Bayesian entropy estimation for binary spike train data using parametric prior knowledge,"Evan W. Archer, Il Memming Park, Jonathan W. Pillow",December 2013,Neurips 2013
1156,Perfect Associative Learning with Spike-Timing-Dependent Plasticity,"Christian Albers, Maren Westkott, Klaus Pawelzik",December 2013,Neurips 2013
1157,On Poisson Graphical Models,"Eunho Yang, Pradeep K. Ravikumar, Genevera I. Allen, Zhandong Liu",December 2013,Neurips 2013
1158,Streaming Variational Bayes,"Tamara Broderick, Nicholas Boyd, Andre Wibisono, Ashia C. Wilson, Michael I. Jordan",December 2013,Neurips 2013
1159,Gaussian Process Conditional Copulas with Applications to Financial Time Series,"Jos Miguel Hernndez-Lobato, James R. Lloyd, Daniel Hernndez-Lobato",December 2013,Neurips 2013
1160,Extracting regions of interest from biological images with convolutional sparse block coding,"Marius Pachitariu, Adam M. Packer, Noah Pettit, Henry Dalgleish, Michael Hausser, Maneesh Sahani",December 2013,Neurips 2013
1161,Approximate Dynamic Programming Finally Performs Well in the Game of Tetris,"Victor Gabillon, Mohammad Ghavamzadeh, Bruno Scherrer",December 2013,Neurips 2013
1162,"Third-Order Edge Statistics: Contour Continuation, Curvature, and Cortical Connections","Matthew Lawlor, Steven W. Zucker",December 2013,Neurips 2013
1163,DESPOT: Online POMDP Planning with Regularization,"Adhiraj Somani, Nan Ye, David Hsu, Wee Sun Lee",December 2013,Neurips 2013
1164,Matrix Completion From any Given Set of Observations,"Troy Lee, Adi Shraibman",December 2013,Neurips 2013
1165,Regression-tree Tuning in a Streaming Setting,"Samory Kpotufe, Francesco Orabona",December 2013,Neurips 2013
1166,Multiscale Dictionary Learning for Estimating Conditional Distributions,"Francesca Petralia, Joshua T. Vogelstein, David B. Dunson",December 2013,Neurips 2013
1167,Dimension-Free Exponentiated Gradient,Francesco Orabona,December 2013,Neurips 2013
1168,Stochastic Optimization of PCA with Capped MSG,"Raman Arora, Andy Cotter, Nati Srebro",December 2013,Neurips 2013
1169,On Flat versus Hierarchical Classification in Large-Scale Taxonomies,"Rohit Babbar, Ioannis Partalas, Eric Gaussier, Massih R. Amini",December 2013,Neurips 2013
1170,Learning Gaussian Graphical Models with Observed or Latent FVSs,"Ying Liu, Alan Willsky",December 2013,Neurips 2013
1171,Visual Concept Learning: Combining Machine Vision and Bayesian Generalization on Concept Hierarchies,"Yangqing Jia, Joshua T. Abbott, Joseph L. Austerweil, Tom Griffiths, Trevor Darrell",December 2013,Neurips 2013
1172,Robust Bloom Filters for Large MultiLabel Classification Tasks,"Moustapha M. Cisse, Nicolas Usunier, Thierry Artires, Patrick Gallinari",December 2013,Neurips 2013
1173,Solving the multi-way matching problem by permutation synchronization,"Deepti Pachauri, Risi Kondor, Vikas Singh",December 2013,Neurips 2013
1174,Generalizing Analytic Shrinkage for Arbitrary Covariance Structures,"Daniel Bartz, Klaus-Robert Mller",December 2013,Neurips 2013
1175,Top-Down Regularization of Deep Belief Networks,"Hanlin Goh, Nicolas Thome, Matthieu Cord, Joo-Hwee Lim",December 2013,Neurips 2013
1176,Learning Efficient Random Maximum A-Posteriori Predictors with Non-Decomposable Loss Functions,"Tamir Hazan, Subhransu Maji, Joseph Keshet, Tommi Jaakkola",December 2013,Neurips 2013
1177,Heterogeneous-Neighborhood-based Multi-Task Local Learning Algorithms,Yu Zhang,December 2013,Neurips 2013
1178,Machine Teaching for Bayesian Learners in the Exponential Family,Jerry Zhu,December 2013,Neurips 2013
1179,Scoring Workers in Crowdsourcing: How Many Control Questions are Enough?,"Qiang Liu, Alexander T. Ihler, Mark Steyvers",December 2013,Neurips 2013
1180,Action from Still Image Dataset and Inverse Optimal Control to Learn Task Specific Visual Scanpaths,"Stefan Mathe, Cristian Sminchisescu",December 2013,Neurips 2013
1181,A Determinantal Point Process Latent Variable Model for Inhibition in Neural Spiking Data,"Jasper Snoek, Richard Zemel, Ryan P. Adams",December 2013,Neurips 2013
1182,Robust Sparse Principal Component Regression under the High Dimensional Elliptical Model,"Fang Han, Han Liu",December 2013,Neurips 2013
1183,Global MAP-Optimality by Shrinking the Combinatorial Search Area with Convex Relaxation,"Bogdan Savchynskyy, Jrg Hendrik Kappes, Paul Swoboda, Christoph Schnrr",December 2013,Neurips 2013
1184,Near-optimal Anomaly Detection in Graphs using Lovasz Extended Scan Statistic,"James L. Sharpnack, Akshay Krishnamurthy, Aarti Singh",December 2013,Neurips 2013
1185,Demixing odors - fast inference in olfaction,"Agnieszka Grabska-Barwinska, Jeff Beck, Alexandre Pouget, Peter Latham",December 2013,Neurips 2013
1186,Learning Multiple Models via Regularized Weighting,"Daniel Vainsencher, Shie Mannor, Huan Xu",December 2013,Neurips 2013
1187,When are Overcomplete Topic Models Identifiable? Uniqueness of Tensor Tucker Decompositions with Structured Sparsity,"Anima Anandkumar, Daniel J. Hsu, Majid Janzamin, Sham M. Kakade",December 2013,Neurips 2013
1188,Distributed ,"Maria-Florina F. Balcan, Steven Ehrlich, Yingyu Liang",December 2013,Neurips 2013
1189,Multi-Task Bayesian Optimization,"Kevin Swersky, Jasper Snoek, Ryan P. Adams",December 2013,Neurips 2013
1190,Online Learning of Dynamic Parameters in Social Networks,"Shahin Shahrampour, Sasha Rakhlin, Ali Jadbabaie",December 2013,Neurips 2013
1191,A Graphical Transformation for Belief Propagation: Maximum Weight Matchings and Odd-Sized Cycles,"Jinwoo Shin, Andrew E. Gelfand, Misha Chertkov",December 2013,Neurips 2013
1192,Learning with Invariance via Linear Functionals on Reproducing Kernel Hilbert Space,"Xinhua Zhang, Wee Sun Lee, Yee Whye Teh",December 2013,Neurips 2013
1193,Approximate Gaussian process inference for the drift function in stochastic differential equations,"Andreas Ruttor, Philipp Batz, Manfred Opper",December 2013,Neurips 2013
1194,Distributed Submodular Maximization: Identifying Representative Elements in Massive Data,"Baharan Mirzasoleiman, Amin Karbasi, Rik Sarkar, Andreas Krause",December 2013,Neurips 2013
1195,Adaptive Market Making via Online Learning,"Jacob Abernethy, Satyen Kale",December 2013,Neurips 2013
1196,On the Sample Complexity of Subspace Learning,"Alessandro Rudi, Guillermo D. Canas, Lorenzo Rosasco",December 2013,Neurips 2013
1197,Spike train entropy-rate estimation using hierarchical Dirichlet process priors,"Karin C. Knudson, Jonathan W. Pillow",December 2013,Neurips 2013
1198,Embed and Project: Discrete Sampling with Universal Hashing,"Stefano Ermon, Carla P. Gomes, Ashish Sabharwal, Bart Selman",December 2013,Neurips 2013
1199,Discriminative Transfer Learning with Tree-based Priors,"Nitish Srivastava, Ruslan R. Salakhutdinov",December 2013,Neurips 2013
1200,Small-Variance Asymptotics for Hidden Markov Models,"Anirban Roychowdhury, Ke Jiang, Brian Kulis",December 2013,Neurips 2013
1201,Convergence of Monte Carlo Tree Search in Simultaneous Move Games,"Viliam Lisy, Vojta Kovarik, Marc Lanctot, Branislav Bosansky",December 2013,Neurips 2013
1202,DeViSE: A Deep Visual-Semantic Embedding Model,"Andrea Frome, Greg S. Corrado, Jon Shlens, Samy Bengio, Jeff Dean, Marc'Aurelio Ranzato, Tomas Mikolov",December 2013,Neurips 2013
1203,Reward Mapping for Transfer in Long-Lived Agents,"Xiaoxiao Guo, Satinder Singh, Richard L. Lewis",December 2013,Neurips 2013
1204,Minimax Theory for High-dimensional Gaussian Mixtures with Sparse Mean Separation,"Martin Azizyan, Aarti Singh, Larry Wasserman",December 2013,Neurips 2013
1205,Predicting Parameters in Deep Learning,"Misha Denil, Babak Shakibi, Laurent Dinh, Marc'Aurelio Ranzato, Nando de Freitas",December 2013,Neurips 2013
1206,Estimating the Unseen: Improved Estimators for Entropy and other Properties,"Paul Valiant, Gregory Valiant",December 2013,Neurips 2013
1207,What do row and column marginals reveal about your dataset?,"Behzad Golshan, John Byers, Evimaria Terzi",December 2013,Neurips 2013
1208,RNADE: The real-valued neural autoregressive density-estimator,"Benigno Uria, Iain Murray, Hugo Larochelle",December 2013,Neurips 2013
1209,Two-Target Algorithms for Infinite-Armed Bandits with Bernoulli Rewards,"Thomas Bonald, Alexandre Proutiere",December 2013,Neurips 2013
1210,"Reconciling ""priors"" & ""priors"" without prejudice?","Remi Gribonval, Pierre Machart",December 2013,Neurips 2013
1211,Sparse Overlapping Sets Lasso for Multitask Learning and its Application to fMRI Analysis,"Nikhil Rao, Christopher Cox, Rob Nowak, Timothy T. Rogers",December 2013,Neurips 2013
1212,Sensor Selection in High-Dimensional Gaussian Trees with Nuisances,"Daniel S. Levine, Jonathan P. How",December 2013,Neurips 2013
1213,Sequential Transfer in Multi-armed Bandit with Finite Set of Models,"Mohammad Gheshlaghi azar, Alessandro Lazaric, Emma Brunskill",December 2013,Neurips 2013
1214,Buy-in-Bulk Active Learning,"Liu Yang, Jaime Carbonell",December 2013,Neurips 2013
1215,Contrastive Learning Using Spectral Methods,"James Y. Zou, Daniel J. Hsu, David C. Parkes, Ryan P. Adams",December 2013,Neurips 2013
1216,Message Passing Inference with Chemical Reaction Networks,"Nils E. Napp, Ryan P. Adams",December 2013,Neurips 2013
1217,Eluder Dimension and the Sample Complexity of Optimistic Exploration,"Daniel Russo, Benjamin Van Roy",December 2013,Neurips 2013
1218,Learning word embeddings efficiently with noise-contrastive estimation,"Andriy Mnih, Koray Kavukcuoglu",December 2013,Neurips 2013
1219,Sparse Inverse Covariance Estimation with Calibration,"Tuo Zhao, Han Liu",December 2013,Neurips 2013
1220,Stochastic Majorization-Minimization Algorithms for Large-Scale Optimization,Julien Mairal,December 2013,Neurips 2013
1221,Sinkhorn Distances: Lightspeed Computation of Optimal Transport,Marco Cuturi,December 2013,Neurips 2013
1222,Speedup Matrix Completion with Side Information: Application to Multi-Label Learning,"Miao Xu, Rong Jin, Zhi-Hua Zhou",December 2013,Neurips 2013
1223,Compete to Compute,"Rupesh K. Srivastava, Jonathan Masci, Sohrob Kazerounian, Faustino Gomez, Jrgen Schmidhuber",December 2013,Neurips 2013
1224,Fast Determinantal Point Process Sampling with Application to Clustering,Byungkon Kang,December 2013,Neurips 2013
1225,Information-theoretic lower bounds for distributed statistical estimation with communication constraints,"Yuchen Zhang, John Duchi, Michael I. Jordan, Martin J. Wainwright",December 2013,Neurips 2013
1226,Projected Natural Actor-Critic,"Philip S. Thomas, William C. Dabney, Stephen Giguere, Sridhar Mahadevan",December 2013,Neurips 2013
1227,How to Hedge an Option Against an Adversary: Black-Scholes Pricing is Minimax Optimal,"Jacob Abernethy, Peter L. Bartlett, Rafael Frongillo, Andre Wibisono",December 2013,Neurips 2013
1228,Discovering Hidden Variables in Noisy-Or Networks using Quartet Tests,"Yacine Jernite, Yonatan Halpern, David Sontag",December 2013,Neurips 2013
1229,Error-Minimizing Estimates and Universal Entry-Wise Error Bounds for Low-Rank Matrix Completion,"Franz Kiraly, Louis Theran",December 2013,Neurips 2013
1230,Learning the Local Statistics of Optical Flow,"Dan Rosenbaum, Daniel Zoran, Yair Weiss",December 2013,Neurips 2013
1231,Aggregating Optimistic Planning Trees for Solving Markov Decision Processes,"Gunnar Kedenburg, Raphael Fonteneau, Remi Munos",December 2013,Neurips 2013
1232,Robust learning of low-dimensional dynamics from large neural ensembles,"David Pfau, Eftychios A. Pnevmatikakis, Liam Paninski",December 2013,Neurips 2013
1233,Estimation Bias in Multi-Armed Bandit Algorithms for Search Advertising,"Min Xu, Tao Qin, Tie-Yan Liu",December 2013,Neurips 2013
1234,Action is in the Eye of the Beholder: Eye-gaze Driven Model for Spatio-Temporal Action Localization,"Nataliya Shapovalova, Michalis Raptis, Leonid Sigal, Greg Mori",December 2013,Neurips 2013
1235,A* Lasso for Learning a Sparse Bayesian Network Structure for Continuous Variables,"Jing Xiang, Seyoung Kim",December 2013,Neurips 2013
1236,The Total Variation on Hypergraphs - Learning on Hypergraphs Revisited,"Matthias Hein, Simon Setzer, Leonardo Jost, Syama Sundar Rangapuram",December 2013,Neurips 2013
1237,Submodular Optimization with Submodular Cover and Submodular Knapsack Constraints,"Rishabh K. Iyer, Jeff A. Bilmes",December 2013,Neurips 2013
1238,Scalable Inference for Logistic-Normal Topic Models,"Jianfei Chen, Jun Zhu, Zi Wang, Xun Zheng, Bo Zhang",December 2013,Neurips 2013
1239,Spectral methods for neural characterization using generalized quadratic models,"Il Memming Park, Evan W. Archer, Nicholas Priebe, Jonathan W. Pillow",December 2013,Neurips 2013
1240,Universal models for binary spike patterns using centered Dirichlet processes,"Il Memming Park, Evan W. Archer, Kenneth Latimer, Jonathan W. Pillow",December 2013,Neurips 2013
1241,Synthesizing Robust Plans under Incomplete Domain Models,"Tuan A. Nguyen, Subbarao Kambhampati, Minh Do",December 2013,Neurips 2013
1242,Integrated Non-Factorized Variational Inference,"Shaobo Han, Xuejun Liao, Lawrence Carin",December 2013,Neurips 2013
1243,Auxiliary-variable Exact Hamiltonian Monte Carlo Samplers for Binary Distributions,"Ari Pakman, Liam Paninski",December 2013,Neurips 2013
1244,Symbolic Opportunistic Policy Iteration for Factored-Action MDPs,"Aswin Raghavan, Roni Khardon, Alan Fern, Prasad Tadepalli",December 2013,Neurips 2013
1245,Online Learning in Markov Decision Processes with Adversarially Chosen Transition Probability Distributions,"Yasin Abbasi, Peter L. Bartlett, Varun Kanade, Yevgeny Seldin, Csaba Szepesvari",December 2013,Neurips 2013
1246,Flexible sampling of discrete data correlations without the marginal distributions,"Alfredo Kalaitzis, Ricardo Silva",December 2013,Neurips 2013
1247,One-shot learning by inverting a compositional causal process,"Brenden M. Lake, Ruslan R. Salakhutdinov, Josh Tenenbaum",December 2013,Neurips 2013
1248,Statistical analysis of coupled time series with Kernel Cross-Spectral Density operators.,"Michel Besserve, Nikos K. Logothetis, Bernhard Schlkopf",December 2013,Neurips 2013
1249,Fast Algorithms for Gaussian Noise Invariant Independent Component Analysis,"James R. Voss, Luis Rademacher, Mikhail Belkin",December 2013,Neurips 2013
1250,Deep Neural Networks for Object Detection,"Christian Szegedy, Alexander Toshev, Dumitru Erhan",December 2013,Neurips 2013
1251,Geometric optimisation on positive definite matrices for elliptically contoured distributions,"Suvrit Sra, Reshad Hosseini",December 2013,Neurips 2013
1252,Sign Cauchy Projections and Chi-Square Kernel,"Ping Li, Gennady Samorodnitsk, John Hopcroft",December 2013,Neurips 2013
1253,Relevance Topic Model for Unstructured Social Group Activity Recognition,"Fang Zhao, Yongzhen Huang, Liang Wang, Tieniu Tan",December 2013,Neurips 2013
1254,k-Prototype Learning for 3D Rigid Structures,"Hu Ding, Ronald Berezney, Jinhui Xu",December 2013,Neurips 2013
1255,Restricting exchangeable nonparametric distributions,"Sinead A. Williamson, Steve N. MacEachern, Eric P. Xing",December 2013,Neurips 2013
1256,Forgetful Bayes and myopic planning: Human learning and decision-making in a bandit setting,"Shunan Zhang, Angela J. Yu",December 2013,Neurips 2013
1257,Probabilistic Movement Primitives,"Alexandros Paraschos, Christian Daniel, Jan R. Peters, Gerhard Neumann",December 2013,Neurips 2013
1258,Policy Shaping: Integrating Human Feedback with Reinforcement Learning,"Shane Griffith, Kaushik Subramanian, Jonathan Scholz, Charles L. Isbell, Andrea L. Thomaz",December 2013,Neurips 2013
1259,Multilinear Dynamical Systems for Tensor Time Series,"Mark Rogers, Lei Li, Stuart J. Russell",December 2013,Neurips 2013
1260,Deep content-based music recommendation,"Aaron van den Oord, Sander Dieleman, Benjamin Schrauwen",December 2013,Neurips 2013
1261,A Stability-based Validation Procedure for Differentially Private Machine Learning,"Kamalika Chaudhuri, Staal A. Vinterbo",December 2013,Neurips 2013
1262,Capacity of strong attractor patterns to model behavioural and cognitive prototypes,Abbas Edalat,December 2013,Neurips 2013
1263,Fantope Projection and Selection: A near-optimal convex relaxation of sparse PCA,"Vincent Q. Vu, Juhee Cho, Jing Lei, Karl Rohe",December 2013,Neurips 2013
1264,Cluster Trees on Manifolds,"Sivaraman Balakrishnan, Srivatsan Narayanan, Alessandro Rinaldo, Aarti Singh, Larry Wasserman",December 2013,Neurips 2013
1265,Bayesian inference for low rank spatiotemporal neural receptive fields,"Mijung Park, Jonathan W. Pillow",December 2013,Neurips 2013
1266,Adaptive Submodular Maximization in Bandit Setting,"Victor Gabillon, Branislav Kveton, Zheng Wen, Brian Eriksson, S. Muthukrishnan",December 2013,Neurips 2013
1267,Generalized Method-of-Moments for Rank Aggregation,"Hossein Azari Soufiani, William Chen, David C. Parkes, Lirong Xia",December 2013,Neurips 2013
1268,Analyzing Hogwild Parallel Gaussian Gibbs Sampling,"Matthew Johnson, James Saunderson, Alan Willsky",December 2013,Neurips 2013
1269,Minimax Optimal Algorithms for Unconstrained Linear Optimization,"Brendan McMahan, Jacob Abernethy",December 2013,Neurips 2013
1270,(Nearly) Optimal Algorithms for Private Online Learning in Full-information and Bandit Settings,"Abhradeep Guha Thakurta, Adam Smith",December 2013,Neurips 2013
1271,Curvature and Optimal Algorithms for Learning and Minimizing Submodular Functions,"Rishabh K. Iyer, Stefanie Jegelka, Jeff A. Bilmes",December 2013,Neurips 2013
1272,-Optimality for Active Learning on Gaussian Random Fields,"Yifei Ma, Roman Garnett, Jeff Schneider",December 2013,Neurips 2013
1273,Learning Kernels Using Local Rademacher Complexity,"Corinna Cortes, Marius Kloft, Mehryar Mohri",December 2013,Neurips 2013
1274,Annealing between distributions by averaging moments,"Roger B. Grosse, Chris J. Maddison, Ruslan R. Salakhutdinov",December 2013,Neurips 2013
1275,Optimizing Instructional Policies,"Robert V. Lindsey, Michael C. Mozer, William J. Huggins, Harold Pashler",December 2013,Neurips 2013
1276,Translating Embeddings for Modeling Multi-relational Data,"Antoine Bordes, Nicolas Usunier, Alberto Garcia-Duran, Jason Weston, Oksana Yakhnenko",December 2013,Neurips 2013
1277,Phase Retrieval using Alternating Minimization,"Praneeth Netrapalli, Prateek Jain, Sujay Sanghavi",December 2013,Neurips 2013
1278,Real-Time Inference for a Gamma Process Model of Neural Spiking,"David E. Carlson, Vinayak Rao, Joshua T. Vogelstein, Lawrence Carin",December 2013,Neurips 2013
1279,Understanding Dropout,"Pierre Baldi, Peter J. Sadowski",December 2013,Neurips 2013
1280,The Power of Asymmetry in Binary Hashing,"Behnam Neyshabur, Nati Srebro, Ruslan R. Salakhutdinov, Yury Makarychev, Payman Yadollahpour",December 2013,Neurips 2013
1281,"Estimation, Optimization, and Parallelism when Data is Sparse","John Duchi, Michael I. Jordan, Brendan McMahan",December 2013,Neurips 2013
1282,A multi-agent control framework for co-adaptation in brain-computer interfaces,"Josh S. Merel, Roy Fox, Tony Jebara, Liam Paninski",December 2013,Neurips 2013
1283,Modeling Overlapping Communities with Node Popularities,"Prem K. Gopalan, Chong Wang, David Blei",December 2013,Neurips 2013
1284,Learning from Limited Demonstrations,"Beomjoon Kim, Amir-massoud Farahmand, Joelle Pineau, Doina Precup",December 2013,Neurips 2013
1285,On the Complexity and Approximation of Binary Evidence in Lifted Inference,"Guy Van den Broeck, Adnan Darwiche",December 2013,Neurips 2013
1286,On the Representational Efficiency of Restricted Boltzmann Machines,"James Martens, Arkadev Chattopadhya, Toni Pitassi, Richard Zemel",December 2013,Neurips 2013
1287,"Memory Limited, Streaming PCA","Ioannis Mitliagkas, Constantine Caramanis, Prateek Jain",December 2013,Neurips 2013
1288,"An Approximate, Efficient LP Solver for LP Rounding","Srikrishna Sridhar, Stephen Wright, Christopher Re, Ji Liu, Victor Bittorf, Ce Zhang",December 2013,Neurips 2013
1289,Linear decision rule as aspiration for simple decision heuristics,zgr imek,December 2013,Neurips 2013
1290,"On the Relationship Between Binary Classification, Bipartite Ranking, and Binary Class Probability Estimation","Harikrishna Narasimhan, Shivani Agarwal",December 2013,Neurips 2013
1291,Bayesian inference as iterated random functions with applications to sequential inference in graphical models,"Arash Amini, XuanLong Nguyen",December 2013,Neurips 2013
1292,Compressive Feature Learning,"Hristo S. Paskov, Robert West, John C. Mitchell, Trevor Hastie",December 2013,Neurips 2013
1293,Moment-based Uniform Deviation Bounds for ,"Matus J. Telgarsky, Sanjoy Dasgupta",December 2013,Neurips 2013
1294,Fast Template Evaluation with Vector Quantization,"Mohammad Amin Sadeghi, David Forsyth",December 2013,Neurips 2013
