ID_A,ID_B,Flag,Title_A,Title_B,Year_A,Year_B,Authors_A,Authors_B
3fT-PXZBZoUJ,journals/vldb/FungKL03,,Grid computing,Cost-driven vertical class partitioning for methods in object oriented databases,,2003,S Lais,"C Fung, K Karlapalem, Q Li"
Z7FeqXZP3KwJ,conf/sigmod/GebhardtJJ97,,A RICH Counter for Antimatter and Isotope Identification in the Cosmic Radiation,A Toolkit for Negotiation Support Interfaces to Multi-Dimensional Data,,1997,"P Carison, T Francke, M Suffert, N Weber","M Gebhardt, M Jarke, S Jacobs"
ow5WENEKWyMJ,journals/sigmod/MalaikaEM03,,Region-of-Interest based Image Resolution Adaptation for MPEG-21 Digital Item,Standards for databases on the grid,2004,2003,"Y Hu, LT Chia, D Rajan","S Malaika, A Eisenberg, J Melton"
NJUOdTxce88J,journals/sigmod/LeeF01,,Application of ultrashort laser pulses for refractive surgery of the eye,Mining System Audit Data: Opportunities and Challenges,2001,2001,"H Lubatschowski, A Heisterkamp, W Drommer, O  ","W Lee, W Fan"
W-cKStCPGFwJ,conf/vldb/CatozziR95,,"Mark Russinovich Inside Microsoft Windows 2000 (Microsoft Programming Series), 3rd Book &amp; CDr  ",OS Support for VLDBs: Unix Enhancements for the Teradata Data Base,,1995,DA Solomon,"J Catozzi, S Rabinovici"
JPI1LV1yamQJ,journals/sigmod/SilberschatzSU96,,Feeding ecology offish,Database Research: Achievements and Opportunities Into the 21st Century,,1996,SD Gerking,"A Silberschatz, M Stonebraker, J Ullman"
xkmFDJQZN1EJ,conf/vldb/BratsbergH01,,Bounded quantification is undecidable,Online Scaling in a Highly Available Database,1992,2001,BC Pierce,"S Bratsberg, R Humborstad"
ET_i3QwZryQJ,conf/vldb/HellersteinNP95,,A benchmark for XML data management,Generalized Search Trees for Database Systems,,1995,"A Schmidt, F Waas, M Kersten, M Carey, I Manolescu ","J Hellerstein, J Naughton, A Pfeffer"
bb5ZrPquzF0J,journals/tods/LechtenborgerV03,,Spherical shading,On the computation of relational view complements,1978,2003,TK Porter,"J Lechtenbіrger, G Vossen"
pQ5nIDpz0O4J,journals/vldb/ConstantopoulosJMV95,,Distributed Detection by a Large Number of sensors in Tandem,The Software Information Base: A Server for Reuse,,1995,"JD Papastavrou, M Athans","P Constantopoulos, M Jarke, J Mylopoulos, Y Vassiliou"
iyFqDr1bUjwJ,journals/sigmod/Gunther97,,Mean reversion of S&amp;P 500 volatility,Environment Information Systems - Guest Editor's Foreword,,1997,"JP Fouque, G Papanicolaou, KR Sircar, K Solna",
mkodS8HfvFAJ,journals/sigmod/X94b,,PZ nets a formal method integrating Petri nets with Z.,Calls for Papers / Announcements,2001,1994,X He,
eImesTKc1u8J,conf/vldb/AbiteboulMRVW98,,Ogneupory,Incremental Maintenance for Materialized Views over Semistructured Data,,1998,"LB Khoroshavin, VA Perepelitsyn, TI Boriskova","S Abiteboul, J McHugh, M Rys, V Vassalos, J Wiener"
rfuvlkC3BcAJ,journals/sigmod/KramerNKRLKLZ97,,The role of women in African music education,WWW-UDK: A Web-based Environmental Meta-Information System,,1997,JN MOKWUNYEI,"R Kramer, R Nikolai, A Koschel, C Rolker, P Lockemann, A Keitel, R Legat, K Zirm"
mDMGp4jWwjMJ,conf/sigmod/Bosworth03,,Using inductive learning and data mining to build legal case based reasoners,The Future of Web Services - I,,2003,"J Zeleznikow, G Vossos",A Bosworth
url:http://www.ingentaconnect.com/content/ben/mgb/2005/00000001/00000001/art00025,conf/sigmod/Amer-YahiaFSX03,,"Whatâ??s Doing? A Tribute to Professor Murray Goodman, 2005, 165-172 165",PIX: Exact and Approximate Phrase Matching in XML,1993,2003,TT Romoff,"S Amer-Yahia, M Fernandez, D Srivastava, Y Xu"
frRQkHZ98CAJ,journals/tods/AndriesCPB01,,Determination of the Longitudinal Phase Space Distribution produced with TTF Photo Injector,Applying an update method to a set of receivers,1999,2001,"M Geitz, S Schreiber, G von Walter, D Sertore, M  ","M Andries, L Cabibbo, J Paredaens, J Bussche"
kj7_0qQq_48J,conf/vldb/TianD03,,An Event/Trigger Mechanism to Enforce Complex Consistency Constraints in Design Databases,Tuple Routing Strategies for Distributed Eddies,1986,2003,"KR Dittrich, AM Kotz","F Tian, D DeWitt"
0wj40LSunOgJ,conf/sigmod/ChaudhuriGS03,,A Mechanism and Experimental System for Function-Based Sharing in Federated Databases,Factorizing Complex Predicates in Queries to Exploit Indexes,,2003,"D Fang, J Hammer, D McLeod","S Chaudhuri, P Ganesan, S Sarawagi"
lDTPyBMtHVwJ,journals/sigmod/Critchlow01,,Obtaining Complete Answers from Incomplete Databases,Report on XEWA-00: The XML Enabled Wide-Area Searches for Bioinformatics Workshop,1996,2001,AY Levy,
FrWSbgd14XsJ,journals/tods/CiacciaTZ96,,Virage Video Engine,Declustering of Key-Based Partitioned Signature Files,1997,1996,"A Hampapur, A Gupta, B Horowitz, CF Shu, C Fuller, ","P Ciaccia, P Tiberio, P Zezula"
qNLsbj_Fu5EJ,conf/sigmod/LamCKNH01,,Discovery of multiple-level association rules from large databases,RETINA: A REal-time TraffIc NAvigation System,1995,2001,"J Han, Y Fu","K Lam, E Chan, T Kuo, S Ng, D Hung"
eynRTHDTBpcJ,conf/vldb/SizovGT03,,Improving Unnesting Algorithms for Join Aggregate Queries in SQL,From Focused Crawling to Expert Information: an Application Framework for Web Exploration and Portal Generation,,2003,M Muralikrishna,"S Sizov, J Graupmann, M Theobald"
url:http://pubs.acs.org/cgi-bin/abstract.cgi/achre4/asap/abs/ar030281q.html,conf/vldb/FlescaFM03,,Nonadiabatic dynamics of condensed phase rate processes.,On the minimization of Xpath queries,2006,2003,"G Hanna, R Kapral","S Flesca, F Furfaro, E Masciari"
OBOFH2EyYRwJ,journals/sigmod/LabrinidisM01,,Affective intelligenceâ??the missing link?,Career-Enhancing Services at SIGMOD Online,1997,2001,"RW Picard, G Cosier","A Labrinidis, A Mendelzon"
url:http://www.csa.com/partners/viewrecord.php3Frequester3Dgs26collection3DTRD26recid3D018802530041AI,conf/vldb/Selinger02,,Estimation of Hydrogen Penetration and Buildup in First Wall Materials of a Fusion Reactor,Information Integration and XML in IBM's DB2,1987,2002,"IV Al'tovskii, MV Zhuk, VV Pistunovich",P Selinger
yFJ9qmAP740J,conf/sigmod/FlokstraKS94,,Generation of slow inhibitory and excitatory postsynaptic potentials,The IMPRESS DDT: A Database Design Toolbox Based on a Formal Specification Language,1970,1994,B Libet,"J Flokstra, M Keulen, J Skowronek"
url:http://www.springerlink.com/index/X554442136601718.pdf,conf/vldb/Mohan02a,,Increased expression of highly branchedN-linked oligosaccharides terminating inN-acetylglucosamine  ,An Efficient Method for Performing Record Deletions and Updates Using Index Scans,1992,2002,"BE Chechik, B Fernandes",C Mohan
nzsHsenTd-MJ,conf/vldb/GibsonKR98,,Organizational Climate: Science or Folklore?,Clustering Categorical Data: An Approach Based on Dynamical Systems,1978,1998,"RW Woodman, DC King","D Gibson, J Kleinberg, P Raghavan"
Op0MCQg0vNsJ,conf/sigmod/WhiteD95,,CCured in the real world,Implementing Crash Recovery in QuickStore: A Performance Study,,1995,"J Condit, M Harren, S McPeak, GC Necula, W Weimer","S White, D DeWitt"
Pq7wcTj-WOcJ,conf/vldb/LometT95,,Doppler Radar and Weather Observations Academic,Redo Recovery after System Crashes,,1995,"RJ Doviak, DS Zrnic","D Lomet, M Tuttle"
ATMziDzXOAMJ,conf/sigmod/Keim99,,Mutual Interference Models for CDMA Mobile Communication Networks,Efficient Geometry-based Similarity Search of 3D Spatial Databases,,1999,"V Wieser, K Hrudkay",D Keim
BFNXy_7rYz0J,journals/sigmod/GriffinK98,,The diffraction of X-rays by an age-hardening alloy of alluminum and copper: The structure of an  ,Algebraic Change Propagation for Semijoin and Outerjoin Queries,,1998,GD Preston,"T Griffin, B Kumar"
#NAME?,conf/sigmod/AnkerstBKS99,,VARIATIONS: A Digital Music Library System at Indiana University,OPTICS: Ordering Points To Identify the Clustering Structure,,1999,"JW Dunn, CA Mayer","M Ankerst, M Breunig, H Kriegel, J Sander"
url:http://adsabs.harvard.edu/abs/1984PhDT........37S,journals/sigmod/RosenthalHRS97,,Energy transfer and excimer formation in rare gas solids,"\A Consumer Viewpoint on \""\""Mediator Languages - a Proposal for a Standard\""\""\""""",1984,1997,WF Scott,"A Rosenthal, E Hughes, S Renner, L Seligman"
pAwhB-FDuGYJ,conf/sigmod/BerchtoldK97,,Antibiotics for treating scrub typhus,S3: Similarity Search in CAD Database Systems,2002,1997,"R Panpanich, P Garner","S Berchtold, H Kriegel"
XS6cG64wJ2IJ,conf/vldb/MendelzonV00,,Artemis Message Exchange Framework: Semantic Interoperability of Exchanged Messages in the  ,Temporal Queries in OLAP,,2000,"V Bicer, GB Laleci, A Dogac, Y Kabak","A Mendelzon, A Vaisman"
X5LKJRsuqgUJ,conf/sigmod/SzalayGTKMRSv02,,Immunogold localization of callose and other cell wall components in pea nodule transfer cells,The SDSS skyserver: public access to the sloan digital sky server data,2000,2002,"P Dahiya, NJ Brewin","A Szalay, J Gray, A Thakar, P Kunszt, T Malik, J Raddick, C Stoughton, J vandenBerg"
uWwdV6ztBh4J,conf/vldb/Ladin00,,Introduction to the theory of benzenoid hydrocarbons,The Zero Latency Enterprise,1989,2000,"I Gutman, SJ Cyvin",D Liles
hcitYiFVpSkJ,journals/sigmod/ChangASS98,,"McV. SR inventories of hostility and comparisons of the proportions of variance from persons,  ",T2: A Customizable Parallel Database for Multi-Dimensional Data,,1998,"NS Endler, J Hunt","C Chang, A Acharya, A Sussman, J Saltz"
BQFhZePtp_wJ,journals/sigmod/Liu01,,"Capital, vol. I",Editor's Notes,,2001,K Marx,
gaTTmoEaZg0J,conf/vldb/GoldmanW97,,Off-Training-Set Error for the Gibbs and the Bayes Optimal Generalizers,DataGuides: Enabling Query Formulation and Optimization in Semistructured Databases,1994,1997,"M Knill, T Grossman, D Wolpert","R Goldman, J Widom"
6ztMf-2ZmmoJ,journals/vldb/ChakrabartiRS03,,MODEL OF THREE-DIMENSIONAL STRUCTURE OF VDR BOUND WITH VITAMIN D 3 ANALOGS SUBSTITUTED AT CARBON-2,Fast and accurate text classification via multiple linear discriminant projections pp,,2003,"W Sicinska, P Rotkiewicz, HF DeLuca","S Chakrabarti, S Roy, M Soundalgekar"
4w_R39jpAgYJ,journals/tods/Chomicki95,,Neurophysiological basis of the Kluver-Bucy syndrome: responses of monkey amygdaloid neurons to  ,Efficient Checking of Temporal Integrity Constraints Using Bounded History Encoding,,1995,"T Ono, H Nishijo",J Chomicki
url:http://doi.wiley.com/10.1002/(SICI)1521-3773(19980216)37:3253C342::AID-ANIE342253E3.3.CO253B2-G,journals/sigmod/Ozsu01a,,A Three-Dimensional Framework with Accessible Nanopores: RbCuSb,Chair's Message,1982,2001,"JA Hanko, MG Kanatzidis",
SMq1Qyc7ViUJ,journals/sigmod/WeikumSR03,,Precise Interprocedural Analysis through Linear Algebra,"Report on the 10th Conference on Database Systems for Business, Technology, and the Web (BTW 2003)",,2003,"M Muller-Olm, H Seidl",
asczEhp9uZkJ,conf/vldb/Cabrera03,,Recruitment and retention of women graduate students in computer science and engineering: results of ,Web Services (Industrial Session),,2003,"J Cuny, W Aspray",F Cabrera
uavymKyiTjAJ,journals/sigmod/Cardelli01,,Configuring Distributed Systems,Describing Semistructured Data,,2001,"J Kramer, J Magee, M Sloman",L Cardelli
eBFgW3SBT6cJ,conf/sigmod/Cohen98,,Advising and Interacting Outside the Classroom.,Integration of Heterogeneous Databases Without Common Domains Using Queries Based on Textual Similarity,1986,1998,DR Tacha,W Cohen
seFI2VzzNJ8J,conf/vldb/BalminHKPSW03,,On the Development of Data Base Editions,A System for Keyword Proximity Search on XML Databases,,2003,"RW Taylor, DW Stemple","A Balmin, V Hristidis, N Koudas, Y Papakonstantinou, D Srivastava, T Wang"
fcUplqIxKfQJ,conf/sigmod/2000,,Revenue Management Games: Horizontal and Vertical Competition,"Proceedings of the 2000 ACM SIGMOD International Conference on Management of Data, May 16-18, 2000, Dallas, Texas, USA",,2000,"S Netessine, RA Shumsky",
02dUv_2w7E4J,conf/vldb/Lesk94,,Energy Dissipation in Multichromophoric Single Dendrimers,Experiments on Access to Digital Libraries: How can Images and Text be Used Together,2005,1994,"FC De Schryver, T Vosch, M Cotlet, M Van der  ",M Lesk
bJ3GWcb5mCoJ,conf/sigmod/GunopulosD01,,Black bear denning ecology in interior Alaska,Time Series Similarity Measures and Time Series Indexing,,2001,"ME Smith, JL Hechtel, EH Follmann",
NTrPqzO4VggJ,journals/sigmod/LeveneP02,,The expanding brown bear population of Slovenia: a chance for bear recovery in the southeastern Alps,Report on the Web Dynamics Workshop at WWW 2002,,2002,M Adamic,
aj5mcOqWNRYJ,conf/vldb/GalhardasFSSS01,,Web services: The next big thing?,"Declarative Data Cleaning: Language, Model, and Algorithms",,2001,JK Waters,"H Galhardas, D Florescu, D Shasha, E Simon, C Saita"
jiUmJUFmUm0J,journals/sigmod/VelACM01,,Design (1989),Mining Email Content for Author Identification Forensics,,2001,M Analysis,"O Vel, A Anderson, M Corney, G Mohay"
CXXNBwJVh6UJ,journals/sigmod/KannanKIK03,,ILS: Its New Role in Schools.,Energy and rate based MAC protocol for wireless sensor networks,1990,2003,T Mageau,"R Kannan, R Kalidindi, S Iyengar, V Kumar"
SRjydzka_HAJ,journals/sigmod/Abiteboul99,,Free clinics and Parish Nursing offer unique rewards,On Views and XML,1998,1999,GD Lenehan,S Abiteboul
g241KQuRyXwJ,journals/sigmod/AbererCH02,,A transformation framework for the automatic control of derived data,A Framework for Semantic Gossiping,,2002,"S Koening, R Paige","K Aberer, P Cudrщ-Mauroux, M Hauswirth"
jTlXK5L1KMcJ,conf/vldb/Sripada02,,Culture and Climate 1: Invastigating Aspects of Organizational and Care Culture by the Use of  ,Information Management Challenges from the Aerospace Industry,1998,2002,"A Sarvimaeki, SS Benkoe",S Sripada
H6fWl-cSuY4J,conf/sigmod/ChaudhuriGN02,,The Effectiveness of GlOSS for the Text Database Discovery Problem,Compressing SQL workloads,1994,2002,"L Gravano, H Garcia-Molina, A Tomasic","S Chaudhuri, A Gupta, V Narasayya"
NTj3NN_J0cIJ,conf/vldb/GolabO03,,"New York, NY, 1991",Processing Sliding Window Multi-Joins in Continuous Queries over Data Streams,,2003,I Dekker,"L Golab, M жzsu"
url:http://www.csa.com/partners/viewrecord.php3Frequester3Dgs26collection3DTRD26recid3DN7213345AH,journals/sigmod/ErdurD02,,On the heating of electron microscope objects with small beam cross section(Temperature measurement  ,A Multi-Agent System Infrastructure for Software Component Market-Place: An Ontological Perspective,1971,2002,S LEISEGANG,"R Erdur, O Dikenelli"
EgvUCxszQRwJ,journals/tods/BozkayaO99,,Reliable and Precise WCET Determination for a Real-Life Processor,Indexing Large Metric Spaces for Similarity Search Queries,2001,1999,"C Ferdinand, R Heckmann, M Langenbach, F Martin, M ","T Bozkaya, Z жzsoyoglu"
u8wK0QOS95IJ,conf/sigmod/ChenRW02,,Retrieval-By-Unification Operation on a Relational Knowledge Base,XCache: a semantic caching system for XML queries,1986,2002,Y Morita,"L Chen, E Rundensteiner, S Wang"
HMk1DAtg8A0J,journals/vldb/AslanM99,,How the self controls its brain,Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution,1995,1999,JC Ecclesâ?¦,"G Aslan, D McLeod"
0JYcH0e5nZkJ,conf/sigmod/Bosworth03,,Experimental study of propulsive efficiency of pulsed detonation,The Future of Web Services - I,,2003,"R Zitoun, V Gamezo, C Guerroud, D Desbordes",A Bosworth
D0osFHj-75EJ,conf/sigmod/BressanGOT00,,Insurers plan to limit year 2000 coverage,Integrating Replacement Policies in StorM: An Extensible Approach,,2000,"RL Scheier, P Thibodeau","C Goh, B Ooi, S Bressan, K Tan"
fGCE-IHxg0UJ,journals/tods/WinslettSQ94,,S. The entity-relationship model--Toward a unified view of data,Formal Query Languages for Secure Relational Databases,,1994,PP Chen,"M Winslett, K Smith, X Qian"
oN_2zeaiog0J,conf/sigmod/ZhouLP99,,Executable Specifications of C++ Classes,TAM: A System for Dynamic Transactional Activity Management,,1999,"S Kamin, T Kraus","T Zhou, L Liu, C Pu"
7Y50G20ltdIJ,journals/vldb/GeorgeH00,,Virtual schemas and bases. Advances in Database Technology (EDBT94),Secure Bufering in Firm Real-Time Database Systems,1994,2000,"C Dos Santos, S Abiteboul, C Delobel","B George, J Haritsa"
bVy5Ln4ldP4J,journals/vldb/MehtaGPN98,,The National Research Agenda for the postsecondary career training of students with hearing loss: A  ,The OODB Path-Method Generator (PMG) Using Access Weights and Precomputed Access Relevance,,1998,"JG Schroedel, D Watson, D Ashmore, R Rodriguez","A Mehta, J Geller, Y Perl, E Neuhold"
I09qvdYXxPEJ,conf/vldb/Hallmark95,,Applications of the selective periodate oxidation of sialic acids III. Identification of  ,The Oracle Warehouse,1988,1995,"PE Reid, C Arratoon, DA Owen",G Hallmark
GhKbOWcCI-IJ,conf/vldb/BettiniJWW02,,Coming to Terms with Mother Nature: Using the Web to Educate Children about Natural Disasters,Provisions and Obligations in Policy Management and Security Applications,1999,2002,"MJ Berson, IR Berson","C Bettini, S Jajodia, X Wang, D Wijesekera"
EoNZgwE6780J,journals/sigmod/RosenthalSMBTL95,,Growth Implosions and Debt Explosions: Do Growth Slowdowns Cause Public Debt Crises?,Data Management Research at The MITRE Corporation,,1995,WR Easterly,"A Rosenthal, L Seligman, C McCollum, B Blaustein, B Thuraisingham, E Lafferty"
_SsvlmhsusEJ,conf/vldb/ChaudhuriGS95,,Editor's Notes,Retrieval of Composite Multimedia Objects,,1995,JA Neff,"S Chaudhuri, S Ghandeharizadeh, C Shahabi"
XKZiIIuP1t8J,journals/sigmod/GobleR02,,Ma. gic sets and other strange ways to Implemefit Logic Progra. ms,Report on the 18th British National Conference on Databases (BNCOD),,2002,"F Bancilhon, D Maier, Y Sagiv, JD Ullman",
url:http://www.csa.com/partners/viewrecord.php3Frequester3Dgs26collection3DTRD26recid3D9010720438MD26recid3D9010G2C0339EC,journals/sigmod/RosenthalSMBTL95,,Fourth International Conference on Infrared Physics(CIRP 4),Data Management Research at The MITRE Corporation,1988,1995,"FK Kneubuhl, TS Moss","A Rosenthal, L Seligman, C McCollum, B Blaustein, B Thuraisingham, E Lafferty"
3JURgjeSBOQJ,conf/vldb/TatbulCZCS03,,A technology independent approach to hierarchical IC layout extraction,Load Shedding in a Data Stream Manager,1986,2003,"A Bootehsaz, RA Cottrel","N Tatbul, U Чetintemel, S Zdonik, M Cherniack, M Stonebraker"
VcQNe9SlIhQJ,conf/sigmod/YangM97,,Solving the load flow problem using Grobner basis,Association Rules over Interval Data,1995,1997,"A Montes, J Castro","R Miller, Y Yang"
b5b2sPK9u6wJ,journals/tods/ChenHM95,,Solar-thermal electric technology,An Execution Model for Limited Ambiguity Rules and Its Application to Derived Data Update,,1995,"P De Laquil III, D Kearney, M Geyer, R Diver","I Chen, R Hull, D McLeod"
PUGDPyWgrecJ,conf/sigmod/PatelD96,,"Protection Organization, Greek Aseismic Code EAK 2000",Partition Based Spatial-Merge Join,,1996,E Planning,"J Patel, D DeWitt"
iJ6xEmKQ9ZAJ,conf/vldb/KraftSRM03,,Washington State Department of Highways,Coarse-Grained Optimization: Techniques for Rewriting SQL Statement Sequences,,2003,J Bennett,"T Kraft, H Schwarz, R Rantzau, B Mitschang"
LCPNRZQgJd4J,conf/sigmod/WoelkBJOTU95,,PC Pricing Reconsidered: Free NT Test Drive Debuts â??,Carnot and InfoSleuth: Database Technology and the World Wide Web,,1995,SJ Johnston,"D Woelk, W Bohrer, N Jacobs, K Ong, C Tomlinson, C Unnikrishnan"
url:http://portal.acm.org/citation.cfm3Fid3D1007568.1007720,journals/sigmod/TianDCZ02,,Rethinking the conference reviewing process,The Design and Performance Evaluation of Alternative XML Storage Strategies,2004,2002,"MJ Franklin, J Widom, A Ailamaki, PA Bernstein, D  ","F Tian, D DeWitt, J Chen, C Zhang"
zyULKrecnGYJ,conf/sigmod/2000,,A semantics for tracing declarative multi-paradigm programs,"Proceedings of the 2000 ACM SIGMOD International Conference on Management of Data, May 16-18, 2000, Dallas, Texas, USA",2004,2000,"B Brassel, M Hanus, F Huch, G Vidal",
sUhzbA6S5X4J,conf/vldb/BrownS95,,"Prentice Hall, 1989",BigSur: A System For the Management of Earth Science Data,,1995,"B Noble, JW Daniel","P Brown, M Stonebraker"
iycu2ST7HGYJ,journals/sigmod/BusslerFM02,,High-Speed Data Paths in Host-Based Routers,A Conceptual Architecture for Semantic Web Enabled Web Services,1998,2002,"S Walton, A Hutton, J Touch","C Bussler, D Fensel, A Maedche"
oKct2oCGTGwJ,conf/vldb/SripadaW94,,Chloroquine or amodiaquine combined with sulfadoxine-pyrimethamine for treating uncomplicated  ,Cumulative Updates,2000,1994,HM McIntosh,"S Sripada, B Wќthrich"
5m3-dQB7x-cJ,journals/sigmod/Cruz00,,Cross-validation and the bootstrap: Estimating the error rate of a prediction rule. Dept. of  ,SIGMOD Digital Symposium Collection (DiSC) Editor's Message,1995,2000,"B Efron, R Tibshirani",
c3fyB_Bqr-8J,journals/sigmod/Qian97,,How high is up? Calibrating social comparison in the real world,Opportunities in Information Management and Assurance,,1997,"TA Nosanchuk, BH Erickson",X Qian
wO0T4_J6ovEJ,conf/vldb/PitouraC99,,The mindlessness of ostensibly thoughtful action: The role of â??placebicâ?? information in  ,Exploiting Versions for Handling Updates in Broadcast Disks,1978,1999,"E Langer, A Blank, B Chanowitz","E Pitoura, P Chrysanthis"
wICqJ1cqwUwJ,journals/sigmod/SonDT96,,CMOS thermal converters,Improving Timeliness in Real-Time Secure Database Systems,,1996,D Jaeggi,"S Son, R David, B Thuraisingham"
YDHKBFfeCEEJ,journals/vldb/HuangDT99,,Are Components the Future of Software?,Constant Time Permutation: An Efficient Block Allocation Strategy for Variable-Bit-Rate Continuous Media Data,,1999,D Kiely,"Y Huang, J Ding, S Tsao"
P481TNbMiKkJ,journals/tods/DeyS96,,Denial-of-Service Resilience in Peer-to-Peer File Sharing Systems,A Probabilistic Relational Model and Algebra,,1996,"D Dumitriu, E Knightly, A Kuzmanovic, I Stoica, W  ","D Dey, S Sarkar"
#NAME?,conf/vldb/SakuraiYUK00,,Purification and specificity of a microsomal human epoxide hydrolase,The A-tree: An Index Structure for High-Dimensional Spaces Using Relative Approximation,,2000,F Oesch,"Y Sakurai, M Yoshikawa, S Uemura, H Kojima"
pRxbsPTVgAAJ,conf/vldb/AcharyaFZ96,,9th International Conference on Automated Deduction,Disseminating Updates on Broadcast Disks,1989,1996,"E Lusk, R Overbeek","S Acharya, M Franklin, S Zdonik"
4MYmuqndpKUJ,journals/sigmod/BarclayBGS94,,Fast Codebook Design for Vector Quantization on Partitioned Space,Loading Databases Using Dataflow Parallelism,,1994,"S Momose, K Sano, T Nakamura","T Barclay, R Barnes, J Gray, P Sundaresan"
jcyPW0qyb_EJ,conf/vldb/AmbiteKKMST01,,When Comparisons Arise,The WorlInfo Assistant: Spatio-Temporal Information Integration on the Web,1995,2001,"DT Gilbert, RB Giesler, KA Morris","J Ambite, C Knoblock, M Kolahdouzan, M Muslea, C Shahabi, S Thakkar"
gya0M9b1KrgJ,journals/sigmod/KempsterST99,,Gigascope: A stream database for network applications,Diluting ACID,,1999,"T Johnson, C Cranor, O Spatsheck, V Shkapenyuk","T Kempster, C Stirling, P Thanisch"
caZwo1ZLUjIJ,journals/sigmod/Wiegand03,,"New York, 1999","Review of Spatial databases with application to GIS by Philippe Rigaux, Michel Scholl, and Agnes Voisard. Morgan Kaufmann 2002",,2003,NY Wiley,
qjadYG8RxfgJ,conf/vldb/Kotidis01,,Desmopressin for nocturnal enuresis in children,A Data Warehousing Architecture for Enabling Service Provisioning Process,2002,2001,"CM Glazener, JH Evans",Y Kotidis
5urmlImjwyYJ,conf/sigmod/BilirisP94,,Marked-union algorithm for load balancing in hypercubic distributed hash tables with heterogeneous  ,EOS: An Extensible Object Store,,1994,"J Liu, M Adler","A Biliris, E Panagos"
YbDEAJZBbXYJ,conf/sigmod/BrinkhoffKSS94a,,Examining task sampling variability in science performance assessments,GENESYS: A System for Efficient Spatial Query Processing,1995,1994,AR Othman,"T Brinkhoff, H Kriegel, R Schneider, B Seeger"
68IOUGvDu48J,conf/sigmod/DarR94,,Ethical dimensionsof college and university teaching,A Performance Study of Transitive Closure Algorithms,,1994,L Fisch,"S Dar, R Ramakrishnan"
WaSgR87oMpcJ,conf/vldb/OzsoyogluAAOUO02,,VIPAS: Virtual Link Powered Authority Search in the Web,Sideway Value Algebra for Object-Relational Databases,2003,2002,"CC Lin, MS Chen","G жzsoyoglu, A Al-Hamdani, I Altingіvde, S жzel, ж Ulusoy, Z жzsoyoglu"
qmojFMC31jUJ,conf/vldb/Kleewein96,,Distance Learning Through Distributed Collaborative Video Viewing,Practical Issues with Commercial Use of Federated Databases,,1996,"A Balachandran, JJ Cadiz",J Kleewein
lK1Sq-JKPgUJ,conf/sigmod/FaloutsosSTT00,,Familiarity and repetition suppression: Multimodal imaging of medial temporal cortical contributions ,Spatial Join Selectivity Using Power Laws,,2000,"BD Gonsalves, I Kahn, T Curranâ?¦","C Faloutsos, B Seeger, A Traina, C Jr."
rZG1_bnPksYJ,conf/vldb/LometT95,,O-policy temporal difference learning with function approximation,Redo Recovery after System Crashes,,1995,"D Precup, R Sutton","D Lomet, M Tuttle"
#NAME?,conf/vldb/GilbertKMS01,,The Concept of Error in a Database: An Application of Temporal Databases,Surfing Wavelets on Streams: One-Pass Summaries for Approximate Aggregate Queries,,2001,"G Bhargava, SK Gadia","A Gilbert, Y Kotidis, S Muthukrishnan, M Strauss"
llD3YQ7YGV8J,conf/vldb/KoschBBHHLRT01,,Theorizing Change: The Role of Professional Associations in the Transformation of Institutionalized  ,SMOOTH - A Distributed Multimedia Database System,2002,2001,"R Greenwood, R Suddaby, CR Hinings","H Kosch, L Bіszіrmщnyi, A Bachlechner, C Hanin, C Hofbauer, M Lang, C Riedler, R Tusch"
dPhLKbztev4J,journals/sigmod/Lomet01,,Coming to grips with staff development,The Evolution of Effective B-tree: Page Organization and Techniques: A Personal Account,1996,2001,D Harrington-Lueker,D Lomet
38HoFGLnxkQJ,conf/vldb/LifantsevC02,,P. Marron The MultiView project: object-oriented view technology and applications,I/O-Conscious Data Preparation for Large-Scale Web Search Engines,,2002,"E Rundensteiner, H Kuno, Y Ra, V Crestana-Taube, M ","M Lifantsev, T Chiueh"
tRC2O-rn0ScJ,journals/vldb/TanGO00,,"The Geography of Privatization in China, 1978-1996.",Progressive evaluation of nested aggregate queries,1999,2000,"SS Han, CW Pannell","K Tan, C Goh, B Ooi"
NVDORgQKhycJ,conf/sigmod/Team95c,,The Presentation of IA-Models in Focus Groups: Draft Report,Upsizing from File Server to Clent Server Architectures,1998,1995,"R Schule, Y Haffner, A Jordan",T Team
P4_SsDcp3u8J,conf/sigmod/HanPDW01,,Non-intrusive thermometry in shock layers using multi-line fluorescence imaging,Efficient Computation of Iceberg Cubes with Complex Measures,,2001,"PC Palma, PM Danehy, AFP Houwing","J Han, J Pei, G Dong, K Wang"
QDd0R0GwNUAJ,conf/vldb/TsatalosSI94,,Impurity transport simulation in Radiatively Improved and ITB plasmas in FTU,The GMAP: A Versatile Tool for Physical Data Independence,,1994,"L Carraro, M Finkenthal, K Fournier, L Gabellieri, ","O Tsatalos, M Solomon, Y Ioannidis"
I8pS-v_ob2QJ,conf/sigmod/LlirbatFS97,,Social context research project: Methods for facilitating the inclusion of students with  ,Eliminating Costly Redundant Computations from SQL Trigger Executions,1991,1997,"CG Breen, CH Kennedy, TG Haring","F Llirbat, F Fabret, E Simon"
