ID_A,ID_B,Title_A,Title_B,Year_A,Year_B,Authors_A,Authors_B
7aUag74jtdIJ,conf/sigmod/Doherty98,Database Systems Management and Oracle8,Database Systems Management and Oracle8,1998.0,1998,CG Doherty,C Doherty
tnXqwH3BXW0J,conf/sigmod/WodtkeWWDM97,The MENTOR Workbench for Enterprise-wide Workflow Management,The MENTOR Workbench for Enterprise-wide Workflow Management,1997.0,1997,", AK Dittrich, P Muth","D Wodtke, J Weiпenfels, G Weikum, A Dittrich, P Muth"
krAZ7iDMEOQJ,conf/vldb/PolyzotisG02,Structure and Value Synopses for XML Data Graphs,Structure and Value Synopses for XML Data Graphs,2002.0,2002,"N Polyzotis, MN Garofalakis","N Polyzotis, M Garofalakis"
K6752bGaG2QJ,conf/sigmod/HellersteinHW97,Online Aggregation,Online Aggregation,,1997,JM Hellerstein,"J Hellerstein, P Haas, H Wang"
kyO1P49ldlEJ,conf/vldb/PopaVMHF02,Translating Web Data,Translating Web Data,,2002,"R Fagin, M Hernandez, L Popa, R Miller, Y  ","L Popa, Y Velegrakis, R Miller, M Hernсndez, R Fagin"
ChCPyLiBpr4J,conf/sigmod/KemperMPS94,Optimizing Disjunctive Queries with Expensive Predicates,Optimizing Disjunctive Queries with Expensive Predicates,,1994,"A Kernper, G Moerkotte, K Peithnert, M Steinbrunn","A Kemper, G Moerkotte, K Peithner, M Steinbrunn"
k-IlQ6VnmKsJ,conf/vldb/SteinbrunnPMK95,Bypassing Joins in Disjunctive Queries,Bypassing Joins in Disjunctive Queries,1995.0,1995,acm.org,"M Steinbrunn, K Peithner, G Moerkotte, A Kemper"
SnkWnX5WoKwJ,conf/vldb/LitwinNS94,RP*: A Family of Order Preserving Scalable Distributed Data Structures,RP*: A Family of Order Preserving Scalable Distributed Data Structures,1994.0,1994,"W Litwin, MA Neimat","W Litwin, M Neimat, D Schneider"
QGxyK7bJQOMJ,conf/sigmod/BargaL99,Phoenix: Making Applications Robust,Phoenix: Making Applications Robust,,1999,"R Barga, DB Lomet","R Barga, D Lomet"
619anaISuGEJ,journals/sigmod/MeltonE01,SQL Multimedia and Application Packages (SQL/MM),SQL Multimedia and Application Packages (SQL/MM),2001.0,2001,J Melton,"J Melton, A Eisenberg"
KuYVVTlHVXcJ,journals/sigmod/Suciu01,On Database Theory and XML,On Database Theory and XML,,2001,D Sicui,D Suciu
xAXF0HSF4h8J,journals/sigmod/Neven02,Automata Theory for XML Researchers,Automata Theory for XML Researchers,2002.0,2002,F Neven,F Neven
C9imFvgrSvAJ,conf/sigmod/HinneburgK99,Clustering Methods for Large Databases: From the Past to the Future,Clustering Methods for Large Databases: From the Past to the Future,1999.0,1999,"A Hinneburg, DA Keim","A Hinneburg, D Keim"
E4fU9kpfXQsJ,conf/vldb/AgarwalADGNRS96,On the Computation of Multidimensional Aggregates,On the Computation of Multidimensional Aggregates,1996.0,1996,"S Agarwal, R Agrawal, P Deshpande, A Gupta, JF  ","S Agarwal, R Agrawal, P Deshpande, A Gupta, J Naughton, R Ramakrishnan, S Sarawagi"
PALTnITURBcJ,journals/vldb/BohmAnY97,Structured Document Storage and Refined Declarative and Navigational Access Mechanisms in HyperStorM,Structured Document Storage and Refined Declarative and Navigational Access Mechanisms in HyperStorM,1997.0,1997,"K Bohm, K Aberer, EJ Neuhold, X Yang","K Bіhm, K Aberer, E Neuhold, X Yang"
zMW_rq3S6VgJ,journals/sigmod/Franklin99a,Editor's Notes,Editor's Notes,,1999,TE Cyrs,M Franklin
1tKWKmyczaYJ,conf/sigmod/SzalayGTKMRSv02,The SDSS skyserver: public access to the sloan digital sky server data,The SDSS skyserver: public access to the sloan digital sky server data,2002.0,2002,"AS Szalay, J Gray, A Thakar, PZ Kunszt, T Malik, J ","A Szalay, J Gray, A Thakar, P Kunszt, T Malik, J Raddick, C Stoughton, J vandenBerg"
JT61IMQEZ-QJ,conf/sigmod/GraySEBW94,Quickly Generating Billion-Record Synthetic Databases,Quickly Generating Billion-Record Synthetic Databases,,1994,"P Sundaresan, K Baclawski, S Englert, J Gray","J Gray, P Sundaresan, S Englert, K Baclawski, P Weinberger"
hAqEljGAcFsJ,conf/vldb/ChaudhuriN97,An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server,1997.0,1997,"S Chaudhuri, V Narasayya","S Chaudhuri, V Narasayya"
-CQaLTpGJLQJ,conf/sigmod/BerensonBGMOO95,A Critique of ANSI SQL Isolation Levels,A Critique of ANSI SQL Isolation Levels,,1995,"J Gray, UC Berkeley","H Berenson, P Bernstein, J Gray, J Melton, E O'Neil, P O'Neil"
Vj1kbPjzSHwJ,conf/vldb/BohannonLRSSS97,Logical and Physical Versioning in Main Memory Databases,Logical and Physical Versioning in Main Memory Databases,1997.0,1997,"P Bohannon, D Leinbaugh, R Rastogi, S Seshadri, A  ","R Rastogi, S Seshadri, P Bohannon, D Leinbaugh, A Silberschatz, S Sudarshan"
3nxl8d4c0t4J,conf/sigmod/AgrawalASY97,Efficient View Maintenance at Data Warehouses,Efficient View Maintenance at Data Warehouses,1997.0,1997,"D Agrawal, A El Abbadi, A Singh, T Yurek","D Agrawal, A Abbadi, A Singh, T Yurek"
m2CCumFeAWgJ,journals/sigmod/HasanFV96,Open Issues in Parallel Query Optimization,Open Issues in Parallel Query Optimization,1996.0,1996,"W Hasan, D Florescu, P Valduriez","W Hasan, D Florescu, P Valduriez"
w5i-zY0c1jAJ,conf/sigmod/TsurUACMNR98,Query Flocks: A Generalization of Association-Rule Mining,Query Flocks: A Generalization of Association-Rule Mining,,1998,"JD Ullman, R Motwani, S Nestorov","S Tsur, J Ullman, S Abiteboul, C Clifton, R Motwani, S Nestorov, A Rosenthal"
4iJ3Fd2xnUYJ,conf/vldb/SrinivasaK03,A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,A Platform Based on the Multi-dimensional Data Model for Analysis of Bio-Molecular Structures,,2003,"S Srinivasa, S Kumar","S Srinivasa, S Kumar"
5yETsE57mzgJ,conf/vldb/Shenker03,The Data-Centric Revolution in Networking,The Data-Centric Revolution in Networking,2003.0,2003,S Shenker,S Shenker
8but_7FuryIJ,conf/sigmod/GreenwaldK01,Space-Efficient Online Computation of Quantile Summaries,Space-Efficient Online Computation of Quantile Summaries,2001.0,2001,"M Greenwald, S Khanna","M Greenwald, S Khanna"
u64n4yMnma4J,conf/sigmod/CareyMN97,"Object-Relational Database Systems: Principles, Products, and Challenges (Tutorial)","Object-Relational Database Systems: Principles, Products, and Challenges (Tutorial)",,1997,"MJ Carey, NM Mattos, A Nori",
_JwGwZUTAOEJ,journals/vldb/MecellaP01,Designing wrapper components for e-services in integrating heterogeneous systems,Designing wrapper components for e-services in integrating heterogeneous systems,2001.0,2001,"M Mecella, B Pernici","M Mecella, B Pernici"
gAwckIiPpTEJ,conf/sigmod/PopaDST00,A Chase Too Far?,A Chase Too Far?,2000.0,2000,L Popa,"L Popa, A Deutsch, A Sahuguet, V Tannen"
gb-yIDOxaEkJ,journals/sigmod/Loeffen94,Text Databases: A Survey of Text Models and Systems,Text Databases: A Survey of Text Models and Systems,1994.0,1994,A Loeffen,A Loeffen
_SsvlmhsusEJ,journals/sigmod/Franklin97,Editor's Notes,Editor's Notes,,1997,JA Neff,
xGcM9AuhrBMJ,conf/vldb/HulgeriS02,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,Parametric Query Optimization for Linear and Piecewise Linear Cost Functions,2002.0,2002,"A Hulgeri, S Sudarshan","A Hulgeri, S Sudarshan"
hMsWZU5TJWYJ,conf/vldb/YagoubFIV00a,Building and Customizing Data-Intensive Web Sites Using Weave,Building and Customizing Data-Intensive Web Sites Using Weave,2000.0,2000,"K Yagoub, D Florescu, V Issarny","K Yagoub, D Florescu, V Issarny, P Valduriez"
nmTGteLy8NAJ,conf/sigmod/PatelD96,Partition Based Spatial-Merge Join,Partition Based Spatial-Merge Join,,1996,"JM Pate961 Patel, DJ Dewitt","J Patel, D DeWitt"
iurxdvB6oLAJ,conf/sigmod/RossSS96,Materialized View Maintenance and Integrity Constraint Checking: Trading Space for Time,Materialized View Maintenance and Integrity Constraint Checking: Trading Space for Time,1996.0,1996,KA Ross,"K Ross, D Srivastava, S Sudarshan"
VIjfH9f94xkJ,journals/sigmod/Manola98,Towards a Richer Web Object Model,Towards a Richer Web Object Model,1998.0,1998,F Manola,F Manola
nqOZsUydoQkJ,conf/vldb/AlsabtiRS97,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,A One-Pass Algorithm for Accurately Estimating Quantiles for Disk-Resident Data,1997.0,1997,"K Alsabti, S Ranka, V Singh","K Alsabti, S Ranka, V Singh"
9dgFU6XaLrwJ,journals/sigmod/MarchiLPT03,Analysis of existing databases at the logical level: the DBA companion project,Analysis of existing databases at the logical level: the DBA companion project,2003.0,2003,"F De Marchi, S Lopes, JM Petit, F Toumani","F Marchi, S Lopes, J Petit, F Toumani"
NoN45RU6c9kJ,journals/vldb/Halevy01,Answering queries using views: A survey,Answering queries using views: A survey,2001.0,2001,AY Halevy,A Halevy
tsk4BAdtZmIJ,conf/vldb/MiklauS03,Controlling Access to Published Data Using Cryptography,Controlling Access to Published Data Using Cryptography,,2003,M Datenbanken,"G Miklau, D Suciu"
EhR3fz7f7vcJ,conf/sigmod/LabioWGG00,Efficient Resumption of Interrupted Warehouse Loads,Efficient Resumption of Interrupted Warehouse Loads,2000.0,2000,"W Labio, JL Wiener, H Garcia-Molina, V Gorelik","W Labio, J Wiener, H Garcia-Molina, V Gorelik"
-Zb4WBd1aNUJ,conf/vldb/FlorescuKLP97,Using Probabilistic Information in Data Integration,Using Probabilistic Information in Data Integration,1997.0,1997,"D Florescu, D Koller, A Levyâ?¦","D Florescu, D Koller, A Levy"
url:http://portal.acm.org/ft_gateway.cfm3Fid3D60185926type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222,journals/sigmod/Hammer00,Treasurer's Message,Treasurer's Message,2000.0,2000,J Hammer,
htTH8PrZ0dYJ,conf/sigmod/Bayardo98,Efficiently Mining Long Patterns from Databases,Efficiently Mining Long Patterns from Databases,,1998,RJB Jr.,R Jr.
8yhbBSPKZEoJ,conf/vldb/BonczMK99,Database Architecture Optimized for the New Bottleneck: Memory Access,Database Architecture Optimized for the New Bottleneck: Memory Access,1999.0,1999,PA Boncz,"P Boncz, S Manegold, M Kersten"
PVm9r7wHzDAJ,journals/sigmod/Gallagher94,Influencing Database Language Standards,Influencing Database Language Standards,1994.0,1994,L Gallagher,L Gallagher
JJK6WGPyubgJ,journals/sigmod/RoantreeMH99,The OASIS Multidatabase Prototype,The OASIS Multidatabase Prototype,1999.0,1999,"M Roantree, J Murphy, W Hasselbring","M Roantree, J Murphy, W Hasselbring"
PCFJuVxYxtwJ,conf/vldb/EicklerKK97,Finding Data in the Neighborhood,Finding Data in the Neighborhood,1997.0,1997,"A Eickler, A Kemper, D Kossmann","A Eickler, A Kemper, D Kossmann"
url:http://portal.acm.org/ft_gateway.cfm3Fid3D56512726type3Dpdf26dl3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222,journals/sigmod/Winslett02a,David DeWitt Speaks Out,David DeWitt Speaks Out,2002.0,2002,"S be Proud, HSFIS Very, P Spent",M Winslett
9OEjtHuRUzsJ,conf/sigmod/AcharyaFZ97,Balancing Push and Pull for Data Broadcast,Balancing Push and Pull for Data Broadcast,1997.0,1997,"S Acharya, M Franklin, S Zdonik","S Acharya, M Franklin, S Zdonik"
FzUYum7hqhQJ,conf/vldb/JagadishNSSK97,Incremental Organization for Data Recording and Warehousing,Incremental Organization for Data Recording and Warehousing,1997.0,1997,", S Seshadri","H Jagadish, P Narayan, S Seshadri, S Sudarshan, R Kanneganti"
eW3sswNykJoJ,journals/tods/Snodgrass01a,Editorial,Editorial,,2001,CA Insko,
eRSkDzxP1JcJ,conf/sigmod/AchyutuniON96,Two Techniques for On-Line Index Modification in Shared Nothing Parallel Databases,Two Techniques for On-Line Index Modification in Shared Nothing Parallel Databases,1996.0,1996,"KJ Achyutuni, E Omiecinski, SB Navathe","K Achyutuni, E Omiecinski, S Navathe"
ZsHfcZJwFQQJ,conf/sigmod/CherniackZ96,Rule Languages and Internal Algebras for Rule-Based Optimizers,Rule Languages and Internal Algebras for Rule-Based Optimizers,1996.0,1996,"M Cherniack, SB Zdonik","M Cherniack, S Zdonik"
srDgEOADv7cJ,conf/sigmod/TheodoulidisAACKS94,The ORES Temporal Database Management System,The ORES Temporal Database Management System,,1994,"B Theodoulidis, A Ait-Braham, G Andrianopoulos, J  ","B Theodoulidis, A Ait-Braham, G Andrianopoulos, J Chaudhary, G Karvelis, S Sou"
7F9iCGggYVgJ,journals/sigmod/Wong95,An Introduction to Remy's Fast Polymorphic Record Projection,An Introduction to Remy's Fast Polymorphic Record Projection,1995.0,1995,L Wong,L Wong
QAjOGW-ffQIJ,conf/sigmod/ReinwaldP98,SQL Open Heterogeneous Data Access,SQL Open Heterogeneous Data Access,,1998,"B Reinwald, H Pirahesh","B Reinwald, H Pirahesh"
8vtUokULDisJ,journals/tods/Snodgrass01,Editorial,Editorial,,2001,V Quint,
dKvepAPYBmcJ,journals/tods/MuralidharS99,Security of Random Data Perturbation Methods,Security of Random Data Perturbation Methods,1999.0,1999,"K Muralidhar, R Sarathy","K Muralidhar, R Sarathy"
4IaWCBK6dMQJ,conf/sigmod/ShklarSKT95,InfoHarness: A System for Search and Retrieval of Heterogeneous Information,InfoHarness: A System for Search and Retrieval of Heterogeneous Information,1995.0,1995,"L Shklar, A Sheth, V Kashyap, S Thatte","L Shklar, A Sheth, V Kashyap, S Thatte"
mZNcc1O3Nl8J,conf/vldb/KochBG03,Path Queries on Compressed XML,Path Queries on Compressed XML,2003.0,2003,PBMGC Koch,"P Buneman, M Grohe, C Koch"
5LlePa4wQmEJ,journals/sigmod/AlonsoCIM95,Managing Video Data in a Mobile Environment,Managing Video Data in a Mobile Environment,1995.0,1995,"R Alonso, YL Chang, L Iftode","R Alonso, Y Chang, L Iftode, V Mani"
x-H7BqZ0Hw8J,conf/vldb/AmmannJR95,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,Using Formal Methods to Reason about Semantics-Based Decompositions of Transactions,1995.0,1995,"P Ammann, S Jajodia, I Ray","P Ammann, S Jajodia, I Ray"
gRoNHWLN1WMJ,conf/vldb/CohenMKS03,XSEarch: A Semantic Search Engine for XML,XSEarch: A Semantic Search Engine for XML,2003.0,2003,"S Cohen, J Mamou, Y Kanza, Y Sagiv","S Cohen, J Mamou, Y Kanza, Y Sagiv"
x-oQarjjgccJ,conf/vldb/BratsbergH01,Online Scaling in a Highly Available Database,Online Scaling in a Highly Available Database,2001.0,2001,"SE Bratsberg, R Humborstad","S Bratsberg, R Humborstad"
IuyDb53VoG0J,conf/sigmod/ChenGM01,Improving Index Performance through Prefetching,Improving Index Performance through Prefetching,,2001,"S Chen, PB Gibbons, TC Mowry","S Chen, P Gibbons, T Mowry"
XojbAfbtdvcJ,conf/vldb/WuFSP00,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,2000.0,2000,"L Wu, C Faloutsos, KP Sycara, TR Payne","L Wu, C Faloutsos, K Sycara, T Payne"
IROKbaAxI6QJ,conf/vldb/BohannonLRSSS97,Logical and Physical Versioning in Main Memory Databases,Logical and Physical Versioning in Main Memory Databases,,1997,S Sudarshan,"R Rastogi, S Seshadri, P Bohannon, D Leinbaugh, A Silberschatz, S Sudarshan"
AgBMhm_0uEIJ,conf/sigmod/DogacAEOADAOS94,METU Object-Oriented DBMS,METU Object-Oriented DBMS,,1994,"A Dogac, C Ozkan, B Arpinar, T Okay, C Evrendilek","A Dogac, I Arpinar, C Evrendilek, C Ozkan, I Altintas, I Durusoy, M Altinel, T Okay, Y Saygin"
url:http://portal.acm.org/ft_gateway.cfm3Fid3D18156026type3Dpdf26coll3DGUIDE26dl3DACM26CFID3D1111111126CFTOKEN3D2222222,journals/sigmod/JensenCEGHJ94,A Consensus Glossary of Temporal Database Concepts,A Consensus Glossary of Temporal Database Concepts,1994.0,1994,"CSJJ Clifford, R Elmasri, C Dyreson, F Grandi, WKN ","C Jensen, J Clifford, R Elmasri, S Gadia, P Hayes, S Jajodia"
_SsvlmhsusEJ,journals/sigmod/Widom95a,Editor's Notes,Editor's Notes,,1995,JA Neff,J Widom
0zdXnl9cQysJ,conf/vldb/SindoniTABFGMPPT01,SIT-IN: a Real-Life Spatio-Temporal Information System,SIT-IN: a Real-Life Spatio-Temporal Information System,2001.0,2001,"G Sindoni, P Ticca, L Tininini, A Ambrosetti, C  ","G Sindoni, L Tininini, A Ambrosetti, C Bedeschi, S Francisci, O Gargano, R Molinaro, M Paolucci, P Patteri, P Ticca"
UF-RyjST87cJ,journals/vldb/AbbadiSW01,Guest editorial,Guest editorial,,2001,AW Czarnik,
UTYa5uf9zSIJ,conf/sigmod/OlstonWACELSS98,DataSplash,DataSplash,1998.0,1998,"C Olston, A Woodruff, A Aiken, M Chu, V Ercegovac, ","C Olston, A Woodruff, A Aiken, M Chu, V Ercegovac, M Lin, M Spalding, M Stonebraker"
url:http://www.springerlink.com/index/0YKCKU5LKG6G102T.pdf,journals/vldb/Atkinson00,Guest editorial,Guest editorial,2000.0,2000,"P Atzeni, AO Mendelzon",
WTYQ40Rn_tUJ,conf/vldb/RamaswamyMS98,On the Discovery of Interesting Patterns in Association Rules,On the Discovery of Interesting Patterns in Association Rules,1998.0,1998,"S Ramaswamy, S Mahajan, A Silberschatz","S Ramaswamy, S Mahajan, A Silberschatz"
hRToevpkaa0J,conf/vldb/EleftheriouBCDHLPPABDDDGJHLRSVW03,A Nanotechnology-based Approach to Data Storage,A Nanotechnology-based Approach to Data Storage,2003.0,2003,"E Eleftheriou, P Baechtold, G Cherubini, A  ","E Eleftheriou, P Bфchtold, G Cherubini, A Dholakia, C Hagleitner, T Loeliger, A Pantazi, H Pozidis, T Albrecht, G Binnig, M Despont, U Drechsler, U Dќrig, B Gotsmann, D Jubin, W Hфberle, M Lantz, H Rothuizen, R Stutz, P Vettiger, D Wiesmann"
jC-TppzLPuEJ,conf/vldb/LohmanL02,SMART: Making DB2 (More) Autonomic,SMART: Making DB2 (More) Autonomic,2002.0,2002,"GM Lohman, S Lightstone","G Lohman, S Lightstone"
4zZ7Lxt4PPIJ,conf/sigmod/ChaudhuriD97,Data Warehousing and OLAP for Decision Support (Tutorial),Data Warehousing and OLAP for Decision Support (Tutorial),,1997,"S Chaudhuri, U Dayal",
FLTKBG-bw7sJ,journals/vldb/BonifatiCP01,Active rules for XML: A new paradigm for E-services,Active rules for XML: A new paradigm for E-services,2001.0,2001,"A Bonifati, S Ceri, S Paraboschi","A Bonifati, S Ceri, S Paraboschi"
53hNU_r6-jgJ,conf/vldb/MoserKK95,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,1995.0,1995,"F Moser, W Klas","F Moser, A Kraiss, W Klas"
egvBPvtoaMMJ,conf/vldb/BrinkhoffK94,The Impact of Global Clustering on Spatial Database Systems,The Impact of Global Clustering on Spatial Database Systems,1994.0,1994,"T Brinkhoff, HP Kriegel","T Brinkhoff, H Kriegel"
IN_sibgHb9MJ,conf/vldb/KornackerB95,High-Concurrency Locking in R-Trees,High-Concurrency Locking in R-Trees,1995.0,1995,"M Kornacker, D Banks","M Kornacker, D Banks"
dXegp-RmzXEJ,conf/vldb/Brin95,Near Neighbor Search in Large Metric Spaces,Near Neighbor Search in Large Metric Spaces,1995.0,1995,S Brin,S Brin
dURGvGhlWbsJ,journals/vldb/BraumandlKKKKSS01,ObjectGlobe: Ubiquitous query processing on the Internet,ObjectGlobe: Ubiquitous query processing on the Internet,2001.0,2001,"R Braumandl, M Keidl, A Kemper, D Kossmann, A  ","R Braumandl, M Keidl, A Kemper, D Kossmann, A Kreutz, S Seltzsam, K Stocker"
N4nyJ3C99iMJ,journals/vldb/AtluriJY03,Guest editorial,Guest editorial,,2003,KN Ngan,
_SsvlmhsusEJ,journals/sigmod/Liu01,Editor's Notes,Editor's Notes,,2001,JA Neff,
i6QOOOYvOqQJ,conf/sigmod/Gal00,"Data Management in eCommerce: The Good, the Bad, and the Ugly","Data Management in eCommerce: The Good, the Bad, and the Ugly",,2000,A Gal,
pBKI-JCAlcIJ,conf/sigmod/OlstonW02,Best-effort cache synchronization with source cooperation,Best-effort cache synchronization with source cooperation,2002.0,2002,"C Olston, J Widom","C Olston, J Widom"
k4UNrsGeUuAJ,conf/sigmod/Brewer98,Delivering High Availability for Inktomi Search Engines,Delivering High Availability for Inktomi Search Engines,1998.0,1998,EA Brewer,E Brewer
_SsvlmhsusEJ,journals/sigmod/Franklin00b,Editor's Notes,Editor's Notes,,2000,JA Neff,M Franklin
g8e0xiRUkIwJ,journals/tods/LakshmananLN03,Efficient dynamic mining of constrained frequent sets,Efficient dynamic mining of constrained frequent sets,2003.0,2003,"LVS Lakshmanan, CKS Leung, RT Ng","L Lakshmanan, C Leung, R Ng"
FoAVdcYe0tsJ,conf/vldb/BalminPP00,Hypothetical Queries in an OLAP Environment,Hypothetical Queries in an OLAP Environment,2000.0,2000,"A Balmin, T Papadimitriou, Y Papakonstantinou","A Balmin, T Papadimitriou, Y Papakonstantinou"
c9Humx2-EMgJ,conf/sigmod/CherniackZ96,Rule Languages and Internal Algebras for Rule-Based Optimizers,Rule Languages and Internal Algebras for Rule-Based Optimizers,,1996,"M Chemiack, S Zdonik","M Cherniack, S Zdonik"
HEJ1Z4Q_xXMJ,conf/vldb/Schoning98,The ADABAS Buffer Pool Manager,The ADABAS Buffer Pool Manager,,1998,H Schoning,H Schіning
1fQr1rJ4yCwJ,conf/vldb/RothS97,"Don't Scrap It, Wrap It! A Wrapper Architecture for Legacy Data Sources","Don't Scrap It, Wrap It! A Wrapper Architecture for Legacy Data Sources",1997.0,1997,"M Tork Roth, P Schwarz","M Roth, P Schwarz"
ma-ZRYj0pXIJ,conf/vldb/RaghavanG03,Complex Queries over Web Repositories,Complex Queries over Web Repositories,2003.0,2003,"S Raghavan, H Garcia-Molina","S Raghavan, H Garcia-Molina"
SFs0XOMPphIJ,journals/sigmod/HalkidiBV02a,Clustering Validity Checking Methods: Part II,Clustering Validity Checking Methods: Part II,2002.0,2002,"M Halkidi, Y Batistakis","M Halkidi, Y Batistakis, M Vazirgiannis"
fU6zoUKeXe8J,conf/sigmod/DeshpandeNGS03,Cache-and-Query for Wide Area Sensor Databases,Cache-and-Query for Wide Area Sensor Databases,,2003,"A Deshpande, SK Nath, PB Gibbons, S Seshan","A Deshpande, S Nath, P Gibbons, S Seshan"
rXaCSxty6AAJ,conf/vldb/Kleewein96,Practical Issues with Commercial Use of Federated Databases,Practical Issues with Commercial Use of Federated Databases,1996.0,1996,J Kleewein,J Kleewein
nCRFjDfhOmcJ,conf/sigmod/SchleimerWA03,Winnowing: Local Algorithms for Document Fingerprinting,Winnowing: Local Algorithms for Document Fingerprinting,2003.0,2003,"S Schleimer, DS Wilkerson, A Aiken","S Schleimer, D Wilkerson, A Aiken"
url:http://portal.acm.org/citation.cfm3Fid3D645927.672033,conf/vldb/Wadler01,"Et tu, XML? The downfall of the relational empire (abstract)","Et tu, XML? The downfall of the relational empire (abstract)",2001.0,2001,P Wadler,P Wadler
Gia7489k5t4J,conf/vldb/Hess96,Very Large Databases in a Commercial Application Environment,Very Large Databases in a Commercial Application Environment,1996.0,1996,KH Hess,K Hess
CVUC4Rc5JU8J,conf/vldb/TheodoratosS97,Data Warehouse Configuration,Data Warehouse Configuration,1997.0,1997,"D Theodoratos, T Sellis","D Theodoratos, T Sellis"
qxShx7aNiuEJ,conf/sigmod/ReveszCKLLW00,The MLPQ/GIS Constraint Database System,The MLPQ/GIS Constraint Database System,,2000,"P Revesz, R Chen, P Kanjamala, Y Li, Y Liu, Y Wang","P Revesz, R Chen, P Kanjamala, Y Li, Y Liu, Y Wang"
dLzAJ-I1nCcJ,conf/sigmod/PapadopoulosM98,Similarity Query Processing Using Disk Arrays,Similarity Query Processing Using Disk Arrays,,1998,"A Papadopoulos, Y Manolopoulos","A Papadopoulos, Y Manolopoulos"
rg8576nvnkUJ,journals/sigmod/FininJ02,"Agents, Turst, and Information Access on the Semantic Web","Agents, Turst, and Information Access on the Semantic Web",2002.0,2002,"T Finin, A Joshi","T Finin, A Joshi"
bQv5hYB-JIEJ,conf/sigmod/CohenM03,Spectral Bloom Filters,Spectral Bloom Filters,,2003,"S Cohen, Y Matias","S Cohen, Y Matias"
aovCRhocZUcJ,journals/sigmod/BonnetBDL03,Bluetooth-based sensor networks,Bluetooth-based sensor networks,2003.0,2003,"P Bonnet, A Beaufour, MB Dydensborg, M Leopold","P Bonnet, A Beaufour, M Dydensborg, M Leopold"
url:http://www.springerlink.com/index/RTCC57FUUW3CADRF.pdf,journals/vldb/BernsteinIR03,Guest editorial,Guest editorial,2003.0,2003,"PA Bernstein, Y Ioannidis, R Ramakrishnan",
QIG8th9DHbQJ,conf/vldb/PoosalaI97,Selectivity Estimation Without the Attribute Value Independence Assumption,Selectivity Estimation Without the Attribute Value Independence Assumption,,1997,"VP PI971, Y Ioannidis","V Poosala, Y Ioannidis"
I5fV3jpcrmAJ,conf/vldb/DingGS00,Computing Geographical Scopes of Web Resources,Computing Geographical Scopes of Web Resources,2000.0,2000,"J Ding, L Gravano, N Shivakumar","J Ding, L Gravano, N Shivakumar"
vBYtmDEYeK0J,journals/sigmod/KennedyMB96,A Framework for Information Visualisation,A Framework for Information Visualisation,1996.0,1996,"JB Kennedy, KJ Mitchell, PJ Barclay","J Kennedy, K Mitchell, P Barclay"
lTwQVB8E7SIJ,journals/tods/EiterLLS01,Probabilistic object bases,Probabilistic object bases,2001.0,2001,"T Eiter, JJ Lu, T Lukasiewicz, VS Subrahmanian","T Eiter, J Lu, T Lukasiewicz, V Subrahmanian"
ReV4xpbiC6EJ,conf/vldb/GarofalakisIO98,Resource Scheduling for Composite Multimedia Objects,Resource Scheduling for Composite Multimedia Objects,1998.0,1998,"MN Garofalakis, YE Ioannidis, B Oezden","M Garofalakis, Y Ioannidis, B жzden"
7TYVQTwq9FIJ,journals/sigmod/LightstoneLZ02,Toward Autonomic Computing with DB2 Universal Database,Toward Autonomic Computing with DB2 Universal Database,2002.0,2002,"S Lightstone, G Lohman, D Zilio","S Lightstone, G Lohman, D Zilio"
GHz2PmQwW2UJ,conf/vldb/ShivakumarGC98,Filtering with Approximate Predicates,Filtering with Approximate Predicates,1998.0,1998,"N Shivakumar, H Garcia-Molina, C Chekuri","N Shivakumar, H Garcia-Molina, C Chekuri"
J-7xdqqW5RwJ,conf/sigmod/MeccaAMMS98,The Araneus Web-Base Management System,The Araneus Web-Base Management System,,1998,"G Mecca, P Atzeni, A Masci, P Merialdo, G Sindoni","G Mecca, P Atzeni, A Masci, P Merialdo, G Sindoni"
WS4ljty1ff8J,conf/vldb/MankuM02,Approximate Frequency Counts over Data Streams,Approximate Frequency Counts over Data Streams,2002.0,2002,"GS Manku, R Motwani","G Manku, R Motwani"
OM7n6h8R8CoJ,conf/sigmod/JagadishJOT01,Global Optimization of Histograms,Global Optimization of Histograms,,2001,"HV Jagadish, H Jin, BC Ooi, KL Tan","H Jagadish, H Jin, B Ooi, K Tan"
C3swZi1md5YJ,journals/sigmod/Fagin02,Combining Fuzzy Information: an Overview,Combining Fuzzy Information: an Overview,2002.0,2002,R Fagin,R Fagin
