Name_A,Address_A,City_A,Phone_A,type_A,Name_B,Address_B,City_B,Phone_B,type_B,Gold
'pinot bistro','12969 ventura blvd.','los angeles',818/990-0500,french,'gray\'s papaya','2090 broadway','new york city',212-799-0243,'hot dogs',0
'r&g lounge','631 b kearny st.','san francisco',415/982-7877,'or 415/982-3811 asian','rainbow room','30 rockefeller plaza','new york city',212-632-5000,'american (new)',0
'coco pazzo','23 e. 74th st.','new york',212/794-0205,italian,lutece,'249 e. 50th st.','new york city',212-752-2225,'french (classic)',0
campanile,'624 s. la brea ave.','los angeles',213/938-1447,american,'campton place','340 stockton st.','san francisco',415-955-5555,'american (new)',0
'jack\'s','615 sacramento st.','san francisco',415/986-9854,'old san francisco','gramercy tavern','42 e. 20th st.','new york city',212-477-0777,'american (new)',0
'garden court','market and new montgomery sts.','san francisco',415/546-5011,'old san francisco','barbecue kitchen','1437 virginia ave.',atlanta,404-766-9906,bbq,0
'cafe lalo','201 w. 83rd st.','new york',212/496-6031,'coffee bar','spago (los angeles)','8795 sunset blvd.','w. hollywood',310-652-4025,californian,0
maykadeh,'470 green st.','san francisco',415/362-8286,'greek and middle eastern','rose of india','308 e. sixth st.','new york city',212-533-5011,indian,0
'mangia e bevi','800 9th ave. at 53rd st.','new york',212/956-3976,italian,felidia,'243 e. 58th st.','new york city',212-758-1479,italian,0
'capozzoli\'s','3333 s. maryland pkwy.','las vegas',702/731-5311,italian,'afghan kebab house','764 ninth ave.','new york city',212-307-1612,afghan,0
newsbar,'2 w. 19th st.','new york',212/255-3996,'coffee bar','corner bistro','331 w. fourth st.','new york city',212-242-9502,hamburgers,0
'buca giovanni','800 greenwich st.','san francisco',415/776-7766,italian,'tommy\'s','2575 beverly blvd.',la,213-389-9060,hamburgers,0
'cafe adriano','3347 fillmore st.','san francisco',415/474-4180,italian,'benita\'s frites','1433 third st. promenade','santa monica',310-458-2889,'fast food',0
feast,'2411 w. sahara ave.','las vegas',702/367-2411,buffets,'carnegie deli','854 seventh ave.','new york city',212-757-2245,delis,0
'ruth\'s chris','148 w. 51st st.','new york',212/245-9600,american,'ritz-carlton dining room (san francisco)','600 stockton st.','san francisco',415-296-7465,'french (new)',0
'french roast cafe','2340 broadway at 85th st.','new york',212/799-1533,'coffee bar','bel-air hotel','701 stone canyon rd.','bel air',310-472-1211,californian,0
'lucky strike','59 grand st.  between wooster st. and w. broadway','new york',212/941-0479,'or 212/941-0772 american','la grotta','2637 peachtree rd. ne',atlanta,404-231-1368,italian,0
arizona,'206 206 e. 60th st.','new york',212/838-0440,american,'teresa\'s','80 montague st.',queens,718-520-2910,polish,0
'bugsy\'s diner','3555 las vegas blvd. s','las vegas',702/733-3111,'coffee shops/diners','chez melange','1716 pch','redondo beach',310-540-1222,eclectic,0
'dean & deluca','121 prince st.','new york',212/254-8776,'coffee bar',citrus,'6703 melrose ave.','los angeles',213-857-0034,californian,0
sanppo,'1702 post st.','san francisco',415/346-3486,asian,'lespinasse (new york city)','2 e. 55th st.','new york city',212-339-6719,asian,0
drago,'2628 wilshire blvd.','santa monica',310/828-1585,italian,'sweet lady jane','8360 melrose ave.',la,213-653-7145,desserts,0
'il cortile','125 mulberry st.  between canal and hester sts.','new york',212/226-6060,italian,'carnegie deli','854 seventh ave.','new york city',212-757-2245,delis,0
'ben benson\'s','123 w. 52nd st.','new york',212/581-8888,american,'kelley & ping','127 greene st.','new york city',212-228-1212,pan-asian,0
'fleur de lys','777 sutter st.','san francisco',415/673-7779,french,petrossian,'182 w. 58th st.','new york city',212-245-2214,russian,0
'la grotta','2637 peachtree rd.  peachtree house condominium',atlanta,404/231-1368,italian,'brighton coffee shop','9600 brighton way','beverly hills',310-276-7732,'coffee shops',0
'pinot hollywood','1448 n. gower st.','los angeles',213/461-8800,californian,'ciboulette restaurant','1529 piedmont ave.',atlanta,404-874-7600,'french (new)',0
terrace,'400 w. 119th st.  between amsterdam and morningside aves.','new york',212/666-9490,continental,'edison cafe','228 w. 47th st.','new york city',212-840-5000,diners,0
'le colonial','8783 beverly blvd.','los angeles',310/289-0660,asian,'one if by land  tibs','17 barrow st.','new york city',212-228-0822,continental,0
'lucky strike','59 grand st.  between wooster st. and w. broadway','new york',212/941-0479,'or 212/941-0772 american',taiko,'11677 san vicente blvd.',brentwood,310-207-7782,'noodle shops',0
'uncle nick\'s','747 9th ave.  between 50th and 51st sts.','new york',212/315-1726,mediterranean,'deacon burton\'s soulfood restaurant','1029 edgewood ave. se',atlanta,404-523-1929,southern/soul,0
'grand cafe hotel monaco','501 geary st.','san francisco',415/292-0101,american,'thelma\'s kitchen','764 marietta st. nw',atlanta,404-688-5855,cafeterias,0
'motown cafe','104 w. 57th st.  near 6th ave.','new york',212/581-8030,american,'gumbo pot  the','6333 w. third st.',la,213-933-0358,cajun/creole,0
'cafe claude','7 claude la.','san francisco',415/392-3505,french,petrossian,'182 w. 58th st.','new york city',212-245-2214,russian,0
bolo,'23 e. 22nd st.','new york',212/228-2200,mediterranean,'rubin\'s red hots','15322 ventura blvd.',encino,818-905-6515,'hot dogs',0
'ben benson\'s','123 w. 52nd st.','new york',212/581-8888,american,'lemongrass grill','61a seventh ave.',brooklyn,718-399-7100,thai,0
petrossian,'182 w. 58th st.','new york',212/245-2214,french,'lespinasse (new york city)','2 e. 55th st.','new york city',212-339-6719,asian,0
'horseradish grill','4320 powers ferry rd.',atlanta,404/255-7277,southern,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,0
'tribeca grill','375 greenwich st.  near franklin st.','new york',212/941-3900,american,'morton\'s of chicago (atlanta)','303 peachtree st. ne',atlanta,404-577-4366,steakhouses,0
'golden nugget hotel','129 e. fremont st.','las vegas',702/385-7111,buffets,'trio cafe','1870 fillmore st.','san francisco',415-563-2248,american,0
'cendrillon asian grill & marimba bar','45 mercer st.  between broome and grand sts.','new york',212/343-9012,asian,sushisay,'38 e. 51st st.','new york city',212-755-1780,japanese,0
'le chardonnay','8284 melrose ave.','los angeles',213/655-8880,french,'roosevelt tamale parlor','2817 24th st.','san francisco',415-550-9213,mexican,0
'il cortile','125 mulberry st.  between canal and hester sts.','new york',212/226-6060,italian,'morton\'s of chicago (las vegas)','3200 las vegas blvd. s.','las vegas',702-893-0703,steakhouses,0
'la grotta','2637 peachtree rd.  peachtree house condominium',atlanta,404/231-1368,italian,'shun lee palace','155 e. 55th st.','new york city',212-371-8844,chinese,0
'spring street natural restaurant & bar','62 spring st. at lafayette st.','new york',212/966-0290,american,march,'405 e. 58th st.','new york city',212-754-6272,'american (new)',0
lespinasse,'2 e. 55th st.','new york',212/339-6719,american,'pho hoa','642 broadway',chinatown,213-626-5530,vietnamese,0
toulouse,'b peachtree rd.',atlanta,404/351-9533,french,'alain rondelli','126 clement st.','san francisco',415-387-0408,'french (new)',0
'rainbow room','30 rockefeller plaza','new york',212/632-5000,'or 212/632-5100 american','bobby & june\'s kountry kitchen','375 14th st.',atlanta,404-876-3872,southern/soul,0
toulouse,'b peachtree rd.',atlanta,404/351-9533,french,'thep phanom','400 waller st.','san francisco',415-431-2526,thai,0
'french quarter food shop','923 peachtree st.  at 8th st.',atlanta,404/875-2489,southern,'marnie\'s noodle shop','466 hudson st.','new york city',212-741-3214,asian,0
'hudson river club','4 world financial center','new york',212/786-1500,american,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,0
maykadeh,'470 green st.','san francisco',415/362-8286,'greek and middle eastern',seryna,'11 e. 53rd st.','new york city',212-980-9393,japanese,0
'mad fish','2182 broadway  between 77th and 78th sts.','new york',212/787-0202,seafood,'hollywood hills coffee shop','6145 franklin ave.',hollywood,213-467-7678,'coffee shops',0
vong,'200 e. 54th st.','new york',212/486-9592,american,'ruby\'s (la)','45 s. fair oaks ave.',pasadena,818-796-7829,diners,0
'casa la femme','150 wooster st.  between houston and prince sts.','new york',212/505-0005,'middle eastern','benny\'s burritos','93 ave. a','new york city',212-254-2054,mexican,0
'stage deli','834 7th ave.  between 53rd and 54th sts.','new york',212/245-7850,delicatessen,'cafe claude','7 claude ln.','san francisco',415-392-3505,'french bistro',0
'cafe luxembourg','200 w. 70th st.','new york',212/873-7411,french,'palm  the (los angeles)','9001 santa monica blvd.','w. hollywood',310-550-8811,steakhouses,0
'dining room','9500 wilshire blvd.','los angeles',310/275-5200,californian,'second street grill','200 e. fremont st.','las vegas',702-385-6277,'pacific rim',0
'second avenue deli','156 2nd ave. at 10th st.','new york',212/677-0606,delicatessen,'les celebrites','155 w. 58th st.','new york city',212-484-5113,'french (classic)',0
'cha cha cha','656 n. virgil ave.','los angeles',213/664-7723,caribbean,'bone\'s restaurant','3130 piedmont rd. ne',atlanta,404-237-2663,steakhouses,0
'viva mercado\'s','6182 w. flamingo rd.','las vegas',702/871-8826,mexican,'trio cafe','1870 fillmore st.','san francisco',415-563-2248,american,0
'shun lee west','43 w. 65th st.','new york',212/371-8844,asian,'wa-ha-ka oaxaca mexican grill','2141 polk st.','san francisco',415-775-1055,mexican,0
firehouse,'522 columbus ave.  between 85th and 86th sts.','new york',212/595-3139,american,'lulu restaurant-bis-cafe','816 folsom st.','san francisco',415-495-5775,mediterranean,0
aqua,'252 california st.','san francisco',415/956-9662,seafood,r-23,'923 e. third st.','los angeles',213-687-7178,japanese,0
'caffe bondi ristorante','7 w. 20th st.','new york',212/691-8136,italian,'baja fresh','3345 kimber dr.','westlake village',805-498-4049,mexican,0
'sant ambroeus','1000 madison ave.  between 77th and 78th sts.','new york',212/570-2211,'coffee bar','indo cafe','10428 1/2 national blvd.',la,310-815-1290,indonesian,0
'monkey bar','60 e. 54th st.','new york',212/838-2600,american,citrus,'6703 melrose ave.','los angeles',213-857-0034,californian,0
'turkish kitchen','386 3rd ave.  between 27th and 28th sts.','new york',212/679-1810,'middle eastern','cafe \'50s','838 lincoln blvd.',venice,310-399-1955,american,0
aquavit,'13 w. 54th st.','new york',212/307-7311,continental,'nuevo laredo cantina','1495 chattahoochee ave. nw',atlanta,404-352-9009,mexican,0
'cafe bizou','14016 ventura blvd.','sherman oaks',818/788-3536,french,'maxwell\'s cafe','13329 washington blvd.','marina del rey',310-306-7829,american,0
'north india','3131 webster st.','san francisco',415/931-1556,asian,'river cafe','1 water st.',brooklyn,718-522-5200,'american (new)',0
'teresa\'s','103 1st ave.  between 6th and 7th sts.','new york',212/228-0604,'east european','morton\'s of chicago (atlanta)','303 peachtree st. ne',atlanta,404-577-4366,steakhouses,0
'mckinnon\'s louisiane','3209 maple dr.',atlanta,404/237-1313,southern,'edison cafe','228 w. 47th st.','new york city',212-840-5000,diners,0
'sant ambroeus','1000 madison ave.  between 77th and 78th sts.','new york',212/570-2211,'coffee bar',menchanko-tei,'39 w. 55th st.','new york city',212-247-1585,japanese,0
c3,'103 waverly pl.  near washington sq.','new york',212/254-1200,american,'les celebrites','155 w. 58th st.','new york city',212-484-5113,'french (classic)',0
'perry\'s','1944 union st.','san francisco',415/922-9022,american,'four seasons','99 e. 52nd st.','new york city',212-754-9494,'american (new)',0
republic,'37a union sq. w  between 16th and 17th sts.','new york',212/627-7172,asian,'la fonda latina','4427 roswell rd.',atlanta,404-303-8201,spanish,0
'buca giovanni','800 greenwich st.','san francisco',415/776-7766,italian,'la caravelle','33 w. 55th st.','new york city',212-586-4252,'french (classic)',0
chevys,'4th and howard sts.','san francisco',415/543-8060,'mexican/latin american/spanish',felidia,'243 e. 58th st.','new york city',212-758-1479,italian,0
'mccormick & kuleto\'s','ghirardelli sq.','san francisco',415/929-1730,seafood,'andre\'s french restaurant','401 s. 6th st.','las vegas',702-385-5016,'french (classic)',0
'ton kiang','3148 geary blvd.','san francisco',415/752-4440,asian,tortillas,'774 ponce de leon ave. ne',atlanta,404-892-0193,tex-mex,0
'bamboo garden','4850 flamingo rd.','las vegas',702/871-3262,asian,'ej\'s luncheonette','432 sixth ave.','new york city',212-473-5555,diners,0
'la folie','2316 polk st.','san francisco',415/776-5577,french,'hollywood hills coffee shop','6145 franklin ave.',hollywood,213-467-7678,'coffee shops',0
global,'33 93 2nd ave.  between 5th and 6th sts.','new york',212/477-8427,american,'westside cottage','689 ninth ave.','new york city',212-245-0800,chinese,0
'city grill','50 hurt plaza',atlanta,404/524-2489,international,'la serenata de garibaldi','1842 e. first','st. boyle hts.',213-265-2887,mexican/tex-mex,0
dive!,'10250 santa monica blvd.','los angeles',310/788-,'dive american',nava,'3060 peachtree rd.',atlanta,404-240-1984,southwestern,0
abbey,'163 ponce de leon ave.',atlanta,404/876-8532,international,'chez michel','804 north point st.','san francisco',415-775-7036,californian,0
'la grotta at ravinia dunwoody rd.','holiday inn/crowne plaza at ravinia  dunwoody',atlanta,770/395-9925,italian,'indo cafe','10428 1/2 national blvd.',la,310-815-1290,indonesian,0
'l\'auberge','1191 1st ave.  between 64th and 65th sts.','new york',212/288-8791,'middle eastern',majestic,'1031 ponce de leon ave.',atlanta,404-875-0276,diners,0
'splendido embarcadero',4,'san francisco',415/986-3222,mediterranean,seryna,'11 e. 53rd st.','new york city',212-980-9393,japanese,0
'city grill','50 hurt plaza',atlanta,404/524-2489,international,'bone\'s restaurant','3130 piedmont rd. ne',atlanta,404-237-2663,steakhouses,0
matsuhisa,'129 n. la cienega blvd.','beverly hills',310/659-9639,asian,'baja fresh','3345 kimber dr.','westlake village',805-498-4049,mexican,0
'marquet patisserie','15 e. 12th st.  between 5th ave. and university pl.','new york',212/229-9313,'coffee bar','cafe con leche','424 amsterdam ave.','new york city',212-595-7000,cuban,0
'cafe renaissance','7050 jimmy carter blvd.  norcross',atlanta,770/441--0291,american,moongate,'3400 las vegas blvd. s.','las vegas',702-791-7352,chinese,0
terrace,'400 w. 119th st.  between amsterdam and morningside aves.','new york',212/666-9490,continental,fringale,'570 fourth st.','san francisco',415-543-0573,'french bistro',0
'judson grill','152 w. 52nd st.','new york',212/582-5252,american,'bobby & june\'s kountry kitchen','375 14th st.',atlanta,404-876-3872,southern/soul,0
'lillie langtry\'s','129 e. fremont st.','las vegas',702/385-7111,asian,taiko,'11677 san vicente blvd.',brentwood,310-207-7782,'noodle shops',0
cava,'3rd st.','los angeles',213/658-8898,mediterranean,'pano\'s & paul\'s','1232 w. paces ferry rd.',atlanta,404-261-3662,'american (new)',0
'sant ambroeus','1000 madison ave.  between 77th and 78th sts.','new york',212/570-2211,'coffee bar',zab-e-lee,'4837 old national hwy.','college park',404-768-2705,thai,0
'hong kong villa','2332 clement st.','san francisco',415/752-8833,asian,'nicky blair\'s','3925 paradise rd.','las vegas',702-792-9900,italian,0
'judson grill','152 w. 52nd st.','new york',212/582-5252,american,'patsy\'s pizza','19 old fulton st.',brooklyn,718-858-4300,pizza,0
'caffe dell\'artista','46 greenwich ave.','new york',212/645-4431,'coffee bar','john\'s pizzeria','48 w. 65th st.','new york city',212-721-7001,pizza,0
ct,'111 e. 22nd st.  between park ave. s and lexington ave.','new york',212/995-8500,french,'zankou chicken','1415 e. colorado st.',glendale,818-244-1937,'middle eastern',0
'luna si','1931 peachtree rd.',atlanta,404/355-5993,continental,'cafe sunflower','5975 roswell rd.',atlanta,404-256-1675,'health food',0
'jimmy\'s','201 moreno dr.','los angeles',310/552-2394,continental,'buckhead diner','3073 piedmont rd.',atlanta,404-262-3336,'american (new)',0
'caffe dell\'artista','46 greenwich ave.','new york',212/645-4431,'coffee bar','corner bistro','331 w. fourth st.','new york city',212-242-9502,hamburgers,0
anthonys,'3109 piedmont rd.  just south of peachtree rd.',atlanta,404/262-7379,american,'van gogh\'s restaurant & bar','70 w. crossville rd.',roswell,770-993-1156,'american (new)',0
'21 club','21 w. 52nd st.','new york',212/582-7200,american,'bone\'s restaurant','3130 piedmont rd. ne',atlanta,404-237-2663,steakhouses,0
otabe,'68 e. 56th st.','new york',212/223-7575,asian,'peter luger steak house','178 broadway',brooklyn,718-387-7400,steakhouses,0
'main street','446 columbus ave.  between 81st and 82nd sts.','new york',212/873-5025,american,'mulberry st.','17040 ventura blvd.',encino,818-906-8881,pizza,0
'l\'orangerie','903 n. la cienega blvd.','los angeles',310/652-9770,french,'monsoon (ny)','435 amsterdam ave.','new york city',212-580-8686,thai,0
'les halles','411 park ave. s  between 28th and 29th sts.','new york',212/679-4111,french,'teresa\'s','80 montague st.',queens,718-520-2910,polish,0
'yujean kang\'s gourmet chinese cuisine','67 n. raymond ave.','los angeles',818/585-0855,asian,'uncle bill\'s pancake house','1305 highland ave.','manhattan beach',310-545-5177,diners,0
'schatzi on main','3110 main st.','los angeles',310/399-4800,continental,'tre visi','3799 las vegas blvd. s.','las vegas',702-891-7331,italian,0
'vivande porta via','2125 fillmore st.','san francisco',415/346-4430,italian,'joe\'s shanghai','9 pell st.',queens,718-539-3838,chinese,0
'il fornaio levi\'s plaza','1265 battery st.','san francisco',415/986-0100,italian,'kokomo cafe','6333 w. third st.',la,213-933-0773,american,0
'carmine\'s','2450 broadway  between 90th and 91st sts.','new york',212/362-2200,italian,'original pantry bakery','875 s. figueroa st. downtown',la,213-627-6879,diners,0
'golden unicorn','18 e. broadway at catherine st.','new york','212/ 941-0911',asian,petrossian,'182 w. 58th st.','new york city',212-245-2214,russian,0
'scala\'s bistro','432 powell st.','san francisco',415/395-8555,italian,'mo better meatty meat','7261 melrose ave.',la,213-935-5280,hamburgers,0
chevys,'4th and howard sts.','san francisco',415/543-8060,'mexican/latin american/spanish','dusit thai','3221 mission st.','san francisco',415-826-4639,thai,0
firehouse,'522 columbus ave.  between 85th and 86th sts.','new york',212/595-3139,american,'bistro 45','45 s. mentor ave.',pasadena,818-795-2478,californian,0
'manila garden','325 e. 14th st.  between 1st and 2nd aves.','new york',212/777-6314,asian,'dusit thai','3221 mission st.','san francisco',415-826-4639,thai,0
'bardelli\'s','243 o\'farrell st.','san francisco',415/982-0243,'old san francisco','fenix at the argyle','8358 sunset blvd.','w. hollywood',213-848-6677,'french (new)',0
'le marais','150 w. 46th st.','new york',212/869-0900,american,citrus,'6703 melrose ave.','los angeles',213-857-0034,californian,0
'ritz-carlton restaurant and dining room','600 stockton st.','san francisco',415/296-7465,american,'maxwell\'s cafe','13329 washington blvd.','marina del rey',310-306-7829,american,0
'arnie morton\'s of chicago','435 s. la cienega blv.','los angeles',310/246-1501,american,'indo cafe','10428 1/2 national blvd.',la,310-815-1290,indonesian,0
'mavalli palace','46 e. 29th st.','new york',212/679-5535,asian,'mary mac\'s tea room','224 ponce de leon ave.',atlanta,404-876-1800,southern/soul,0
2223,'2223 market st.','san francisco',415/431-0692,american,'patsy\'s pizza','19 old fulton st.',brooklyn,718-858-4300,pizza,0
bouterin,'420 e. 59th st.  off 1st ave.','new york',212/758-0323,french,'la grotta','2637 peachtree rd. ne',atlanta,404-231-1368,italian,0
'second street grille','200 e. fremont st.','las vegas',702/385-3232,seafood,'afghan kebab house','764 ninth ave.','new york city',212-307-1612,afghan,0
'vince & eddie\'s','70 w. 68th st.','new york',212/721-0068,american,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,0
'coyote cafe','3799 las vegas blvd. s','las vegas',702/891-7349,southwestern,'jackson diner','37-03 74th st.',queens,718-672-1232,indian,0
'matthew\'s','1030 3rd ave. at 61st st.','new york',212/838-4343,american,'harold\'s barbecue','171 mcdonough blvd.',atlanta,404-627-9268,bbq,0
'dynasty room','930 hilgard ave.','los angeles',310/208-8765,continental,jiraffe,'502 santa monica blvd','santa monica',310-917-6671,californian,0
'world wrapps','2257 chestnut st.','san francisco',415/563-9727,american,'sushi nozawa','11288 ventura blvd.','studio city',818-508-7017,japanese,0
docks,'633 3rd ave. at 40th st.','new york','212/ 986-8080',seafood,'la grotta','2637 peachtree rd. ne',atlanta,404-231-1368,italian,0
vertigo,'600 montgomery st.','san francisco',415/433-7250,mediterranean,'cafe bizou','14016 ventura blvd.','sherman oaks',818-788-3536,'french bistro',0
'yank sing','427 battery st.','san francisco',415/541-4949,asian,'joe\'s shanghai','9 pell st.',queens,718-539-3838,chinese,0
'gladstone\'s','4 fish 17300 pacific coast hwy. at sunset blvd.','pacific palisades',310/454-3474,american,'parkway grill','510 s. arroyo pkwy.',pasadena,818-795-1001,californian,0
'film center cafe','635 9th ave.  between 44th and 45th sts.','new york','212/ 262-2525',american,patina,'5955 melrose ave.','los angeles',213-467-1108,californian,0
nicola,'601 s. figueroa st.','los angeles',213/485-0927,american,'edison cafe','228 w. 47th st.','new york city',212-840-5000,diners,0
'mandarin court','1510 e. flamingo rd.','las vegas',702/737-1234,asian,'wa-ha-ka oaxaca mexican grill','2141 polk st.','san francisco',415-775-1055,mexican,0
indochine,'430 lafayette st.  between 4th st. and astor pl.','new york',212/505-5111,asian,'mitali east-west','296 bleecker st.','new york city',212-989-1367,indian,0
'north india','3131 webster st.','san francisco',415/931-1556,asian,'original pancake house (at)','4330 peachtree rd.',atlanta,404-237-4116,american,0
'golden unicorn','18 e. broadway at catherine st.','new york','212/ 941-0911',asian,'bristol farms market cafe','1570 rosecrans ave. s.',pasadena,310-643-5229,californian,0
'cafe pierre','2 e. 61st st.','new york',212/940-8185,french,'cassell\'s','3266 w. sixth st.',la,213-480-8668,hamburgers,0
'the bacchanal','3570 las vegas blvd. s','las vegas',702/731-7525,'only in las vegas','la cumbre','515 valencia st.','san francisco',415-863-8205,mexican,0
'la grotta at ravinia dunwoody rd.','holiday inn/crowne plaza at ravinia  dunwoody',atlanta,770/395-9925,italian,pisces,'95 ave. a','new york city',212-260-6660,seafood,0
'macarthur park','607 front st.','san francisco',415/398-5700,american,'edison cafe','228 w. 47th st.','new york city',212-840-5000,diners,0
'fleur de jour','348 e. 62nd st.','new york',212/355-2020,'coffee bar','doidge\'s','2217 union st.','san francisco',415-921-2149,american,0
'tadich grill','240 california st.','san francisco',415/391-2373,seafood,granita,'23725 w. malibu rd.',malibu,310-456-0488,californian,0
thepin,'298 gough st.','san francisco',415/863-9335,asian,'one if by land  tibs','17 barrow st.','new york city',212-228-0822,continental,0
'yank sing','427 battery st.','san francisco',415/541-4949,asian,'rainbow room','30 rockefeller plaza','new york city',212-632-5000,'american (new)',0
'inca grill','492 broome st.  near w. broadway','new york',212/966-3371,'latin american',mishima,'8474 w. third st.',la,213-782-0181,'noodle shops',0
verbena,'54 irving pl. at 17th st.','new york',212/260-5454,american,'cucina della fontana','368 bleecker st.','new york city',212-242-0636,italian,0
chevys,'4th and howard sts.','san francisco',415/543-8060,'mexican/latin american/spanish',aqua,'252 california st.','san francisco',415-956-9662,'american (new)',0
manora,'3226 mission st.','san francisco',415/861-6224,asian,'roosevelt tamale parlor','2817 24th st.','san francisco',415-550-9213,mexican,0
c3,'103 waverly pl.  near washington sq.','new york',212/254-1200,american,'fenix at the argyle','8358 sunset blvd.','w. hollywood',213-848-6677,'french (new)',0
republic,'37a union sq. w  between 16th and 17th sts.','new york',212/627-7172,asian,'park avenue cafe (new york city)','100 e. 63rd st.','new york city',212-644-1900,'american (new)',0
'fifty seven fifty seven','57 e. 57th st.','new york',212/758-5757,american,'bistro  the','56 e. andrews dr. nw',atlanta,404-231-5733,'french bistro',0
'el cholo','1121 s. western ave.','los angeles',213/734-2773,mexican,'buzio\'s in the rio','3700 w. flamingo rd.','las vegas',702-252-7697,seafood,0
'sofia fabulous pizza','1022 madison ave.  near 79th st.','new york',212/734-2676,italian,'gray\'s papaya','2090 broadway','new york city',212-799-0243,'hot dogs',0
'lucky strike','59 grand st.  between wooster st. and w. broadway','new york',212/941-0479,'or 212/941-0772 american','103 west','103 w. paces ferry rd.',atlanta,404-233-5993,continental,0
'cafe des artistes','1 w. 67th st.','new york',212/877-3500,continental,'szechuan kitchen','1460 first ave.','new york city',212-249-4615,chinese,0
'lucky strike','59 grand st.  between wooster st. and w. broadway','new york',212/941-0479,'or 212/941-0772 american',aureole,'34 e. 61st st.','new york city',212-319-1660,'american (new)',0
seryna,'11 e. 53rd st.','new york',212/980-9393,asian,'21 club','21 w. 52nd st.','new york city',212-582-7200,'american (new)',0
'20 mott','20 mott st.  between bowery and pell st.','new york',212/964-0380,asian,'carey\'s','1021 cobb pkwy. se',marietta,770-422-8042,hamburgers,0
agrotikon,'322 e. 14 st.  between 1st and 2nd aves.','new york',212/473-2602,mediterranean,'mario\'s bohemian cigar store cafe','2209 polk st.','san francisco',415-776-8226,italian,0
'arnie morton\'s of chicago','435 s. la cienega blv.','los angeles',310/246-1501,american,'koo koo roo','8393 w. beverly blvd.',la,213-655-9045,chicken,0
'monkey bar','60 e. 54th st.','new york',212/838-2600,american,'la grotta','2637 peachtree rd. ne',atlanta,404-231-1368,italian,0
granita,'23725 w. malibu rd.',malibu,310/456-0488,californian,campanile,'624 s. la brea ave.','los angeles',213-938-1447,californian,0
joss,'9255 sunset blvd.','los angeles',310/276-1886,asian,'chez michel','804 north point st.','san francisco',415-775-7036,californian,0
sfuzzi,'58 w. 65th st.','new york',212/873-3700,american,'ritz-carlton cafe (atlanta)','181 peachtree st.',atlanta,404-659-0400,'american (new)',0
'cafe la fortuna','69 w. 71st st.','new york',212/724-5846,'coffee bar','kuruma zushi','2nd fl.','new york city',212-317-2802,japanese,0
thepin,'298 gough st.','san francisco',415/863-9335,asian,'mani\'s bakery & espresso bar','519 s. fairfax ave.',la,213-938-8800,desserts,0
'south park cafe','108 south park','san francisco',415/495-7275,french,'bobby & june\'s kountry kitchen','375 14th st.',atlanta,404-876-3872,southern/soul,0
'pano\'s and paul\'s','1232 w. paces ferry rd.',atlanta,404/261-3662,international,mifune,'1737 post st.','san francisco',415-922-0337,japanese,0
'cupcake cafe','522 9th ave. at 39th st.','new york',212/465-1530,'coffee bar','wa-ha-ka oaxaca mexican grill','2141 polk st.','san francisco',415-775-1055,mexican,0
march,'405 e. 58th st.','new york',212/754-6272,american,taiko,'11677 san vicente blvd.',brentwood,310-207-7782,'noodle shops',0
match,'160 mercer st.  between houston and prince sts.','new york',212/906-9173,american,'kuruma zushi','2nd fl.','new york city',212-317-2802,japanese,0
'ernie\'s','2150 broadway  between 75th and 76th sts.','new york',212/496-1588,american,'cafe des artistes','1 w. 67th st.','new york city',212-877-3500,'french (classic)',0
'stars cafe','500 van ness ave.','san francisco',415/861-4344,american,'khan toke thai house','5937 geary blvd.','san francisco',415-668-6654,thai,0
'fujiyama mama','467 columbus ave.  between 82nd and 83rd sts.','new york',212/769-1144,asian,'cafe blanc','9777 little santa monica blvd.','beverly hills',310-888-0108,'pacific new wave',0
'cafe roma','3570 las vegas blvd. s','las vegas',702/731-7547,'coffee shops/diners','la cachette','10506 little santa monica blvd.','century city',310-470-4992,'french (new)',0
sofi,'3rd st.','los angeles',213/651-0346,mediterranean,'rae\'s','2901 pico blvd.','santa monica',310-828-7937,diners,0
verbena,'54 irving pl. at 17th st.','new york',212/260-5454,american,'hedgerose heights inn  the','490 e. paces ferry rd. ne',atlanta,404-233-7673,continental,0
'milan cafe and coffee bar','120 w. 23rd st.','new york',212/807-1801,'coffee bar','lettuce souprise you (at)','3525 mall blvd.',duluth,770-418-9969,cafeterias,0
'antonio\'s','3700 w. flamingo','las vegas',702/252-7737,italian,'sarabeth\'s','1295 madison ave.','new york city',212-410-7335,american,0
adrienne,'700 5th ave. at 55th st.','new york',212/903-3918,french,veselka,'144 second ave.','new york city',212-228-9682,ukrainian,0
'new york noodletown','28 1/2 bowery at bayard st.','new york',212/349-0923,asian,'la salsa (la)','22800 pch',malibu,310-456-6299,mexican,0
'khan toke thai house','5937 geary blvd.','san francisco',415/668-6654,asian,arcadia,'21 e. 62nd st.','new york city',212-223-2900,'american (new)',0
felidia,'243 e. 58th st.','new york',212/758-1479,italian,'edison cafe','228 w. 47th st.','new york city',212-840-5000,diners,0
lutece,'249 e. 50th st.','new york',212/752-2225,french,'lettuce souprise you (at)','3525 mall blvd.',duluth,770-418-9969,cafeterias,0
