Name_A,Votes_A,Rating_A,Phone_A,Address_A,Zipcode_A,Cuisine_A,Name_B,Votes_B,Rating_B,Phone_B,Address_B,Zipcode_B,Cuisine_B,Gold
The Bedford,47,3.4,(773) 235-8800,"1612 W. Division Street, Chicago",60622,New American,The Bedford,534,3.5,(773) 235-8800,1612 W Division St,60622,Bars,1
Bao Dim Sum House,88,4.0,(323) 655-6556,"8256 Beverly Blvd., Los Angeles",90048,"Asian, Chinese, Dim Sum",Bao Dim Sum House,1418,4.0,(323) 655-6556,8256 Beverly Blvd,90048,Dim Sum,1
Feast,301,3.7,(773) 772-7100,"1616 N. Damen Avenue, Chicago",60647,American,Feast,760,3.5,(773) 772-7100,1616 N Damen Ave,60647,Breakfast & Brunch,1
12 Chairs,108,3.5,(212) 254-8640,"56 MacDougal Streeet, New York",10012,Mediterranean,12 Chairs,211,4.0,(212) 254-8640,56 MacDougal St,10012,Middle Eastern,1
Spot,16,3.1,(608) 251-7768,"827 Johnson St, Madison",53703,American,The Spot,52,4.0,(608) 251-7768,827 E Johnson St,53703,Bars,1
Chicken Lips,14,3.1,(608) 837-6721,5508 County Rd N Ste 3,53590,Bar Food,Chicken Lips,23,4.5,(608) 837-6721,5508 County Rd NSte 3,53590,Chicken Wings,1
Ink.Sack,109,4.7,(323) 655-7225,"8360 Melrose Ave, Los Angeles",90069,"American, Fast Food, Sandwich",Ink,1523,4.0,(323) 651-5866,8360 Melrose AveSte 101,90069,American (New),1
Taj Indian Restaurant,59,3.8,(608) 268-0772,"1256 S Park St, Madison",53715,Indian,Taj Indian Restaurant,52,3.5,(608) 268-0772,1256 S Park St,53715,Indian,1
Green Lantern Restaurant,54,3.4,(608) 838-4730,4412 Siggelkow Rd,53558,American,Green Lantern Restaurant,39,3.5,(608) 838-4730,4412 Siggelkow Rd,53558,American (Traditional),1
Blue Palms Brewhouse,67,4.3,(323) 464-2337,"6124 Hollywood Blvd, Los Angeles",90028,"American, Sandwich",Blue Palms Brewhouse,622,4.0,(323) 464-2337,6124 Hollywood Blvd,90028,Gastropubs,1
Smoke Daddy,504,3.7,(773) 772-6656,"1804 W. Division Street, Chicago",60622,"American, BBQ",Smoke Daddy,911,3.5,(773) 772-6656,1804 W Division St,60622,"Barbeque,Burgers,American (Traditional),Wine Bars,Wine Bars",1
Athenian Room,463,4.1,(773) 348-5155,"807 W. Webster Avenue, Chicago",60614,Greek,Athenian Room,477,4.0,(773) 348-5155,807 W Webster Ave,60614,Greek,1
Marc Forgione,178,3.8,(212) 941-9401,"134 Reade Street, New York",10013,American,Marc Forgione,615,4.0,(212) 941-9401,134 Reade St,10013,"American (New),Hardware Stores,Coffee & Tea,Lounges",1
Fat Rice,56,3.7,(773) 661-9170,"2957 W. Diversey Avenue, Chicago",60647,Asian,Fat Rice,411,4.0,(773) 661-9170,2957 W Diversey Ave,60647,Asian Fusion,1
Osteria Mozza,669,3.9,(323) 297-0100,"6602 Melrose Ave, Los Angeles",90038,Italian,Osteria Mozza,1969,4.0,(323) 297-0100,6602 Melrose Ave,90038,Italian,1
Barry's Food From Galilee,173,4.1,(214) 750-0330,"6710 Snider Plaza, Dallas",75205,Middle Eastern,Food From Galilee,68,4.0,(214) 750-0330,6710 Snider Plz,75205,Middle Eastern,1
Posto,267,3.8,(212) 716-1200,"310 2nd Avenue, New York",10003,Pizza,Posto,439,4.0,(212) 716-1200,310 2nd Ave,10003,Pizza,1
La Bamba,19,2.8,(608) 277-9522,"710 S Gammon Rd, Madison",53719,Mexican,La Bamba,42,3.0,(608) 277-9522,710 S Gammon Rd,53719,Mexican,1
Original Pancake House,231,3.6,(214) 528-7215,"2900 Lemmon Avenue, Dallas",75204,American,The Original Pancake House,200,3.5,(214) 528-7215,2900 Lemmon AveSte 200,75204,Breakfast & Brunch,1
Vintage Spirits & Grill,32,3.3,(608) 250-0700,"529 University Ave, Madison",53703,American,Vintage Spirits & Grill,42,4.0,(608) 250-0700,529 University Ave,53703,Bars,1
Maharana,93,3.9,(608) 246-8525,"1707 Thierer Rd, Madison",53704,"Indian, Vegetarian",Maharana Indian Restaurant,11,3.5,(608) 246-8525,1707 Theirer Rd,53704,Indian,1
Market Table,182,3.7,(212) 255-2100,"54 Carmine Street, New York",10014,"Mediterranean, American",Market Table,615,4.0,(212) 255-2100,54 Carmine St,10014,"American (New),American (New)",1
City Cafe,71,3.7,(214) 351-2233,"5757 West Lovers Lane, Dallas",75209,"American, Cafe",City Cafe,34,3.5,(214) 351-2233,5757 W Lovers Ln,75209,American (New),1
Alinea,878,4.1,(312) 867-0110,"1723 N. Halsted Street, Chicago",60614,New American,Alinea,1362,4.5,(312) 867-0110,1723 N Halsted St,60614,Japanese,1
Dream Cafe,453,3.7,(214) 954-0486,"2800 Routh Street, Suite 170, Dallas",75201,"American, Cafe",Dream Cafe,397,3.5,(214) 954-0486,2800 Routh StSte 170,75201,Breakfast & Brunch,1
Petty Cash Taqueria,39,3.4,(323) 933-5300,"7360 Beverly Blvd, Los Angeles",90036,Mexican,Petty Cash Taqueria,461,3.5,(323) 933-5300,7360 Beverly Blvd,90036,Mexican,1
Bottega Louie,1676,4.2,(213) 802-1470,"700 S Grand Ave, Los Angeles",90017,Italian,Bottega Louie,11751,4.0,(213) 802-1470,700 S Grand Ave,90017,Italian,1
Perch,83,3.6,(213) 802-1770,"448 S Hill St, Los Angeles",90013,"American, French",Perch,3132,4.0,(213) 802-1770,448 S Hill St,90013,Lounges,1
Cochon Volant,11,3.0,(312) 754-6560,"Hyatt Centric Hotel, 100 W. Monroe Street, Chicago",60603,French,Cochon Volant,116,4.0,(312) 754-6560,100 W Monroe St,60603,French,1
Penne Pomodoro,150,3.8,(214) 373-9911,"6815 Snider Plaza, Dallas",75205,Italian,Penne Pomodoro,88,3.5,(214) 373-9911,6815 Snider Plz,75205,Italian,1
The Winchester,16,3.2,(773) 698-8703,"1001 N. Winchester Avenue, Chicago",60622,American,The Winchester,160,3.5,(773) 698-8703,1001 N Winchester Ave,60622,American (Traditional),1
Great Dane Pub,5,2.7,(608) 243-9614,"4000 International Lane, Madison",53704,"American, Bar Food",Great Dane Pub & Brewing Co.,39,2.5,(608) 246-3380,4000 International Ln,53704,Pubs,1
Hopdoddy,54,4.7,(214) 871-2337,"3227 McKinney Avenue, Dallas",75204,"Burger, American",Hopdoddy Burger Bar,282,4.0,(214) 871-2337,3227 McKinney AveSte 102,75204,Burgers,1
Sage Organic Vegan,98,4.7,(213) 989-1718,"1700 W Sunset Blvd, Los Angeles",90026,Vegetarian,Sage Organic Vegan Bistro,1077,4.0,(213) 989-1718,1700 Sunset Blvd,90026,Vegan,1
Farmhouse,96,3.6,(312) 280-4960,"228 W. Chicago Avenue, Chicago",60654,American,Farmhouse,832,4.0,(312) 280-4960,228 W Chicago Ave,60654,American (Traditional),1
Num Pang Sandwich Shop,160,3.6,(212) 255-3271,"28 E 12th Street, New York",10003,"Cambodian, Sandwich",Num Pang Sandwich Shop,1222,4.0,(646) 791-0439,28 E 12th St,10003,Cambodian,1
Sycamore Kitchen,45,4.2,(323) 935-2977,"143 S La Brea Ave, Los Angeles",90036,"Breakfast, French",The Sycamore Kitchen,545,4.0,(323) 939-0151,143 S La Brea Ave,90036,Cafes,1
Hibiscus,456,4.0,(214) 827-2927,"2927 N Henderson Avenue, Dallas",75206,New American,Hibiscus,405,4.0,(214) 827-2927,2927 N Henderson Ave,75206,"American (New),Pizza,Southern,Gastropubs",1
Proof + Pantry,14,3.0,(214) 880-9940,"1722 Routh Street, Suite 102, Dallas",75201,New American,Proof + Pantry,90,3.5,(214) 880-9940,1722 Routh StSte 102,75201,"Cocktail Bars,Seafood",1
Pistola,15,2.7,(323) 951-9800,"8022 W 3rd St, Los Angeles",90048,Italian,Pistola,182,4.0,(323) 951-9800,8022 W 3rd St,90048,Italian,1
Conte Di Savoia,101,3.7,(773) 666-3471,1438 W. Taylor Street,60607,"Desserts, Italian, Sandwich",Conte Di Savoia,168,4.5,(312) 666-3471,1438 W Taylor St,60607,Delis,1
Artopolis,278,3.9,(312) 559-9000,"306 S. Halsted Street, Chicago",60661,"Greek, Mediterranean",Artopolis,608,4.0,(312) 559-9000,306 S Halsted St,60661,Bakeries,1
Fireside Pies,167,3.4,(214) 357-3800,7709 Inwood Road,75209,Pizza,Fireside Pies,84,4.0,(214) 357-3800,7709 Inwood Rd,75209,Pizza,1
Chez Nanou,21,3.2,(608) 283-4266,"805 Williamson St, Madison",53703,"French, International",Chez Nanou,41,4.0,(608) 283-4266,805 Williamson St,53703,French,1
Favela Cubana,97,3.6,(212) 777-6500,"543 LaGuardia Place, New York",10012,"Brazilian, Cuban, Latin American",Cuba,960,4.0,(212) 420-7878,222 Thompson St,10012,"Cuban,Latin American Restaurants,Mexican Restaurants,Latin American Restaurants,Cuban Restaurants",1
Le Parisien,70,4.0,(212) 889-5489,"163 E 33rd Street, New York",10016,French,Le Parisien,611,4.0,(212) 889-5489,163 E 33rd St,10016,French,1
Yakitori Taisho,219,4.0,(212) 228-5086,"5 St. Marks Place, New York",10003,Japanese,Yakitori Taisho,1225,4.0,(212) 228-5086,5 Saint Marks Pl,10003,Japanese,1
Joe Allen,251,3.7,(212) 581-6464,"326 West 46th Street, New York, NY",10036,Burger,Joe Allen,220,4.0,(212) 581-6464,326 W 46th St,10036,"American (Traditional),Italian",1
Salum,162,4.1,(214) 252-9604,"4152 Cole Avenue, Suite 103, Dallas",75204,New American,Salum Restaurant,96,4.0,(214) 252-9604,4152 Cole AveSte 103,75204,American (New),1
Pecan Lodge,515,4.0,(214) 748-8900,"2702 Main Street, Dallas",75226,BBQ,Pecan Lodge,960,4.0,(214) 748-8900,2702 Main St,75226,Sandwiches,1
Cafe Beaujolais,374,4.3,(323) 255-5111,"1712 Colorado Blvd, Los Angeles",90041,French,Cafe Beaujolais,1040,4.5,(323) 255-5111,1712 Colorado Blvd,90041,French,1
Eagle Crest Bar,37,3.3,(608) 244-5413,"3710 County Road T, Madison",53704,"American, Bar Food",Eagle Crest Bar,14,3.5,(608) 244-5413,3710 County Rd T,53704,Dive Bars,1
Saigon Shack,41,4.4,(212) 228-0588,"114 MacDougal Street, New York",10012,Vietnamese,Saigon Shack,1224,4.0,(212) 228-0588,114 Macdougal St,10012,Vietnamese,1
The Side Door Grill and Tap,11,3.1,(608) 257-3300,"240 West Gilman Street, Madison",53703,"Burger, Pizza",The Side Door Grill and Tap,57,4.0,(608) 310-4800,240 W Gilman St,53703,American (Traditional),1
Sarku Japan,15,3.2,(608) 243-8686,"89 E Towne Mall, Madison",53704,Japanese,Sarku Japan,5,4.0,(608) 243-8686,89 E Towne Mall,53704,Japanese,1
Asian Mint,713,3.7,(214) 363-6655,"11617 N Central Expressway, Dallas",75243,"Asian, Thai",Asian Mint,393,4.0,(214) 363-6655,11617 N Central ExpySte 135,75243,Asian Fusion,1
Wood Spoon,285,4.1,(213) 629-1765,"107 West 9th St, Los Angeles",90015,"Brazilian, International",Wood Spoon,1134,4.0,(213) 629-1765,107 W 9th St,90015,Brazilian,1
Knuckle & Claw,7,3.1,(323) 407-6142,"3112 Sunset Blvd, Los Angeles",90026,Seafood,Knuckle & Claw,242,4.0,(323) 407-6142,3112 W. Sunset Blvd,90026,Seafood,1
Blue Moon Bar & Grill,174,3.8,(608) 233-0441,"2535 University Ave, Madison",53705,"Burger, Sandwich",Blue Moon Bar & Grill,49,4.0,(608) 233-0441,2535 University Ave,53705,Burgers,1
Clinton Street Baking Company,503,4.1,(646) 602-6263,"4 Clinton Street, New York",10002,"American, Bakery, Desserts",Clinton Street Baking Company,2827,4.0,(646) 602-6263,4 Clinton St,10002,Breakfast & Brunch,1
Five Leaves,317,3.9,(718) 383-5345,"18 Bedford Avenue, Brooklyn",11222,"New American, Australian",Five Leaves,1015,4.0,(718) 383-5345,18 Bedford Ave,11222,"Breakfast & Brunch,Bars",1
Tei Tei Robata Bar,218,3.7,(214) 828-2400,"2906 N Henderson Avenue, Dallas",75206,"Japanese, Sushi",Tei Tei Robata,360,4.5,(214) 828-2400,2906 N Henderson Ave,75206,Japanese,1
Santouka Ramen,118,4.1,(310) 391-1101,"3760 S Centinela Ave, Los Angeles",90066,"Japanese, Ramen",Santouka Ramen,1865,4.5,(310) 391-1101,3760 S Centinela Ave,90066,Ramen,1
Da Andrea,149,3.9,(212) 367-1979,"35 W 13th Street, New York",10011,"Italian, Seafood",Da Andrea,453,4.0,(212) 367-1979,35 W 13th St,10011,Italian,1
Tank Noodle,249,3.7,(773) 878-2253,"4953 N. Broadway Street, Chicago",60640,Vietnamese,Tank Noodle Restaurant,1242,4.0,(773) 878-2253,4953 N Broadway,60640,Vietnamese,1
Sushiya,129,3.4,(214) 744-9600,"1306 Elm Street, Dallas",75202,"Japanese, Sushi",Sushiya,104,4.0,(214) 744-9600,1306 Elm St,75202,Sushi Bars,1
Tru,238,3.5,(312) 202-0001,"676 N. St. Clair Street, Chicago",60611,French,Tru,556,4.5,(312) 202-0001,676 N St. Clair St,60611,American (New),1
Mad City Frites,9,2.8,(608) 204-6150,"320 State St, Madison",53703,Bar Food,Mad City Frites,39,4.0,(608) 204-6150,320 State St,53703,Belgian,1
Blue Cow Kitchen & Bar,63,4.2,(213) 621-2249,"350 S Grand Ave, Los Angeles",90071,"Burger, Vegetarian",Blue Cow Kitchen,814,4.0,(213) 621-2249,350 S Grand Ave,90071,American (New),1
Becks Prime,73,3.3,(972) 661-8681,"5931 Forest Lane, Dallas",75230,"American, Burger",Becks Prime,77,3.5,(972) 661-8681,5931 Forest Ln,75230,American (Traditional),1
Ipanema,182,3.6,(212) 730-5848,"43 West 46th Street, New York",10036,"Brazilian, Portuguese",Ipanema Restaurant,424,4.0,(646) 791-7171,43 W 46th St,10036,Brazilian,1
Chicago Bagel Authority,152,3.8,(773) 248-9606,"953 W. Armitage Avenue, Chicago",60614,"American, Bagels, Sandwich",Chicago Bagel Authority,530,4.0,(773) 248-9606,953 W Armitage Ave,60614,"Bagels,Cucina messicana",1
Faith & Flower,60,4.6,(213) 239-0642,"705 W 9th St, Los Angeles",90015,California,Faith & Flower,915,4.0,(213) 239-0642,705 W 9th St,90015,American (New),1
Neighborhood Services,365,3.9,(214) 350-5027,"5027 W Lovers Lane, Dallas",75209,New American,Neighborhood Services,251,4.0,(214) 350-5027,5027 W Lovers Ln,75209,American (New),1
Badmaash,32,3.5,(213) 221-7466,"108 West 2nd St, Los Angeles",90012,Indian,Badmaash,725,4.0,(213) 221-7466,108 W 2nd StSte 104,90012,Indian,1
Suehiro Cafe,94,3.6,(213) 626-9132,"337 E 1st St, Los Angeles",90012,"Asian, Chinese, Japanese",Suehiro Cafe,877,4.0,(213) 626-9132,337 E 1st St,90012,Japanese,1
Seoul Garden,92,3.6,(972) 484-6090,"2502 Royal Lane, Dallas",75229,Korean,Seoul Garden,156,4.0,(972) 484-6090,2502 Royal LnSte 103,75229,Korean,1
Bistrot Zinc,210,3.7,(312) 337-1131,"1131 N. State Street, Chicago",60610,"European, French",Bistrot Zinc,426,4.0,(312) 337-1131,1131 N State St,60610,French,1
Baldwin Street Grille,38,3.5,(608) 442-8400,"1304 E Washington Ave, Madison",53703,"Burger, Bar Food, Sandwich",Baldwin Street Grille,37,4.0,(608) 442-8400,1304 E Washington Ave,53703,Bars,1
The Springs,9,3.3,(213) 223-6226,"608 Mateo St, Los Angeles",90021,Vegetarian,The Springs,212,4.0,(213) 223-6226,608 Mateo St,90021,Vegan,1
Gulfstream,527,4.1,(310) 553-3636,"10250 Santa Monica Boulevard, Los Angeles",90067,"American, Seafood, California",Gulfstream,530,4.0,(310) 553-3636,10250 Santa Monica Blvd,90067,American (New),1
Casa Enrique,58,4.7,(347) 448-6040,"5-48 49th Avenue, Queens",11101,Mexican,Casa Enrique,416,4.0,(347) 448-6040,5-48 49th Ave,11101,Mexican,1
Barley & Brass,4,2.7,(312) 763-9600,"2015 W. Division Street, Chicago",60622,"New American, Bar Food",Barley & Brass,95,4.0,(312) 763-9600,2015 W Division St,60622,Cocktail Bars,1
El Rey Del Grill,42,3.6,(214) 559-3668,"4535 Maple Avenue, Dallas",75219,"Mexican, Vegetarian",El Rey Del Grill,79,4.0,(214) 559-3668,4535 Maple Ave,75219,Mexican,1
Chico's Villa Tap,12,3.1,(608) 244-9627,"2302 Packers Ave, Madison",53704,Bar Food,Villa Tap,16,4.0,(608) 244-9627,2302 Packers Ave,53704,Dive Bars,1
Kobawoo,38,3.8,(213) 389-7300,"698 S Vermont Ave, Los Angeles",90005,Korean,Kobawoo House,761,4.0,(213) 389-7300,698 S Vermont AveSte 109,90005,Korean,1
Buck & Badger Northwoods Lodge,20,2.8,(608) 230-7999,"115 State St, Madison",53703,"Burger, Seafood",Buck & Badger,38,3.0,(608) 230-7999,115 State St,53703,Comfort Food,1
Savor,50,3.3,(214) 306-5597,"2000 Woodall Rodgers Freeway, Suite 403, Dallas",75201,American,Savor Gastropub,300,3.5,(214) 306-5597,2000 Woodall Rodgers Fwy,75201,Gastropubs,1
Fette Sau,476,4.1,(718) 963-3404,"354 Metropolitan Avenue, Brooklyn",11211,"American, BBQ",Fette Sau,1818,4.0,(718) 963-3404,354 Metropolitan Ave,11211,Barbeque,1
Mohawk Bend,122,3.8,(213) 483-2337,"2141 W Sunset Blvd, Los Angeles",90026,"American, Breakfast, Vegetarian",Mohawk Bend,1411,4.0,(213) 483-2337,2141 W Sunset Blvd,90026,"Gastropubs,Pubs,Breweries",1
Ink,259,3.9,(323) 651-5866,"8360 Melrose Ave, Los Angeles",90069,,Ink,1523,4.0,(323) 651-5866,8360 Melrose AveSte 101,90069,American (New),1
Nova,144,3.8,(214) 484-7123,"1417 W Davis Street, Dallas",75208,"Pizza, Pub Food",Nova,175,4.0,(214) 484-7123,1417 W Davis St,75208,Gastropubs,1
EVO Kitchen,22,3.4,(323) 375-3390,"7950 Sunset Blvd Ste 104, Los Angeles",90046,"Pizza, California",EVO Kitchen,342,4.0,(323) 375-3390,7950 Sunset BlvdSte 104,90046,American (New),1
Handlebar,249,3.8,(773) 384-9546,"2311 W. North Avenue, Chicago",60647,"American, Bar Food",Handlebar,959,4.0,(773) 384-9546,2311 W North Ave,60647,Vegetarian,1
Almar,105,3.7,(718) 855-5288,"111 Front Street, Brooklyn",11201,"Cafe, Diner, Italian",AlMar,190,4.0,(718) 855-5288,111 Front St,11201,Italian,1
Scarpetta,301,4.0,(212) 691-0555,"355 West 14th Street, New York",10014,Italian,Scarpetta,1200,4.0,(212) 691-0555,355 W 14th St,10014,Italian,1
Nostrano,131,3.6,(608) 395-3295,"111 S Hamilton St, Madison",53703,Italian,Nostrano,153,4.0,(608) 395-3295,111 S Hamilton St,53703,Mediterranean,1
Rockfish Seafood Grill,82,3.3,(214) 823-8444,"5331 E Mockingbird Lane, First Level, Dallas",75206,Seafood,Rockfish Seafood Grill,67,3.5,(214) 823-8444,5331 E Mockingbird LnSte 160,75206,Seafood,1
Piccolo Angolo,158,3.7,(212) 229-9177,"621 Hudson Street, New York",10014,Italian,Piccolo Angolo,311,4.0,(212) 229-9177,621 Hudson St,10014,Italian,1
HuHot Mongolian Grill,153,3.6,(608) 827-7110,"610 Junction Rd, Madison",53717,"Asian, Chinese",HuHot Mongolian Grill,76,3.0,(608) 827-7110,610 Junction Rd,53717,Mongolian,1
Caracas Arepa Bar,130,4.1,(718) 218-6050,"291 Grand Street, Brooklyn",11211,"Latin American, Venezualan",Caracas Arepa Bar,625,4.0,(718) 218-6050,291 Grand St,11211,Latin American,1
Aroma,115,3.8,(323) 644-2833,"2903 W Sunset Blvd, Los Angeles",90026,Italian,Aroma Restaurant,241,4.5,(323) 644-2833,2903 W Sunset Blvd,90026,Italian,1
Tacos Y Mas,73,3.8,(214) 824-8079,"5419 Ross Avenue, Dallas",75206,Mexican,Tacos Y Mas,16,4.0,(972) 807-2466,2820 Greenville Ave,75206,Mexican,1
Macs,12,3.0,(608) 318-8823,2804 Prairie Lakes Dr Ste 106,53590,American,MACS,62,3.5,(608) 318-8823,2804 Prairie Lakes DrSte 106,53590,American (New),1
Little Goat Diner,438,4.2,(312) 888-3455,"820 W. Randolph Street, Chicago",60607,"New American, Bakery",Little Goat,2081,4.0,(312) 888-3455,820 W Randolph St,60607,Diners,1
Swad,44,3.6,(608) 819-9650,"6007 Monona Dr, Madison",53716,Indian,Swad,82,4.5,(608) 819-6950,6007 Monona Dr,53716,Indian,1
i Fratelli Pizza,169,3.7,(214) 720-0070,"2815 Allen Street, Suite 124, Dallas",75204,Pizza,i Fratelli Pizza,106,4.0,(214) 720-0070,2815 Allen StSte 124,75204,Italian,1
Mariscos Jalisco,27,3.4,(323) 528-6701,"3040 E Olympic Blvd, Los Angeles",90023,Seafood,Mariscos Jalisco,345,4.5,(323) 528-6701,3040 E Olympic Blvd,90023,"Mexican,Beer, Wine & Spirits",1
The Must,34,3.5,(213) 628-2000,"117 Winston St, Los Angeles",90013,,The Must,375,4.0,(213) 628-2000,117 Winston St,90013,American (New),1
All About the Bread,38,3.9,(323) 930-8989,"7111 Melrose Ave, Los Angeles",90046,Sandwich,All About the Bread,638,4.0,(323) 930-8989,7111 Melrose Ave,90046,Sandwiches,1
The Fix Burger,107,3.8,(323) 661-8494,"2520 Hyperion Ave, Los Angeles",90027,Burger,The Fix Burger,474,4.0,(323) 661-8494,2520 Hyperion Ave,90027,Burgers,1
Sripraphai,610,4.0,(718) 899-9599,"6413 39th Avenue, Queens",11377,"Asian, Thai",SriPraPhai Thai Restaurant,1669,4.0,(718) 899-9599,6413 39th Ave,11377,Thai,1
Cafe El Tapatio,351,4.2,(773) 327-5475,"3400 N. Ashland Avenue, Chicago",60657,Mexican,Cafe El Tapatio,499,4.0,(773) 327-5475,3400 N Ashland Ave,60657,Mexican,1
Soba-Ya,178,3.6,(212) 533-6966,"229 East 9th Street, New York",10003,Japanese,Soba-ya,930,4.0,(212) 533-6966,229 E 9th St,10003,"Japanese,Japanese,Sushi Bars,Japanese,Japanese,Japanese",1
Local,145,3.7,(214) 752-7500,"2936 Elm Street, Dallas",75226,New American,Local,176,4.0,(214) 752-7500,2936 Elm St,75226,American (New),1
Momo Italian Kitchen,183,3.9,(972) 234-6800,"8989 Forest Lane, Suite130, Dallas",75243,"Italian, Pizza",MoMo Italian Kitchen,115,4.0,(972) 234-6800,8989 Forest LnSte 130,75243,Italian,1
Madison Sourdough Company,82,3.9,(608) 442-8009,"916 Williamson St, Madison",53703,"Breakfast, Coffee and Tea",Madison Sourdough,152,4.0,(608) 442-8009,916 Williamson St,53703,Bakeries,1
Dish,223,3.8,(214) 522-3474,"ILLUME, 4123 Cedar Springs Road, Suite 110, Dallas",75219,New American,DISH Cedar Springs,310,4.0,(214) 522-3474,4123 Cedar Springs RdSte 110,75219,American (New),1
Pappadeaux Seafood Kitchen,172,4.0,(214) 358-1912,"10428 Lombardy Lane, Dallas",75220,"Seafood, Southern, Cajun",Pappadeaux Seafood Kitchen,190,4.0,(214) 358-1912,10428 Lombardy Ln,75220,Seafood,1
Home Restaurant,319,3.7,(323) 669-0211,"1760 Hillhurst Ave, Los Angeles",90027,American,Home Restaurant - Los Feliz,1590,4.0,(323) 669-0211,1760 Hillhurst Ave,90027,Breakfast & Brunch,1
Sofra Family Bistro,133,3.8,(608) 836-6614,7457 Elmwood Ave,53562,"European, Mediterranean, Eastern European",Sofra Family Bistro,73,4.0,(608) 836-6614,7457 Elmwood Ave,53562,"Breakfast & Brunch,Italian",1
Las Islas Del Mar,36,3.2,(608) 298-7687,"5696 Monona Dr, Madison",53716,"Mexican, Seafood",Las Islas Del Mar,23,4.0,(608) 298-7687,5696 Monona Dr,53716,Seafood,1
Si Lom Thai Asian Fusion,77,4.2,(214) 780-0983,"3300 Oak Lawn Avenue, Suite 110, Dallas",75219,"Asian, Thai, Fusion",Si Lom,285,4.0,(214) 780-0983,3300 Oak Lawn AveSte 110,75219,Thai,1
Good 2 Go Taco,465,4.2,(214) 519-9110,"1146 Peavy Road, Dallas",75218,Mexican,Good 2 Go Taco,415,4.0,(214) 519-9110,1146 Peavy Rd,75218,Breakfast & Brunch,1
Big Star,695,4.1,(773) 235-4039,"1531 N. Damen Avenue, Chicago",60622,Mexican,Big Star,2294,3.5,(773) 235-4039,1531 N Damen,60622,Mexican,1
Three Aces,95,4.4,(312) 243-1577,"1321 W. Taylor Street, Chicago",60607,American,Three Aces,620,4.0,(312) 243-1577,1321 W Taylor St,60607,Italian,1
Supper,394,3.7,(212) 477-7600,"156 E 2nd Street, New York",10009,Italian,Supper,860,4.0,(212) 477-7600,156 E 2nd St,10009,Italian,1
Fish Bar,109,3.8,(773) 687-8177,"2956 N. Sheffield Avenue, Chicago",60657,Seafood,Fish Bar,704,4.0,(773) 687-8177,2956 N Sheffield Ave,60657,Seafood,1
Bolsa,786,3.8,(214) 367-9367,"614 W Davis Street, Suite 100, Dallas",75208,New American,Bolsa,731,4.0,(214) 367-9367,614 W Davis St,75208,American (New),1
FoodLab,51,4.7,(323) 851-7120,7253 Santa Monica Blvd,90046,"Breakfast, Sandwich, Healthy Food",Foodlab,414,4.0,(323) 851-7120,7253 Santa Monica Blvd,90046,Coffee & Tea,1
Beatrix,63,3.7,(312) 284-1377,"519 N. Clark Street, Chicago",60654,American,Beatrix,763,4.0,(312) 284-1377,519 North Clark Street,60654,American (New),1
Burger Bar,173,4.0,(312) 255-0055,"1578 N. Clybourn Avenue, Chicago",60642,"Burger, American",Burger Bar Chicago,747,4.0,(312) 255-0055,1578 N Clybourn Ave,60642,Burgers,1
Dryhop Brewers,32,3.4,(773) 857-3155,"3155 N. Broadway Street, Chicago",60657,"American, Bar Food",DryHop Brewers,385,4.0,(773) 857-3155,3155 N Broadway,60657,Breweries,1
Alligator Cafe,315,3.9,(214) 821-6900,"9540 Garland Road, Suite 362, Dallas",75218,"Cajun, Seafood",Alligator Cafe,277,4.0,(214) 821-6900,9540 Garland RdSte 362,75218,Cajun/Creole,1
Bayou,209,4.1,(718) 273-4383,1072 Bay Street,10305,"American, Cajun",Bayou,219,4.0,(718) 273-4383,1072 Bay St,10305,"Cajun/Creole,Spanish",1
Mesa,68,3.5,(214) 941-4246,"118 W Jefferson Boulevard, Dallas",75208,Latin American,Mesa,183,4.0,(214) 941-4246,118 W Jefferson Blvd,75208,Mexican,1
DeSano Pizza,38,3.7,(323) 913-7000,"4959 Santa Monica Blvd, Los Angeles",90029,"Italian, Pizza",DeSano Pizza Bakery,384,4.5,(323) 913-7000,4959 Santa Monica Blvd,90029,Pizza,1
Reikyu,109,3.6,(214) 823-3772,"5321 E Mockingbird Lane, Second Level, Dallas",75206,"Japanese, Sushi",Reikyu Sushi & Bar,92,3.5,(214) 823-3772,5321 E Mockingbird LnSte 200,75206,Sushi Bars,1
Commissary,33,3.6,(213) 368-3065,"3515 Wilshire Blvd, Los Angeles",90010,California,Commissary,568,3.5,(213) 368-3030,The Line Hotel3515 Wilshire Blvd,90010,American (New),1
Souk,43,3.3,(469) 458-2233,"3011 Gulden Lane, Suite 114, Dallas",75212,Moroccan,Souk,206,3.5,(469) 458-2233,3011 Gulden LnSte 114,75212,Moroccan,1
Cafe Katja,99,3.7,(212) 219-9545,"79 Orchard Street, New York",10002,"German, European",Cafe Katja,558,4.5,(212) 219-9545,79 Orchard St,10002,German,1
Noodles & Company,149,3.6,(608) 257-6393,"232 State St, Madison",53703,"Asian, Mediterranean",Noodles & Company,43,3.5,(608) 257-6393,232 State St,53703,Comfort Food,1
Wendigo,25,3.4,(608) 205-2775,121 E Main St,53589,"American, Bar Food",Wendigo,55,4.5,(608) 205-2775,121 East Main St,53589,American (New),1
