ID_A,ID_B,Flag,Title_A,Title_B,Directors_A,Directors_B,Year_A,Year_B
3057,2098,,Beowulf,Beowulf,Robert Zemeckis,Robert Zemeckis,2007.0,2007
3071,2119,,Hitman,Hitman,Xavier Gens,Xavier Gens,2007.0,2007
3087,1900,,Street Kings,Street Kings,David Ayer,David Ayer,2008.0,2008
3119,1923,,Jumper,Jumper,Doug Liman,Doug Liman,2008.0,2008
3138,2118,,National Treasure: Book of Secrets,National Treasure: Book of Secrets,Jon Turteltaub,Jon Turteltaub,2007.0,2007
3146,2150,,Charlie Wilson's War,War,Mike Nichols,Philip G. Atwell,2007.0,2007
3159,2120,,Shoot 'em up,Shoot 'Em Up,,Michael Davis,2007.0,2007
3172,2112,,Grindhouse,Grindhouse,,Robert Rodriguez,2007.0,2007
3184,2243,,Wristcutters: A Love Story,A Love,,Kyung-Taek Kwak,2007.0,2007
3184,2244,,Wristcutters: A Love Story,A Love,,Kyung-Taek Kwak,2007.0,2007
3269,5590,,Superman,Superman,,Richard Donner,1978.0,1978
3286,6386,,Harakiri,Harakiri,,Masaki Kobayashi,1962.0,1962
3317,6810,,The Adventures of Robin Hood,The Adventures of Robin Hood,,Michael Curtiz,1938.0,1938
3345,6681,,The Treasure of the Sierra Madre,The Treasure of the Sierra Madre,,John Huston,1948.0,1948
3397,1489,,"Three Colors Trilogy: Blue, White, Red",RED,Krzysztof Kieslowski,Robert Schwentke,,2010
3397,3013,,"Three Colors Trilogy: Blue, White, Red",Red,Krzysztof Kieslowski,Ram Sathya,,2002
3397,4685,,"Three Colors Trilogy: Blue, White, Red",Colors,Krzysztof Kieslowski,Dennis Hopper,,1988
3405,5072,,Ran,Ran,,Akira Kurosawa,1985.0,1985
3418,5841,,Bring Me the Head of Alfredo Garcia,Bring Me the Head of Alfredo Garcia,,Sam Peckinpah,1974.0,1974
3449,5359,,Raiders of the Lost Ark,Raiders of the Lost Ark,,Steven Spielberg,1981.0,1981
3478,6200,,The Wild Bunch,The Wild Bunch,Sam Peckinpah,Sam Peckinpah,1969.0,1969
3487,6676,,Red River,Red River,Howard Hawks,Howard Hawks,1948.0,1948
167,2374,,The Da Vinci Code,The Da Vinci Treasure,Ron Howard,Peter Mervis,2006.0,2006
897,215,,Revenge of the Mekons,Revenge of the Green Dragons,Joe Angio,Wai-Keung Lau,2014.0,2014
1195,202,,Supermensch: The Legend of Shep Gordon,The Legend of Hercules,"Mike Myers,Beth Aala",Renny Harlin,2014.0,2014
1195,453,,Supermensch: The Legend of Shep Gordon,Rise of the Legend,"Mike Myers,Beth Aala",Roy Hin Yeung Chow,2014.0,2014
1309,453,,The Legend of Hercules,Rise of the Legend,Renny Harlin,Roy Hin Yeung Chow,2014.0,2014
1313,340,,Mountains of the Moon,Queen of the Mountains,Kamaleswar Mukherjee,Sadyk Sher-Niyaz,2014.0,2014
1313,341,,Mountains of the Moon,Queen of the Mountains,Kamaleswar Mukherjee,Sadyk Sher-Niyaz,2014.0,2014
1321,723,,The Last of the Unjust,In the Name of the King 3: The Last Job,Claude Lanzmann,Uwe Boll,2013.0,2013
1396,604,,Welcome to the Jungle,Welcome to the Punch,Rob Meltzer,Eran Creevy,2013.0,2013
1497,596,,Once Upon A Time In Mumbai Dobaara!,Once Upon a Time in Brooklyn,Milan Lutheria,Paul Borghese,2013.0,2013
1497,761,,Once Upon A Time In Mumbai Dobaara!,Once Upon a Time in Vietnam,Milan Lutheria,Dustin Nguyen,2013.0,2013
1525,671,,Battle of the Year,Battle of the Damned,Benson Lee,Christopher Hatton,2013.0,2013
1748,767,,Jack the Giant Slayer,Jack the Giant Killer,Bryan Singer,Mark Atkins,2013.0,2013
1751,741,,The End of Love,Revelation Road: The Beginning of the End,,Gabriel Sabloff,2013.0,2013
1751,851,,The End of Love,009-1: The End of the Beginning,,Koichi Sakamoto,2013.0,2013
1897,1079,,Rise of the Guardians,Rise of the Black Bat,Peter Ramsey,Scott Patrick,2012.0,2012
1900,992,,Tales of the Night,Night of the Living Dead 3D: Re-Animation,,Jeff Broadstreet,2012.0,2012
1961,922,,Men in Black III,Men in Black 3,Barry Sonnenfeld,Barry Sonnenfeld,2012.0,2012
2009,1162,,The King of Devil's Island,The King of the Streets,Marius Holst,Zhong Lei,2012.0,2012
2024,1000,,The Cabin in the Woods,Hidden in the Woods,,Patricio Valladares,2012.0,2012
2157,1185,,Mission: Impossible -- Ghost Protocol,Mission: Impossible - Ghost Protocol,Brad Bird,Brad Bird,2011.0,2011
2391,1475,,Survival of the Dead,Stag Night of the Dead,,Neil Jones,2010.0,2010
2391,1657,,Survival of the Dead,Valley of the Dead,,K. Adithya Ashok,2010.0,2010
2646,1593,,The Book of Eli,The Book of Zombie,"Albert,Allen Hughes",Paul Cranefield,2010.0,2010
3018,2073,,The Children of Huang Shi,Children of the Otherside,Roger Spottiswoode,Aydin Bulut,2008.0,2008
3124,1922,,Diary of the Dead,Day of the Dead,,Steve Miner,2008.0,2008
